,https://roic.ai/company/NTIP,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,4300000,4965000,6016000,6083000,7128000,5659000,1208000,1956000,1756000,2027000,3395000,2060000,3314000,4173000,3759000,2763000,4133000,5176000,7132000,6694000,5467000,4867000,4509000,5163000,16443000
11,COGS and Expenses,4400000,6454000,7097000,6563000,7735000,6562000,1259000,1956000,1756000,2027000,3407000,2078000,3390000,13768000,5865000,5365000,6492000,8686000,12638000,32488000,10437000,12939000,5391000,6816000,30090000
12,Interest Income ,- -,- -,- -,324000,- -,- -,12000,- -,39000,69000,- -,- -,1000,- -,- -,39000,36000,37000,58000,61000,215000,876000,1150000,522000,- -
13,Interest Expense (Gain),- -,- -,- -,1582000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,-1000000,696000,1123000,378000,525000,- -,23000,7000,6000,8000,18000,7000,9000,9000,9000,9000,1008000,1650000,1655000,813000,206000,290000,412000,333000,295000
15,EBITDA,-3400000,-5081000,-5823000,-2829000,-5347000,-5905000,-591000,-1949000,-1750000,-2019000,-2980000,-1611000,-2569000,19319000,1590000,3381000,2569000,4359000,5640000,32974000,6435000,10304000,-1359000,-2330000,19036000
16,EBITDA ratio,-1.4167,-2.7750,-14.7792,-2.4664,-5.1119,-9.9747,-2.7110,-Infinity,-Infinity,-Infinity,-12.8448,-4.6160,-3.1677,0.5848,0.2149,0.3887,0.3204,0.3541,0.3405,0.5066,0.3912,0.4661,-0.4475,-0.5292,0.5284
17,Operating Income,-2000000,-4623000,-6703000,-5416000,-6689000,-5970000,-1041000,-1956000,-1756000,-2027000,-3175000,-1729000,-2579000,19269000,1533000,3333000,1525000,2723000,3927000,32100000,6014000,9167000,-2354000,-2413000,19586000
18,Operating Income ratio,-0.8333,-2.5248,-17.0127,-4.7219,-6.3948,-10.0845,-4.7752,-Infinity,-Infinity,-Infinity,-13.6853,-4.9542,-3.1800,0.5833,0.2072,0.3832,0.1902,0.2212,0.2371,0.4932,0.3656,0.4147,-0.7751,-0.5480,0.5436
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,415000,- -,385000,- -,- -,111000,1000,41000,48000,39000,36000,-14000,58000,61000,215000,847000,1187000,537000,154000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1618000,-2578000,19310000,1581000,3372000,1561000,2709000,3985000,32161000,6229000,10014000,-1167000,-1876000,19740000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4.6361,-3.1788,0.5845,0.2137,0.3877,0.1947,0.2201,0.2406,0.4941,0.3786,0.4530,-0.3843,-0.4261,0.5479
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000,-6912000,746000,545000,943000,-122000,8938000,2096000,2308000,21000,-954000,4460000
23,Net Income,-2400000,-5777000,-6946000,-4789000,-5872000,-5905000,-614000,-1953000,-1332000,-1958000,-2998000,-1618000,-2578000,19236000,8493000,2626000,1016000,1766000,4107000,23223000,4133000,7706000,-1792000,-1709000,14281000
24,Net Income ratio,-1.0000,-3.1551,-17.6294,-4.1752,-5.6138,-9.9747,-2.8165,-Infinity,-Infinity,-Infinity,-12.9224,-4.6361,-3.1788,0.5823,1.1480,0.3019,0.1267,0.1435,0.2479,0.3568,0.2512,0.3486,-0.5901,-0.3881,0.3964
25,EPS,-1.29,-2.56,-1.92,-0.80,-1.24,-0.78,-0.07,-0.24,-0.10,-0.10,-0.13,-0.07,-0.11,0.79,0.33,0.10,0.04,0.07,0.17,1.00,0.17,0.32,-0.07,-0.07,0.59
26,EPS Diluted,-1.29,-2.56,-1.92,-0.80,-1.24,-0.78,-0.07,-0.24,-0.10,-0.10,-0.13,-0.07,-0.11,0.67,0.27,0.09,0.04,0.07,0.17,0.93,0.16,0.30,-0.07,-0.07,0.59
27,Weighted Average Shares Outstanding,1860465,2257920,4394178,5984165,6471056,7584911,8314458,13184551,17676202,18952137,22250144,24135557,24135557,24422567,25813038,25744330,25589238,25170346,23501987,23320065,24147908,23763785,23978774,24011354,24011354
28,Weighted Average Shares Outstanding Diluted,1860465,2257920,4394178,5984165,6471056,7584911,8314458,14108917,17676202,18952137,22250144,24135557,24135557,28619982,30930483,28472753,27954685,26928330,24482557,24885282,26396160,25354978,23978774,24011354,24011354
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1065078/000107261309000651/0001072613-09-000651-index.html,https://www.sec.gov/Archives/edgar/data/1065078/000107261310000437/0001072613-10-000437-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261311000353/0001072613-11-000353-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261312000247/0001072613-12-000247-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261313000181/0001072613-13-000181-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261314000190/0001072613-14-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261315000201/0001072613-15-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261316000745/0001072613-16-000745-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261317000192/0001072613-17-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261318000258/0001072613-18-000258-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261319000153/0001072613-19-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261320000136/0001072613-20-000136-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261321000329/0001072613-21-000329-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261322000370/0001072613-22-000370-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,6423000,3023000,4425000,7121000,2029000,984000,2177000,938000,1797000,5928000,4484000,3022000,21348000,20661000,21983000,18938000,17662000,20608000,50918000,53101000,18680000,22587000,25505000,44497000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,556000,547000,530000,1079000,1061000,1065000,1054000,36311000,25730000,19366000,15126000
33,Cash and Short-Term Investments,- -,6423000,3023000,4425000,7121000,2029000,984000,2177000,938000,1797000,5928000,4484000,3022000,21348000,21217000,22530000,19468000,18741000,21669000,51983000,54155000,54991000,48317000,44871000,59623000
34,Net Receivables,- -,249000,153000,286000,62000,6000,- -,- -,- -,- -,- -,78000,120000,1339000,760000,775000,814000,1249000,1537000,2879000,575000,444000,343000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,119000,155000,153000,113000,96000,86000,100000,85000,78000,94000,71000,70000,89000,156000,222000,276000,242000,196000,1278000,208000,112000,98000,120000,150000
37,Total Current Assets,- -,6791000,3331000,4864000,7296000,2131000,1070000,2277000,1023000,1875000,6022000,4633000,3212000,22776000,22133000,23527000,20558000,20232000,23402000,56140000,54938000,55547000,48758000,44991000,59773000
38,PP&E,- -,415000,425000,437000,319000,22000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,625000,- -,- -,99000,92000,86000,79000,72000,100000,92000,6000,74000,65000,5136000,3582000,2002000,1231000,2169000,1989000,1819000,1578000,- -
41,Intangible Assets,- -,925000,500000,625000,561000,- -,99000,92000,86000,79000,72000,100000,92000,6000,74000,65000,5136000,3582000,2002000,1231000,2169000,1989000,1819000,1578000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,6000,- -,19000,- -,196000,576000,- -,- -,- -,2541000,4437000,3650000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6903000,6194000,5659000,4743000,4958000,207000,168000,168000,- -,954000,- -
44,Other Non-Current Assets,- -,37000,340000,81000,8000,8000,- -,- -,6000,17000,6000,- -,- -,83000,- -,19000,19000,19000,19000,19000,19000,21000,21000,21000,5048000
45,Total Non-Current Assets,- -,1377000,1265000,1143000,888000,30000,99000,92000,92000,96000,78000,106000,98000,89000,6996000,6278000,11010000,8920000,6979000,1457000,2356000,4719000,6318000,6203000,5048000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,8168000,4596000,6007000,8184000,2161000,1169000,2369000,1115000,1971000,6100000,4739000,3310000,22865000,29129000,29805000,31568000,29152000,30381000,57597000,57294000,60266000,55076000,51194000,64821000
48,Accounts Payable,- -,420000,320000,224000,405000,193000,78000,437000,162000,350000,103000,86000,324000,78000,180000,232000,136000,338000,139000,171000,244000,67000,421000,597000,459000
49,Short-Term Debt,- -,- -,- -,353000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,509000,604000,1248000,920000,828000,520000,505000,201000,219000,264000,251000,261000,2092000,1551000,593000,628000,1873000,1552000,4554000,2638000,1994000,1148000,1435000,3649000
53,Total Current Liabilities,- -,929000,924000,1825000,1325000,1021000,598000,942000,363000,569000,367000,337000,585000,2170000,1731000,825000,764000,2211000,1691000,4725000,2882000,2061000,1569000,2032000,4108000
54,Long-Term Debt,- -,- -,1503000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,554000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,55000,54000,294000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,1503000,- -,- -,55000,54000,294000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,554000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000,- -,- -
61,Total Liabilities,- -,929000,2427000,1825000,1325000,1076000,652000,1236000,363000,569000,367000,337000,585000,2170000,1731000,825000,764000,2211000,1691000,4725000,2882000,2061000,1569000,2032000,4662000
62,Preferred Stock,- -,- -,- -,- -,- -,2000,27000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,44000,50000,65000,68000,83000,83000,171000,177000,197000,241000,241000,241000,259000,250000,254000,259000,243000,232000,238000,238000,237000,240000,241000,238000
64,Retained Earnings,- -,-13247000,-21693000,-26482000,-34517000,-40422000,-41036000,-42989000,-44321000,-46279000,-49277000,-50895000,-53473000,-36830000,-30575000,-29306000,-30553000,-34262000,-32756000,-9702000,-10219000,-7102000,-12636000,-17193000,-6428000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,-12000
66,Other Total Stockholders Equity,- -,20442000,23812000,30599000,41308000,41422000,41443000,43951000,44896000,47484000,54769000,55056000,55957000,57266000,57723000,58032000,61098000,60960000,61214000,62336000,64393000,65070000,65903000,66124000,66361000
67,Total Stockholders Equity,- -,7239000,2169000,4182000,6859000,1085000,517000,1133000,752000,1402000,5733000,4402000,2725000,20695000,27398000,28980000,30804000,26941000,28690000,52872000,54412000,58205000,53507000,49162000,60159000
68,Total Liabilities And Stockholders Equity,- -,8168000,4596000,6007000,8184000,2161000,1169000,2369000,1115000,1971000,6100000,4739000,3310000,22865000,29129000,29805000,31568000,29152000,30381000,57597000,57294000,60266000,55076000,51194000,64821000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,8168000,4596000,6007000,8184000,2161000,1169000,2369000,1115000,1971000,6100000,4739000,3310000,22865000,29129000,29805000,31568000,29152000,30381000,57597000,57294000,60266000,55076000,51194000,64821000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1065078/000107261309000651/0001072613-09-000651-index.html,https://www.sec.gov/Archives/edgar/data/1065078/000107261310000437/0001072613-10-000437-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261311000353/0001072613-11-000353-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261312000247/0001072613-12-000247-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261313000181/0001072613-13-000181-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261314000190/0001072613-14-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261315000201/0001072613-15-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261316000745/0001072613-16-000745-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261317000192/0001072613-17-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261318000258/0001072613-18-000258-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261319000153/0001072613-19-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261320000136/0001072613-20-000136-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261321000329/0001072613-21-000329-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261322000370/0001072613-22-000370-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2400000,-5777000,-6946000,-4789000,-5872000,-5905000,-614000,-1953000,-1332000,-1958000,-2998000,-1618000,-2578000,19236000,8493000,2626000,1016000,1766000,4107000,23223000,4133000,7706000,-1792000,-1709000,14281000
74,Depreciation and Amortization,-1000000,696000,1123000,378000,525000,- -,23000,7000,6000,8000,18000,7000,9000,9000,9000,9000,1008000,1650000,1655000,813000,206000,290000,412000,333000,295000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,916000,-215000,4751000,39000,- -,168000,-954000,1508000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,287000,901000,402000,303000,316000,390000,333000,272000,509000,949000,687000,567000,302000,238000
77,Change in Working Capital,400000,5862000,-3455000,632000,2932000,-4861000,-638000,863000,-675000,646000,4349000,-1359000,-1669000,17979000,-204000,2300000,-2908000,-1773000,3690000,29704000,641000,1430000,-6297000,-4230000,12706000
78,Accounts Receivable,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000,-39000,-435000,-288000,-1342000,2304000,131000,101000,343000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,248000,- -,- -,-956000,-61000,202000,-199000,32000,73000,-177000,351000,180000,-142000
81,Other Working Capital,- -,5862000,2407000,3039000,5971000,1110000,472000,1335000,660000,1306000,5655000,4296000,2627000,20606000,20402000,22702000,19794000,18021000,21711000,51415000,52056000,53486000,47189000,42959000,55665000
82,Other Non-Cash Items,2300000,-3312000,3774000,-564000,-2532000,5839000,-131000,241000,162000,46000,-3164000,1274000,1876000,-17632000,-6634000,-2578000,3219000,2870000,-3876000,-29094000,806000,-2020000,6337000,5755000,-9529000
83,Cash Provided by Operating Activities,-700000,-2531000,-5504000,-4343000,-4947000,-4927000,-1360000,-842000,-1839000,-1258000,-1795000,-1409000,-1461000,19994000,1967000,2673000,2725000,5762000,5633000,29906000,6774000,8093000,-605000,-503000,19499000
84,CAPEX,- -,-378000,-763000,-515000,-343000,-296000,- -,- -,- -,-12000,- -,-35000,-1000,- -,- -,- -,-4463000,-96000,-75000,-42000,-1144000,-110000,-115000,-51000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-126000,-1476000,- -,- -,- -,-25546000,-28225000,-17859000,-13059000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,510000,- -,- -,- -,- -,33888000,24216000,17154000
88,Other Investing Activites,-800000,-190000,-533000,2417000,763000,-180000,315000,- -,- -,- -,- -,-35000,-1000,- -,-561000,- -,-4463000,-96000,-75000,-42000,-1144000,-2651000,-2615000,-51000,-1101000
89,Cash Used for Investing Activites,-800000,-368000,-896000,2274000,733000,-296000,315000,- -,- -,-12000,- -,-35000,-1000,- -,-561000,- -,-4589000,-1062000,-75000,-42000,-1144000,-28197000,3048000,6306000,2994000
90,Debt Repayment,- -,-583000,- -,- -,-13000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,8021000,- -,3471000,- -,131000,- -,2085000,600000,2129000,5926000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-1000,- -,- -,- -,- -,- -,-50000,- -,- -,- -,- -,- -,- -,-1973000,-1367000,-2278000,-5491000,-2612000,-169000,-2152000,-2153000,-1310000,-253000,-1077000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2593000,- -,- -,- -,- -,- -,- -,-2420000,-2444000,-2416000,-2471000,-2410000
94,Other Financing Activites,1400000,1825000,3000000,- -,6923000,- -,- -,- -,- -,- -,- -,- -,- -,925000,-120000,16000,1097000,-485000,- -,615000,1125000,30000,107000,-161000,-14000
95,Cash Used/Provided by Financing Activities,1400000,9262000,3000000,3471000,6910000,131000,- -,2035000,600000,2129000,5926000,- -,- -,-1668000,-2093000,-1351000,-1181000,-5976000,-2612000,446000,-3447000,-4567000,-3619000,-2885000,-3501000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1400000,6363000,-3400000,1402000,2696000,-5092000,-1045000,1193000,-1239000,859000,4131000,-1444000,-1462000,18326000,-687000,1322000,-3045000,-1276000,2946000,30310000,2183000,-24671000,-1176000,2918000,18992000
98,Cash at the End of Period,- -,6423000,3023000,4425000,7121000,2029000,984000,2177000,938000,1797000,5928000,4484000,3022000,21348000,20661000,21983000,18938000,17662000,20608000,50918000,53101000,18680000,22587000,25505000,44497000
99,Cash at the Beginning of Period,200000,60000,6423000,3023000,4425000,7121000,2029000,984000,2177000,938000,1797000,5928000,4484000,3022000,21348000,20661000,21983000,18938000,17662000,20608000,50918000,43351000,23763000,22587000,25505000
100,Free Cash Flow,-700000,-2909000,-6267000,-4858000,-5290000,-5223000,-1360000,-842000,-1839000,-1270000,-1795000,-1444000,-1462000,19994000,1967000,2673000,-1738000,5666000,5558000,29864000,5630000,7983000,-720000,-554000,19499000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1065078/000107261309000651/0001072613-09-000651-index.html,https://www.sec.gov/Archives/edgar/data/1065078/000107261310000437/0001072613-10-000437-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261311000353/0001072613-11-000353-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261312000247/0001072613-12-000247-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261313000181/0001072613-13-000181-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261314000190/0001072613-14-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261315000201/0001072613-15-000201-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261316000745/0001072613-16-000745-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261317000192/0001072613-17-000192-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261318000258/0001072613-18-000258-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261319000153/0001072613-19-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261320000136/0001072613-20-000136-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261321000329/0001072613-21-000329-index.htm,https://www.sec.gov/Archives/edgar/data/1065078/000107261322000370/0001072613-22-000370-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
