,https://roic.ai/company/WINR,2017,2018,2019,2020,2021
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,55000,53356880,7754540,8591770,10207412
48,Accounts Payable,- -,- -,- -,126720,438466
49,Short-Term Debt,30672,81618,1125806,1343915,2600345
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,3795,30034
52,Other Current Liabilities,-2,163582,691944,1496840,1166433
53,Total Current Liabilities,30670,245200,1817750,2971270,4235278
54,Long-Term Debt,- -,- -,- -,- -,1199748
55,Deferred Revenue,- -,- -,- -,- -,182342
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1820000,68870,683350,- -
58,Total Non-Current Liabilities,- -,1820000,68870,683350,1382090
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,100921,490983,1506761
61,Total Liabilities,30670,2065200,1886620,3654620,5617368
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,140,46291910,700,800,142
64,Retained Earnings,-670,-9530,-3574810,-6195040,-12291899
65,Other Comprehensive Income/Loss,- -,- -,-5300,-62770,- -
66,Other Total Stockholders Equity,24858,5009306,9447331,11194169,16708762
67,Total Stockholders Equity,24328,51291686,5867921,4937159,4417005
68,Total Liabilities And Stockholders Equity,54998,53356886,7754541,8591779,10034373
69,Minority Interest,2,-6,-1,-9,173039
70,Total Liabilities & Equity,55000,53356880,7754540,8591770,10207412
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1708410/000161577418006822/0001615774-18-006822-index.html,https://www.sec.gov/Archives/edgar/data/1708410/000149315219013511/0001493152-19-013511-index.html,https://www.sec.gov/Archives/edgar/data/1708410/000149315220016997/0001493152-20-016997-index.htm,https://www.sec.gov/Archives/edgar/data/1708410/000149315221021581/0001493152-21-021581-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-670,-8860,-3565270,-2620240,-6096855
74,Depreciation and Amortization,- -,- -,90980,268540,525222
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,45000,- -,- -
77,Change in Working Capital,- -,191700,-493620,-2384440,-739273
78,Accounts Receivable,- -,- -,- -,-127653,-32448
79,Inventory,- -,- -,- -,-15787,-63474
80,Accounts Payable,- -,- -,- -,123142,337022
81,Other Working Capital,24330,216030,-277590,-2662030,-3401303
82,Other Non-Cash Items,- -,-652990,2527650,3213650,4918968
83,Cash Provided by Operating Activities,-670,-470150,-1395260,-1522490,-1391938
84,CAPEX,- -,- -,-122529,-163470,-1949
85,Acquisitions Net,- -,- -,75930,26180,-150000
86,Purchases of Investments,- -,-52780000,-46291685,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,406050,46142460,- -,- -
89,Cash Used for Investing Activites,- -,-52373950,-195824,-138068,-151949
90,Debt Repayment,- -,- -,- -,- -,-2137753
91,Common Stock Issued,- -,- -,- -,1440000,541735
92,Common Stock Repurchased,25000,53475100,-51987120,186750,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,5670,-202934,54660294,-1346146,3410634
95,Cash Used/Provided by Financing Activities,30670,53272166,2673174,280604,1814616
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,30000,428060,1082100,-1379950,254049
98,Cash at the End of Period,30000,458060,1540160,160210,414257
99,Cash at the Beginning of Period,- -,30000,458060,1540160,160208
100,Free Cash Flow,-670,-470150,-1517790,-1685960,-1393887
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1708410/000161577418006822/0001615774-18-006822-index.html,https://www.sec.gov/Archives/edgar/data/1708410/000149315219013511/0001493152-19-013511-index.html,https://www.sec.gov/Archives/edgar/data/1708410/000149315220016997/0001493152-20-016997-index.htm,https://www.sec.gov/Archives/edgar/data/1708410/000149315221021581/0001493152-21-021581-index.htm
102,false,,,,,
