,https://roic.ai/company/GTII,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
19,Total Other Income Expenses (Gains),- -,-24357160,282000,-124259,-35198,-1691435,-121369,-2001660,-10576524,-8273456,-122930167,-54173670,-140000,-11034619,-818187,-595612,-511079,-16041018,-11780,-589642,432924,-213627
20,Income Before Tax,- -,-10713843,- -,- -,-21244,-849363,-64330,-1006708,-5660000,-4140000,-61470000,-27120000,-1690000,-5820000,-360000,-349600,-308290,-8074030,-1633840,-3369340,-1428840,-2778486
21,Income Before Tax Ratio,- -,-245.7811,- -,- -,-Infinity,-Infinity,-Infinity,-30.1401,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.2000,-7.2742,-272.8230,-Infinity,-Infinity,-Infinity,-Infinity,-326.8807
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-596050,-10713843,-585439,-562440,-21244,-849363,-64330,-1006708,-5660000,-4140000,-61470000,-27120000,-1690000,-5820000,-360000,-349600,-308290,-8074030,-1633840,-3369340,-1428840,-2778486
24,Net Income ratio,-431.9203,-245.7811,-130.3583,-Infinity,-Infinity,-Infinity,-Infinity,-30.1401,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-7.2000,-7.2742,-272.8230,-Infinity,-Infinity,-Infinity,-Infinity,-326.8807
25,EPS,-340.00,-2210.00,-70.00,-50.00,-1.30,-40.00,-2.54,-22.90,-48.60,-0.70,-9.20,-1.70,-0.10,-0.14,-0.01,-0.00,-0.00,-0.08,-0.01,-0.02,-0.01,-0.01
26,EPS Diluted,-340.00,-2210.00,-70.00,-50.00,-1.30,-40.00,-2.54,-22.90,-48.60,-0.70,-9.20,-1.70,-0.10,-0.14,-0.01,-0.00,-0.00,-0.08,-0.01,-0.02,-0.01,-0.01
27,Weighted Average Shares Outstanding,4149,5041,9074,12135,16306,20844,25279,43880,1262792,5660029,6683005,16296642,28049389,41856670,69033590,82442670,84250890,97912754,128281415,158978560,178502990,207923257
28,Weighted Average Shares Outstanding Diluted,4149,5041,9074,12135,16306,28044,25279,43880,1262792,6597620,6683005,16296642,28049389,41856670,69033590,82442670,84250890,97912754,128281415,158978560,178502990,207923257
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/356590/000114420412018449/0001144204-12-018449-index.html,https://www.sec.gov/Archives/edgar/data/356590/000135448813002027/0001354488-13-002027-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000135448814001885/0001354488-14-001885-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000135448816007133/0001354488-16-007133-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000135448816007141/0001354488-16-007141-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000149315218016741/0001493152-18-016741-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000149315218004209/0001493152-18-004209-index.html,https://www.sec.gov/Archives/edgar/data/356590/000149315219003959/0001493152-19-003959-index.html,https://www.sec.gov/Archives/edgar/data/356590/000149315220010195/form10-k.htm,https://www.sec.gov/Archives/edgar/data/356590/000149315221008327/0001493152-21-008327-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,1380,- -,- -,- -,30578,440000,- -,100000,- -,- -,- -,- -,1690,110,40660,120550,7820,1440,2479
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,78020,106140,115390,176350,182950,44040,31000
33,Cash and Short-Term Investments,- -,- -,- -,1380,- -,- -,- -,30578,440000,- -,100000,- -,- -,- -,60000,79710,106250,156050,296900,190770,45480,33479
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,-10000,10000,10000,- -,- -,- -,- -,2380,- -,130340,-10,- -,- -,222167
37,Total Current Assets,- -,- -,- -,1380,- -,- -,- -,30578,440000,10000,120000,- -,- -,- -,60000,82090,106250,286390,296890,190770,45480,255646
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,70000,130000,100000,70000,40000,10000,10000,5450,3000,1680,360,- -,- -,2946
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54624,- -,- -,- -,- -,- -,51832,- -,31000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,20000,- -,- -,- -,- -,-4624,- -,10,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,90000,130000,100000,70000,40000,60000,10000,5460,3000,1680,360,- -,- -,33946
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,1380,- -,- -,- -,30578,530000,140000,220000,70000,40000,60000,70000,87550,109250,288070,297250,190770,45480,289592
48,Accounts Payable,- -,- -,- -,331892,331309,330824,348019,338530,360000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,610715
49,Short-Term Debt,- -,- -,- -,113000,113000,113000,216704,163000,113000,119125,405860,597860,647860,785860,581074,578340,1819237,1822236,1883773,2246062,871082,945882
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,92415,71037,102885,46314,201793,567000,1020875,2084140,3182140,4002140,4974140,1058926,1293540,1502893,1492274,2570057,3230298,1340428,476174
53,Total Current Liabilities,- -,- -,- -,537307,515346,546709,611037,703323,1040000,1140000,2490000,3780000,4650000,5760000,1640000,1871880,3322130,3314510,4453830,5476360,2211510,2032771
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1070000,1159900,- -,- -,- -,- -,3540410,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1070000,1159890,- -,- -,- -,- -,3540410,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,537307,515346,546709,611037,703323,1040000,1140000,2490000,3780000,4650000,5760000,2710000,3031770,3322130,3314510,4453830,5476360,5751920,2032771
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,1,1,1,1
63,Common Stock,- -,- -,- -,137791,178791,25279,253,988,10000,10000,130000,270000,380000,10000,10000,9230,9230,124530,155580,170780,205280,230498
64,Retained Earnings,- -,- -,- -,-13736272,-13757516,-14606879,-14457207,-15463915,-5660000,-9800000,-71270000,-141860000,-143550000,-149370000,-149640000,-149986980,-150295280,-158369300,-160003140,-166195870,-167624700,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000,-60000,-90000,-120000,-150000,28029,51400,77593,88251,149209,103985,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,13062554,13063379,14034891,13845917,14790182,6146686,8819656,68931890,137976162,138685013,143817282,146960533,146982128,146995575,155130078,155541777,160635511,161712981,-2004678
67,Total Stockholders Equity,- -,- -,- -,-535927,-515346,-546709,-611037,-672745,496686,-1000344,-2268110,-3703838,-4604987,-5692718,-2641438,-2944222,-3212882,-3026440,-4156573,-5285593,-5706438,-1774179
68,Total Liabilities And Stockholders Equity,- -,- -,- -,1380,- -,- -,- -,30578,1536686,139656,221890,76162,45013,67282,68562,87548,109248,288070,297257,190767,45482,258592
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-1006686,344,-1890,-6162,-5013,-7282,1438,2,2,- -,-7,3,-2,31000
70,Total Liabilities & Equity,- -,- -,- -,1380,- -,- -,- -,30578,530000,140000,220000,70000,40000,60000,70000,87550,109250,288070,297250,190770,45480,289592
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/356590/000114420412018449/0001144204-12-018449-index.html,https://www.sec.gov/Archives/edgar/data/356590/000135448813002027/0001354488-13-002027-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000135448814001885/0001354488-14-001885-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000135448816007133/0001354488-16-007133-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000135448816007141/0001354488-16-007141-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000149315218016741/0001493152-18-016741-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000149315218004209/0001493152-18-004209-index.html,https://www.sec.gov/Archives/edgar/data/356590/000149315219003959/0001493152-19-003959-index.html,https://www.sec.gov/Archives/edgar/data/356590/000149315220010195/form10-k.htm,https://www.sec.gov/Archives/edgar/data/356590/000149315221008327/0001493152-21-008327-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-596050,-10713843,-585439,-562440,-21244,-849363,-64330,-1006708,-5660000,-4140000,-61470000,-27120000,-1690000,-5820000,-360000,-349600,-308290,-8074030,-1633840,-3369340,-1428840,-2778486
74,Depreciation and Amortization,318155,2933966,196715,20300,- -,- -,- -,- -,1462,26094,32356,34056,32762,30694,108381,2824,2457,1317,1317,362,- -,267
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57855587,25637647,495317,3926843,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,37168,51659,-51659,-535927,20581,-31363,-64328,-61708,72745,-530000,-1240000,-1410000,-870000,-1110000,4180000,-209790,-1426090,187760,-1128820,-1128650,3119560,388905
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4731,2346,2385,- -,130345,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,577299
81,Other Working Capital,- -,51659,- -,-535927,-515346,-546709,-611037,-672745,-600000,-1130000,-2370000,-3780000,-4650000,-5760000,-1580000,-1789790,-3215880,-3028120,-4156940,-5285590,-2166030,-1777125
82,Other Non-Cash Items,- -,6639920,390366,1015444,-11035,852419,88814,1048994,5334990,3410782,3766810,2344558,1717885,2882002,-4009449,394926,1615935,7526774,2593681,4209955,-1914317,2215915
83,Cash Provided by Operating Activities,-240727,-1088298,-50017,-62623,-11698,-28307,-39844,-19422,-250803,-1233124,-1055247,-513739,-314036,-90461,-81068,-161640,-115988,-358179,-167662,-287673,-223597,-173399
84,CAPEX,-51309,-7104,- -,- -,- -,- -,- -,- -,-58545,-88196,- -,-7532,- -,- -,-6584,- -,- -,- -,- -,- -,- -,-3213
85,Acquisitions Net,-39075,- -,- -,- -,- -,- -,- -,- -,551461,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95256,- -,- -,- -,-1415,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28561,- -,-1931,75884,- -,- -,206236,143
88,Other Investing Activites,- -,-25000,- -,- -,- -,- -,- -,- -,-6400,- -,- -,-179000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-90384,-32104,- -,- -,- -,- -,- -,- -,486516,-88196,- -,-186532,- -,-95256,21977,- -,-1931,74469,- -,- -,206236,-3070
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106523,-220985,-157466,-138227,-204060,-49460,-83000,-499366,-273906,-60961,-122215,-68000
91,Common Stock Issued,301560,718750,- -,- -,- -,- -,- -,- -,325000,725000,110500,2200,25000,25000,- -,- -,- -,370000,128634,- -,25000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,68342,363460,60986,52435,10318,28307,39844,50000,-155433,161125,1155498,816839,444345,298427,264320,211620,199338,453624,392822,235908,108192,245513
95,Cash Used/Provided by Financing Activities,369902,1082210,60986,52435,10318,28307,39844,50000,169567,886125,1159475,598054,311879,185200,60260,162160,116338,324258,247550,174947,10977,177513
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,369902,-38192,10969,-10188,10318,28307,39844,50000,405280,-435195,104228,-102217,-2157,185200,60260,520,-1581,40548,79889,-112726,-6384,1044
98,Cash at the End of Period,38791,599,11568,1380,- -,- -,- -,30578,435858,663,104891,2674,517,- -,1169,1689,108,40656,120545,7819,1435,2479
99,Cash at the Beginning of Period,- -,38791,599,11568,1380,- -,- -,- -,30578,435858,663,104891,2674,517,- -,1169,1689,108,40656,120545,7819,1435
100,Free Cash Flow,-292036,-1095402,-50017,-62623,-11698,-28307,-39844,-19422,-309348,-1321320,-1055247,-521271,-314036,-90461,-87652,-161640,-115988,-358179,-167662,-287673,-223597,-176612
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/356590/000114420412018449/0001144204-12-018449-index.html,https://www.sec.gov/Archives/edgar/data/356590/000135448813002027/0001354488-13-002027-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000135448814001885/0001354488-14-001885-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000135448816007133/0001354488-16-007133-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000135448816007141/0001354488-16-007141-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000149315218016741/0001493152-18-016741-index.htm,https://www.sec.gov/Archives/edgar/data/356590/000149315218004209/0001493152-18-004209-index.html,https://www.sec.gov/Archives/edgar/data/356590/000149315219003959/0001493152-19-003959-index.html,https://www.sec.gov/Archives/edgar/data/356590/000149315220010195/form10-k.htm,https://www.sec.gov/Archives/edgar/data/356590/000149315221008327/0001493152-21-008327-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
