,https://roic.ai/company/CRYO,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,-3944,-10555,-278222,-198127,-224836,-586802,-201925,-250294,-131182,-278749,-131788
20,Income Before Tax,13829,-37324,-1294793,-2364259,-2399744,-2088149,-1379480,-1881136,-1222007,-1490512,-1082217,-1179285,-2879586
21,Income Before Tax Ratio,0.3592,-0.2505,-259.2178,-110.6656,-208.1485,-17.2637,-4.0703,-3.1672,-0.6551,-1.3508,-3.3646,-2.1138,-139.8536
22,Income Tax expense (Gain),2074,-2074,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,11755,-32650,-1290495,-2364259,-2399744,-2088149,-1379480,-1881136,-1222007,-1490512,-1082217,-1179285,-2879586
24,Net Income ratio,0.3053,-0.2191,-258.3574,-110.6656,-208.1485,-17.2637,-4.0703,-3.1672,-0.6551,-1.3508,-3.3646,-2.1138,-139.8536
25,EPS,0.00,-0.00,-0.09,-0.04,-0.08,-0.06,-0.04,-0.05,-0.03,-0.03,-0.02,-0.02,-0.05
26,EPS Diluted,0.00,-0.00,-0.09,-0.04,-0.08,-0.06,-0.04,-0.05,-0.03,-0.03,-0.02,-0.02,-0.05
27,Weighted Average Shares Outstanding,5189427,5552764,14893895,27383587,29472803,32607073,33044333,35879124,37973803,46216368,48915644,51659523,60341578
28,Weighted Average Shares Outstanding Diluted,5189427,5552764,14893895,27383587,29472803,32607073,33044333,35879124,37973803,46216368,48915644,51659523,60341578
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1468679/000101905614000025/0001019056-14-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905615000029/0001019056-15-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905616000990/0001019056-16-000990-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905617000033/0001019056-17-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905618000153/0001019056-18-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905619000013/0001019056-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905620000013/0001019056-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905621000028/0001019056-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905622000053/0001019056-22-000053-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8100,1510,107330,4039,115932,21471,9059,37251,410342,68320,23800,41760,8244
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -
33,Cash and Short-Term Investments,8100,1510,107330,4039,115932,21471,9059,37251,410342,68320,23800,341760,8244
34,Net Receivables,- -,- -,- -,- -,2003,6074,56513,65335,171860,218108,330154,500000,78782
35,Inventory,- -,- -,- -,- -,- -,- -,- -,24698,27704,33698,25855,20401,17934
36,Other Current Assets,- -,- -,18062,- -,- -,54250,7750,- -,33333,48931,- -,-295000,91989
37,Total Current Assets,8100,1510,125392,4039,117935,81795,73322,127284,643239,369057,379809,567161,196949
38,PP&E,61492,58888,333678,318587,281362,250182,211314,182701,52357,244707,238078,126591,228999
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,98913,126273,- -,200767,239807,256516,299057,337962,362490,- -,371849
41,Intangible Assets,- -,- -,98913,126273,163935,200767,239807,256516,299057,337962,362490,- -,371849
42,Investments,- -,- -,- -,- -,- -,1000,1000,1000,1000,301000,300000,300000,244919
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,3300,10800,5800,6350,8200,24420,13540,13699,13540,-300000,13540
45,Total Non-Current Assets,61492,58888,435891,455660,451097,458299,460321,464637,365954,897368,914108,126591,859307
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,69592,60398,561283,459699,569032,540094,533643,591921,1009193,1266425,1293917,693752,1056256
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,473869,321738,181924,553120
49,Short-Term Debt,- -,- -,- -,- -,20239,779898,1133000,412900,1090500,581001,660673,844142,857919
50,Tax Payable,2074,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,17768,56431,28514,25664,26667,23333,- -,122045
52,Other Current Liabilities,8074,- -,145170,260769,260129,698105,807213,831577,805936,30573,286462,23568,97824
53,Total Current Liabilities,8074,- -,145170,260769,280368,1495771,1996644,1272991,1922100,1112110,1292206,1049634,1630908
54,Long-Term Debt,- -,- -,- -,- -,190800,30000,50000,1148500,- -,25000,102288,273500,292715
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,252847,223188,150348,134947,118347,117184,108651,829761,1137428,- -,980186
58,Total Non-Current Liabilities,- -,- -,252847,223188,341148,164947,168347,1265684,108651,854761,1239716,273500,1272901
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1121914,- -
60,Capital Lease Obligations,- -,- -,- -,- -,31140,10898,- -,- -,- -,93387,62395,44786,46163
61,Total Liabilities,8074,- -,398017,483957,621516,1660718,2164991,2538675,2030751,1966871,2531922,1898048,2903809
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5433,5553,26476,28159,32286,32892,34707,37122,43410,48197,49389,59572,61376
64,Retained Earnings,- -,- -,-1311390,-3675649,-6075393,-8163542,-9543022,-11424158,-12646165,-14136677,-15218894,- -,-19277765
65,Other Comprehensive Income/Loss,11755,-20895,-12484,-78100,-116323,-155150,-194018,-229942,-265428,-287071,-289078,- -,- -
66,Other Total Stockholders Equity,44330,75740,1460664,3701332,6106946,7165176,8070985,9670224,11846625,13675105,14220578,-480771,17368836
67,Total Stockholders Equity,61518,60398,163266,-24258,-52484,-1120624,-1631348,-1946754,-1021558,-700446,-1238005,-421199,-1847553
68,Total Liabilities And Stockholders Equity,69592,- -,561283,459699,569032,540094,533643,591921,1009193,1266425,1293917,1476849,1056256
69,Minority Interest,- -,60398,- -,- -,- -,- -,- -,- -,- -,- -,- -,-783097,- -
70,Total Liabilities & Equity,69592,60398,561283,459699,569032,540094,533643,591921,1009193,1266425,1293917,693752,1056256
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1468679/000101905614000025/0001019056-14-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905615000029/0001019056-15-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905616000990/0001019056-16-000990-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905617000033/0001019056-17-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905618000153/0001019056-18-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905619000013/0001019056-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905620000013/0001019056-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905621000028/0001019056-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905622000053/0001019056-22-000053-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,11755,-32650,-1290495,-2364259,-2399744,-2088149,-1379480,-1881136,-1222007,-1490512,-1082217,-1179285,-2879586
74,Depreciation and Amortization,2008,12288,14788,35271,42539,40821,40864,39395,37480,26981,32002,168000,68581
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,603364,- -,- -,- -,417542,902853
77,Change in Working Capital,8074,1484,-21288,-236952,94297,-1251543,-509346,777615,-133154,535808,-169344,429924,755904
78,Accounts Receivable,- -,- -,- -,- -,-2003,-4071,-66654,-97628,-191069,-46165,-123771,-496496,-121152
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-3006,-5994,7843,5454,2467
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,277595,103759,263676,- -
81,Other Working Capital,26,1510,-19778,-256730,-162433,-1413976,-1923322,-1145707,-1278861,-743053,-912397,-482473,322675
82,Other Non-Cash Items,5313,-9528,476767,1763593,1118095,2491625,1426734,-63629,1650332,753250,722602,170381,848328
83,Cash Provided by Operating Activities,27150,-28406,-820228,-802347,-1144813,-807246,-421228,-524391,332651,-174473,-496957,6562,-303920
84,CAPEX,-63500,-9684,-130218,-47540,-42976,-46473,-41036,-27491,-72677,-224974,-49902,- -,-91345
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-46294,-29860,-41977,-38826,-41186,-15843,-44535,-44242,-29855,-8849,-42725
89,Cash Used for Investing Activites,-63500,-9684,-130218,-50040,-42976,-47473,-41186,-24631,-72677,-524974,-49902,-12731,-91345
90,Debt Repayment,- -,- -,-9546,- -,- -,-20242,-10898,- -,-2500,-9403,-30992,- -,- -
91,Common Stock Issued,44450,31500,1286000,779000,- -,- -,55000,199977,13750,- -,280000,401000,143000
92,Common Stock Repurchased,- -,- -,-355000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,134812,-29904,1299682,780500,405900,377237,101867,366828,253331,144339,218749
95,Cash Used/Provided by Financing Activities,44450,31500,1056266,749096,1299682,760258,450002,577214,113117,357425,502339,545339,361749
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-6590,105820,-103291,111893,-94461,-12412,28192,373091,-342022,-44520,17960,-33516
98,Cash at the End of Period,8100,1510,107330,4039,115932,21471,9059,37251,410342,68320,23800,41760,8244
99,Cash at the Beginning of Period,- -,8100,1510,107330,4039,115932,21471,9059,37251,410342,68320,23800,41760
100,Free Cash Flow,-36350,-38090,-950446,-849887,-1187789,-853719,-462264,-551882,259974,-399447,-546859,6562,-395265
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1468679/000101905614000025/0001019056-14-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905615000029/0001019056-15-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905616000990/0001019056-16-000990-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905617000033/0001019056-17-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905618000153/0001019056-18-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905619000013/0001019056-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905620000013/0001019056-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905621000028/0001019056-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1468679/000101905622000053/0001019056-22-000053-index.htm
102,false,,,,,,,,,,,,,
