,https://roic.ai/company/PYPL,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,778000000,955000000,419000000,1228000000,1401000000,1795000000,2057000000,2459000000,4202000000,4169000000
24,Net Income ratio,0.1374,0.1420,0.0522,0.1328,0.1292,0.1371,0.1331,0.1384,0.1959,0.1643
25,EPS,0.64,0.79,0.31,1.00,1.16,1.49,1.74,2.09,3.58,3.55
26,EPS Diluted,0.63,0.78,0.31,1.00,1.15,1.47,1.71,2.07,3.54,3.51
27,Weighted Average Shares Outstanding,1216000000,1216000000,1251000000,1222000000,1210000000,1203000000,1184000000,1174000000,1173000000,1174000000
28,Weighted Average Shares Outstanding Diluted,1229000000,1229000000,1262000000,1229000000,1218000000,1221000000,1203000000,1188000000,1187000000,1187000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1633917/000163391716000113/0001633917-16-000113-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391717000027/0001633917-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391718000029/0001633917-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391719000043/0001633917-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391720000028/0001633917-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391721000018/0001633917-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1633917/000163391722000027/0001633917-22-000027-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1604000000,2201000000,1393000000,1590000000,2883000000,7575000000,7349000000,4794000000,5197000000
32,Short-Term Investments,- -,321000000,29000000,2018000000,3385000000,2812000000,1534000000,3412000000,8289000000,4303000000
33,Cash and Short-Term Investments,- -,1925000000,2230000000,3411000000,4975000000,5695000000,9109000000,10761000000,13083000000,9500000000
34,Net Receivables,- -,12428000000,14957000000,16582000000,19925000000,26237000000,22907000000,26934000000,36764000000,41787000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,267000000,378000000,655000000,833000000,713000000,947000000,800000000,1148000000,1287000000
37,Total Current Assets,- -,14620000000,17565000000,20648000000,25733000000,32645000000,32963000000,38495000000,50995000000,52574000000
38,PP&E,- -,858000000,922000000,1344000000,1482000000,1528000000,1724000000,1693000000,1807000000,1909000000
39,Goodwill,- -,3187000000,3189000000,4069000000,4059000000,4339000000,6284000000,6212000000,9135000000,11454000000
40,Intangible Assets,- -,258000000,156000000,358000000,211000000,168000000,825000000,778000000,1048000000,1332000000
41,Intangible Assets,- -,3445000000,3345000000,4427000000,4270000000,4507000000,7109000000,6990000000,10183000000,12786000000
42,Investments,- -,196000000,31000000,2348000000,1539000000,1961000000,971000000,2863000000,6089000000,6797000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,41000000,54000000,114000000,79000000,133000000,565000000,1292000000,1305000000,1737000000
45,Total Non-Current Assets,- -,4540000000,4352000000,8233000000,7370000000,8129000000,10369000000,12838000000,19384000000,23229000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,19160000000,21917000000,28881000000,33103000000,40774000000,43332000000,51333000000,70379000000,75803000000
48,Accounts Payable,- -,9350000000,10727000000,12406000000,15355000000,19999000000,21843000000,24759000000,35670000000,39038000000
49,Short-Term Debt,- -,- -,- -,- -,- -,1000000000,1998000000,- -,- -,999000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,129000000,236000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1911000000,2556000000,1211000000,1523000000,1864000000,2063000000,2160000000,2777000000,2992000000
53,Total Current Liabilities,- -,11261000000,13283000000,13617000000,16878000000,22863000000,25904000000,26919000000,38447000000,43029000000
54,Long-Term Debt,- -,509000000,386000000,- -,- -,- -,- -,4965000000,8939000000,8049000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1505000000,1513000000,1917000000,2042000000,2520000000,2930000000,2998000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,509000000,386000000,1505000000,1513000000,1917000000,2042000000,7485000000,11869000000,11047000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,11770000000,13669000000,15122000000,18391000000,24780000000,27946000000,34404000000,50316000000,54076000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,668000000,2069000000,3823000000,5880000000,8342000000,12366000000,16535000000
65,Other Comprehensive Income/Loss,- -,-1545000000,-1940000000,-9000000,59000000,-142000000,78000000,-173000000,-484000000,-136000000
66,Other Total Stockholders Equity,- -,8935000000,10188000000,13100000000,12584000000,12313000000,9428000000,8716000000,- -,- -
67,Total Stockholders Equity,- -,7390000000,8248000000,13759000000,14712000000,15994000000,15386000000,16885000000,20019000000,21727000000
68,Total Liabilities And Stockholders Equity,- -,19160000000,21917000000,28881000000,33103000000,40774000000,43332000000,51289000000,70335000000,75803000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,44000000,44000000,- -
70,Total Liabilities & Equity,- -,19160000000,21917000000,28881000000,33103000000,40774000000,43332000000,51333000000,70379000000,75803000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1633917/000163391716000113/0001633917-16-000113-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391717000027/0001633917-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391718000029/0001633917-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391719000043/0001633917-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391720000028/0001633917-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391721000018/0001633917-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1633917/000163391722000027/0001633917-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,778000000,955000000,419000000,1228000000,1401000000,1795000000,2057000000,2459000000,4202000000,4169000000
74,Depreciation and Amortization,382000000,453000000,516000000,608000000,724000000,805000000,776000000,912000000,1189000000,1265000000
75,Deferred Income Tax,46000000,52000000,680000000,127000000,52000000,-1299000000,-171000000,-269000000,165000000,-482000000
76,Stock Based Compensation,205000000,253000000,299000000,346000000,438000000,733000000,853000000,1021000000,1376000000,1376000000
77,Change in Working Capital,-154000000,3522000000,923000000,2749000000,1824000000,927000000,-2723000000,4517000000,972000000,-1102000000
78,Accounts Receivable,-20000000,1000000,-13000000,-22000000,-77000000,12000000,-59000000,-129000000,-100000000,-222000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1000000,-13000000,42000000,12000000,11000000,62000000,26000000,503000000,-4000000,-31000000
81,Other Working Capital,-163000000,3359000000,4282000000,7031000000,8855000000,9782000000,7059000000,11576000000,12548000000,-1178000000
82,Other Non-Cash Items,308000000,-3242000000,-617000000,-2512000000,-1281000000,-430000000,4691000000,-4079000000,-2050000000,1114000000
83,Cash Provided by Operating Activities,1565000000,1993000000,2220000000,2546000000,3158000000,2531000000,5483000000,4561000000,5854000000,6340000000
84,CAPEX,-511000000,-391000000,-492000000,-722000000,-669000000,-667000000,-823000000,-704000000,-866000000,-908000000
85,Acquisitions Net,- -,- -,- -,-1225000000,-19000000,-323000000,-2124000000,-70000000,-3609000000,-2763000000
86,Purchases of Investments,-265000000,-610000000,-76000000,-7542000000,-21041000000,-19418000000,-22381000000,-27881000000,-41513000000,-40116000000
87,Sales/Maturities of Investments,180000000,320000000,409000000,3318000000,18429000000,18450000000,21898000000,24878000000,30908000000,39698000000
88,Other Investing Activites,-930000000,-1040000000,-1387000000,-218000000,-1699000000,-3400000000,4270000000,-1956000000,-1138000000,-1396000000
89,Cash Used for Investing Activites,-1526000000,-1721000000,-1546000000,-6389000000,-4999000000,-5358000000,840000000,-5733000000,-16218000000,-5485000000
90,Debt Repayment,- -,-133000000,- -,-862000000,-21000000,- -,-1115000000,-2516000000,-3000000000,-361000000
91,Common Stock Issued,- -,- -,- -,75000000,109000000,144000000,144000000,138000000,137000000,162000000
92,Common Stock Repurchased,- -,- -,- -,- -,-995000000,-1006000000,-3520000000,-1411000000,-1635000000,-3373000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-210000000,48000000,-51000000,3866000000,2945000000,4946000000,3229000000,7477000000,16990000000,2808000000
95,Cash Used/Provided by Financing Activities,-210000000,-85000000,-51000000,3079000000,2038000000,4084000000,-1262000000,3688000000,12492000000,-764000000
96,Effect of Forex Changes on Cash,-1000000,3000000,-26000000,-44000000,- -,36000000,-113000000,-6000000,169000000,-102000000
97,Net Change In Cash,-172000000,190000000,597000000,-808000000,197000000,1293000000,4948000000,2510000000,2297000000,-11000000
98,Cash at the End of Period,1414000000,1604000000,2201000000,1393000000,1590000000,2883000000,13233000000,15743000000,18040000000,18029000000
99,Cash at the Beginning of Period,1586000000,1414000000,1604000000,2201000000,1393000000,1590000000,8285000000,13233000000,15743000000,18040000000
100,Free Cash Flow,1054000000,1602000000,1728000000,1824000000,2489000000,1864000000,4660000000,3857000000,4988000000,5432000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1633917/000163391716000113/0001633917-16-000113-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391717000027/0001633917-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391718000029/0001633917-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391719000043/0001633917-19-000043-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391720000028/0001633917-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1633917/000163391721000018/0001633917-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1633917/000163391722000027/0001633917-22-000027-index.htm
102,false,,,,,,,,,,
