,https://roic.ai/company/HMHC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,2968088000,245625000,243125000,175625000,784389000,764738000,760194000,755649000,638187000,756706000,445005000
55,Deferred Revenue,208173000,171105000,184121000,370103000,440625000,436627000,419096000,395500000,542821000,562679000,606811000
56,Deferred Tax Liabilities,32072000,124588000,116999000,112220000,139810000,71381000,22269000,27075000,30871000,16411000,21393000
57,Other Non-Current Liabilities,204465000,185211000,150250000,142848000,67303000,73535000,62610000,60738000,179783000,43046000,24636000
58,Total Non-Current Liabilities,3412798000,726529000,694495000,800796000,1432127000,1346281000,1264169000,1238962000,1391662000,1378842000,1097845000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,143679000,141683000,134965000
61,Total Liabilities,3938455000,1085883000,1060110000,1251427000,1938735000,1851431000,1768398000,1726654000,1946812000,1930663000,1643856000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,567000,1400000,1400000,1420000,1456000,1475000,1479000,1481000,1489000,1505000,1523000
64,Retained Earnings,-2690097000,-2777236000,-2888422000,-2999913000,-3133782000,-3418340000,-3521527000,-3562971000,-3775992000,-4255830000,-4042252000
65,Other Comprehensive Income/Loss,-23453000,-21528000,-13291000,-26789000,-39728000,-53295000,-46522000,-45184000,-47272000,-55724000,-42174000
66,Other Total Stockholders Equity,2038431000,4741065000,4750589000,4784962000,4370375000,4350200000,4361763000,4375144000,4388135000,4400512000,4413327000
67,Total Stockholders Equity,-674552000,1943701000,1850276000,1759680000,1198321000,880040000,795193000,768470000,566360000,90463000,330424000
68,Total Liabilities And Stockholders Equity,3263903000,3029584000,2910386000,3011107000,3137056000,2731471000,2563591000,2495124000,2513172000,2021126000,1974280000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3263903000,3029584000,2910386000,3011107000,3137056000,2731471000,2563591000,2495124000,2513172000,2021126000,1974280000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1580156/000119312514118350/0001193125-14-118350-index.htm,https://www.sec.gov/Archives/edgar/data/1580156/000119312515064014/d846641d10k.htm,https://www.sec.gov/Archives/edgar/data/1580156/000119312516476833/0001193125-16-476833-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000119312517052873/0001193125-17-052873-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000119312518053025/0001193125-18-053025-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000119312519055490/0001193125-19-055490-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000156459020007003/0001564590-20-007003-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000156459021008418/0001564590-21-008418-index.htm,https://www.sec.gov/Archives/edgar/data/1580156/000156459022006489/0001564590-22-006489-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-2182370000,-87139000,-111186000,-111491000,-133869000,-284558000,-103187000,-94155000,-213833000,-479838000,213578000
74,Depreciation and Amortization,532996000,428422000,341979000,319777000,296609000,298169000,278518000,250466000,288641000,241886000,210682000
75,Deferred Income Tax,-117616000,-10076000,-3121000,899000,48214000,-68347000,-49247000,5140000,4535000,-14355000,2400000
76,Stock Based Compensation,8559000,6254000,9524000,11376000,12452000,10567000,10828000,13248000,13968000,11573000,12217000
77,Change in Working Capital,172003000,6916000,165467000,-395251000,-175647000,-83700000,101716000,-60642000,-88839000,173229000,23996000
78,Accounts Receivable,-2356000,25826000,-88029000,65519000,30808000,40094000,14926000,-11005000,19182000,31593000,-28928000
79,Inventory,39825000,44549000,15419000,-1763000,26228000,9031000,7771000,-33515000,-28850000,46096000,28083000
80,Accounts Payable,18488000,-44594000,1076000,-3432000,13145000,-23685000,-7149000,16144000,-12136000,-34941000,18788000
81,Other Working Capital,599085000,606001000,771468000,376217000,200570000,116870000,218586000,157944000,69105000,242334000,37260000
82,Other Non-Cash Items,1719224000,-239575000,-245460000,665733000,300600000,271620000,-103498000,858000,250503000,182753000,-195204000
83,Cash Provided by Operating Activities,132796000,104802000,157203000,491043000,348359000,143751000,135130000,114915000,254975000,115248000,267669000
84,CAPEX,-101817000,-50943000,-59803000,-67145000,-82987000,-105553000,-60294000,-53741000,-37561000,-50940000,-39093000
85,Acquisitions Net,-5592000,-11000000,-18695000,-9091000,-578190000,- -,- -,- -,-5447000,- -,340593000
86,Purchases of Investments,- -,-165603000,-219355000,-310149000,-198633000,-82086000,-86211000,-50053000,-750000,- -,- -
87,Sales/Maturities of Investments,17800000,19575000,251168000,134275000,286732000,197724000,80690000,86539000,50000000,- -,- -
88,Other Investing Activites,-135691000,-88027000,-121893000,-115509000,-103709000,-124031000,-141108000,17682000,-102562000,-61331000,-51857000
89,Cash Used for Investing Activites,-195300000,-295998000,-168578000,-367619000,-676787000,-113946000,-204923000,427000,-96320000,-112271000,249643000
90,Debt Repayment,-193500000,-12750000,-2500000,-2500000,-247125000,-8000000,-8000000,-58000000,-832000000,-169000000,-342031000
91,Common Stock Issued,- -,- -,- -,- -,- -,2197000,1608000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-463013000,-55017000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,289541000,119414000,-1575000,22029000,816242000,22860000,-938000,53876000,716333000,150870000,6650000
95,Cash Used/Provided by Financing Activities,96041000,106664000,-4075000,19529000,106104000,-37960000,-7330000,-4124000,-115667000,-18130000,-335381000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,33537000,-84532000,-15450000,142953000,-222324000,-8155000,-77123000,104386000,42988000,-15153000,181931000
98,Cash at the End of Period,413610000,329078000,313628000,456581000,234257000,226102000,148979000,253365000,296353000,281200000,463131000
99,Cash at the Beginning of Period,380073000,413610000,329078000,313628000,456581000,234257000,226102000,148979000,253365000,296353000,281200000
100,Free Cash Flow,30979000,53859000,97400000,423898000,265372000,38198000,74836000,61174000,217414000,64308000,228576000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1580156/000119312514118350/0001193125-14-118350-index.htm,https://www.sec.gov/Archives/edgar/data/1580156/000119312515064014/d846641d10k.htm,https://www.sec.gov/Archives/edgar/data/1580156/000119312516476833/0001193125-16-476833-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000119312517052873/0001193125-17-052873-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000119312518053025/0001193125-18-053025-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000119312519055490/0001193125-19-055490-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000156459020007003/0001564590-20-007003-index.html,https://www.sec.gov/Archives/edgar/data/1580156/000156459021008418/0001564590-21-008418-index.htm,https://www.sec.gov/Archives/edgar/data/1580156/000156459022006489/0001564590-22-006489-index.htm
102,false,,,,,,,,,,,
