,https://roic.ai/company/DOW,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,750000000,750000000,750000000,742500000,742300000,749000000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/29915/000002991519000008/0000029915-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1751788/000175178820000007/0001751788-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1751788/000175178821000010/0001751788-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1751788/000175178822000011/0001751788-22-000011-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,6188000000,2669000000,2367000000,5104000000,2988000000
32,Short-Term Investments,- -,4000000,100000000,21000000,- -,- -
33,Cash and Short-Term Investments,- -,6192000000,2769000000,2388000000,5104000000,2988000000
34,Net Receivables,- -,12049000000,12382000000,7555000000,7390000000,9554000000
35,Inventory,- -,8376000000,9260000000,6214000000,5701000000,7372000000
36,Other Current Assets,- -,627000000,852000000,658000000,889000000,934000000
37,Total Current Assets,- -,27244000000,25263000000,16815000000,19084000000,20848000000
38,PP&E,- -,23812000000,23662000000,23068000000,22095000000,21967000000
39,Goodwill,- -,13938000000,13848000000,8796000000,8908000000,8764000000
40,Intangible Assets,- -,5549000000,4913000000,3759000000,3352000000,2881000000
41,Intangible Assets,- -,19487000000,18761000000,12555000000,12260000000,11645000000
42,Investments,- -,6252000000,6471000000,3992000000,4102000000,5238000000
43,Tax Assets,- -,1722000000,2031000000,2213000000,2215000000,1358000000
44,Other Non-Current Assets,- -,1423000000,1190000000,1881000000,1714000000,1934000000
45,Total Non-Current Assets,- -,52696000000,52115000000,43709000000,42386000000,42142000000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,79940000000,77378000000,60524000000,61470000000,62990000000
48,Accounts Payable,- -,5360000000,5378000000,3889000000,3763000000,5577000000
49,Short-Term Debt,- -,1236000000,645000000,1442000000,1032000000,706000000
50,Tax Payable,- -,694000000,791000000,522000000,397000000,623000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,7781000000,7732000000,5348000000,6313000000,6943000000
53,Total Current Liabilities,- -,14377000000,13755000000,10679000000,11108000000,13226000000
54,Long-Term Debt,- -,19765000000,19254000000,15975000000,18012000000,15429000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,764000000,664000000,347000000,405000000,506000000
57,Other Non-Current Liabilities,- -,18025000000,15736000000,19429000000,18940000000,15090000000
58,Total Non-Current Liabilities,- -,38554000000,35654000000,35751000000,37357000000,31025000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,2160000000,1937000000,2332000000
61,Total Liabilities,- -,52931000000,49409000000,46430000000,48465000000,44251000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,8000000,8000000,8000000
64,Retained Earnings,- -,28050000000,29808000000,17045000000,16361000000,20623000000
65,Other Comprehensive Income/Loss,- -,-8591000000,-9885000000,-10246000000,-10855000000,-8977000000
66,Other Total Stockholders Equity,- -,35573000000,8046000000,6734000000,6921000000,- -
67,Total Stockholders Equity,- -,25823000000,26831000000,13541000000,12435000000,18165000000
68,Total Liabilities And Stockholders Equity,- -,78754000000,76240000000,59971000000,60900000000,62416000000
69,Minority Interest,- -,1186000000,1138000000,553000000,570000000,574000000
70,Total Liabilities & Equity,- -,79940000000,77378000000,60524000000,61470000000,62990000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/29915/000002991519000008/0000029915-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1751788/000175178820000007/0001751788-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1751788/000175178821000010/0001751788-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1751788/000175178822000011/0001751788-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,4318000000,465000000,4499000000,-1359000000,1225000000,6311000000
74,Depreciation and Amortization,2862000000,2546000000,3329000000,2938000000,2874000000,2842000000
75,Deferred Income Tax,-1259000000,1413000000,-530000000,-228000000,258000000,278000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-8377000000,13590000000,-1359000000,-5372000000,1840000000,-1447000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,610000000,-891000000,-983000000,668000000,515000000,-1768000000
80,Accounts Payable,569000000,1081000000,359000000,-948000000,-84000000,2458000000
81,Other Working Capital,-723000000,12867000000,11508000000,6136000000,7976000000,-5000000
82,Other Non-Cash Items,-501000000,-22943000000,-2045000000,9951000000,29000000,-975000000
83,Cash Provided by Operating Activities,-2957000000,-4929000000,3894000000,5930000000,6226000000,7009000000
84,CAPEX,-3991000000,-2994000000,-2584000000,-1970000000,-1387000000,-2324000000
85,Acquisitions Net,72000000,-749000000,-14000000,-638000000,-333000000,- -
86,Purchases of Investments,-690000000,-763000000,-1644000000,-975000000,-1208000000,-1458000000
87,Sales/Maturities of Investments,733000000,1165000000,1216000000,1252000000,1122000000,759000000
88,Other Investing Activites,5164000000,8052000000,-1640000000,-1822000000,-287000000,-1392000000
89,Cash Used for Investing Activites,5092000000,7518000000,-2128000000,-2192000000,-841000000,-2914000000
90,Debt Repayment,-621000000,-617000000,-3234000000,-5561000000,-5247000000,-2949000000
91,Common Stock Issued,398000000,489000000,112000000,93000000,108000000,320000000
92,Common Stock Repurchased,-916000000,- -,- -,-500000000,-125000000,-1000000000
93,Dividends Paid,-2462000000,-3235000000,-3711000000,-2085000000,-2071000000,-2073000000
94,Other Financing Activites,-413000000,38000000,1669000000,3958000000,4571000000,-369000000
95,Cash Used/Provided by Financing Activities,-4014000000,-3325000000,-5164000000,-4095000000,-2764000000,-6071000000
96,Effect of Forex Changes on Cash,-77000000,320000000,-100000000,-27000000,107000000,-99000000
97,Net Change In Cash,-1973000000,-435000000,-3538000000,-397000000,2724000000,-2120000000
98,Cash at the End of Period,6607000000,6189000000,2669000000,2367000000,5104000000,2988000000
99,Cash at the Beginning of Period,8580000000,6624000000,6207000000,2764000000,2380000000,5108000000
100,Free Cash Flow,-6948000000,-7923000000,1310000000,3960000000,4839000000,4685000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/29915/000002991519000008/0000029915-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1751788/000175178820000007/0001751788-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1751788/000175178821000010/0001751788-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1751788/000175178822000011/0001751788-22-000011-index.htm
102,false,,,,,,
