,https://roic.ai/company/MTP,2013,2014,2015,2016,2017,2018,2019,2020
89,Cash Used for Investing Activites,-50000,-907000,-1533000,-1202000,-1470000,9042000,-3807000,2574000
90,Debt Repayment,-200000,-346000,-165000,-235000,-552000,-5821000,-577000,-6182000
91,Common Stock Issued,- -,33852000,- -,- -,- -,- -,14108000,9742000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6940000,794000,-54000,15490000,10829000,-651000,5202000,-476000
95,Cash Used/Provided by Financing Activities,6740000,34300000,-219000,15255000,10277000,-6472000,18733000,3084000
96,Effect of Forex Changes on Cash,- -,- -,23000,466000,-258000,19000,148000,261000
97,Net Change In Cash,2254000,27938000,-14150000,1433000,-4404000,-10861000,8585000,-3382000
98,Cash at the End of Period,2387000,30325000,16175000,17608000,13204000,2343000,10928000,7546000
99,Cash at the Beginning of Period,133000,2387000,30325000,16175000,17608000,13204000,2343000,10928000
100,Free Cash Flow,-4486000,-6485000,-13346000,-14452000,-14438000,-13694000,-6808000,-9510000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1643918/000121465917002415/0001214659-17-002415-index.htm,https://www.sec.gov/Archives/edgar/data/1643918/000121465918002960/0001214659-18-002960-index.htm,https://www.sec.gov/Archives/edgar/data/1643918/000121465919003052/0001214659-19-003052-index.htm,- -,- -
102,Forex Rate,1.6556,1.5573,1.4738,1.2336,1.3512,1.2757,1.3259,1.3673
