,https://roic.ai/company/SIM,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,59092000,89378000,122811000,123348600,147375900,152031981,140819216,- -,155937656,181596357,213168564,257020995,433602765,548179332,895306000,1047882000,1098208000,1001098000,1012022000,1052900000,1117906000,1261093000,1429381000,1465759000,1112418000,1108629000,1452271000,1161777000
15,EBITDA,-418344500,-59328500,654992000,341022600,46487700,784415398,130438497,228212744,251355835,613222036,1944327420,1719120480,3121018015,2693719077,3831958000,-1224458000,2295562000,3997087000,3158661000,2316599000,2506041000,857570000,5280426000,4339695000,5534738000,2804043000,6382049000,14912428000
16,EBITDA ratio,-0.4019,-0.0359,0.3007,0.1538,0.0185,0.3653,0.0591,0.1208,0.1190,0.2209,0.3432,0.1333,0.1377,0.1120,0.1089,-0.0637,0.0934,0.1366,0.1070,0.0951,0.0934,0.0350,0.1919,0.1512,0.1551,0.0821,0.1779,0.2681
17,Operating Income,83937500,226527000,254281750,265239800,328381200,349008518,260144465,178435590,255210380,490322474,1803758778,1568567935,2922972945,2179754658,3115229000,3582739384,1084826000,2591734000,2640128000,782853000,203299000,1710160000,3426287000,3525172000,4049978000,2330053000,5185011000,13380451000
18,Operating Income ratio,0.0806,0.1371,0.1167,0.1196,0.1309,0.1625,0.1178,0.0944,0.1208,0.1766,0.3184,0.1217,0.1289,0.0906,0.0885,0.1863,0.0441,0.0885,0.0894,0.0321,0.0076,0.0699,0.1245,0.1228,0.1135,0.0682,0.1446,0.2406
19,Total Other Income Expenses (Gains),-562717000,-375233500,277899250,-36279000,-458942400,286666986,-270525183,49777154,-159792202,-53862283,-72611028,-88667095,-23371175,61708845,-178577000,-6803253384,-393575000,470334000,-632748000,-74822000,476617000,-4200499000,1842965000,-705785000,149414000,-693637000,-309084000,282637000
20,Income Before Tax,-478779500,-148706500,532181000,228960800,-130561200,635675504,-10380718,228212744,95418178,436460191,1731147750,1479900840,2899601770,2241463503,2936652000,-3220514000,691251000,3062068000,2007380000,708031000,679916000,-2490339000,5269252000,2819387000,4199392000,1636416000,4875927000,13663088000
21,Income Before Tax Ratio,-0.4600,-0.0900,0.2443,0.1033,-0.0521,0.2961,-0.0047,0.1208,0.0452,0.1572,0.3056,0.1148,0.1279,0.0932,0.0835,-0.1675,0.0281,0.1046,0.0680,0.0291,0.0253,-0.1017,0.1915,0.0982,0.1177,0.0479,0.1359,0.2456
22,Income Tax expense (Gain),18130500,12328000,125172750,12899200,7912800,186788095,25648182,591178,-22659739,139585343,329315112,189509595,586880970,619463124,1036303000,-2045402000,86314000,109837000,53632000,-281568000,161997000,770572000,926041000,1097860000,752462000,3276274000,2077844000,3436239000
23,Net Income,-495567000,-161034500,407008250,204774800,-108801000,445595322,-36028900,227621566,118077918,292040336,1401843744,1272589890,2100534280,1526076621,1900349000,-322938000,903543000,2862427000,2069982000,1516553000,1203524000,-1214290000,2884834000,1721672000,3653347000,-1635909000,2798188000,10226971000
24,Net Income ratio,-0.4761,-0.0975,0.1868,0.0924,-0.0434,0.2075,-0.0163,0.1204,0.0559,0.1052,0.2475,0.0987,0.0927,0.0634,0.0540,-0.0168,0.0368,0.0978,0.0701,0.0622,0.0449,-0.0496,0.1048,0.0600,0.1024,-0.0479,0.0780,0.1839
25,EPS,-172.35,-51.37,130.68,65.57,-1.32,6.94,-6.94,1.39,1.19,2.45,10.54,9.20,14.96,9.79,11.10,100.09,5.45,17.25,14.61,9.22,7.32,5.43,17.79,7.26,21.54,-10.56,19.14,61.65
26,EPS Diluted,-172.35,-51.37,130.68,65.57,-1.32,6.94,-6.94,1.39,1.19,2.45,10.54,9.20,14.96,9.79,11.10,100.09,5.45,17.25,14.61,9.22,7.32,5.43,17.79,7.26,21.54,-10.56,19.14,61.65
27,Weighted Average Shares Outstanding,21855000,22055000,20715000,20715000,206277000,62145133,62145133,8222420,99967222,119052681,132972479,137929599,140113291,156076166,161634598,165907190,165903071,165937797,165903071,164429398,164415847,165985267,162160427,165825344,163246100,154915625,154513741,165887607
28,Weighted Average Shares Outstanding Diluted,21855000,22055000,20715000,20715000,206277000,62145133,62145133,8222420,295773688,357390181,398838999,413788797,140404902,158207204,161634598,165907190,165903071,165937797,165903071,164429398,164415847,165985267,162160427,165825344,163246100,154915625,154513741,165887607
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,109080515,514495034,504834336,208223840,2124941775,6383679255,576741000,1948900000,3384917000,6537088000,8102314000,6984730000,7003373000,6224502000,7536534000,7203604000,6987241000,7446447000,7727698000,15150368000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,305085000,374359000,428422000,88947000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,109080515,514495034,504834336,208223840,2124941775,6383679255,576741000,1948900000,3384917000,6537088000,8102314000,6984730000,7308458000,6598861000,7964956000,7292551000,6987241000,7446447000,7727698000,15150368000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,459179204,434680822,1134999882,2605409290,2416309620,3049233918,3360290000,3539522000,3322693000,3709668000,2741691000,3100253000,3701960000,3951817000,7440411000,10043496000,8176709000,5922076000,6707338000,8661611000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,269194795,287966812,1126203930,3639586280,4871168185,4920782034,8849906000,6618742000,5156570000,5760120000,6234216000,5931001000,6521180000,6110847000,7181483000,8263498000,10138422000,8243213000,9073599000,11735424000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,5974026,18767307,26798778,286063635,104484805,71861121,258492000,197247000,96220000,193985000,241719000,185647000,141439000,317925000,420278000,509557000,798593000,798400000,854353000,1499705000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,843428540,1255909975,2792836926,6739283045,9516904385,14425556328,13045429000,12304411000,11960400000,16200861000,17319940000,16201631000,17673037000,16979450000,23007128000,26109102000,26100965000,22410136000,24362988000,37047108000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,3993818032,4400827177,5757361506,7074356135,7327181815,7885224840,10291145000,9794942000,9453237000,9475562000,9776411000,12168073000,13619337000,11129200000,14491045000,15737081000,16970832000,16737595000,15950352000,16070826000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4166160000,1814160000,1814160000,1814160000,1814160000,1814160000,1814160000,1814160000,1814160000,1814160000,1814160000,1814160000,1814160000,1814160000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180762275,172490655,2923793000,2545683000,2180994000,1986843000,1858615000,1402684000,1086373000,835940000,730113000,657388000,485892000,445934000,508796000,498467000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180762275,172490655,7089953000,4359843000,3995154000,3801003000,3672775000,3216844000,2900533000,2650100000,2544273000,2471548000,2300052000,2260094000,2322956000,2312627000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,385589596,329228029,368441550,691577865,370624735,313424289,387490000,250605000,1711955000,1792040000,1687659000,1693299000,1703582000,1485666000,1596926000,1220766000,3481974000,2606933000,2867351000,1263047000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,4379407628,4730055206,6125803056,7765934000,7878568825,8371139784,17768588000,14405390000,15160346000,15068605000,15136845000,17078216000,18223452000,15264966000,18632244000,19429395000,22752858000,21604622000,21140659000,19646500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,5222836168,5985965181,8918639982,14505217045,17395473210,22796696112,30814017000,26709801000,27120746000,31269466000,32456785000,33279847000,35896489000,32244416000,41639372000,45538497000,48853823000,44014758000,45503647000,56693608000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,208384408,206294894,586974312,1403748830,1782524375,2100126828,3399772000,1896825000,2162801000,2294701000,2330479000,3009471000,3656895000,3102944000,2827559000,3984898000,4390413000,4179830000,5347325000,6973252000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,344322065,22404382,156017088,20911550,3281680,3278793,12855000,3944000,3732000,4225000,3922000,3946000,4450000,5237000,6241000,990583000,5936000,5700000,6020000,6196000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298251000,334278000,434220000,246247000,241727000,414537000,830716000,926733000,998720000,1379381000,2203671000,1312207000,1455398000,1940450000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,300166223,94765388,163413684,1275116260,1017385570,751137708,1842518000,1993612000,1732073000,1523831000,1402729000,1691212000,2159536000,2479595000,2685190000,2261187000,4595819000,3100947000,3073421000,2911225000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,852872695,323464664,906405084,2699776640,2803191625,2854543329,5255145000,3894381000,3898606000,3822757000,3737130000,4704629000,5820881000,5587776000,5518990000,7236668000,8992168000,7286477000,8426766000,9890673000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,4748052,- -,- -,389315740,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,766379192,1041938055,1428553674,1504432105,2007027990,2667270873,4172251000,2737770000,2668054000,3071885000,2967641000,2206364000,2156077000,1395090000,2302919000,3367976000,3507746000,3410106000,3638521000,3808919000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3605195,8963991,21156930,338024060,89889965,56501991,81124000,95756000,96336000,106001000,84632000,93889000,138886000,140169000,607319000,810950000,844906000,708399000,419701000,371011000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,774732438,1050902046,1449710604,2231771905,2096917955,2723772864,4253375000,2833526000,2764390000,3177886000,3052273000,2300253000,2294963000,1535259000,2910238000,4178926000,4352652000,4118505000,4058222000,4179930000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1627605134,1374366710,2356115688,4931548545,4900109580,5578316193,9508520000,6727907000,6662996000,7000643000,6789403000,7004882000,8115844000,7123035000,8429228000,11415594000,13344820000,11404982000,12484988000,14070603000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,2630420681,3083154073,3266729946,3456636755,3628393810,4022567040,4142696000,4142696000,4142696000,4142696000,2832268000,2832268000,2832268000,2832268000,2832268000,2832268000,2832268000,2832268000,2832268000,2832268000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,1280799952,1619214599,3105037692,4493860250,6769231445,8533499949,9507958000,9075705000,9979248000,12942705000,16662517000,17179070000,18382594000,17168304000,19053138000,20774810000,21622790000,19986881000,20795069000,36181245000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-915979186,-712475015,-463264578,-1014369400,-1035726275,-868368174,324297000,363931000,406513000,824805000,167049000,787197000,1654121000,2478063000,6827610000,6044925000,6802081000,5190595000,4780079000,1171046000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,599750627,621458612,653710266,840187865,961812910,3145168569,4208204000,4208204000,4144855000,4182759000,4153850000,4148153000,4170857000,4094600000,4602314000,4579472000,4575233000,4575233000,4575233000,2399084000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,3594992073,4611352269,6562213326,7776315470,10323711890,14832867384,18183155000,17790536000,18673312000,22092965000,23815684000,24946688000,27039840000,26573235000,33315330000,34231475000,35832372000,32584977000,32982649000,42583643000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,5222597207,5985718979,8918329014,12707864015,15223821470,20411183577,27691675000,24518443000,25336308000,29093608000,30605087000,31951570000,35155684000,33696270000,41744558000,45647069000,49177192000,43989959000,45467637000,56654246000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,238961,246202,310968,1797353030,2171651740,2385512535,3122342000,2191358000,1784438000,2175858000,1851698000,1328277000,740805000,-1451854000,-105186000,-108572000,-323369000,24799000,36010000,39362000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,5222836168,5985965181,8918639982,14505217045,17395473210,22796696112,30814017000,26709801000,27120746000,31269466000,32456785000,33279847000,35896489000,32244416000,41639372000,45538497000,48853823000,44014758000,45503647000,56693608000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-495567000,-161034500,407008250,204774800,-108801000,445595322,-36028900,- -,118077918,292040336,1401843744,1272589890,2100534280,1526076621,1900349000,-322938000,903543000,2862427000,2069982000,1516553000,1203524000,-1214290000,2884834000,1721672000,3653347000,-1635909000,2798188000,10226971000
74,Depreciation and Amortization,59092000,89378000,122811000,123348600,147375900,152031981,140819216,- -,155937656,181596357,213168564,257020995,433602765,548179332,895306000,1047882000,1098208000,1001098000,1012022000,1052900000,1117906000,1261093000,1429381000,1465759000,1112418000,1108629000,1452271000,1161777000
75,Deferred Income Tax,-2014500,- -,-787250,-806200,- -,-416241,52578290,- -,-56716881,127364771,307136430,111075360,-18211165,508158450,- -,- -,- -,- -,- -,- -,161997000,770572000,926041000,1097860000,752462000,3276274000,2077844000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-42976000,33902000,70065250,-87875800,80117100,116320406,58679492,- -,69516881,-222163732,-1060345350,78805760,-435016910,-335537079,-1957102000,910745000,420694000,-581223000,192410000,220588000,139560000,-2123800000,-3361751000,-1475024000,-1802484000,-1676294000,-2652315000,-6145903000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164974000,839877000,-336840000,-431775000,725462000,-72246000,-195756000,646126000,-209517000,-1209134000,-1082991000,515726000,-795682000,-1971864000
79,Inventory,-47005000,16951000,-18106750,33860400,36596700,54082934,25985531,- -,17828571,-9031137,-823298886,620022150,-1175942530,123591978,-2030274000,2037628000,-86034000,15095000,-712039000,259495000,-5955000,687296000,-84865000,-887619000,-1098437000,1812770000,-777419000,-1880779000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,541938000,-1699826000,331836000,-45518000,153189000,658409000,318081000,-954678000,-372386000,1249042000,460359000,-151986000,662267000,701657000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91363305,-48156495,-31862025,- -,- -,330641000,-477120000,83162000,-344298000,99642000,-209218000,373973000,775953000,- -,- -,- -,- -
82,Other Non-Cash Items,-671500,-770500,13383250,4031000,-30662100,9999241,20356618,- -,30046752,18017510,15392916,22567490,217454480,100487925,984797000,-475999000,-195820000,-328028000,380161000,-738888000,-1253007000,924742000,1549993000,-38355000,-491859000,-29947000,-42113000,3454805000
83,Cash Provided by Operating Activities,-482137000,-38525000,612480500,243472400,88029900,723530710,236404716,- -,316862326,396855242,877196304,1742059495,2298363450,2347365249,1823350000,1159690000,2226625000,2954274000,3654575000,2051153000,1369980000,-381683000,3428498000,2771912000,3223884000,1042753000,3633875000,8697650000
84,CAPEX,-282030000,-96312500,-45660500,-22573600,-42531300,-81043991,-35065045,- -,-19345454,-58652031,-1231533234,-500858160,-402254085,-484716714,-479804000,-263207000,-496361000,-432000000,-1303974000,-3177950000,-1858358000,-647743000,-3100259000,-3039501000,-1994465000,-1271420000,-951205000,-1356568000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-8914285,- -,- -,-1434394335,- -,- -,- -,- -,- -,- -,-26796000,- -,- -,- -,- -,- -,-638976000,1071032000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8450796000,- -,-187433000,- -,- -,- -,-305085000,-69392000,-54063000,- -,-1645816000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,339476000,- -,- -,- -,- -
88,Other Investing Activites,-105425500,-79361500,-92895500,-90294400,100888200,-32220828,44028896,- -,-14846753,34580190,-69312546,118707545,414635950,1481448,-69456000,37690000,-8794000,-34200000,-176251000,230431000,103173000,61992000,-11317000,-5894000,3459104000,93702000,118534000,56029000
89,Cash Used for Investing Activites,-387455500,-175674000,-138556000,-112868000,58356900,-113264819,8963852,- -,-43106492,-24071841,-1300845780,-1816544950,12381865,-483235266,-9000056000,-225517000,-692588000,-466200000,-1507021000,-2947519000,-2060270000,-655143000,-3165639000,-2705919000,-820153000,-106686000,-832671000,-1300539000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1325329000,-718019000,-8656000,- -,- -,- -,- -,- -,- -,-41027000,- -,- -,- -,- -
91,Common Stock Issued,144372500,- -,- -,- -,- -,- -,- -,- -,279542847,357496495,244398636,647515,126204345,2416002042,112269000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-230418000,-25616000,-175578000,- -,-278863000,-1640296000,-156058000,-41984000,-74497000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1990000000,- -
94,Other Financing Activites,919283500,-92460000,-470775500,-26604600,-113746500,-486897769,-487219064,- -,-508997384,-328802771,142900902,-241671705,-528328890,-96174297,2547214000,1156409000,-117764000,26148000,-23025000,-28714000,-22614000,-109906000,898085000,-54404000,-1001134000,-55049000,-53746000,-87441000
95,Cash Used/Provided by Financing Activities,1063656000,-92460000,-470775500,-26604600,-113746500,-486897769,-487219064,- -,-229454537,28693724,387299538,-241024190,-402124545,2319827745,1334154000,438390000,-126420000,26148000,-23025000,-259132000,-48230000,-285484000,898085000,-374294000,-2641430000,-211107000,-2085730000,-161938000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23138000,-404000,28400000,637949000,-559303000,37914000,757163000,543439000,151088000,-24629000,21336000,-265754000,-434223000,187497000
97,Net Change In Cash,1063656000,-92460000,-470775500,-26604600,32640300,123368121,-241840858,- -,44311687,401465934,-36349938,-315509645,1908620770,4183957728,-5819414000,1372159000,1436017000,3152171000,1565226000,-1117584000,18643000,-778871000,1312032000,-332930000,-216363000,459206000,281251000,7422670000
98,Cash at the End of Period,- -,- -,- -,- -,207711000,356964395,116327660,- -,109080515,514495034,504834336,208223840,2124941775,6383679255,576741000,1948900000,3384917000,6537088000,8102314000,6984730000,7003373000,6224502000,7536534000,7203604000,6987241000,7446447000,7727698000,15150368000
99,Cash at the Beginning of Period,105425500,335167500,35426250,45147200,175070700,233596274,358168518,- -,64768829,113029100,541184274,523733485,216321005,2199721527,6396155000,576741000,1948900000,3384917000,6537088000,8102314000,6984730000,7003373000,6224502000,7536534000,7203604000,6987241000,7446447000,7727698000
100,Free Cash Flow,-764167000,-134837500,566820000,220898800,45498600,642486718,201339671,- -,297516872,338203211,-354336930,1241201335,1896109365,1862648535,1343546000,896483000,1730264000,2522274000,2350601000,-1126797000,-488378000,-1029426000,328239000,-267589000,1229419000,-228667000,2682670000,7341082000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.2001,0.13,0.1268,0.1239,0.101,0.1052,0.1037,0.1093,0.0964,0.089,0.0898,0.0941,0.0926,0.0916,0.0727,0.0765,0.08088,0.07162,0.07782,0.07668,0.06778,0.05817,0.04822,0.05087,0.05088,0.0528,0.05024,0.04877
