,https://roic.ai/company/SEDG,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419612/000117891315002692/0001178913-15-002692-index.htm,https://www.sec.gov/Archives/edgar/data/1419612/000117891316006268/0001178913-16-006268-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1419612/000117891319000721/0001178913-19-000721-index.htm,https://www.sec.gov/Archives/edgar/data/1419612/000117891320000672/0001178913-20-000672-index.htm,https://www.sec.gov/Archives/edgar/data/1419612/000117891321000696/0001178913-21-000696-index.htm,https://www.sec.gov/Archives/edgar/data/1419612/000117891322000760/0001178913-22-000760-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,- -,-27783000,-28180000,-21378000,21121000,76609000,84172000,128833000,146549000,140322000,169170000
74,Depreciation and Amortization,- -,- -,1283000,1842000,1978000,2253000,3847000,7155000,12619000,26895000,31834000,39535000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6037000,-2738000,-12045000
76,Stock Based Compensation,- -,- -,842000,1078000,1082000,2956000,9089000,17564000,30618000,60353000,67309000,102593000
77,Change in Working Capital,- -,- -,3305000,3359000,-7029000,188490000,37659000,124453000,105463000,43654000,787193000,-118186000
78,Accounts Receivable,- -,- -,-3930000,-1040000,-9911000,-16333000,-37271000,-38139000,-60514000,-124071000,86538000,-247723000
79,Inventory,- -,- -,-9433000,-1161000,-10681000,-48507000,-7356000,-15690000,-20178000,-22544000,-149661000,-43051000
80,Accounts Payable,- -,- -,15419000,-7928000,20334000,41111000,-32200000,35455000,31482000,47837000,3333000,91709000
81,Other Working Capital,- -,- -,- -,3359000,-3670000,184820000,222479000,346932000,452395000,496049000,1283242000,90460000
82,Other Non-Cash Items,- -,- -,15000,-1206000,7502000,-202766000,-74777000,-96679000,-88454000,-12414000,-801265000,33062000
83,Cash Provided by Operating Activities,- -,- -,-22338000,-23107000,-17845000,12054000,52427000,136665000,189079000,259000000,222655000,214129000
84,CAPEX,- -,- -,-4013000,-1539000,-2990000,-11765000,-16490000,-21382000,-38608000,-72562000,-126790000,-149251000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-94737000,-38435000,- -,-16643000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-118511000,-143675000,-148628000,-160054000,-278457000,-579377000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,6350000,80269000,129345000,147604000,141839000,262284000
88,Other Investing Activites,- -,- -,1835000,-1239000,-157000,-2172000,2014000,-619000,- -,-29406000,26771000,-1224000
89,Cash Used for Investing Activites,- -,- -,-2178000,-2778000,-3147000,-13937000,-125837000,-85407000,-152628000,-152853000,-236637000,-484211000
90,Debt Repayment,- -,- -,-2200000,-18454000,-14848000,-42245000,- -,- -,-3786000,-9265000,-15595000,-16073000
91,Common Stock Issued,- -,- -,- -,- -,- -,131402000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,42617000,38130000,32524000,47796000,2779000,7240000,-4169000,-63756000,656079000,895000
95,Cash Used/Provided by Financing Activities,- -,- -,40417000,19676000,17676000,136953000,2779000,7240000,-7955000,-73021000,640484000,-15178000
96,Effect of Forex Changes on Cash,- -,- -,43000,-86000,-72000,-74000,-87000,-18000,86000,3011000,-23257000,-11797000
97,Net Change In Cash,- -,- -,15944000,-6295000,-3388000,134996000,-70718000,58480000,28582000,36137000,603245000,-297057000
98,Cash at the End of Period,- -,- -,19437000,13142000,9754000,144750000,74032000,163163000,193261000,223901000,827146000,530089000
99,Cash at the Beginning of Period,- -,- -,3493000,19437000,13142000,9754000,144750000,104683000,164679000,187764000,223901000,827146000
100,Free Cash Flow,- -,- -,-26351000,-24646000,-20835000,289000,35937000,115283000,150471000,186438000,95865000,64878000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419612/000117891315002692/0001178913-15-002692-index.htm,https://www.sec.gov/Archives/edgar/data/1419612/000117891316006268/0001178913-16-006268-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1419612/000117891319000721/0001178913-19-000721-index.htm,https://www.sec.gov/Archives/edgar/data/1419612/000117891320000672/0001178913-20-000672-index.htm,https://www.sec.gov/Archives/edgar/data/1419612/000117891321000696/0001178913-21-000696-index.htm,https://www.sec.gov/Archives/edgar/data/1419612/000117891322000760/0001178913-22-000760-index.htm
102,false,,,,,,,,,,,,
