,https://roic.ai/company/UAA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,7875000,6470000,5470000,5681000,3914000,5535000,4483000,24097000,26230000,75686000,64310000,46995000,41793000,36346000,13295000,11010000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,7875000,6470000,5470000,5681000,3914000,5535000,4483000,146341000,149486000,660867000,627901000,602669000,588287000,586524000,515509000,506225000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,21000,- -,- -,5180000,8173000,8687000,13908000,21275000,15885000,22606000,31094000,33570000,92157000,136862000,82801000,112420000,82379000,- -,17812000
44,Other Non-Current Assets,- -,- -,- -,193000,303000,1032000,1438000,1393000,3427000,5073000,18212000,48992000,45546000,47543000,57064000,78582000,110204000,97444000,123819000,88340000,- -,75470000
45,Total Non-Current Assets,- -,- -,- -,4342000,14514000,21897000,44416000,68368000,91132000,97588000,119528000,229547000,253485000,448930000,545684000,1370137000,1679178000,1668688000,1651394000,2141322000,1174187000,1655097000
46,Other Assets,- -,- -,29524000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,29524000,54725000,110977000,203687000,289368000,390613000,487555000,545588000,675378000,919210000,1157083000,1577741000,2095083000,2868900000,3644331000,4006367000,4245022000,4843531000,4397162000,4991396000
48,Accounts Payable,- -,- -,- -,10874000,20620000,31699000,42718000,55012000,72435000,68710000,84679000,100527000,143689000,165456000,210432000,200460000,409679000,561108000,560884000,618194000,575954000,613307000
49,Short-Term Debt,- -,- -,- -,20417000,42345000,3808000,3442000,4576000,32433000,9275000,6865000,6882000,9132000,104972000,28951000,42000000,27000000,152000000,25000000,125900000,162561000,138664000
50,Tax Payable,- -,- -,- -,1050000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23930000,- -
52,Other Current Liabilities,- -,- -,- -,5270000,16808000,12165000,25403000,36111000,28242000,42177000,57603000,76198000,99407000,156202000,182244000,236350000,249137000,347267000,730093000,677915000,650831000,698205000
53,Total Current Liabilities,- -,- -,- -,36561000,79773000,47672000,71563000,95699000,133110000,120162000,149147000,183607000,252228000,426630000,421627000,478810000,685816000,1060375000,1315977000,1422009000,1413276000,1450176000
54,Long-Term Debt,- -,- -,- -,428000,100000,2868000,1893000,9756000,13061000,10948000,9077000,70842000,52757000,47951000,255250000,627000000,790388000,765046000,703834000,592687000,1003556000,1365642000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,289000,330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,5871000,9578000,1987000,1524000,4673000,10287000,14481000,20188000,28329000,35176000,49806000,67906000,94868000,137227000,162304000,208340000,678748000,98389000,86584000
58,Total Non-Current Liabilities,- -,- -,- -,6299000,9967000,5185000,3417000,14429000,23348000,25429000,29265000,99171000,87933000,97757000,323156000,721868000,927615000,927350000,912174000,1271435000,1101945000,1452226000
59,Other Liabilities,- -,- -,26697000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3043304000,- -
60,Capital Lease Obligations,- -,- -,- -,1903000,2688000,1715000,922000,- -,458000,97000,- -,- -,- -,- -,- -,- -,- -,- -,- -,706535000,1001975000,841775000
61,Total Liabilities,- -,- -,26697000,42860000,89740000,52857000,74980000,110128000,156458000,145591000,178412000,282778000,340161000,524387000,744783000,1200678000,1613431000,1987725000,2228151000,2693444000,3354635000,2902402000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,11000,12000,15000,16000,16000,16000,17000,17000,17000,35000,35000,71000,72000,145000,146000,148000,149000,62000,158000
64,Retained Earnings,- -,- -,- -,4327000,13655000,28067000,66376000,117782000,156011000,202188000,270021000,366164000,493181000,653842000,856687000,1076533000,1259414000,1184441000,1139082000,1226986000,673855000,1027833000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-163000,-2055000,-566000,1000000,405000,464000,2041000,2028000,2368000,2194000,-14808000,-45013000,-52143000,-38211000,-38987000,-50765000,-59185000,-47610000
66,Other Total Stockholders Equity,- -,- -,2827000,7527000,7733000,124803000,148562000,161687000,174665000,197328000,224887000,268223000,321338000,397283000,508350000,636630000,823484000,872266000,916628000,973717000,1061261000,- -
67,Total Stockholders Equity,- -,- -,2827000,11865000,21237000,150830000,214388000,280485000,331097000,399997000,496966000,636432000,816922000,1053354000,1350300000,1668222000,2030900000,2018642000,2016871000,2150087000,1675993000,2088994000
68,Total Liabilities And Stockholders Equity,- -,- -,29524000,54725000,110977000,203687000,289368000,390613000,487555000,545588000,675378000,919210000,1157083000,1577741000,2095083000,2868900000,3644331000,4006367000,4245022000,4843531000,5030628000,4991396000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-633466000,- -
70,Total Liabilities & Equity,- -,- -,29524000,54725000,110977000,203687000,289368000,390613000,487555000,545588000,675378000,919210000,1157083000,1577741000,2095083000,2868900000,3644331000,4006367000,4245022000,4843531000,4397162000,4991396000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1336917/000119312507041759/0001193125-07-041759-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312508035854/0001193125-08-035854-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312509033942/0001193125-09-033942-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312510040052/0001193125-10-040052-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312511044799/0001193125-11-044799-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312512078826/0001193125-12-078826-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691713000011/0001336917-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691714000008/0001336917-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691715000006/0001336917-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691716000064/0001336917-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691717000017/0001336917-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691718000009/0001336917-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691719000011/0001336917-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691720000010/0001336917-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691721000009/0001336917-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691722000010/0001336917-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,2766000,5748000,16322000,19719000,38979000,52558000,38229000,46785000,68477000,96919000,128778000,162330000,208042000,232573000,256979000,-48260000,-46302000,92139000,-549177000,360060000
74,Depreciation and Amortization,- -,- -,300000,1171000,3174000,6546000,9824000,14622000,21347000,28249000,31321000,36301000,43082000,50549000,72093000,100940000,144770000,173747000,181768000,186425000,164984000,141144000
75,Deferred Income Tax,- -,- -,-900000,-1918000,-3341000,-331000,-6721000,-4909000,-2818000,-5212000,-10337000,3620000,-12973000,-18832000,-17584000,-4426000,-43004000,55910000,-38544000,38132000,43992000,-2642000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,8466000,12910000,16227000,18063000,19845000,43184000,50812000,60376000,46149000,39932000,41783000,49618000,42070000,43794000
77,Change in Working Capital,- -,- -,-11800000,13822000,2868000,117428000,39271000,53157000,36767000,64525000,78865000,99353000,145314000,50811000,425591000,-107819000,259384000,-2033000,347000,2549000,529499000,22539000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,2634000,3792000,-32320000,-33923000,-53433000,-35960000,-101057000,-191876000,-249853000,-79106000,186834000,-45450000,167614000,-31153000
79,Inventory,- -,- -,- -,-10679000,-27195000,-5669000,-26504000,-83966000,-19497000,32998000,-65239000,-114646000,4699000,-156900000,-84658000,-278524000,-148055000,-222391000,109919000,149519000,15306000,93287000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,16957000,-4386000,16158000,17209000,35370000,14642000,49137000,-22583000,202446000,145695000,26413000,59458000,-40673000,26027000
81,Other Working Capital,- -,- -,- -,13822000,16690000,134118000,173389000,226546000,263313000,327838000,406703000,506056000,651370000,702181000,1127772000,1019953000,1279337000,1277304000,1277651000,1280200000,1809699000,-1973000
82,Other Non-Cash Items,- -,- -,2034000,-28525000,-27874000,-127567000,-70652000,-130056000,-32475000,-28216000,-134439000,-239038000,-124285000,-167972000,-519921000,-325748000,-359791000,14767000,489178000,140168000,-18504000,99934000
83,Cash Provided by Operating Activities,- -,- -,-7600000,-9702000,-8851000,15795000,10701000,-14628000,69516000,119041000,50114000,15218000,199761000,120070000,219033000,-44104000,304487000,234063000,628230000,509031000,212864000,664829000
84,CAPEX,- -,- -,-300000,-2285000,-8724000,-10887000,-15115000,-34084000,-39194000,-19845000,-30182000,-79392000,-50650000,-87830000,-140528000,-298928000,-386746000,-281339000,-170385000,-145802000,-92291000,-69759000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-148097000,-10924000,-539460000,- -,- -,-39207000,- -,158636000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-89650000,-62860000,- -,- -,-11125000,-3862000,- -,- -,- -,-103144000,-24230000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,89650000,62860000,- -,- -,- -,- -,- -,- -,- -,96610000,30712000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,41000,54000,- -,- -,-3472000,-35000,-478000,-6182000,3719000,-2175000,-860000,-2553000,-875000,-1648000,6688000,-1311000,- -,1413000
89,Cash Used for Investing Activites,- -,- -,-300000,-2285000,-8683000,-10833000,-15115000,-34084000,-42066000,-19880000,-41785000,-89436000,-46931000,-238102000,-152312000,-847475000,-381139000,-282987000,-202904000,-147113000,66345000,-68346000
90,Debt Repayment,- -,- -,- -,-6529000,- -,- -,- -,- -,-21954000,-33017000,-9543000,-37418000,-69330000,-5471000,-118722000,-265202000,-1170750000,-665000000,-695000000,-162817000,-800000000,-506280000
91,Common Stock Issued,- -,- -,- -,- -,78000,124490000,3544000,3182000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-2800000,-3640000,- -,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2927000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,11200000,22029000,17926000,-50501000,9035000,14966000,57335000,16550000,16786000,83225000,81627000,132266000,301028000,705280000,1379672000,771759000,505132000,25747000,1236853000,87543000
95,Cash Used/Provided by Financing Activities,- -,- -,8400000,11860000,18004000,56989000,12579000,18148000,35381000,-16467000,7243000,45807000,12297000,126795000,182306000,440078000,205995000,106759000,-189868000,-137070000,436853000,-418737000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-52000,-59000,-487000,497000,-1377000,2561000,1001000,-75000,1330000,-3115000,-3341000,-11822000,-8725000,4178000,12467000,5100000,16445000,-23391000
97,Net Change In Cash,- -,- -,500000,-127000,418000,61892000,7678000,-30067000,61454000,85255000,16573000,-28486000,166457000,5648000,245686000,-463323000,120618000,62013000,247925000,229948000,732507000,154355000
98,Cash at the End of Period,- -,- -,557903000,667000,1085000,62977000,70655000,40588000,102042000,187297000,203870000,175384000,341841000,347489000,593175000,129852000,250470000,312483000,566060000,796008000,1528515000,1682870000
99,Cash at the Beginning of Period,- -,- -,557403000,794000,667000,1085000,62977000,70655000,40588000,102042000,187297000,203870000,175384000,341841000,347489000,593175000,129852000,250470000,318135000,566060000,796008000,1528515000
100,Free Cash Flow,- -,- -,-7900000,-11987000,-17575000,4908000,-4414000,-48712000,30322000,99196000,19932000,-64174000,149111000,32240000,78505000,-343032000,-82259000,-47276000,457845000,363229000,120573000,595070000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1336917/000119312507041759/0001193125-07-041759-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312508035854/0001193125-08-035854-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312509033942/0001193125-09-033942-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312510040052/0001193125-10-040052-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312511044799/0001193125-11-044799-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000119312512078826/0001193125-12-078826-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691713000011/0001336917-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691714000008/0001336917-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691715000006/0001336917-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691716000064/0001336917-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691717000017/0001336917-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691718000009/0001336917-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691719000011/0001336917-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691720000010/0001336917-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691721000009/0001336917-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1336917/000133691722000010/0001336917-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
