,https://roic.ai/company/XSPA,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1410428/000119312511085106/d10k.htm,https://www.sec.gov/Archives/edgar/data/1410428/000114420412018817/0001144204-12-018817-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420413016671/0001144204-13-016671-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420414014529/v369079_10k.htm,https://www.sec.gov/Archives/edgar/data/1410428/000114420415016329/v401376_10k.htm,https://www.sec.gov/Archives/edgar/data/1410428/000114420416087235/0001144204-16-087235-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420417017688/0001144204-17-017688-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420418017944/0001144204-18-017944-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420419017496/0001144204-19-017496-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000110465920048780/tm205324-1_10k.htm,https://www.sec.gov/Archives/edgar/data/1410428/000155837021003840/0001558370-21-003840-index.htm,https://www.sec.gov/Archives/edgar/data/1410428/000155837022004897/0001558370-22-004897-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-7332000,-6149000,-9942000,-7479000,-20841000,-52433000,-109677000,-11157000,-24006000,-28840000,-37205000,-21223000,-90488000,1836
74,Depreciation and Amortization,107000,113000,87000,61000,2501000,5220000,4023000,3516000,1845000,7976000,9498000,6124000,7225000,658000
75,Deferred Income Tax,-7000,-25000,132000,24000,-58000,- -,- -,-866000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,1769000,8087000,12093000,10967000,5064000,2570000,2177000,916000,335000,1328000,733000
77,Change in Working Capital,-77000,-6042000,4607000,-2411000,54592000,-26247000,-15472000,5195000,-7292000,-8175000,-14495000,-1388000,90589000,-78212848
78,Accounts Receivable,- -,- -,- -,-283000,- -,- -,- -,- -,-132000,- -,- -,- -,- -,-551000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,16000,1347000,377000,136000,-10000,277000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3114000,-604000,3760000,-5169000,3060000
81,Other Working Capital,4841000,-1201000,3406000,995000,55587000,29340000,13868000,19063000,11771000,3596000,-10899000,-12287000,78302000,89152
82,Other Non-Cash Items,13000,7253000,-1245000,2656000,-58749000,37902000,81777000,-4323000,18442000,14690000,34720000,16039000,-33666000,86495012
83,Cash Provided by Operating Activities,-7296000,-4850000,-6361000,-5380000,-14468000,-23465000,-28382000,-2571000,-8441000,-12172000,-6566000,-113000,-25012000,9675000
84,CAPEX,-101000,-33000,-86000,-27000,-22756000,-1443000,-246000,- -,-641000,-4712000,-3116000,-2275000,-4349000,-2712000
85,Acquisitions Net,- -,- -,- -,- -,3326000,- -,- -,144000,2114000,276000,800000,- -,- -,- -
86,Purchases of Investments,-8000,-2582000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,20000,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -
88,Other Investing Activites,- -,- -,2585000,1000,-22594000,-1613000,-2404000,-248000,2001000,-83000,165000,- -,-380000,-1152000
89,Cash Used for Investing Activites,-109000,-2615000,2499000,-6000,-19476000,-1636000,-2650000,-104000,3474000,-4286000,-1866000,-2275000,-4349000,-3864000
90,Debt Repayment,- -,-799000,-757000,-2095000,- -,- -,- -,-610000,-2011000,- -,- -,-129000,- -,- -
91,Common Stock Issued,- -,- -,9263000,785000,76110000,- -,- -,- -,- -,6584000,- -,- -,110619000,28000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7375000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5000000,2982000,14000,2508000,9584000,1564000,13452000,12207000,-50000,-497000,5644000,1294000,6606000,-2083000
95,Cash Used/Provided by Financing Activities,5000000,2183000,8520000,1198000,85694000,1564000,13452000,11597000,-2061000,6087000,5644000,1165000,117225000,-9430000
96,Effect of Forex Changes on Cash,-44000,22000,5000,-29000,-2000,163000,17000,6000,-13000,-61000,-177000,-32000,3000,-36000
97,Net Change In Cash,-2449000,-5260000,4663000,-4217000,51748000,-23374000,-17563000,8928000,-7041000,-11542000,-2965000,-1255000,87867000,15755000
98,Cash at the End of Period,6004000,744000,5407000,1190000,56960000,33586000,16023000,24951000,17910000,6368000,3890000,2635000,90502000,106257000
99,Cash at the Beginning of Period,8453000,6004000,744000,5407000,5212000,56960000,33586000,16023000,24951000,17910000,6855000,3890000,2635000,90502000
100,Free Cash Flow,-7397000,-4883000,-6447000,-5407000,-37224000,-24908000,-28628000,-2571000,-9082000,-16884000,-9682000,-2388000,-29361000,6963000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1410428/000119312511085106/d10k.htm,https://www.sec.gov/Archives/edgar/data/1410428/000114420412018817/0001144204-12-018817-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420413016671/0001144204-13-016671-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420414014529/v369079_10k.htm,https://www.sec.gov/Archives/edgar/data/1410428/000114420415016329/v401376_10k.htm,https://www.sec.gov/Archives/edgar/data/1410428/000114420416087235/0001144204-16-087235-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420417017688/0001144204-17-017688-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420418017944/0001144204-18-017944-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000114420419017496/0001144204-19-017496-index.html,https://www.sec.gov/Archives/edgar/data/1410428/000110465920048780/tm205324-1_10k.htm,https://www.sec.gov/Archives/edgar/data/1410428/000155837021003840/0001558370-21-003840-index.htm,https://www.sec.gov/Archives/edgar/data/1410428/000155837022004897/0001558370-22-004897-index.htm
102,false,,,,,,,,,,,,,,
