,https://roic.ai/company/ONVO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16749000,- -,50186000,53489000,67576000,69180000,49827000,40623000,28441000,39917000
71,SEC Link,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1497253/000156459015004951/0001564590-15-004951-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459016020442/0001564590-16-020442-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459017012240/0001564590-17-012240-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459018014814/0001564590-18-014814-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459019021444/0001564590-19-021444-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459020027310/0001564590-20-027310-index.htm,https://www.sec.gov/Archives/edgar/data/1497253/000156459021032980/0001564590-21-032980-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-43553000,- -,-25848000,-30082000,-38575000,-38447000,-34803000,-26635000,-18710000,-16826000
74,Depreciation and Amortization,195000,- -,387000,472000,815000,1149000,1267000,980000,1142000,41000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1435000,- -,4600000,7020000,8556000,7392000,6903000,5193000,4108000,5556000
77,Change in Working Capital,-6162583,- -,53437000,-767000,12661000,-81000,-16979000,-7265000,-8329000,11169000
78,Accounts Receivable,- -,- -,- -,- -,-259000,-388000,-236000,380000,392000,111000
79,Inventory,-459000,- -,25000,-3000,-268000,-216000,-292000,352000,276000,- -
80,Accounts Payable,-233000,- -,-315000,1061000,-600000,384000,-707000,164000,92000,-439000
81,Other Working Capital,-6169000,- -,47268000,46501000,59162000,59081000,42102000,34837000,26508000,37677000
82,Other Non-Cash Items,38392583,- -,-48137000,3756000,-12825000,802000,14755000,7352000,6907000,-13263000
83,Cash Provided by Operating Activities,-9693000,- -,-15561000,-19601000,-29368000,-29185000,-28857000,-20375000,-14882000,-13323000
84,CAPEX,-357000,- -,-277000,-1517000,-2149000,-1354000,-296000,-79000,- -,-405000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-88000,- -,9000,- -,-21000,-37000,-66000,3000,747000,12000
89,Cash Used for Investing Activites,-445000,- -,-268000,-1517000,-2135000,-1391000,-292000,-76000,747000,-393000
90,Debt Repayment,-117000,- -,-10000,-10000,-5000,- -,- -,- -,- -,- -
91,Common Stock Issued,24714000,- -,48016000,22752000,43137000,30665000,9287000,13327000,4996000,23798000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18000,- -,362000,351000,320000,582000,826000,-173000,-61000,38000
95,Cash Used/Provided by Financing Activities,24615000,- -,48368000,23093000,43452000,31247000,10113000,13154000,4935000,23835000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-11000,11000,- -,- -,- -
97,Net Change In Cash,14477000,- -,32539000,1975000,11949000,660000,-19025000,-7297000,-9200000,10119000
98,Cash at the End of Period,14817000,- -,48167000,50142000,62091000,62751000,43726000,36556000,27356000,37475000
99,Cash at the Beginning of Period,340000,- -,15628000,48167000,50142000,62091000,62751000,43853000,36556000,27356000
100,Free Cash Flow,-10050000,- -,-15838000,-21118000,-31517000,-30539000,-29153000,-20454000,-14882000,-13728000
101,SEC Link,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1497253/000156459015004951/0001564590-15-004951-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459016020442/0001564590-16-020442-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459017012240/0001564590-17-012240-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459018014814/0001564590-18-014814-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459019021444/0001564590-19-021444-index.html,https://www.sec.gov/Archives/edgar/data/1497253/000156459020027310/0001564590-20-027310-index.htm,https://www.sec.gov/Archives/edgar/data/1497253/000156459021032980/0001564590-21-032980-index.htm
102,false,,,,,,,,,,
