,https://roic.ai/company/LTHM,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,368700000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-365700000,- -,- -,- -
94,Other Financing Activites,-7900000,1500000,10000000,231900000,119100000,218000000
95,Cash Used/Provided by Financing Activities,-18600000,1500000,13000000,120500000,119100000,218000000
96,Effect of Forex Changes on Cash,- -,-100000,500000,-100000,500000,300000
97,Net Change In Cash,1100000,-2800000,27100000,-11500000,-5200000,101400000
98,Cash at the End of Period,4000000,1200000,28300000,16800000,11600000,113000000
99,Cash at the Beginning of Period,2900000,4000000,1200000,28300000,16800000,11600000
100,Free Cash Flow,25300000,9400000,18400000,-126200000,6300000,26400000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1742924/000174292419000013/0001742924-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1742924/000174292420000012/0001742924-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1742924/000174292421000016/0001742924-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1742924/000174292422000007/0001742924-22-000007-index.htm
102,false,,,,,,
