,https://roic.ai/company/JW-B,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,125200000,134400000,148500000,165000000,185600000,158700000,167600000,183900000,193800000,210000000,225500000,268100000,291400000,301900000,347594000,332768000,403437000,444785000,484678000,507606000,549192000,652705000,913892000,876492000,907351000,955360000,958927000,975130000,1014135000,1056214000,1044396000,1038266000,1042782000,1018240000,1059791000,1097345000
11,COGS and Expenses,198100000,209400000,225000000,246100000,273000000,231200000,241600000,259900000,275400000,304200000,329700000,397200000,426200000,444800000,505811000,518366000,646633000,733710000,793583000,832667000,891506000,1073657000,1450744000,1392912000,1441352000,1494403000,1502323000,1507362000,1521014000,1555897000,1510313000,1499022000,1528002000,1572962000,1885770000,1722680000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6180000,834000,2422000,2975000,2614000,2785000,3057000,2914000,1480000,489000,11100000,13381000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48424000,32334000,17322000,9038000,13078000,13916000,17077000,16707000,16938000,13274000,16121000,24959000,18383000
14,Depreciation and Amortization,- -,- -,- -,- -,23400000,20000000,20100000,21500000,23800000,23000000,27000000,34300000,41400000,40500000,53169000,53881000,59322000,62963000,71367000,78354000,82002000,88324000,115923000,71978000,75439000,81085000,87147000,97999000,103000000,113286000,116191000,116352000,153989000,161155000,175127000,200189000
15,EBITDA,10900000,8800000,9400000,7500000,35900000,25400000,23900000,32100000,40800000,48800000,65800000,65100000,99500000,102500000,135800000,144108000,140440000,175522000,196477000,214017000,225846000,227826000,277451000,284877000,307982000,329467000,368280000,297999000,312450000,355824000,307691000,324406000,381194000,390228000,136994000,394484000
16,EBITDA ratio,0.0511,0.0385,0.0392,0.0290,0.1274,0.1072,0.0963,0.1176,0.1386,0.1474,0.1814,0.1507,0.2130,0.2016,0.2283,0.2348,0.1912,0.2055,0.2129,0.2197,0.2163,0.1845,0.1658,0.1768,0.1813,0.1891,0.2066,0.1692,0.1760,0.1952,0.1782,0.1888,0.2122,0.2168,0.0748,0.2032
17,Operating Income,15300000,19100000,14500000,12800000,8700000,5700000,6600000,13000000,18900000,26900000,33000000,34800000,40900000,63600000,89004000,95424000,87763000,120261000,129379000,141381000,152679000,161279000,222990000,218478000,242592000,248148000,280419000,199427000,206673000,237739000,188113000,206153000,239535000,223989000,-54287000,185511000
18,Operating Income ratio,0.0717,0.0836,0.0605,0.0494,0.0309,0.0241,0.0266,0.0476,0.0642,0.0812,0.0910,0.0806,0.0876,0.1251,0.1496,0.1555,0.1195,0.1408,0.1402,0.1451,0.1462,0.1306,0.1332,0.1356,0.1428,0.1424,0.1573,0.1133,0.1164,0.1305,0.1089,0.1200,0.1334,0.1244,-0.0296,0.0956
19,Total Other Income Expenses (Gains),-4400000,-10300000,-5100000,-5300000,3800000,-800000,-2300000,-2400000,-1900000,-1100000,5800000,-4000000,17200000,-1600000,-6373000,-5197000,-6645000,-7702000,-4269000,-5718000,-8835000,-21777000,-61462000,-54003000,-42383000,-17088000,-8324000,-12505000,-11139000,-12278000,-13320000,-15037000,-25604000,-11037000,-8805000,-9599000
20,Income Before Tax,10900000,8800000,9400000,7500000,12500000,4900000,4300000,10600000,17000000,25800000,38800000,30800000,58100000,62000000,82631000,90227000,81118000,112559000,125110000,135663000,143844000,139502000,161528000,164475000,200209000,231060000,272095000,186922000,195534000,225461000,174793000,191116000,213931000,212952000,-63092000,175912000
21,Income Before Tax Ratio,0.0511,0.0385,0.0392,0.0290,0.0444,0.0207,0.0173,0.0388,0.0578,0.0779,0.1070,0.0713,0.1244,0.1220,0.1389,0.1470,0.1105,0.1318,0.1356,0.1393,0.1378,0.1130,0.0965,0.1021,0.1178,0.1326,0.1526,0.1062,0.1101,0.1237,0.1012,0.1112,0.1191,0.1183,-0.0344,0.0906
22,Income Tax expense (Gain),3300000,3800000,4700000,3400000,9800000,1300000,700000,2900000,4900000,7500000,14100000,10500000,21500000,22300000,30243000,31309000,23802000,25284000,36270000,51822000,33516000,39883000,13992000,36217000,56666000,59171000,59349000,42697000,35024000,48593000,29011000,77473000,21745000,44689000,11195000,27656000
23,Net Income,7600000,5000000,4700000,4100000,2700000,4100000,3100000,7700000,12100000,18300000,24700000,20300000,36600000,39700000,52388000,58918000,57316000,87275000,88840000,83841000,110328000,99619000,147536000,128258000,143543000,171889000,212746000,144225000,160510000,176868000,145782000,113643000,192186000,168263000,-74287000,148256000
24,Net Income ratio,0.0356,0.0219,0.0196,0.0158,0.0096,0.0173,0.0125,0.0282,0.0411,0.0553,0.0681,0.0470,0.0784,0.0781,0.0881,0.0960,0.0780,0.1022,0.0963,0.0861,0.1057,0.0807,0.0881,0.0796,0.0845,0.0986,0.1193,0.0819,0.0904,0.0971,0.0844,0.0661,0.1070,0.0935,-0.0406,0.0764
25,EPS,0.12,0.08,0.07,0.06,0.04,0.07,0.05,0.13,0.19,0.28,0.37,0.31,0.58,0.63,0.85,0.97,0.94,1.42,1.44,1.38,1.90,1.75,2.55,2.20,2.39,2.83,3.57,2.46,2.72,3.01,2.53,1.99,3.35,2.97,-1.32,2.65
26,EPS Diluted,0.12,0.08,0.07,0.06,0.04,0.07,0.05,0.13,0.19,0.28,0.37,0.31,0.56,0.60,0.81,0.93,0.91,1.38,1.41,1.35,1.85,1.71,2.49,2.15,2.39,2.80,3.47,2.39,2.70,2.97,2.48,1.95,3.32,2.91,-1.32,2.63
27,Weighted Average Shares Outstanding,63333333,62500000,67142857,68333333,67500000,58571429,62000000,59230769,63684211,65066667,66308725,65483871,63103448,63015873,61632941,60740206,60974468,61461268,61694444,60721000,58071000,56932000,57921000,58419000,58307000,60709982,59515790,58670857,59052437,58838231,57564229,57167126,57410839,56630227,56209000,55930000
28,Weighted Average Shares Outstanding Diluted,63333333,62500000,67142857,68333333,67500000,58571429,62000000,59230769,63684211,65650224,66308725,65483871,65945946,66166667,64676543,63352688,62984615,63242754,63007092,62093000,59792000,58287000,59323000,59610000,59679000,61359000,61272000,60224000,59514000,59594000,58734000,58199000,57888000,57840000,56209000,56461000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714020000034/0000107140-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000114036121023449/0001140361-21-023449-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33241000,82027000,89401000,60757000,55750000,59311000,102828000,153513000,201853000,259830000,334140000,486377000,457441000,363806000,58516000,169773000,92890000,202464000,93795000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33241000,82027000,99401000,60757000,55750000,59311000,102828000,153513000,201853000,259830000,334140000,486377000,457441000,363806000,58516000,169773000,92890000,202464000,93795000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129714000,129992000,138185000,158275000,201407000,224757000,178550000,186535000,168310000,171561000,161731000,149733000,147183000,167638000,188679000,212377000,294867000,309384000,311571000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83337000,83789000,83372000,88578000,112863000,118209000,111267000,97857000,106423000,101237000,82017000,75495000,63779000,57779000,47852000,39489000,35582000,43614000,42538000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37552000,28198000,17960000,18698000,35417000,45303000,46924000,47809000,50904000,41972000,57083000,78057000,72516000,81456000,64688000,58332000,67441000,59465000,78393000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283844000,324006000,338918000,326308000,405437000,447580000,439569000,485714000,527490000,574600000,634971000,789662000,740919000,670679000,359735000,479971000,490780000,614927000,526297000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114870000,117305000,115383000,102123000,126712000,145709000,141196000,152684000,165541000,187979000,189625000,188718000,193010000,214770000,252488000,289934000,289021000,298005000,403700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198416000,704143000,708233000,589993000,615479000,642898000,690619000,835540000,903665000,962367000,951663000,982101000,1019801000,1095666000,1116790000,1304340000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,473058000,471333000,486604000,302384000,1166289000,1120398000,919375000,911550000,932730000,915495000,954957000,984661000,917621000,877007000,828099000,848071000,865572000,807405000,1064819000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,473058000,471333000,486604000,500800000,1870432000,1828631000,1509368000,1527029000,1575628000,1606114000,1790497000,1888326000,1879988000,1828670000,1810200000,1867872000,1961238000,1924195000,2369159000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,18976000,4285000,3809000,16568000,29136000,14065000,6736000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81400000,82962000,87379000,92969000,111966000,137758000,119510000,144039000,161482000,164253000,191282000,210659000,190326000,206977000,183794000,201674000,195963000,- -,147283000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,672128000,690576000,693651000,699701000,2125678000,2141234000,1784139000,1830488000,1902651000,1958346000,2171404000,2287703000,2263324000,2250417000,2246482000,2359480000,2446222000,2222200000,2920142000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,955972000,1014582000,1032569000,1026009000,2531115000,2588814000,2223708000,2316202000,2430141000,2532946000,2806375000,3077365000,3004243000,2921096000,2606217000,2839451000,2937002000,2837127000,3446439000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71296000,68338000,70958000,97231000,125824000,189332000,160275000,158870000,155262000,151350000,143313000,142534000,161465000,166222000,139206000,90097000,90980000,93691000,95791000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,- -,- -,- -,22500000,45000000,67500000,90000000,123700000,- -,- -,- -,100000000,- -,- -,- -,- -,31185000,34940000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4281000,2516000,5924000,18812000,16093000,13324000,9484000,9450000,22222000,13927000,21025000,13728000,8590000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131392000,127224000,142766000,143923000,305405000,315830000,246584000,275653000,321409000,342034000,362970000,385654000,372051000,426489000,436235000,486353000,507365000,119127000,545425000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85577000,110803000,127587000,120955000,145154000,140999000,122608000,149849000,155994000,147546000,160886000,201399000,170167000,189096000,212415000,297861000,272217000,683266000,312816000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323265000,306365000,341311000,362109000,598883000,691161000,596967000,674372000,756365000,640930000,667169000,729587000,803683000,781807000,787856000,874311000,870562000,927269000,988972000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000,200000000,196214000,160496000,977721000,797318000,754900000,559000000,330500000,475000000,673000000,700100000,650090000,605007000,365000000,360000000,478790000,9375000,954920000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5604000,12891000,1702000,9869000,271558000,228041000,176412000,167669000,192909000,181716000,197526000,222482000,198947000,189868000,160491000,143518000,143775000,- -,172903000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83099000,80262000,96768000,91695000,153445000,183176000,181913000,192725000,172478000,217732000,280324000,242948000,296483000,307308000,289733000,271065000,262528000,75373000,238353000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,288703000,293153000,294684000,262060000,1402724000,1208535000,1113225000,919394000,695887000,874448000,1150850000,1165530000,1145520000,1102183000,815224000,774583000,885093000,84748000,1366176000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1392649000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181592000,168272000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,611968000,599518000,635995000,624169000,2001607000,1899696000,1710192000,1593766000,1452252000,1515378000,1818019000,1895117000,1949203000,1883990000,1603080000,1648894000,1755655000,2235170000,2355148000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83191000,83190000,83191000,83191000,83191000,83191000,83191000,83191000,83190000,83190000,83190000,83190000,83190000,83190000,83182000,83182000,83182000,70166000,83182000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,368963000,441533000,507249000,596474000,673254000,794762000,892542000,1003099000,1136224000,1300713000,1387512000,1489069000,1597439000,1673325000,1715423000,1834057000,1931074000,1780129000,1850058000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8454000,63000,-1092000,4157000,24957000,12648000,-258398000,-227646000,-127741000,-200410000,-278632000,-190291000,-406633000,-447686000,-507287000,-439580000,-508738000,-575497000,-490790000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99696000,-109722000,-192774000,-281982000,-251894000,-201483000,-203819000,-136208000,-113784000,-165925000,-203714000,-199720000,-218956000,-271723000,-288181000,-287102000,-324171000,-341174000,-351159000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,344004000,415064000,396574000,401840000,529508000,689118000,513516000,722436000,977889000,1017568000,988356000,1182248000,1055040000,1037106000,1003137000,1190557000,1181347000,933624000,1091291000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,955972000,1014582000,1032569000,1026009000,2531115000,2588814000,2223708000,2316202000,2430141000,2532946000,2806375000,3077365000,3004243000,2921096000,2606217000,2839451000,2937002000,3168794000,3446439000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-331667000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,955972000,1014582000,1032569000,1026009000,2531115000,2588814000,2223708000,2316202000,2430141000,2532946000,2806375000,3077365000,3004243000,2921096000,2606217000,2839451000,2937002000,2837127000,3446439000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714020000034/0000107140-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000114036121023449/0001140361-21-023449-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,2700000,4100000,3100000,7700000,12100000,18300000,24700000,20300000,36600000,39700000,52388000,58918000,57316000,87275000,88840000,83841000,110328000,99619000,147536000,128258000,143543000,171889000,212746000,144225000,160510000,176868000,145782000,113643000,192186000,168263000,-74287000,148256000
74,Depreciation and Amortization,- -,- -,- -,- -,23400000,20000000,20100000,21500000,23800000,23000000,27000000,34300000,41400000,40500000,53169000,53881000,59322000,62963000,71367000,78354000,82002000,88324000,115923000,71978000,75439000,81085000,87147000,97999000,103000000,113286000,116191000,116352000,153989000,161155000,175127000,200189000
75,Deferred Income Tax,- -,- -,- -,- -,4100000,1500000,-4000000,-1300000,-1500000,2100000,7900000,3200000,9200000,-1100000,1795000,3530000,-3659000,11224000,26685000,17283000,5009000,3604000,10784000,17141000,9481000,5707000,3030000,-59325000,-22602000,-5280000,-7010000,-2575000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10625000,24842000,17719000,17262000,11928000,12851000,13617000,16105000,17552000,11244000,18327000,20009000,21982000
77,Change in Working Capital,- -,- -,- -,- -,-2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11062000,-50483000,57062000,-20034000,-33408000,-157645000,-50135000,86183000,-31260000,-40217000,162545000,34132000,92273000,-122839000,-48364000,-316993000,33781000,14558000,67440000,-150333000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25937000,-9004000,-5584000,9605000,18118000,18558000,4488000,-14456000,-29886000,-14209000,-52939000,-2962000,-7263000
79,Inventory,- -,- -,- -,- -,-2800000,-3400000,-5400000,-3700000,800000,-4000000,-3700000,1800000,4400000,3000000,-1149000,-9789000,-4657000,-14594000,788000,3994000,-12111000,-4060000,-10038000,-6696000,13960000,7453000,4467000,11501000,11146000,9696000,3571000,8003000,13517000,3820000,-2714000,7842000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,540000,-5748000,7297000,31305000,3997000,-19857000,16543000,7369000,1163000,-20110000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11062000,-39421000,17641000,-2393000,-35801000,-193446000,-243581000,-157398000,-188658000,-228875000,-66330000,-32198000,60075000,-62764000,-111128000,-428121000,-394340000,-379782000,-312342000,-462675000
82,Other Non-Cash Items,- -,- -,- -,- -,1000000,26200000,9500000,8800000,5300000,8500000,8500000,6100000,16900000,38800000,24487000,14685000,16325000,58149000,-31742000,84042000,78711000,186692000,56027000,27070000,196744000,139436000,-103082000,108078000,2192000,179470000,127253000,386522000,-9362000,-111472000,100146000,139829000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,28700000,51800000,28700000,36700000,39700000,51900000,68100000,63900000,104100000,117900000,131839000,131014000,140366000,169128000,212212000,243486000,242642000,220594000,280135000,341255000,418789000,375619000,379648000,337037000,348224000,355122000,349957000,314501000,381838000,250831000,288435000,359923000
84,CAPEX,- -,- -,- -,- -,-8400000,-5100000,-6600000,-24100000,-31600000,-39800000,-39800000,-138300000,-72600000,-21000000,-15804000,-28656000,-33643000,-63221000,-29222000,-26826000,-52709000,-107670000,-163384000,-46009000,-48110000,-54393000,-67377000,-58704000,-57564000,-69121000,-93705000,-110700000,-140908000,-86661000,-90433000,-133212000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-145111000,-10052000,-232393000,-10500000,-3070000,-22527000,- -,-972909000,-6802000,-23960000,-6430000,-7166000,-92174000,-233330000,-51215000,-171129000,-20418000,-154766000,- -,-190415000,-229629000,-299942000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15203000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5203000,10000000,42334000,- -,- -,- -,- -,- -,- -,- -,- -,- -,60417000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-14000000,-10200000,-19800000,1900000,9200000,- -,- -,- -,26500000,-32100000,-33153000,-33213000,-48039000,-51835000,-59426000,-64407000,-70921000,- -,- -,-131666000,-155367000,-51471000,-52501000,-50434000,-40568000,-39421000,-37272000,-37559000,-63186000,-33920000,-28448000,-55805000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-22400000,-15300000,-26400000,-22200000,-22400000,-39800000,-39800000,-138300000,-46100000,-53100000,-194068000,-71921000,-314075000,-125556000,-91718000,-123760000,-113630000,-1038245000,-170186000,-201635000,-209907000,-113030000,-212052000,-342468000,-149347000,-279671000,-151395000,-242608000,-177411000,-301502000,-346670000,-433154000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-618512000,-951010000,-504800000,-888411000,-472500000,-658224000,-718365000,-610085000,-923007000,-467915000,-476246000,-630599000,-562752000
91,Common Stock Issued,- -,- -,- -,- -,1500000,300000,400000,1200000,2800000,600000,2300000,1200000,2300000,5200000,3891000,1911000,2813000,1500000,4958000,3444000,5173000,6462000,15190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-24700000,- -,- -,-200000,-3300000,-10500000,-4300000,-38500000,-35317000,-9456000,-1880000,-11661000,-26126000,-94786000,-108867000,-7278000,-3679000,-35110000,- -,-27958000,-87072000,-73721000,-63393000,-61981000,-69977000,-50326000,-39688000,-59994000,-46589000,-15765000
