,https://roic.ai/company/HGV,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,- -,- -,3000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-183000000,-283000000,-10000000,- -
93,Dividends Paid,- -,- -,-2000000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,767000000,301000000,103000000,30000000,346000000,1177000000,841000000,978000000,3149000000
95,Cash Used/Provided by Financing Activities,-178000000,-202000000,-111000000,-80000000,-123000000,104000000,-108000000,328000000,1636000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-4000000
97,Net Change In Cash,1000000,- -,2000000,44000000,146000000,-117000000,-28000000,374000000,169000000
98,Cash at the End of Period,2000000,2000000,4000000,48000000,297000000,180000000,152000000,526000000,695000000
99,Cash at the Beginning of Period,1000000,2000000,2000000,4000000,151000000,297000000,180000000,152000000,526000000
100,Free Cash Flow,179000000,196000000,113000000,124000000,309000000,-222000000,82000000,48000000,129000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1674168/000119312517067470/0001193125-17-067470-index.html,https://www.sec.gov/Archives/edgar/data/1674168/000156459018004106/0001564590-18-004106-index.html,https://www.sec.gov/Archives/edgar/data/1674168/000156459019005480/0001564590-19-005480-index.html,https://www.sec.gov/Archives/edgar/data/1674168/000156459020008097/0001564590-20-008097-index.html,https://www.sec.gov/Archives/edgar/data/1674168/000156459021009825/0001564590-21-009825-index.htm,https://www.sec.gov/Archives/edgar/data/1674168/000095017022002564/0000950170-22-002564-index.htm
102,false,,,,,,,,,
