,https://roic.ai/company/KALA,2015,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,8448000,46329000,116133000,220966000,154323000,221606000,102005000
69,Minority Interest,- -,- -,- -,- -,- -,- -,37422000
70,Total Liabilities & Equity,8448000,46329000,116133000,220966000,154323000,221606000,139427000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1479419/000155837018002697/0001558370-18-002697-index.htm,https://www.sec.gov/Archives/edgar/data/1479419/000155837019001825/0001558370-19-001825-index.htm,https://www.sec.gov/Archives/edgar/data/1479419/000155837020000733/0001558370-20-000733-index.htm,https://www.sec.gov/Archives/edgar/data/1479419/000155837021001797/0001558370-21-001797-index.htm,https://www.sec.gov/Archives/edgar/data/1479419/000155837022004624/0001558370-22-004624-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-16682000,-33167000,-42211000,-66738000,-94347000,-104327000,-142605000
74,Depreciation and Amortization,330000,297000,287000,955000,843000,912000,975000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,638000,2069000,3571000,8615000,9991000,13312000,16088000
77,Change in Working Capital,340000,37986000,60675000,59263000,-79308000,68444000,-62210000
78,Accounts Receivable,36000,- -,- -,- -,-11563000,1959000,-5756000
79,Inventory,- -,- -,- -,-3868000,-4271000,-2368000,-6257000
80,Accounts Payable,911000,-343000,205000,4088000,-2770000,-924000,3231000
81,Other Working Capital,2094000,40080000,100755000,160018000,80710000,149154000,86944000
82,Other Non-Cash Items,285000,-34533000,-56420000,-56216000,70101000,-69035000,79517000
83,Cash Provided by Operating Activities,-15089000,-27348000,-34098000,-54121000,-92720000,-90694000,-108235000
84,CAPEX,-252000,-153000,-480000,-1578000,-1335000,-1942000,-886000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-113592000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,37325000,76250000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-4561000
89,Cash Used for Investing Activites,-252000,-153000,-480000,-1578000,-1335000,-78209000,70803000
90,Debt Repayment,- -,-1333000,-1111000,-21847000,-30000,-32000,-78080000
91,Common Stock Issued,- -,- -,96255000,70766000,8425000,158557000,41232000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,1585000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10480000,68547000,8552000,75185000,587000,2103000,77817000
95,Cash Used/Provided by Financing Activities,10480000,67214000,103696000,124104000,8982000,160628000,42554000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4861000,39713000,69118000,68405000,-85073000,-8275000,5122000
98,Cash at the End of Period,5868000,45472000,114699000,183104000,98031000,89756000,94878000
99,Cash at the Beginning of Period,10729000,5759000,45581000,114699000,183104000,98031000,89756000
100,Free Cash Flow,-15341000,-27501000,-34578000,-55699000,-94055000,-92636000,-109121000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1479419/000155837018002697/0001558370-18-002697-index.htm,https://www.sec.gov/Archives/edgar/data/1479419/000155837019001825/0001558370-19-001825-index.htm,https://www.sec.gov/Archives/edgar/data/1479419/000155837020000733/0001558370-20-000733-index.htm,https://www.sec.gov/Archives/edgar/data/1479419/000155837021001797/0001558370-21-001797-index.htm,https://www.sec.gov/Archives/edgar/data/1479419/000155837022004624/0001558370-22-004624-index.htm
102,false,,,,,,,
