,https://roic.ai/company/NI-PB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2600000,2700000,2700000,2700000,2700000,2700000,2800000,2800000,2800000,3100000,3200000,3200000,3200000,3300000,3400000,3800000,3000000,3900000,4100000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,930900000,731300000,925400000,981600000,1012900000,1074500000,901100000,865500000,901800000,917000000,1059600000,1285500000,1494000000,-1123300000,-972200000,-1073100000,-1399300000,- -,-1765200000,-1580900000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8120900000,-409300000,-7247600000,-7556800000,-7850000000,-7850500000,-8080800000,-8419600000,-8492600000,-8670200000,-8986400000,-9299100000,-9625000000,-6876600000,-6981700000,-7290400000,-7277000000,-92000000,-156700000,-126800000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11362400000,4091300000,11106600000,11505500000,11848000000,11849900000,11905800000,12405400000,12511200000,12747700000,13478000000,13897000000,14303100000,11840200000,12021800000,12680200000,13543400000,5195700000,6790200000,7104400000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4259800000,4497000000,4868200000,5014100000,5013600000,5076600000,4728800000,4854100000,4923200000,4997300000,5554300000,5886600000,6175300000,3843500000,4071200000,4320100000,5750900000,5986700000,5752200000,6947300000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16896900000,16623800000,16988000000,17958500000,18156500000,18004800000,20032200000,19271700000,19938800000,20708300000,21844700000,22653900000,24866300000,17492500000,18691900000,19961700000,21804000000,28645700000,21954900000,23831300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8395700000,85600000,325600000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16896900000,16623800000,16988000000,17958500000,18156500000,18004800000,20032200000,19271700000,19938800000,20708300000,21844700000,22653900000,24866300000,17492500000,18691900000,19961700000,21804000000,20250000000,22040500000,24156900000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1111711/000111171120000013/0001111711-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1111711/000111171121000010/0001111711-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1111711/000111171122000007/0001111711-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,164000000,175500000,176700000,190800000,193900000,160400000,156900000,216200000,372500000,85700000,436300000,306500000,282200000,321400000,79000000,217700000,292000000,299100000,416100000,532100000,530000000,286500000,331500000,128500000,-50600000,383100000,-17600000,584900000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,374200000,671700000,- -,- -,- -,- -,- -,- -,- -,589000000,596300000,538200000,561900000,577300000,605500000,524400000,547100000,570300000,599600000,717400000,725900000,748400000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11500000,-2700000,27400000,-1500000,-21900000,-7900000,34700000,-43100000,114100000,77900000,97500000,-16700000,-113400000,12700000,137800000,378200000,200100000,178400000,304600000,287400000,299100000,135300000,182300000,306700000,-188200000,118200000,-29000000,111900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9600000,30900000,39200000,45000000,50700000,72300000,50700000,46500000,40100000,28600000,25900000,17400000,24300000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20700000,9700000,26200000,-13600000,-13200000,6100000,-109100000,-500000,-2195600000,1762800000,-770500000,534100000,-255800000,100600000,-234900000,246600000,-274500000,-197700000,449000000,-70000000,-469200000,408100000,-609800000,275000000,-566300000,89400000,1272000000,-260400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258900000,-243900000,219600000,-51300000,-94800000,-63100000,262200000,-188000000,-52300000,-186200000,187800000,-3900000,-40300000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000000,21400000,-11200000,11300000,-21800000,46900000,13000000,-73300000,66800000,-166900000,-23100000,-71100000,-71700000,94400000,-82400000,128700000,103300000,-141800000,62400000,-9200000,-119900000,46900000,38900000,19000000,41400000,-2000000,-1500000,-112900000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-191500000,37700000,-154800000,57300000,67800000,37600000,-190500000,108800000,49000000,268400000,-299900000,-29700000,54900000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18900000,-9200000,17000000,3400000,-9800000,-3700000,-112800000,-113300000,-2308900000,-546100000,-1316600000,-782500000,-1038300000,-937700000,-1172600000,-926000000,-1200500000,-1398200000,-949200000,-1019200000,-1488400000,-1080300000,-1690100000,-1415100000,-1981400000,-1892000000,-620000000,-138500000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,204600000,209000000,90700000,252800000,325300000,294400000,-463600000,198300000,2881400000,-1453500000,1259500000,-111600000,1243200000,322500000,602300000,225100000,-119400000,13000000,-501100000,59300000,281900000,51800000,305700000,-578400000,717000000,249300000,-864700000,8800000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,336400000,391500000,321000000,428500000,484100000,453000000,-6900000,1042600000,1172400000,472900000,1022800000,712300000,1156200000,757200000,584200000,1666200000,725400000,870200000,1275500000,1436800000,1319600000,1456800000,803300000,742200000,540100000,1583300000,1104000000,1217900000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200600000,-189800000,-203100000,-218900000,-245800000,-1079200000,-365600000,-668100000,-621900000,-574600000,-517000000,-590400000,-637400000,-788300000,-1299600000,-777200000,-803800000,-1125200000,-1498800000,-1879900000,-2028500000,-1360700000,-1475200000,-1695800000,-1818200000,-1802400000,-1758100000,-1838000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-3200000,-4800000,-288900000,- -,- -,-5654500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20400000,-125400000,-69200000,3798200000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23500000,-87900000,-6400000,- -,-125400000,- -,- -,- -,-168400000,-90000000,-140400000,-144700000,-102900000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23800000,- -,- -,- -,- -,- -,- -,163100000,82300000,132100000,131400000,97800000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11500000,-51700000,-27200000,16500000,-45100000,-31200000,544400000,220900000,419200000,568900000,-2100000,18300000,-95100000,106900000,185300000,-631300000,-879200000,-1142900000,-1404800000,-1640600000,-2047400000,-1853300000,-1582900000,-1803200000,-1918400000,-1914100000,-865800000,-2199800000
