,https://roic.ai/company/NGVT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1653477/000165347717000029/0001653477-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/1653477/000165347718000008/0001653477-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1653477/000165347719000011/0001653477-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1653477/000165347720000014/0001653477-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1653477/000165347721000017/0001653477-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1653477/000165347722000008/0001653477-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,12000000,20000000,32000000,30500000,87900000,77500000,56500000,257700000,275400000
32,Short-Term Investments,- -,- -,- -,- -,- -,1800000,700000,400000,- -,- -
33,Cash and Short-Term Investments,- -,12000000,20000000,32000000,30500000,89700000,78200000,56900000,257700000,275400000
34,Net Receivables,- -,107000000,114000000,108000000,106100000,110600000,142400000,175300000,166700000,191400000
35,Inventory,- -,103000000,130000000,151000000,151200000,160000000,191400000,212500000,189000000,241200000
36,Other Current Assets,- -,6000000,7000000,8000000,7400000,8400000,10700000,18500000,15300000,16900000
37,Total Current Assets,- -,228000000,271000000,299000000,295200000,368700000,422700000,463200000,628700000,724900000
38,PP&E,- -,326000000,410000000,438000000,422800000,438500000,523800000,718100000,752700000,772100000
39,Goodwill,- -,13000000,13000000,12000000,12400000,12400000,130700000,436400000,445300000,442000000
40,Intangible Assets,- -,16000000,13000000,21000000,18100000,23400000,140700000,418700000,397300000,378700000
41,Intangible Assets,- -,29000000,26000000,33000000,30500000,35800000,271400000,855100000,842600000,820700000
42,Investments,- -,- -,- -,- -,69700000,71300000,71200000,72600000,- -,35300000
43,Tax Assets,- -,- -,- -,- -,3400000,3400000,2900000,5000000,8100000,6800000
44,Other Non-Current Assets,- -,10000000,11000000,12000000,11200000,11900000,23200000,27700000,102400000,109200000
45,Total Non-Current Assets,- -,365000000,447000000,483000000,537600000,560900000,892500000,1678500000,1705800000,1744100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,593000000,718000000,782000000,832800000,929600000,1315200000,2141700000,2334500000,2469000000
48,Accounts Payable,- -,72000000,96000000,65000000,79200000,83100000,92900000,99100000,104200000,125800000
49,Short-Term Debt,- -,- -,- -,9000000,7500000,9400000,11200000,22500000,42200000,37000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,11500000,14400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,34000000,43000000,23000000,50200000,60700000,79200000,93900000,77000000,106100000
53,Total Current Liabilities,- -,106000000,139000000,97000000,136900000,153200000,183300000,215500000,223400000,268900000
54,Long-Term Debt,- -,86000000,86000000,- -,481300000,444000000,741200000,1228400000,1302100000,1286200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,63000000,67000000,76000000,69800000,41800000,37200000,100400000,117100000,114600000
57,Other Non-Current Liabilities,- -,10000000,6000000,87000000,10200000,12700000,14800000,66600000,49800000,125500000
58,Total Non-Current Liabilities,- -,159000000,159000000,163000000,561300000,498500000,793200000,1395400000,1469000000,1526300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,80000000,- -,- -,- -,53800000,50900000,53600000
61,Total Liabilities,- -,265000000,298000000,260000000,698200000,651700000,976500000,1610900000,1692400000,1795200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,400000,400000,400000,400000,400000,400000
64,Retained Earnings,- -,- -,- -,- -,16000000,142800000,313500000,497200000,678000000,796100000
65,Other Comprehensive Income/Loss,- -,-421000000,-440000000,-17000000,-19000000,-12000000,-18000000,-5000000,4700000,13100000
66,Other Total Stockholders Equity,- -,747000000,857000000,534000000,129600000,132700000,42800000,38200000,-41000000,-135800000
67,Total Stockholders Equity,- -,326000000,417000000,517000000,127000000,263900000,338700000,530800000,642100000,673800000
68,Total Liabilities And Stockholders Equity,- -,591000000,715000000,777000000,825200000,915600000,1315200000,2141700000,2334500000,2469000000
69,Minority Interest,- -,2000000,3000000,5000000,7600000,14000000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,593000000,718000000,782000000,832800000,929600000,1315200000,2141700000,2334500000,2469000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1653477/000165347717000029/0001653477-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/1653477/000165347718000008/0001653477-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1653477/000165347719000011/0001653477-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1653477/000165347720000014/0001653477-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1653477/000165347721000017/0001653477-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1653477/000165347722000008/0001653477-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,119000000,119000000,129000000,80000000,35200000,126500000,169100000,183700000,181400000,118100000
74,Depreciation and Amortization,32000000,33000000,33000000,35000000,38800000,40400000,57000000,85000000,100200000,109900000
75,Deferred Income Tax,2000000,2000000,3000000,10000000,-7900000,-25700000,900000,14800000,16200000,-4600000
76,Stock Based Compensation,- -,- -,- -,- -,4700000,10100000,12500000,12300000,8400000,12300000
77,Change in Working Capital,-30000000,122000000,10000000,70000000,-43700000,57200000,23900000,8300000,157600000,30200000
78,Accounts Receivable,-13000000,-11000000,-9000000,9000000,5700000,-9500000,-3000000,-15300000,2800000,-13800000
79,Inventory,-8000000,-20000000,-29000000,-25000000,-2200000,-6600000,-26900000,500000,26200000,-55800000
80,Accounts Payable,11000000,14000000,10000000,-22000000,-1500000,1700000,5700000,-6200000,9400000,14800000
81,Other Working Capital,- -,122000000,132000000,202000000,158300000,215500000,239400000,247700000,405300000,63000000
82,Other Non-Cash Items,3000000,-139000000,-32000000,-122000000,100800000,-34200000,-11400000,-28400000,-111400000,27100000
83,Cash Provided by Operating Activities,126000000,137000000,143000000,73000000,127900000,174300000,252000000,275700000,352400000,293000000
84,CAPEX,-40000000,-63000000,-101000000,-102000000,-56700000,-52600000,-93900000,-114800000,-105900000,-103800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-316000000,-538000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-69700000,-3000000,-2000000,-2000000,-2000000,-35300000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,1100000,- -,- -,- -
88,Other Investing Activites,-47000000,-64000000,-102000000,-90000000,-56700000,-55600000,-97500000,-118300000,-84800000,-105300000
89,Cash Used for Investing Activites,-47000000,-64000000,-102000000,-90000000,-126400000,-58600000,-414400000,-658300000,-110600000,-140600000
90,Debt Repayment,-6000000,- -,- -,-6000000,-9400000,-111900000,- -,-788900000,-866400000,-25300000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-6600000,-47400000,-6400000,-88000000,-109400000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-71000000,-79000000,-31000000,33000000,6000000,60700000,201100000,1164500000,904200000,1600000
95,Cash Used/Provided by Financing Activities,-77000000,-79000000,-31000000,27000000,-3400000,-57800000,153700000,369200000,-50200000,-133100000
96,Effect of Forex Changes on Cash,2000000,2000000,-2000000,2000000,400000,-500000,-1400000,200000,2200000,-1700000
97,Net Change In Cash,4000000,-4000000,8000000,12000000,-1500000,57400000,-10100000,-13200000,193800000,17600000
98,Cash at the End of Period,16000000,12000000,20000000,32000000,30500000,87900000,77800000,64600000,258400000,276000000
99,Cash at the Beginning of Period,12000000,16000000,12000000,20000000,32000000,30500000,87900000,77800000,64600000,258400000
100,Free Cash Flow,86000000,74000000,42000000,-29000000,71200000,121700000,158100000,160900000,246500000,189200000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1653477/000165347717000029/0001653477-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/1653477/000165347718000008/0001653477-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1653477/000165347719000011/0001653477-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1653477/000165347720000014/0001653477-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1653477/000165347721000017/0001653477-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1653477/000165347722000008/0001653477-22-000008-index.htm
102,false,,,,,,,,,,
