,https://roic.ai/company/UPS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,15458000000,21278000000,25259000000,26684000000,28199000000,29031000000,31593000000,36438000000,40912000000,39081000000,34226000000,32677000000,32928000000,33518000000,4250000000,4277000000,4538000000,4636000000,4623000000,5039000000,5465000000,5919000000,7600000000,7771000000
11,COGS and Expenses,21698000000,27918000000,32799000000,34575000000,35967000000,37185000000,42270000000,48715000000,55655000000,49114000000,46104000000,41496000000,43671000000,47025000000,52784000000,48404000000,53264000000,50695000000,55439000000,58343000000,64837000000,66296000000,76944000000,84477000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,246000000,442000000,445000000,354000000,348000000,393000000,380000000,353000000,341000000,381000000,453000000,605000000,653000000,701000000,694000000
14,Depreciation and Amortization,-1112000000,1139000000,1173000000,1396000000,1464000000,1549000000,1543000000,1644000000,1748000000,1745000000,1814000000,1747000000,1792000000,1782000000,1858000000,1867000000,1923000000,2084000000,2224000000,2282000000,2207000000,2360000000,2698000000,2953000000
15,EBITDA,1790000000,3227000000,6007000000,5307000000,6401000000,5919000000,6465000000,7719000000,8258000000,2422000000,7271000000,5558000000,7669000000,7906000000,3225000000,8921000000,6913000000,9767000000,7741000000,9883000000,8831000000,8665000000,5243000000,20242000000
16,EBITDA ratio,0.0722,0.1193,0.2018,0.1732,0.2047,0.1768,0.1767,0.1813,0.1737,0.0487,0.1412,0.1227,0.1548,0.1489,0.0596,0.1609,0.1187,0.1673,0.1271,0.1500,0.1229,0.1169,0.0620,0.2081
17,Operating Income,- -,3988000000,4512000000,3962000000,4096000000,4445000000,4989000000,6143000000,6635000000,578000000,5382000000,3801000000,5874000000,6080000000,1343000000,7034000000,4968000000,7668000000,5467000000,7529000000,7024000000,7798000000,7684000000,12810000000
18,Operating Income ratio,- -,0.1474,0.1516,0.1293,0.1310,0.1327,0.1364,0.1443,0.1395,0.0116,0.1045,0.0839,0.1186,0.1145,0.0248,0.1269,0.0853,0.1314,0.0898,0.1143,0.0977,0.1052,0.0908,0.1317
19,Total Other Income Expenses (Gains),-188000000,-1900000000,322000000,-25000000,913000000,-75000000,-67000000,-68000000,-125000000,-147000000,-367000000,-435000000,-351000000,-304000000,-369000000,-360000000,-331000000,-326000000,-331000000,-381000000,-1005000000,-2146000000,-5840000000,3785000000
20,Income Before Tax,2902000000,2088000000,4834000000,3937000000,5009000000,4370000000,4922000000,6075000000,6510000000,431000000,5015000000,3366000000,5523000000,5776000000,974000000,6674000000,4637000000,7342000000,5136000000,7148000000,6019000000,5652000000,1844000000,16595000000
21,Income Before Tax Ratio,0.1171,0.0772,0.1624,0.1285,0.1602,0.1305,0.1345,0.1427,0.1369,0.0087,0.0974,0.0743,0.1115,0.1088,0.0180,0.1204,0.0796,0.1258,0.0843,0.1085,0.0838,0.0763,0.0218,0.1706
22,Income Tax expense (Gain),1161000000,1205000000,1900000000,1512000000,1755000000,1472000000,1589000000,2205000000,2308000000,49000000,2012000000,1214000000,2035000000,1972000000,167000000,2302000000,1605000000,2498000000,1705000000,2238000000,1228000000,1212000000,501000000,3705000000
23,Net Income,1741000000,883000000,2934000000,2399000000,3182000000,2898000000,3333000000,3870000000,4202000000,382000000,3003000000,2152000000,3488000000,3804000000,807000000,4372000000,3032000000,4844000000,3431000000,4910000000,4791000000,4440000000,1343000000,12890000000
24,Net Income ratio,0.0702,0.0326,0.0986,0.0783,0.1018,0.0865,0.0911,0.0909,0.0884,0.0077,0.0583,0.0475,0.0704,0.0716,0.0149,0.0789,0.0521,0.0830,0.0563,0.0745,0.0667,0.0599,0.0159,0.1325
25,EPS,1.59,0.79,2.54,2.13,2.84,2.57,2.95,3.48,3.87,0.36,2.96,2.16,3.51,3.88,0.84,4.65,3.31,5.38,3.89,5.64,5.53,5.14,1.65,14.87
26,EPS Diluted,1.57,0.77,2.50,2.10,2.81,2.55,2.93,3.47,3.86,0.36,2.94,2.14,3.48,3.84,0.83,4.61,3.28,5.35,3.87,5.61,5.51,5.11,1.64,14.80
27,Weighted Average Shares Outstanding,1094968553,1117721519,1155118110,1126291080,1120422535,1127626459,1129830508,1112068966,1085788114,1057000000,1016000000,995000000,994000000,981000000,960000000,940000000,916000000,901000000,883000000,871000000,866000000,864000000,867000000,867000000
28,Weighted Average Shares Outstanding Diluted,1108917197,1146753247,1173600000,1142380952,1132384342,1136470588,1137542662,1115273775,1088601036,1063000000,1022000000,998000000,1003000000,991000000,969000000,948000000,924000000,906000000,887000000,875000000,870000000,869000000,871000000,871000000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1090727/000095014401004629/0000950144-01-004629-index.html,- -,https://www.sec.gov/Archives/edgar/data/1090727/000095014403002770/0000950144-03-002770-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000095014404002063/0000950144-04-002063-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000119312505049642/0001193125-05-049642-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000119312506053695/d10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000119312507044043/d10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000119312508043891/d10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000119312509040973/0001193125-09-040973-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000119312510042908/0001193125-10-042908-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000119312511049356/d10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/0001193125-12-081067-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000109072713000005/0001090727-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000109072714000009/ups-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072715000008/ups-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072716000053/0001090727-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000011/0001090727-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000009/0001090727-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000006/0001090727-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000109072720000005/0001090727-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000109072721000013/0001090727-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072722000007/0001090727-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,879000000,858000000,2211000000,2951000000,739000000,1369000000,794000000,2027000000,507000000,1542000000,3370000000,3034000000,7327000000,4665000000,2291000000,2730000000,3476000000,3320000000,4225000000,5238000000,5910000000,10255000000
32,Short-Term Investments,- -,- -,- -,758000000,803000000,1001000000,4458000000,1672000000,1189000000,577000000,542000000,558000000,711000000,1241000000,597000000,580000000,992000000,1996000000,1091000000,749000000,810000000,503000000,406000000,338000000
33,Cash and Short-Term Investments,- -,- -,879000000,1616000000,3014000000,3952000000,5197000000,3041000000,1983000000,2604000000,1049000000,2100000000,4081000000,4275000000,7924000000,5245000000,3283000000,4726000000,4567000000,4069000000,5035000000,5741000000,6316000000,10593000000
34,Net Receivables,- -,- -,4140000000,4786000000,4624000000,4844000000,5680000000,6361000000,6220000000,7808000000,6194000000,5922000000,6117000000,6246000000,6111000000,6502000000,6661000000,7134000000,7695000000,10346000000,9898000000,9934000000,10750000000,12541000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,393000000,403000000,344000000,308000000,342000000,404000000,421000000,511000000,620000000,717000000
36,Other Current Assets,- -,- -,2105000000,1195000000,1100000000,1057000000,1728000000,1601000000,1174000000,1348000000,1602000000,1253000000,1371000000,1763000000,1163000000,1237000000,1520000000,1040000000,1245000000,729000000,856000000,917000000,2530000000,1083000000
37,Total Current Assets,- -,- -,7124000000,7597000000,8738000000,9853000000,12605000000,11003000000,9377000000,11760000000,8845000000,9275000000,11569000000,12284000000,15591000000,13387000000,11808000000,13208000000,13849000000,15548000000,16210000000,17103000000,20216000000,24934000000
38,PP&E,- -,- -,12329000000,13438000000,13612000000,13908000000,13973000000,15289000000,16779000000,17663000000,18265000000,17979000000,17387000000,17621000000,17894000000,17961000000,18281000000,18352000000,18800000000,22118000000,26576000000,33338000000,35327000000,37037000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,2549000000,2533000000,2577000000,1986000000,2089000000,2081000000,2101000000,2173000000,2190000000,2184000000,3419000000,3757000000,3872000000,3811000000,3813000000,3367000000,3692000000
40,Intangible Assets,- -,- -,- -,- -,- -,1273000000,1924000000,684000000,688000000,628000000,511000000,596000000,599000000,585000000,603000000,775000000,847000000,1549000000,1758000000,1964000000,2076000000,2167000000,2274000000,2486000000
41,Intangible Assets,- -,- -,- -,- -,- -,1273000000,1924000000,3233000000,3221000000,3205000000,2497000000,2685000000,2680000000,2686000000,2776000000,2965000000,3031000000,4968000000,5515000000,5836000000,5887000000,5980000000,5641000000,6178000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307000000,444000000,489000000,473000000,476000000,483000000,170000000,24000000,25000000,26000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,684000000,110000000,652000000,255000000,591000000,265000000,141000000,330000000,527000000,176000000
44,Other Non-Current Assets,- -,- -,2209000000,3601000000,4007000000,3875000000,4524000000,5697000000,3833000000,6414000000,2272000000,1944000000,1961000000,2110000000,1611000000,1345000000,1210000000,1055000000,1146000000,1153000000,1032000000,1082000000,672000000,1054000000
45,Total Non-Current Assets,- -,- -,14538000000,17039000000,17619000000,19056000000,20421000000,24219000000,23833000000,27282000000,23034000000,22608000000,22028000000,22417000000,23272000000,22825000000,23663000000,25103000000,26528000000,29855000000,33806000000,40754000000,42192000000,44471000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,21662000000,24636000000,26357000000,28909000000,33026000000,35222000000,33210000000,39042000000,31879000000,31883000000,33597000000,34701000000,38863000000,36212000000,35471000000,38311000000,40377000000,45403000000,50016000000,57857000000,62408000000,69405000000
48,Accounts Payable,- -,- -,1674000000,1742000000,1908000000,2003000000,2266000000,2352000000,1841000000,1819000000,1855000000,1766000000,1974000000,2300000000,2278000000,2478000000,2754000000,2587000000,3042000000,3872000000,5188000000,5555000000,6455000000,7523000000
49,Short-Term Debt,- -,- -,623000000,518000000,1107000000,674000000,1187000000,821000000,983000000,3512000000,2074000000,853000000,355000000,33000000,1781000000,48000000,923000000,3018000000,3681000000,4011000000,2805000000,3958000000,3183000000,2711000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,180000000,101000000,- -,- -,258000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,2204000000,2369000000,2540000000,2841000000,3030000000,3620000000,3895000000,4509000000,3888000000,3620000000,3573000000,4181000000,4331000000,4605000000,4962000000,5091000000,5007000000,4825000000,6094000000,5900000000,7378000000,7335000000
53,Total Current Liabilities,- -,- -,4501000000,4629000000,5555000000,5518000000,6483000000,6793000000,6719000000,9840000000,7817000000,6239000000,5902000000,6514000000,8390000000,7131000000,8639000000,10696000000,11730000000,12708000000,14087000000,15413000000,17016000000,17569000000
54,Long-Term Debt,- -,- -,2981000000,4648000000,3495000000,3149000000,3261000000,3159000000,3133000000,7506000000,7797000000,8668000000,10491000000,11095000000,10680000000,10390000000,9406000000,10887000000,11993000000,19829000000,19537000000,21818000000,24571000000,22817000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,3396000000,3981000000,3601000000,4055000000,5382000000,6682000000,2529000000,2620000000,588000000,1293000000,1870000000,1900000000,48000000,1244000000,83000000,115000000,112000000,757000000,1619000000,1632000000,488000000,3125000000
57,Other Non-Current Liabilities,- -,- -,1049000000,1130000000,1251000000,1335000000,1516000000,1704000000,5347000000,6893000000,8897000000,7987000000,7287000000,8084000000,15012000000,10959000000,15185000000,14122000000,16113000000,11079000000,11736000000,15711000000,19664000000,11625000000
58,Total Non-Current Liabilities,- -,- -,7426000000,9759000000,8347000000,8539000000,10159000000,11545000000,11009000000,17019000000,17282000000,17948000000,19648000000,21079000000,25740000000,22593000000,24674000000,25124000000,28218000000,31665000000,32892000000,39161000000,44723000000,37567000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440000000,473000000,505000000,475000000,447000000,500000000,534000000,2929000000,3100000000,3613000000
61,Total Liabilities,- -,- -,11927000000,14388000000,13902000000,14057000000,16642000000,18338000000,17728000000,26859000000,25099000000,24187000000,25550000000,27593000000,34130000000,29724000000,33313000000,35820000000,39948000000,44373000000,46979000000,54574000000,61739000000,55136000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,11000000,11000000,11000000,11000000,11000000,11000000,11000000,10000000,10000000,10000000,10000000,10000000,10000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000,9000000
64,Retained Earnings,- -,- -,9684000000,10162000000,12495000000,14356000000,16192000000,17037000000,17676000000,14186000000,12412000000,12745000000,14164000000,10128000000,7997000000,6925000000,5726000000,6001000000,4879000000,5858000000,8006000000,9105000000,6896000000,16179000000
65,Other Comprehensive Income/Loss,- -,- -,-9665000000,-10620000000,-438000000,-177000000,-236000000,-164000000,-2205000000,-2013000000,-5642000000,-5127000000,-6195000000,-3103000000,-3354000000,-460000000,-3594000000,-3540000000,-4483000000,-4867000000,-4994000000,-5997000000,-7113000000,-3278000000
66,Other Total Stockholders Equity,- -,- -,9705000000,10695000000,387000000,662000000,417000000,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000000,865000000,- -
67,Total Stockholders Equity,- -,- -,9735000000,10248000000,12455000000,14852000000,16384000000,16884000000,15482000000,12183000000,6780000000,7630000000,7979000000,7035000000,4653000000,6474000000,2141000000,2470000000,405000000,1000000000,3021000000,3267000000,657000000,14253000000
68,Total Liabilities And Stockholders Equity,- -,- -,21662000000,24636000000,26357000000,28909000000,33026000000,35222000000,33210000000,39042000000,31879000000,31817000000,33529000000,34628000000,38783000000,36198000000,35454000000,38290000000,40353000000,45373000000,50000000000,57841000000,62396000000,69389000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66000000,68000000,73000000,80000000,14000000,17000000,21000000,24000000,30000000,16000000,16000000,12000000,16000000
70,Total Liabilities & Equity,- -,- -,21662000000,24636000000,26357000000,28909000000,33026000000,35222000000,33210000000,39042000000,31879000000,31883000000,33597000000,34701000000,38863000000,36212000000,35471000000,38311000000,40377000000,45403000000,50016000000,57857000000,62408000000,69405000000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1090727/000095014401004629/0000950144-01-004629-index.html,- -,https://www.sec.gov/Archives/edgar/data/1090727/000095014403002770/0000950144-03-002770-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000095014404002063/0000950144-04-002063-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000119312505049642/0001193125-05-049642-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000119312506053695/d10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000119312507044043/d10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000119312508043891/d10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000119312509040973/0001193125-09-040973-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000119312510042908/0001193125-10-042908-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000119312511049356/d10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000119312512081067/0001193125-12-081067-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000109072713000005/0001090727-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000109072714000009/ups-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072715000008/ups-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072716000053/0001090727-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000109072717000011/0001090727-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000109072718000009/0001090727-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000109072719000006/0001090727-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000109072720000005/0001090727-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1090727/000109072721000013/0001090727-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1090727/000109072722000007/0001090727-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1741000000,883000000,2934000000,2399000000,3182000000,2898000000,3333000000,3870000000,4202000000,382000000,3003000000,2152000000,3488000000,3804000000,807000000,4372000000,3032000000,4844000000,3431000000,4910000000,4791000000,4440000000,1343000000,12890000000
74,Depreciation and Amortization,-1112000000,1139000000,1173000000,1396000000,1464000000,1549000000,1543000000,1644000000,1748000000,1745000000,1814000000,1747000000,1792000000,1782000000,1858000000,1867000000,1923000000,2084000000,2224000000,2282000000,2207000000,2360000000,2698000000,2953000000
75,Deferred Income Tax,23000000,575000000,-81000000,638000000,162000000,317000000,289000000,477000000,279000000,-249000000,187000000,471000000,1002000000,241000000,-1199000000,-246000000,385000000,540000000,123000000,1230000000,758000000,100000000,-858000000,1645000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,447000000,516000000,430000000,519000000,524000000,547000000,513000000,536000000,574000000,591000000,584000000,634000000,915000000,796000000,878000000
77,Change in Working Capital,-66000000,-114000000,2737000000,345000000,215000000,1152000000,1787000000,-1912000000,-1552000000,-738000000,-892000000,2008000000,2631000000,103000000,1431000000,-945000000,-3087000000,-657000000,-393000000,721000000,-717000000,-433000000,1510000000,-664000000
78,Accounts Receivable,-308000000,-454000000,-913000000,-215000000,312000000,-264000000,-686000000,-647000000,-77000000,-380000000,197000000,-30000000,-532000000,-657000000,-124000000,-515000000,-523000000,-452000000,-704000000,-1022000000,-421000000,-717000000,-1562000000,-2147000000
79,Inventory,37000000,-18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,115000000,-27000000,317000000,-470000000,-56000000,66000000,318000000,158000000,24000000,-37000000,87000000,-107000000,265000000,249000000,-58000000,218000000,276000000,-147000000,461000000,592000000,1034000000,419000000,904000000,1265000000
81,Other Working Capital,- -,-114000000,2623000000,2968000000,3183000000,4335000000,6122000000,4210000000,2658000000,1920000000,1028000000,3036000000,5667000000,5770000000,7201000000,6256000000,3169000000,2512000000,2119000000,2840000000,2123000000,1690000000,3200000000,- -
82,Other Non-Cash Items,2282000000,-260000000,-4021000000,-878000000,604000000,-1270000000,-1621000000,1714000000,912000000,-464000000,3798000000,-1523000000,-5597000000,619000000,3772000000,1743000000,2937000000,45000000,497000000,-8248000000,5038000000,1257000000,4970000000,-2695000000
83,Cash Provided by Operating Activities,2868000000,2223000000,2742000000,3900000000,5627000000,4646000000,5331000000,5793000000,5589000000,1123000000,8426000000,5285000000,3835000000,7073000000,7216000000,7304000000,5726000000,7430000000,6473000000,1479000000,12711000000,8639000000,10459000000,15007000000
84,CAPEX,-1645000000,-1476000000,-2147000000,-2372000000,-1658000000,-1947000000,-2127000000,-2187000000,-3085000000,-2820000000,-2636000000,-1602000000,-1389000000,-2005000000,-2153000000,-2065000000,-2328000000,-2379000000,-2965000000,-5227000000,-6283000000,-6380000000,-5412000000,-4194000000
85,Acquisitions Net,- -,- -,-245000000,-466000000,-14000000,8000000,-238000000,-1488000000,-50000000,-2000000,- -,- -,- -,-73000000,-100000000,-22000000,-88000000,-1904000000,-547000000,-134000000,-2000000,-6000000,-20000000,-602000000
86,Purchases of Investments,-390000000,-3981000000,-8127000000,-3361000000,-2303000000,-6074000000,-6322000000,-7623000000,-9056000000,-9061000000,-3754000000,-2251000000,-2490000000,-4903000000,-2357000000,-2948000000,-3525000000,-7415000000,-4816000000,-1634000000,-973000000,-561000000,-254000000,-312000000
87,Sales/Maturities of Investments,- -,2290000000,9345000000,3690000000,2227000000,5909000000,4724000000,10375000000,9538000000,9599000000,3064000000,2545000000,2520000000,4674000000,2985000000,2957000000,3106000000,6388000000,5724000000,1990000000,886000000,883000000,360000000,366000000
88,Other Investing Activites,380000000,42000000,299000000,126000000,-385000000,162000000,325000000,-52000000,313000000,-2735000000,-2489000000,-1542000000,-684000000,-2235000000,-1863000000,-2101000000,-2294000000,-2378000000,-2927000000,-5197000000,-6241000000,-6377000000,-5369000000,-3270000000
89,Cash Used for Investing Activites,-1655000000,-3125000000,-875000000,-2383000000,-2133000000,-1942000000,-3638000000,-975000000,-2340000000,-2199000000,-3179000000,-1248000000,-654000000,-2537000000,-1335000000,-2114000000,-2801000000,-5309000000,-2566000000,-4975000000,-6330000000,-6061000000,-5283000000,-3818000000
90,Debt Repayment,-310000000,-679000000,-1168000000,-1089000000,-1099000000,-1245000000,-468000000,-589000000,-90000000,-198000000,-4534000000,-3682000000,-468000000,-191000000,-16000000,-1875000000,-1694000000,-2724000000,-3805000000,-3939000000,-2887000000,-3096000000,-3392000000,-2773000000
91,Common Stock Issued,785000000,6007000000,88000000,228000000,125000000,154000000,193000000,164000000,164000000,174000000,169000000,149000000,218000000,290000000,301000000,491000000,274000000,249000000,245000000,247000000,240000000,218000000,285000000,251000000
92,Common Stock Repurchased,-774000000,-1232000000,-5465000000,-2019000000,-604000000,-398000000,-1310000000,-2479000000,-2460000000,-2639000000,-3570000000,-561000000,-817000000,-2665000000,-1621000000,-3838000000,-2695000000,-2702000000,-2678000000,-1813000000,-1011000000,-1004000000,-224000000,-500000000
93,Dividends Paid,-466000000,-672000000,-786000000,-856000000,-849000000,-1026000000,-1208000000,-1391000000,-1577000000,-1703000000,-2219000000,-1751000000,-1818000000,-1997000000,-2130000000,-2260000000,-2366000000,-2525000000,-2643000000,-2771000000,-3011000000,-3194000000,-3374000000,-3437000000
94,Other Financing Activites,332000000,481000000,2170000000,2243000000,337000000,335000000,779000000,120000000,112000000,6663000000,3452000000,2800000000,1539000000,-299000000,1649000000,-325000000,1320000000,6137000000,5741000000,11563000000,977000000,5349000000,2188000000,-364000000
95,Cash Used/Provided by Financing Activities,-433000000,3905000000,-5161000000,-1493000000,-2090000000,-2180000000,-2014000000,-4175000000,-3851000000,2297000000,-6702000000,-3045000000,-1346000000,-4862000000,-1817000000,-7807000000,-5161000000,-1565000000,-3140000000,3287000000,-5692000000,-1727000000,-4517000000,-6823000000
96,Effect of Forex Changes on Cash,- -,-39000000,-31000000,-45000000,-51000000,216000000,-4000000,-13000000,27000000,12000000,-65000000,43000000,-7000000,-10000000,229000000,-45000000,-138000000,-117000000,-21000000,53000000,-91000000,20000000,13000000,-21000000
97,Net Change In Cash,780000000,2964000000,-3325000000,-21000000,1353000000,740000000,-325000000,630000000,-575000000,1233000000,-1520000000,1035000000,1828000000,-336000000,4293000000,-2662000000,-2374000000,439000000,746000000,-156000000,598000000,871000000,672000000,4345000000
98,Cash at the End of Period,1240000000,4204000000,879000000,858000000,2211000000,2951000000,739000000,1369000000,794000000,2027000000,507000000,1542000000,3370000000,3034000000,7327000000,4665000000,2291000000,2730000000,3476000000,3320000000,4367000000,5238000000,5910000000,10255000000
99,Cash at the Beginning of Period,460000000,1240000000,4204000000,879000000,858000000,2211000000,1064000000,739000000,1369000000,794000000,2027000000,507000000,1542000000,3370000000,3034000000,7327000000,4665000000,2291000000,2730000000,3476000000,3769000000,4367000000,5238000000,5910000000
100,Free Cash Flow,1223000000,747000000,595000000,1528000000,3969000000,2699000000,3204000000,3606000000,2504000000,-1697000000,5790000000,3683000000,2446000000,5068000000,5063000000,5239000000,3398000000,5051000000,3508000000,-3748000000,6428000000,2259000000,5047000000,10813000000
