,https://roic.ai/company/TCON,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,490937,458907,1197742,1111565,1267791,1680609,2694570,3034299,8984148,17252637
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1394319/000155837016003288/0001558370-16-003288-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459017002953/0001564590-17-002953-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459018003925/0001564590-18-003925-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459019005597/0001564590-19-005597-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459020007520/0001564590-20-007520-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459021008957/0001564590-21-008957-index.htm,https://www.sec.gov/Archives/edgar/data/1394319/000156459022010475/0001564590-22-010475-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,2459000,2276000,35000000,41373000,35710000,29467000,25136000,16412000,32131000,24072000
32,Short-Term Investments,- -,- -,- -,10783000,8703000,4999000,13968000,- -,3999000,- -
33,Cash and Short-Term Investments,2459000,2276000,35000000,52156000,44413000,34466000,39104000,16412000,36130000,24072000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,124000,99000,728000,1150000,1235000,1591000,1499000,848000,784000,864000
37,Total Current Assets,2583000,2375000,35728000,53306000,45648000,36057000,40603000,17260000,36914000,24936000
38,PP&E,20000,20000,97000,173000,82000,73000,45000,861000,16000,50000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,8000,24000,2346000,43000,- -,- -,- -,- -,- -,1571000
45,Total Non-Current Assets,28000,44000,2443000,216000,82000,73000,45000,861000,16000,1621000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2611000,2419000,38171000,53522000,45730000,36130000,40648000,18121000,36930000,26557000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,6235000,4943000
49,Short-Term Debt,- -,677000,4676000,1378000,333000,2837000,1084000,2604000,3136000,1538000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,4357000,3353000,1259000,667000,- -,- -,- -,- -
52,Other Current Liabilities,667000,1370000,4220000,9444000,8651000,8294000,12411000,9230000,1172000,7195000
53,Total Current Liabilities,667000,2047000,13253000,14175000,10243000,11798000,13495000,11834000,10543000,13676000
54,Long-Term Debt,- -,1764000,4258000,7464000,7130000,4603000,5343000,2739000,2718000,- -
55,Deferred Revenue,- -,- -,2546000,- -,- -,2333000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,19607000,23952000,50288000,905000,21000,409000,368000,850000,432000,1167000
58,Total Non-Current Liabilities,19607000,25716000,57092000,8369000,7151000,7345000,5711000,3589000,3150000,1167000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,418000,147000
61,Total Liabilities,20274000,27763000,70345000,22544000,17394000,19143000,19206000,15423000,12366000,14843000
62,Preferred Stock,- -,- -,49880000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000,2000,2000,12000,16000,18000,30000,4000,15000,19000
64,Retained Earnings,-19663000,-27371000,-34180000,-58590000,-85598000,-104701000,-139660000,-162334000,- -,-207776000
65,Other Comprehensive Income/Loss,-91000,-98000,-113000,-82000,-176000,-100000,-128000,-150000,- -,- -
66,Other Total Stockholders Equity,2089000,2123000,-47763000,89638000,114094000,121770000,161200000,165178000,25057000,219471000
67,Total Stockholders Equity,-17663000,-25344000,-32174000,30978000,28336000,16987000,21442000,2698000,25072000,11714000
68,Total Liabilities And Stockholders Equity,2611000,2419000,38171000,53522000,45730000,36130000,40648000,18121000,37438000,26557000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-508000,- -
70,Total Liabilities & Equity,2611000,2419000,38171000,53522000,45730000,36130000,40648000,18121000,36930000,26557000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1394319/000155837016003288/0001558370-16-003288-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459017002953/0001564590-17-002953-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459018003925/0001564590-18-003925-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459019005597/0001564590-19-005597-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459020007520/0001564590-20-007520-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459021008957/0001564590-21-008957-index.htm,https://www.sec.gov/Archives/edgar/data/1394319/000156459022010475/0001564590-22-010475-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-4928000,-7708000,-6809000,-24410000,-27008000,-19103000,-34959000,-22674000,-16775000,-28667000
74,Depreciation and Amortization,6000,7000,15000,51000,94000,48000,28000,16000,12000,-59000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,58000,275000,271000,2088000,3083000,3194000,2667000,1624000,1034000,1775000
77,Change in Working Capital,-269000,-1588000,22147000,16656000,-3726000,-11146000,2849000,-21682000,20945000,4545000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,1916000,328000,22475000,39131000,35405000,24259000,27108000,5426000,26371000,-58000
82,Other Non-Cash Items,-298000,2344000,-13866000,-13548000,407000,13764000,-1368000,19066000,-22258000,-165000
83,Cash Provided by Operating Activities,-5431000,-6670000,1758000,-19163000,-27150000,-13243000,-30783000,-23650000,-17042000,-22571000
84,CAPEX,-10000,-7000,-70000,-127000,-3000,-39000,- -,- -,-5000,-48000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-12790000,-17506000,-13992000,-32869000,-4980000,-3998000,- -
87,Sales/Maturities of Investments,- -,- -,- -,2000000,19582000,17705000,24000000,19000000,- -,4000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-10000,-7000,-70000,-10917000,2073000,3674000,-8869000,14020000,-4003000,3952000
90,Debt Repayment,- -,- -,-920000,-9930000,-2000000,-8850000,-8320000,-1400000,-1400000,-2800000
91,Common Stock Issued,- -,- -,- -,36383000,21414000,4313000,36719000,2326000,126000,13211000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3974000,6494000,31956000,10000000,- -,7863000,6922000,-20000,38038000,149000
95,Cash Used/Provided by Financing Activities,3974000,6494000,31036000,36453000,19414000,3326000,35321000,906000,36764000,10560000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1467000,-183000,32724000,6373000,-5663000,-6243000,-4331000,-8724000,15719000,-8059000
98,Cash at the End of Period,2459000,2276000,35000000,41373000,35710000,29467000,25136000,16412000,32131000,24072000
99,Cash at the Beginning of Period,3926000,2459000,2276000,35000000,41373000,35710000,29467000,25136000,16412000,32131000
100,Free Cash Flow,-5441000,-6677000,1688000,-19290000,-27153000,-13282000,-30783000,-23650000,-17047000,-22619000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1394319/000155837016003288/0001558370-16-003288-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459017002953/0001564590-17-002953-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459018003925/0001564590-18-003925-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459019005597/0001564590-19-005597-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459020007520/0001564590-20-007520-index.html,https://www.sec.gov/Archives/edgar/data/1394319/000156459021008957/0001564590-21-008957-index.htm,https://www.sec.gov/Archives/edgar/data/1394319/000156459022010475/0001564590-22-010475-index.htm
102,false,,,,,,,,,,
