,https://roic.ai/company/WIMI,2017,2018,2019,2020
91,Common Stock Issued,- -,14581993,- -,572812469
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,30000000,137738000,88500000,102240103
95,Cash Used/Provided by Financing Activities,-3800000,137493993,-40974000,562639786
96,Effect of Forex Changes on Cash,-234124,937466,599384,-28489442
97,Net Change In Cash,-14340446,139286308,-22898964,239060120
98,Cash at the End of Period,12661634,151947942,129048978,368109098
99,Cash at the Beginning of Period,27002080,12661634,151947942,129048978
100,Free Cash Flow,106093708,99405633,143759546,-67445455
101,SEC Link,- -,- -,- -,- -
102,Forex Rate,0.1537,0.1453,0.1436,0.1532
