,https://roic.ai/company/SLNG,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-0.0204,-0.2758,-0.3052,-0.2502,-0.0882,-0.0766,-0.0689,0.0381,0.0567,0.0353,0.0601,0.0409,-0.0455,0.0098,0.0741,0.0943,-0.0736,-0.0224,-0.1642,-0.0693,-0.2272,0.1037,0.0832,- -
17,Operating Income,-500000,-1503447,-1353653,-1417496,-991209,-922535,-841521,-265577,-81529,-1712697,234399,-832340,-4333975,-1710000,419000,5207000,-2223000,-1993000,-7369000,-4511000,-1230000,-4297000,-5810000,-7264000
18,Operating Income ratio,-0.1020,-0.2865,-0.2568,-0.3484,-0.2032,-0.1673,-0.1248,-0.0316,-0.0097,-0.0308,0.0036,-0.0160,-0.1112,-0.0329,0.0077,0.0797,-0.0388,-0.0406,-0.1949,-0.0957,-0.1620,-0.0913,-0.1398,-Infinity
19,Total Other Income Expenses (Gains),- -,-243136,-680140,4178,-16388,60335,-18168,69505,39958,2577828,2320330,1799649,1549671,1264000,2597000,57000,-165000,-172000,353000,-672000,-140000,-1095000,-690000,- -
20,Income Before Tax,- -,-1746583,-2033793,- -,- -,- -,- -,- -,- -,865131,2554729,967309,-2784304,-446000,3016000,5264000,-2388000,-2165000,-7016000,-5183000,-1370000,-5392000,-6500000,- -
21,Income Before Tax Ratio,- -,-0.3328,-0.3858,- -,- -,- -,- -,- -,- -,0.0155,0.0391,0.0185,-0.0715,-0.0086,0.0558,0.0806,-0.0417,-0.0441,-0.1855,-0.1100,-0.1805,-0.1146,-0.1564,- -
22,Income Tax expense (Gain),- -,-69000,- -,- -,- -,- -,- -,- -,- -,274908,897880,289019,-1090355,5442000,707000,713000,-334000,428000,44000,-2955000,291000,116000,256000,808000
23,Net Income,-500000,-1677583,-2033793,-1441069,-966760,-842116,-857516,-196072,-24806,590223,1656849,678290,-1693949,-5888000,2309000,4551000,-4727000,-2593000,-7060000,-2228000,-2557000,-5715000,-6756000,- -
24,Net Income ratio,-0.1020,-0.3197,-0.3858,-0.3542,-0.1982,-0.1527,-0.1272,-0.0233,-0.0030,0.0106,0.0253,0.0130,-0.0435,-0.1134,0.0427,0.0697,-0.0826,-0.0528,-0.1867,-0.0473,-0.3368,-0.1214,-0.1626,- -
25,EPS,-17.20,-23.60,-18.00,-12.00,-6.80,-5.60,-5.20,-1.20,-0.13,0.64,1.76,0.72,-1.76,-6.00,2.08,4.24,-4.96,-2.88,-7.12,-2.40,-2.64,-0.39,-0.40,-0.45
26,EPS Diluted,-17.20,-23.60,-18.00,-12.00,-6.80,-5.60,-5.20,-1.20,-0.13,0.64,1.68,0.72,-1.76,-6.00,2.00,3.84,-4.96,-2.88,-7.12,-2.40,-2.64,-0.39,-0.40,-0.45
27,Weighted Average Shares Outstanding,74812,90974,113521,119931,146293,150043,169725,184929,187549,882316,957851,961239,967699,976698,987653,998836,1022754,1030198,1038220,1065705,1111573,14558618,16875150,17504190
28,Weighted Average Shares Outstanding Diluted,74812,101547,113521,119931,146293,150043,169725,184929,187549,882430,963386,978441,967699,976698,1032342,1184063,1022754,1030198,1038220,1065705,1111573,14558618,16875150,17504190
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1043186/000156459014001128/0001564590-14-001128-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459015002161/0001564590-15-002161-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459016015598/0001564590-16-015598-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459017005412/0001564590-17-005412-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459018007087/0001564590-18-007087-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459019014200/0001564590-19-014200-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000104318620000012/0001043186-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000104318621000010/0001043186-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000162828022005738/0001628280-22-005738-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,600000,714109,399948,348757,503336,283939,960012,613943,753697,593494,148598,1497305,1364114,3749000,4477000,4148000,3550000,7989000,1618000,2289000,2124000,3979000,1814000,2060000
32,Short-Term Investments,2800000,833344,- -,1751665,400227,412234,424554,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,507000,507000,50000,- -,- -,11897000,- -
33,Cash and Short-Term Investments,3400000,1547453,399948,2100422,903563,696173,1384566,613943,753697,593494,148598,1497305,1364114,3749000,4477000,4148000,3550000,8496000,2125000,2339000,2124000,3979000,13711000,2060000
34,Net Receivables,1300000,1600528,1405700,1262223,1173036,1252519,1028520,1272988,1340935,19817992,16743241,10960846,12379180,13317000,11936000,16792000,14866000,9155000,12546000,12495000,1255000,7600000,7183000,11269000
35,Inventory,300000,570594,781718,707553,975669,1118887,1165363,1441088,1617523,3023087,4387672,3563481,3820086,4945000,5616000,5216000,2769000,1325000,1181000,1327000,69000,209000,226000,- -
36,Other Current Assets,100000,62307,41271,83093,82866,51706,68724,47511,81985,936327,4495266,4619689,894081,336000,318000,439000,750000,324000,349000,534000,433000,1928000,-10307000,2204000
37,Total Current Assets,5100000,3780882,2628637,4153291,3135134,3119285,3647173,3375530,3794140,24370900,25774777,20641321,18457461,22347000,22347000,26595000,21935000,19300000,16201000,16695000,3881000,13716000,10813000,15533000
38,PP&E,1300000,2547483,3193043,2883368,3048480,2800136,2703407,3157392,2808492,5357526,5604108,5193797,4705275,4489000,4922000,6040000,8373000,7915000,7298000,6920000,552000,61328000,52824000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4453000,4453000,4453000
40,Intangible Assets,- -,470247,73992,70404,208344,150250,79511,68958,63225,170375,50646,55922,110186,- -,- -,168000,235000,218000,527000,458000,- -,- -,- -,- -
41,Intangible Assets,- -,470247,73992,70404,208344,150250,79511,68958,63225,170375,50646,55922,110186,- -,- -,168000,235000,218000,527000,458000,- -,4453000,4453000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5984236,6447558,8374794,9308000,11408000,13033000,12054000,11104000,10663000,10947000,9980000,10521000,11897000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2173526,1179051,1106023,2327953,87000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,- -,37690,142855,- -,- -,107772,88765,41321,4265738,104694,76942,51057,- -,297000,- -,657000,49000,695000,901000,146000,308000,326000,- -
45,Total Non-Current Assets,1400000,3017730,3304725,3096627,3256824,2950386,2890690,3315115,2913038,11967165,12922735,12880242,15569265,13884000,16627000,19241000,21319000,19286000,19183000,19226000,10678000,76610000,69500000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71803000
47,Total Assets,6500000,6798612,5933362,7249918,6391958,6069671,6537863,6690645,6707178,36338065,38697512,33521563,34026726,36231000,38974000,45836000,43254000,38586000,35384000,35921000,14559000,90326000,80313000,87336000
48,Accounts Payable,300000,375788,325632,370373,135572,396374,336954,470122,486837,7979685,6077050,3573477,3926042,5772000,4438000,5850000,6447000,4031000,9798000,12335000,260000,4728000,4395000,- -
49,Short-Term Debt,- -,73812,40414,- -,- -,- -,- -,- -,- -,500000,126588,134992,193954,154000,54000,120000,222000,1343000,1800000,624000,202000,1558000,4463000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,154400,61669,- -,- -,- -,- -,- -,- -,- -,- -,3576000,3021000,1983000,1629000,208000,1792000,60000,185000,357000,- -
52,Other Current Liabilities,500000,231398,86696,89169,181102,89375,93912,369888,226674,1712430,4802421,2192996,2361059,5178000,2041000,2322000,1935000,1352000,1093000,912000,2158000,8637000,5014000,- -
53,Total Current Liabilities,800000,680998,452742,459542,471074,547418,430866,840010,713511,10192115,11006059,5901465,6481055,11104000,10109000,11313000,10587000,8355000,12899000,15663000,2680000,15108000,14229000,- -
54,Long-Term Debt,- -,- -,203965,- -,- -,- -,- -,- -,- -,5000000,4521502,3375911,4221358,5057000,500000,500000,3778000,4200000,3900000,5524000,- -,6077000,3408000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2433000,3058000,3541000,3046000,3064000,2824000,- -,- -,- -,97000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,241482,330215,399039,116000,122000,211000,290000,305000,260000,213000,163000,1298000,549000,- -
58,Total Non-Current Liabilities,100000,- -,203965,- -,- -,- -,- -,- -,- -,5000000,4762984,3706126,4620397,7606000,3680000,4252000,7114000,7569000,6984000,5737000,163000,7375000,4054000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26277000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5102000,1500000,- -
61,Total Liabilities,900000,680998,656707,459542,471074,547418,430866,840010,713511,15192115,15769043,9607591,11101452,18710000,13789000,15565000,17701000,15924000,19883000,21400000,2843000,22483000,18283000,26277000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4194000,4236000,4281000,4329000,4383000,4438000,4498000,- -,- -,- -
63,Common Stock,- -,4094,4741,5847,5844,6301,7382,7417,7578,7661,7665,7701,7753,8000,8000,8000,8000,8000,8000,9000,9000,17000,17000,- -
64,Retained Earnings,-900000,-3208875,-5379183,-6820252,-7787012,-8629128,-9486644,-9810766,-9835572,13739371,15396220,16074510,14380561,8493000,10578000,14788000,9717000,6775000,-638000,-3222000,-5423000,-22631000,-29387000,- -
65,Other Comprehensive Income/Loss,-1500000,-1735684,-1968422,-2293248,-2481928,-2831932,-3149642,-3589598,-4010450,-4975557,-5998210,-6916582,-7244541,-7825000,-7660000,-8026000,-6503000,-5603000,-6074000,-6714000,-231000,-29538000,-38384000,351000
66,Other Total Stockholders Equity,8000000,11058079,12619519,15898029,16183980,16977012,18735901,19243582,19832111,12374475,13522794,14748343,15781501,16845000,18065000,19265000,18050000,17153000,17822000,20010000,12863000,119995000,129784000,- -
67,Total Stockholders Equity,5600000,6117614,5276655,6790376,5920884,5522253,6106997,5850635,5993667,21145950,22928469,23913972,22925274,17521000,25185000,30271000,25553000,22662000,15501000,14521000,11716000,67843000,62030000,61059000
68,Total Liabilities And Stockholders Equity,6500000,6798612,5933362,7249918,6391958,6069671,6537863,6690645,6707178,36338065,38697512,33521563,34026726,36231000,38974000,45836000,43254000,38586000,35384000,35921000,14559000,90326000,80313000,87336000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6500000,6798612,5933362,7249918,6391958,6069671,6537863,6690645,6707178,36338065,38697512,33521563,34026726,36231000,38974000,45836000,43254000,38586000,35384000,35921000,14559000,90326000,80313000,87336000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1043186/000156459014001128/0001564590-14-001128-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459015002161/0001564590-15-002161-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459016015598/0001564590-16-015598-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459017005412/0001564590-17-005412-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459018007087/0001564590-18-007087-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459019014200/0001564590-19-014200-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000104318620000012/0001043186-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000104318621000010/0001043186-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000162828022005738/0001628280-22-005738-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-500000,-1677583,-2033793,-1441069,-966760,-842116,-857516,-196072,-24806,590223,1656849,678290,-1693949,-5888000,2309000,4551000,-4727000,-2593000,-7060000,-2228000,-2557000,-5715000,-6756000,- -
74,Depreciation and Amortization,300000,299164,423161,354733,536456,419569,393252,516776,500164,926494,1098039,1033896,879552,772000,877000,871000,684000,894000,877000,841000,517000,9271000,9041000,- -
75,Deferred Income Tax,- -,-69000,- -,- -,- -,- -,- -,- -,- -,476440,886210,240517,-1151105,5338000,659000,593000,-334000,195000,-75000,-3033000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215589,291000,326000,850000,793000,585000,563000,373000,609000,- -,530000,- -
77,Change in Working Capital,-100000,-1200116,-923989,1517854,-1029689,-92193,644440,-680787,545109,11098156,589933,-28862,-2763450,-733406,995000,3044000,-3934000,-403000,-7643000,-2270000,169000,-2593000,-2024000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-905061,5778902,1553123,-2413000,1479000,-1713000,-1645000,4712000,-1111000,750000,2654000,-897000,-328000,- -
79,Inventory,100000,-273154,-211124,-55615,-268116,-143218,-46476,-416275,-253935,451307,-1364585,839223,-145827,-1145000,-781000,368000,383000,983000,104000,-212000,125000,-34000,-54000,-135000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1553000,1702000,787000,-2299000,4327000,3159000,- -,1741000,-575000,- -
81,Other Working Capital,4300000,3099884,2175895,3693749,2664060,2571867,3216307,2535520,3080629,14178785,14768718,14739856,11976406,11243000,12238000,15282000,11348000,10945000,3302000,1032000,1201000,-1392000,-3416000,130000
82,Other Non-Cash Items,-100000,1446494,1339220,-1298925,947001,180944,-543645,434878,-912626,-18610429,-3706096,-641151,2783248,1272406,-4321000,-9592000,5309000,3689000,6738000,5634000,-2056000,3148000,545000,- -
83,Cash Provided by Operating Activities,-400000,-1201041,-1195401,-867407,-512992,-333796,-363469,74795,107841,-5519116,524935,1282690,-1730115,1052000,845000,317000,-2209000,2367000,-6600000,-683000,-3318000,4111000,1336000,- -
84,CAPEX,-100000,- -,- -,-16855,-568139,-101660,-294062,-938206,-98087,-1253066,-615703,-609720,-369107,-533000,-1455000,-2292000,-4878000,-588000,-725000,-410000,-257000,-2116000,-768000,- -
85,Acquisitions Net,- -,-1354610,-667872,- -,-75000,- -,- -,- -,- -,- -,1193781,1711423,-157551,-126000,50000,- -,317000,- -,- -,781000,- -,-1265000,- -,- -
86,Purchases of Investments,-4300000,- -,- -,-1750787,-400227,- -,-12418,- -,- -,-1033000,- -,- -,- -,- -,- -,- -,- -,-509000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,1500000,1791871,846408,- -,1740868,- -,- -,- -,- -,1169565,- -,- -,- -,- -,- -,- -,317000,- -,- -,457000,- -,- -,- -,- -
88,Other Investing Activites,-400000,-28854,-184953,195777,-4830,-111471,40197,424682,- -,-59403,6834,22651,1284623,1161000,1185000,2099000,2205000,1893000,898000,- -,10118000,138000,512000,-7520000
89,Cash Used for Investing Activites,-3300000,408407,-6417,-1571865,692672,-213131,-266283,-513524,-98087,-1175904,584912,1124354,757965,502000,-220000,-193000,-2039000,796000,173000,828000,9861000,-3243000,-256000,-7520000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1576430,-1137187,-195591,-204000,-4656000,-54000,- -,-4000000,-300000,-6200000,-6500000,-3827000,-5192000,-4359000
91,Common Stock Issued,4800000,1973000,1573885,2633960,- -,319730,1305825,92660,130000,257400,21687,78850,34550,35000,5042000,47000,132000,29000,18000,10000,10000,- -,- -,- -
92,Common Stock Repurchased,- -,-881843,-612416,-1500,-25101,- -,- -,- -,- -,- -,- -,- -,- -,- -,-92000,-146000,-484000,-70000,-71000,-53000,-49000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-191000,-300000,-300000,-75000,-75000,- -,- -,- -,- -,- -
94,Other Financing Activites,-1100000,-222190,-73812,-244379,- -,7800,- -,- -,- -,5000000,- -,- -,1000000,1000000,- -,- -,3500000,5543000,457000,6773000,- -,5767000,1990000,7370000
95,Cash Used/Provided by Financing Activities,3700000,868967,887657,2388081,-25101,327530,1305825,92660,130000,5257400,-1554743,-1058337,838959,831000,103000,-453000,2848000,1427000,29000,530000,-6539000,1940000,-3202000,3011000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151000,27000,-4000,-169000,-76000,-43000,- -
97,Net Change In Cash,- -,76333,-314161,-51191,154579,-219397,676073,-346069,139754,-1437620,-444896,1348707,-133191,2385000,728000,-329000,-598000,4439000,-6371000,671000,-165000,2732000,-2165000,3011000
98,Cash at the End of Period,600000,714109,399948,348757,503336,283939,960012,613943,753697,593494,148598,1497305,1364114,3749000,4477000,4148000,3550000,7989000,1618000,2289000,2124000,3979000,1814000,- -
99,Cash at the Beginning of Period,600000,637776,714109,399948,348757,503336,283939,960012,613943,2031114,593494,148598,1497305,1364000,3749000,4477000,4148000,3550000,7989000,1618000,2289000,1247000,3979000,- -
100,Free Cash Flow,-500000,-1201041,-1195401,-884262,-1081131,-435456,-657531,-863411,9754,-6772182,-90768,672970,-2099222,519000,-610000,-1975000,-7087000,1779000,-7325000,-1093000,-3575000,1995000,568000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1043186/000156459014001128/0001564590-14-001128-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459015002161/0001564590-15-002161-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459016015598/0001564590-16-015598-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459017005412/0001564590-17-005412-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459018007087/0001564590-18-007087-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000156459019014200/0001564590-19-014200-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000104318620000012/0001043186-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000104318621000010/0001043186-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1043186/000162828022005738/0001628280-22-005738-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
