,https://roic.ai/company/CBAT,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
37,Total Current Assets,- -,- -,315,20,4119,108,16060,119728064,146927421,143928754,196661580,219951318,194662022,197228929,169322840,147789379,12687259,19570990,32344090,85244240,56369692,28488995,63170406
38,PP&E,- -,- -,- -,- -,3420,3040,- -,64090837,109406116,145123022,195435212,219684994,228884576,243238114,238757895,170152158,22311570,35314193,53057123,59994800,63910316,67079384,78734459
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,74682,- -,161418,239487,184367,295136,628063,22663643,8969352,8482049,22885,20049,7303634,15178,11807
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,3300170,74682,121038,161418,239487,184367,295136,628063,22663643,8969352,8482049,22885,20049,7303634,15178,11807
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,850407
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,85598,171774,6543,42911,1680348,1749045,1736981,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,566703,3161477,17884436,31782129,32165629,31924396,32730707,32503861,- -,- -,- -,7887587,7872235,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,3420,3040,- -,67957710,112727873,163300270,227385302,252133021,262673687,278013002,273626800,192815801,31280922,43796242,60967595,67887084,71213950,67094562,79596673
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,315,20,7539,3148,16060,187685774,259655294,307229024,424046882,472084339,457335709,475241931,442949640,340605180,43968181,63367232,93311685,153131324,127583642,95583557,142767079
48,Accounts Payable,- -,- -,2000,2000,592,- -,- -,17836561,48316250,45588583,57486716,92571516,93724448,118423415,143745009,124507846,- -,4910717,35496235,29805350,52495063,11157014,28352292
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,69122538,67899908,89870586,114398018,155273526,149374189,163201289,151381787,178832659,10439543,12770495,5889940,14636450,17807125,26773075,14993415
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5108878,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2384896,24580655,441525,122997,270923,335888,742784,151476
52,Other Current Liabilities,- -,- -,1000,3780,3980,42340,20000,12768608,29506150,15467192,21581182,18425271,22411066,20975742,25960431,46149883,13283606,16418844,6074123,72203941,22310884,20325277,30211337
53,Total Current Liabilities,- -,- -,3000,5780,4572,42340,20000,99727707,145722308,150926361,193465916,266270313,265509703,302600446,321087227,351875284,48303804,34541581,47583295,116916664,92948960,58998150,73708520
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,29291154,55732366,39552906,29890004,17432451,31243234,- -,- -,- -,19006505,19489702,20614194,9519029,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7441806,7352941,7455790,7699842,7560386,- -,7014114,- -,- -,4313289,4118807,7304832
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,304957,279597,91400,278227,718912,747666,759394,779814,- -,142650,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7685200,1940217,3431373,11731738,10364372,23661861,- -,- -,11631889,14529232,9379900,9289515,9346899
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,304957,29570751,63508966,49213156,41393230,37367645,50066842,32002061,- -,7156764,30638394,34018934,34307383,22927351,16651731
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,3000,5780,4572,42340,20000,99727707,146027265,180497112,256974882,315483469,306902933,339968091,371154069,383877345,48303804,41698345,78221689,150935598,127256343,81925501,90360251
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,900,900,1050,1050,1150,48878,48886,49251,57677,57738,63613,63817,12763,12763,12763,12856,19690,26368,26792,53222,79310
64,Retained Earnings,- -,- -,-4485,-7760,-14083,-56242,-70919,19533653,36212357,36060426,27628860,13328115,-19542138,-44410240,-110358489,-226366718,-141796196,-125922270,-139804975,-163466713,-165409890,-176177413,-183984311
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-380,-760,- -,362728,9240097,16311726,32064098,24791288,28010135,35804409,37329450,45697094,-25631,-492858,-167841,-110022,-268429,-514219,990902
66,Other Total Stockholders Equity,- -,- -,900,1100,16380,16760,65829,68012808,68126689,74310509,107321365,118423729,141901166,143815854,144811847,137384696,137473441,148071159,155043122,- -,165966849,190243689,235313192
67,Total Stockholders Equity,- -,- -,-2685,-5760,2967,-39192,-3940,87958067,113628029,126731912,167072000,156600870,150432776,135273840,71795571,-43272165,-4335623,21668887,15089996,2195726,315322,13605279,52399093
68,Total Liabilities And Stockholders Equity,- -,- -,315,20,7539,3148,16060,187685774,259655294,307229024,424046882,472084339,457335709,475241931,442949640,340605180,43968181,63367232,93311685,153131324,127571665,95530780,142759344
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11977,52777,7735
70,Total Liabilities & Equity,- -,- -,315,20,7539,3148,16060,187685774,259655294,307229024,424046882,472084339,457335709,475241931,442949640,340605180,43968181,63367232,93311685,153131324,127583642,95583557,142767079
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1117171/000127528706006401/cb8173.htm,https://www.sec.gov/Archives/edgar/data/1117171/000114420407068207/0001144204-07-068207-index.html,https://www.sec.gov/Archives/edgar/data/1117171/000114420408069143/0001144204-08-069143-index.html,https://www.sec.gov/Archives/edgar/data/1117171/000120445909002346/0001204459-09-002346-index.html,https://www.sec.gov/Archives/edgar/data/1380713/000138071310000011/0001380713-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/1380713/000152477711000182/0001524777-11-000182-index.html,https://www.sec.gov/Archives/edgar/data/1380713/000152477712000472/0001524777-12-000472-index.html,https://www.sec.gov/Archives/edgar/data/1117171/000106299314000200/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117171/000106299315000133/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117171/000106299316007059/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117171/000106299317000203/form10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1117171/000121390019006501/f10k2018_cbakenergy.htm,https://www.sec.gov/Archives/edgar/data/1117171/000121390020012125/f10k2019_cbakenergy.htm,https://www.sec.gov/Archives/edgar/data/1117171/000121390021021294/0001213900-21-021294-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-3485,-3275,-6323,-42159,-14677,12374377,20164566,483328,-7940600,-13991493,-32782883,-24537364,-65807395,-116029079,37775916,15873926,-12652194,-21467341,-1943177,-10767523,-7846768
74,Depreciation and Amortization,- -,- -,- -,- -,380,380,- -,3511079,5815706,8911704,13249392,12831899,18405220,18628181,18519317,19316828,8257676,508945,1117741,1592322,2466127,2753200,2700888
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,72810,-609684,-1152379,-2024214,-4042898,1302120,2116630,5826285,- -,101617,-96793,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,4336361,2559020,- -,3724901,3779861,1584154,804085,359006,88745,750167,1462197,759292,221180,770113,803931
77,Change in Working Capital,- -,- -,997315,-3075,5307,-41779,38292,20004297,-18795244,-8202720,10193271,-49514659,-24528686,-34523836,-46392870,-52321518,168469360,20645954,-268614,17777441,-4906844,6070113,19971041
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-22380193,-19938136,2617075,- -,-8375251,-11067143,-157072,-9816650,37726843,-14827964,-5150960,- -,- -,33723869,10313229,-20767355
79,Inventory,- -,- -,- -,- -,- -,- -,- -,7309304,-25692710,-11306910,-2223341,1043668,-1933678,2088744,-2390817,-49847234,8629658,-107512,-14357199,2323308,-475664,11044,2305697
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-5733526,4273690,-3037756,- -,- -,- -,- -,- -,-22730877,-22708363,5016470,- -,47151533,-9760687,-30530773,11088116
81,Other Working Capital,- -,- -,-2685,-5760,-453,-42232,-3940,20000357,1205113,-6997607,3195664,-46318995,-70847681,-105371517,-151764387,-204085905,-35616545,-14970591,-15239205,18957526,-36579268,-30509155,-10538114
82,Other Non-Cash Items,- -,- -,-991345,6055,-6515,79547,-10703,-42669813,-17278956,-156108,-11645338,87365392,32961627,72865044,95928620,166473712,-243890784,-39917731,-3449673,7555200,12889276,-20048269,-20726439
83,Cash Provided by Operating Activities,- -,- -,2485,-295,-7151,-4011,12912,-6780060,-5684757,2985540,2704346,38391826,-6207759,35318299,5168387,23625234,-29299087,-2037122,-13887336,6216914,8726562,-21222366,-5097347
84,CAPEX,- -,- -,- -,- -,-3800,- -,- -,-32286611,-41415901,-48853502,-45883211,-40572046,-23252428,-31702042,-20470943,-13305991,-18950935,-12880530,-5926675,-12047863,-7359041,-2452907,-5709975
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-489898,-4163555,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,3040,5850425,-33738,-17102710,-4667938,-1207298,-13922,475176,-445859,-5688912,5554549,7350023,-3187541,-4367646,31594,32719,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-3800,- -,3040,-26434602,-41415901,-65895456,-50551149,-41638672,-23252428,-31045559,-20450261,-19108357,-17544116,-5501921,-9114216,-16415509,-7327447,-2420188,-5709975
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-100771939,-70681655,-111115433,- -,-151448641,-212179677,-172641752,-195487678,-204151738,-201050075,-14709222,-10792193,-25289584,-36850735,-5024162,-23385599
91,Common Stock Issued,- -,- -,- -,- -,15050,- -,- -,67476464,- -,- -,29239208,150329,19616081,- -,- -,- -,- -,- -,5516600,9605277,- -,- -,45348582
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-11500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,107733228,105728497,166359575,37924623,149675030,215029266,169841406,195032218,204094250,234834939,28053530,23786953,27091183,43246121,18574288,3863979
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,15050,- -,- -,62937753,35046842,55244142,67163831,-1623282,22465670,-2800346,-455460,-57488,33784864,13344308,18511360,11406876,6395386,13550126,25826962
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,120517,97587,762732,2193293,-158354,-1095200,797210,150728,267604,51232,-34039,-319258,27541,-853721,-463117,-1482090
97,Net Change In Cash,- -,- -,-2485,-295,4099,-4011,15952,29843608,-11956229,-6903042,21510321,-5028482,-8089717,2269604,-15586606,4726993,-13007107,5771226,-4809450,1235822,6940780,-10555545,13537550
98,Cash at the End of Period,- -,- -,315,20,4119,108,16060,33055784,21099555,14196513,35706834,30678352,22588635,24858239,9271633,13998626,991519,6762745,1953295,1644535,17689493,7133948,20671498
99,Cash at the Beginning of Period,- -,- -,2800,315,20,4119,108,3212176,33055784,21099555,14196513,35706834,30678352,22588635,24858239,9271633,13998626,991519,6762745,408713,10748713,17689493,7133948
100,Free Cash Flow,- -,- -,2485,-295,-10951,-4011,12912,-39066671,-47100658,-45867962,-43178865,-2180220,-29460187,3616257,-15302556,10319243,-48250022,-14917652,-19814011,-5830949,1367521,-23675273,-10807322
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1117171/000127528706006401/cb8173.htm,https://www.sec.gov/Archives/edgar/data/1117171/000114420407068207/0001144204-07-068207-index.html,https://www.sec.gov/Archives/edgar/data/1117171/000114420408069143/0001144204-08-069143-index.html,https://www.sec.gov/Archives/edgar/data/1117171/000120445909002346/0001204459-09-002346-index.html,https://www.sec.gov/Archives/edgar/data/1380713/000138071310000011/0001380713-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/1380713/000152477711000182/0001524777-11-000182-index.html,https://www.sec.gov/Archives/edgar/data/1380713/000152477712000472/0001524777-12-000472-index.html,https://www.sec.gov/Archives/edgar/data/1117171/000106299314000200/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117171/000106299315000133/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117171/000106299316007059/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117171/000106299317000203/form10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1117171/000121390019006501/f10k2018_cbakenergy.htm,https://www.sec.gov/Archives/edgar/data/1117171/000121390020012125/f10k2019_cbakenergy.htm,https://www.sec.gov/Archives/edgar/data/1117171/000121390021021294/0001213900-21-021294-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
