,https://roic.ai/company/PMT-PB,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,- -,0.6923,0.7101,0.6646,0.7882,0.9223,0.8626,0.8081,0.7436,0.8159,1.0258,0.4908,0.7010
25,EPS,- -,0.38,1.01,2.16,3.13,3.04,1.41,1.19,1.84,2.39,3.54,0.82,0.89
26,EPS Diluted,- -,0.38,1.01,2.16,3.13,3.04,1.41,1.19,1.84,2.39,3.54,0.82,0.89
27,Weighted Average Shares Outstanding,- -,63924796,63924796,63924796,63924796,63924796,63924796,63924796,63924796,63924796,63924796,63924796,63924796
28,Weighted Average Shares Outstanding Diluted,- -,63924796,63924796,63924796,63924796,63924796,63924796,63924796,63924796,63924796,63924796,63924796,63924796
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1464423/000156459019004522/0001564590-19-004522-index.htm,https://www.sec.gov/Archives/edgar/data/1464423/000156459020005792/0001564590-20-005792-index.htm,https://www.sec.gov/Archives/edgar/data/1464423/000156459021009173/0001564590-21-009173-index.htm,https://www.sec.gov/Archives/edgar/data/1464423/000156459022007180/0001564590-22-007180-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,54000,45447000,14589000,33756000,27411000,76386000,58108000,69925000,265736000,59845000,2073840000,57704000,58983000
32,Short-Term Investments,213628000,- -,30319000,39017000,92398000,139900000,41865000,122088000,18398000,74850000,90836000,127295000,167999000
33,Cash and Short-Term Investments,213682000,45447000,44908000,72773000,119809000,216286000,99973000,192013000,284134000,134695000,2164676000,184999000,226982000
34,Net Receivables,492000,11342000,16409000,37062000,6009000,6621000,8806000,7091000,4154000,4077000,2760000,8152000,15953000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,109817000,488088000,1051095000,- -,- -,- -,- -,- -,- -,- -,-2063380000,- -,- -
37,Total Current Assets,323991000,544877000,1112412000,- -,- -,- -,- -,- -,- -,- -,104056000,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,6031000,126776000,264120000,357780000,459741000,656567000,12889000,22787000,1535705000,12331000,29311000
41,Intangible Assets,- -,- -,6031000,126776000,264120000,357780000,459741000,656567000,12889000,22787000,1535705000,12331000,29311000
42,Investments,297399000,119872000,153132000,39017000,289799000,139900000,41865000,123347000,18398000,112844000,200349000,127295000,167999000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-296944000,-75654000,114487000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,455000,44218000,273650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,2559663000,4310917000,4904296000,5826924000,6357502000,5604933000,7813361000,11667295000,11492011000,13772708000
47,Total Assets,324446000,589095000,1386062000,2559663000,4310917000,4904296000,5826924000,6357502000,5604933000,7813361000,11771351000,11492011000,13772708000
48,Accounts Payable,527000,9080000,9198000,42402000,71561000,67806000,64474000,107758000,64751000,70687000,91149000,124809000,96156000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9598000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10121000,11478000,9292000,- -,- -,- -,- -,- -,- -,- -,1696295000,- -,- -
53,Total Current Liabilities,10648000,20558000,18490000,- -,- -,- -,- -,- -,- -,- -,1787444000,- -,- -
54,Long-Term Debt,- -,248624000,181044000,353805000,641995000,436156000,1061759000,901010000,599093000,1149061000,2139801000,2273372000,4494407000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,640511000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,248624000,821555000,353805000,641995000,436156000,1061759000,901010000,599093000,1149061000,2139801000,2273372000,4494407000
59,Other Liabilities,- -,- -,- -,1712132000,3485798000,3762280000,5392570000,5907398000,4659441000,7396290000,9672793000,11468524000,15899597000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,10648000,269182000,840045000,1358327000,2843803000,3326124000,4330811000,5006388000,4060348000,6247229000,9320436000,9195152000,11405190000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,299707000,299707000,299707000,299707000,541482000
63,Common Stock,167000,168000,284000,589000,705000,745000,738000,667000,613000,610000,1002000,979000,949000
64,Retained Earnings,-1883000,2570000,27461000,70889000,81941000,97728000,25653000,-26724000,-46666000,-19718000,22317000,-100734000,-256670000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,315514000,317175000,518272000,1129858000,1384468000,1479699000,1469722000,1377171000,1290931000,1285533000,2127889000,2096907000,2081757000
67,Total Stockholders Equity,313798000,319913000,546017000,1201336000,1467114000,1578172000,1496113000,1351114000,1544585000,1566132000,2450915000,2296859000,2367518000
68,Total Liabilities And Stockholders Equity,324446000,589095000,1386062000,2559663000,4310917000,4904296000,5826924000,6357502000,5604933000,7813361000,11771351000,11492011000,13772708000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,324446000,589095000,1386062000,2559663000,4310917000,4904296000,5826924000,6357502000,5604933000,7813361000,11771351000,11492011000,13772708000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1464423/000156459019004522/0001564590-19-004522-index.htm,https://www.sec.gov/Archives/edgar/data/1464423/000156459020005792/0001564590-20-005792-index.htm,https://www.sec.gov/Archives/edgar/data/1464423/000156459021009173/0001564590-21-009173-index.htm,https://www.sec.gov/Archives/edgar/data/1464423/000156459022007180/0001564590-22-007180-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,24483000,64439000,138249000,200190000,194544000,90100000,75810000,117749000,152798000,226357000,52373000,56854000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,94330000,383731000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,1812000,3738000,5067000,5452000,5752000,6346000,5748000,4904000,5318000,5530000,2294000,2419000
77,Change in Working Capital,- -,-12361000,569603000,-1093922000,- -,- -,- -,- -,- -,- -,-1683388000,1683388000,-497399000
78,Accounts Receivable,- -,-8786000,-6835000,-16171000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,1483000,-2662000,32818000,-14518000,-6361000,7984000,46657000,-40435000,6400000,3613000,34836000,-27320000
81,Other Working Capital,- -,524319000,1093922000,- -,- -,- -,- -,- -,- -,- -,-1683388000,- -,- -
82,Other Non-Cash Items,- -,-36723000,-912911000,130206000,-448474000,-566332000,-959634000,-703101000,100472000,-826198000,-1917304000,-1066399000,-2381588000
83,Cash Provided by Operating Activities,- -,-22789000,-275131000,-820400000,-242832000,-366036000,-863188000,-621543000,223125000,-573752000,-2985074000,671656000,-2819714000
84,CAPEX,- -,- -,- -,-23000,-1419000,- -,-2335000,-2739000,-79000,- -,74973000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-91141000,-101739000,-120909000,-391967000,-339802000,-363191000,-852906000,-252588000,-1872192000,-16915000,-2376584000,-2302442000
87,Sales/Maturities of Investments,- -,272188000,67660000,239167000,261852000,126040000,241072000,335545000,286261000,220612000,72241000,3183499000,1834887000
88,Other Investing Activites,- -,-348379000,-243714000,-229700000,-898881000,241734000,133621000,711313000,648008000,227288000,-834976000,-822282000,1560568000
89,Cash Used for Investing Activites,- -,-167332000,-277793000,-111442000,-1028996000,27972000,11502000,193952000,681681000,-1424292000,-704677000,-15367000,1093013000
90,Debt Repayment,- -,- -,-51936000,-183739000,-32326375000,-4463093000,-5808625000,-6929225000,-7665112000,-7447389000,-5103295000,-6120322000,-5727370000
91,Common Stock Issued,- -,- -,206056000,608184000,261595000,90589000,8000,- -,- -,- -,839682000,5654000,- -
92,Common Stock Repurchased,- -,-150000,- -,- -,- -,- -,-16338000,-98370000,-91198000,-10719000,- -,-37267000,-56855000
93,Dividends Paid,- -,-12960000,-39548000,-94821000,-147568000,-174433000,-173022000,-131560000,-140201000,-140540000,-165945000,-176525000,-214119000
94,Other Financing Activites,- -,248624000,407494000,621385000,33477831000,4933976000,6831385000,7563114000,7034876000,9578890000,8163520000,5625819000,7726324000
95,Cash Used/Provided by Financing Activities,- -,235514000,522066000,951009000,1265483000,387039000,833408000,403959000,-861635000,1980242000,3733962000,-702641000,1727980000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,45393000,-30858000,19167000,-6345000,48975000,-18278000,-23632000,43171000,-17802000,44211000,-46352000,1279000
98,Cash at the End of Period,- -,45447000,14589000,33756000,27411000,76386000,58108000,34476000,77647000,59845000,104056000,57704000,58983000
99,Cash at the Beginning of Period,- -,54000,45447000,14589000,33756000,27411000,76386000,58108000,34476000,77647000,59845000,104056000,57704000
100,Free Cash Flow,- -,-22789000,-275131000,-820423000,-244251000,-366036000,-865523000,-624282000,223046000,-573752000,-2985074000,671656000,-2819714000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1464423/000156459019004522/0001564590-19-004522-index.htm,https://www.sec.gov/Archives/edgar/data/1464423/000156459020005792/0001564590-20-005792-index.htm,https://www.sec.gov/Archives/edgar/data/1464423/000156459021009173/0001564590-21-009173-index.htm,https://www.sec.gov/Archives/edgar/data/1464423/000156459022007180/0001564590-22-007180-index.htm
102,false,,,,,,,,,,,,,
