,https://roic.ai/company/AKTS,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,9100,9521,4329496,4155444,9631520,14816717,30154000,44308000,88322000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,214659,285000,351000,1170000
35,Inventory,- -,- -,- -,- -,- -,43544,188476,57556,94000,136000,1390000
36,Other Current Assets,- -,- -,- -,- -,59812,54818,201265,790115,1288000,1408000,2314000
37,Total Current Assets,- -,- -,9100,9521,4389308,4253806,10021261,15879047,31821000,46203000,93196000
38,PP&E,- -,- -,- -,- -,81641,206985,7853814,12820169,15178000,24304000,31201000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,31077,71233,206527,264295,388000,544000,- -
41,Intangible Assets,- -,- -,- -,- -,31077,71233,206527,264295,388000,544000,572000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,10715,10715,10715,344405,562000,382000,25000
45,Total Non-Current Assets,- -,- -,- -,- -,123433,288933,8071056,13428869,16128000,25230000,31798000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,9100,9521,4512741,4542739,18092317,29307916,47949000,71433000,124994000
48,Accounts Payable,- -,- -,- -,- -,20454,73400,494515,139152,245000,2135000,1188000
49,Short-Term Debt,- -,- -,306,306,- -,- -,- -,- -,- -,231000,270000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,14500,52938,5000,- -,41000
52,Other Current Liabilities,- -,- -,- -,- -,102060,470246,841853,2454280,2966000,3764000,5766000
53,Total Current Liabilities,- -,- -,306,306,122514,543646,1350868,2646370,3216000,6130000,7265000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,11464632,18215000,23691000,202000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,205144,1322729,1730542,1347052,563000,117000,117000
58,Total Non-Current Liabilities,- -,- -,- -,- -,205144,1322729,1730542,12811684,18778000,23808000,319000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,703000,472000
61,Total Liabilities,- -,- -,306,306,327658,1866375,3081410,15458054,21994000,29938000,7584000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,9000,11740,12469,15376,19075,22203,30000,38000,51000
64,Retained Earnings,- -,- -,-206,-27185,-1268646,-6674813,-15783053,-38246684,-67474000,-103615000,-147771000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-8307,- -,-146011,-1364440,-3757000,-6677000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,5449567,9335801,30920896,53438783,97156000,151749000,265130000
67,Total Stockholders Equity,- -,- -,8794,9215,4185083,2676364,15010907,13849862,25955000,41495000,117410000
68,Total Liabilities And Stockholders Equity,- -,- -,9100,9521,4512741,4542739,18092317,29307916,47949000,71433000,124994000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,9100,9521,4512741,4542739,18092317,29307916,47949000,71433000,124994000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1584754/000161577415002261/0001615774-15-002261-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1584754/000161577417005214/0001615774-17-005214-index.html,https://www.sec.gov/Archives/edgar/data/1584754/000161577418008796/0001615774-18-008796-index.html,https://www.sec.gov/Archives/edgar/data/1584754/000121390019017977/0001213900-19-017977-index.htm,https://www.sec.gov/Archives/edgar/data/1584754/000121390020023254/0001213900-20-023254-index.htm,https://www.sec.gov/Archives/edgar/data/1584754/000121390021045465/0001213900-21-045465-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,- -,- -,-26979,-1221773,-5406167,-9108240,-21738627,-29248000,-36140000,-44156000
74,Depreciation and Amortization,- -,- -,- -,- -,9640,12556,110084,1262596,2497000,3188000,4883000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,231909,435642,3906111,5490517,7240000,6734000,8192000
77,Change in Working Capital,- -,- -,- -,- -,4242973,1244340,4960233,4562284,15372323,11468000,45858000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-214659,-70000,-66000,-819000
79,Inventory,- -,- -,- -,- -,- -,- -,-48883,130920,-36000,-42000,-1254000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,4266794,3710160,8670393,13232677,28605000,40073000,85931000
82,Other Non-Cash Items,- -,- -,- -,- -,-4242793,2613287,-5416810,-3776752,-13529323,-6555000,-44141000
83,Cash Provided by Operating Activities,- -,- -,- -,-26979,-980044,-1100342,-5548622,-14199982,-17668000,-21305000,-29364000
84,CAPEX,- -,- -,- -,- -,-111727,-47215,-1685784,-7014994,-4924000,-9951000,-12491000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-2846049,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-31452,-11715,-60729,-72846,-141000,-141000,-51000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-111727,-47215,-4531833,-7014994,-4891000,-9891000,-12491000
90,Debt Repayment,- -,- -,- -,- -,-30000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,27400,4276627,2562896,15384771,13199930,28959000,43150000,82843000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,685000,10000,171760,13200243,8937000,2300000,2926000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,27400,4931627,2572896,15556531,26400173,37896000,45450000,85769000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,421,3839856,1425339,5476076,5185197,15337000,14254000,43914000
98,Cash at the End of Period,- -,- -,- -,9521,4329496,4155444,9631520,14816717,30154000,44408000,88322000
99,Cash at the Beginning of Period,- -,- -,- -,9100,489640,2730105,4155444,9631520,14817000,30154000,44408000
100,Free Cash Flow,- -,- -,- -,-26979,-1091771,-1147557,-7234406,-21214976,-22592000,-31256000,-41855000
101,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1584754/000161577415002261/0001615774-15-002261-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1584754/000161577417005214/0001615774-17-005214-index.html,https://www.sec.gov/Archives/edgar/data/1584754/000161577418008796/0001615774-18-008796-index.html,https://www.sec.gov/Archives/edgar/data/1584754/000121390019017977/0001213900-19-017977-index.htm,https://www.sec.gov/Archives/edgar/data/1584754/000121390020023254/0001213900-20-023254-index.htm,https://www.sec.gov/Archives/edgar/data/1584754/000121390021045465/0001213900-21-045465-index.htm
102,false,,,,,,,,,,,
