,https://roic.ai/company/KLXE,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1738827/000155837019002349/0001558370-19-002349-index.html,https://www.sec.gov/Archives/edgar/data/1738827/000155837020003078/0001558370-20-003078-index.html,https://www.sec.gov/Archives/edgar/data/1738827/000173882721000007/0001738827-21-000007-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,163800000,123500000,28000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,163800000,123500000,28000000
34,Net Receivables,- -,- -,30500000,73900000,119600000,79200000,103000000
35,Inventory,- -,- -,9300000,10200000,15400000,12000000,22000000
36,Other Current Assets,- -,- -,600000,2000000,9500000,13800000,11000000
37,Total Current Assets,- -,- -,40400000,86100000,308300000,228500000,164000000
38,PP&E,- -,- -,161000000,179500000,271900000,306800000,218000000
39,Goodwill,- -,- -,- -,- -,43200000,28300000,- -
40,Intangible Assets,- -,- -,3100000,2800000,30300000,45800000,2000000
41,Intangible Assets,- -,- -,3100000,2800000,73500000,74100000,2000000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,500000,5400000,19100000,14000000,3000000
45,Total Non-Current Assets,- -,- -,164600000,187700000,364500000,394900000,223000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,205000000,273800000,672800000,623400000,387000000
48,Accounts Payable,- -,- -,15400000,31800000,47300000,31400000,72000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,900000,1100000,1900000,2300000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,10200000,16200000,37900000,33400000,50000000
53,Total Current Liabilities,- -,- -,25600000,48000000,85200000,64800000,122000000
54,Long-Term Debt,- -,- -,- -,- -,242200000,243000000,274000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,1400000,1200000,4700000,3400000,42000000
58,Total Non-Current Liabilities,- -,- -,1400000,1200000,246900000,246400000,316000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,27000000,49200000,332100000,311200000,438000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,200000,200000,- -
64,Retained Earnings,- -,- -,-777100000,-801200000,-4500000,-100900000,-525000000
65,Other Comprehensive Income/Loss,- -,- -,-98200000,-128900000,-152700000,-206000000,- -
66,Other Total Stockholders Equity,- -,- -,1053300000,1154700000,497700000,618900000,474000000
67,Total Stockholders Equity,- -,- -,178000000,224600000,340700000,312200000,-51000000
68,Total Liabilities And Stockholders Equity,- -,- -,205000000,273800000,672800000,623400000,387000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,205000000,273800000,672800000,623400000,387000000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1738827/000155837019002349/0001558370-19-002349-index.html,https://www.sec.gov/Archives/edgar/data/1738827/000155837020003078/0001558370-20-003078-index.html,https://www.sec.gov/Archives/edgar/data/1738827/000173882721000043/0001738827-21-000043-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,-750400000,-89600000,-24100000,14400000,-96400000,-332000000
74,Depreciation and Amortization,- -,46600000,36200000,33500000,41500000,64100000,61000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-8900000,- -
76,Stock Based Compensation,- -,4300000,9000000,12500000,23500000,18500000,17000000
77,Change in Working Capital,- -,63000000,14800000,23300000,185000000,-59400000,-31000000
78,Accounts Receivable,- -,59200000,8900000,-43000000,-23200000,39900000,- -
79,Inventory,- -,-1200000,1100000,-900000,-6800000,3600000,- -
80,Accounts Payable,- -,6100000,-3900000,12600000,3700000,-13800000,- -
81,Other Working Capital,- -,- -,14800000,38100000,223100000,163700000,42000000
82,Other Non-Cash Items,- -,646300000,-7900000,-54600000,-202400000,140200000,285000000
83,Cash Provided by Operating Activities,- -,9800000,-37500000,-9400000,62000000,58100000,- -
84,CAPEX,- -,-98900000,-29000000,-48800000,-84000000,-70800000,- -
85,Acquisitions Net,- -,-5300000,- -,- -,-140000000,-27600000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-98900000,-29000000,-48800000,9900000,700000,- -
89,Cash Used for Investing Activites,- -,-104200000,-29000000,-48800000,-214100000,-97700000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,1500000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-2200000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,94400000,66500000,58200000,315900000,- -,- -
95,Cash Used/Provided by Financing Activities,- -,94400000,66500000,58200000,315900000,-700000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-40300000,- -
98,Cash at the End of Period,- -,- -,- -,- -,163800000,123500000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,163800000,47100000
100,Free Cash Flow,- -,-89100000,-66500000,-58200000,-22000000,-12700000,- -
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1738827/000155837019002349/0001558370-19-002349-index.html,https://www.sec.gov/Archives/edgar/data/1738827/000155837020003078/0001558370-20-003078-index.html,https://www.sec.gov/Archives/edgar/data/1738827/000173882721000043/0001738827-21-000043-index.htm
102,false,,,,,,,
