,https://roic.ai/company/SQ,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1512673/000162828017001754/0001628280-17-001754-index.html,https://www.sec.gov/Archives/edgar/data/1512673/000151267318000004/0001512673-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1512673/000151267319000003/0001512673-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1512673/000162828020002303/0001628280-20-002303-index.html,https://www.sec.gov/Archives/edgar/data/1512673/000151267321000008/0001512673-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1512673/000162828022003825/0001628280-22-003825-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-85199000,-104493000,-154093000,-179817000,-171590000,-62813000,-38453000,375446000,213105000,166284000
74,Depreciation and Amortization,3579000,8272000,18586000,27626000,37745000,37279000,60961000,75598000,84212000,134757000
75,Deferred Income Tax,- -,- -,-2664000,26000,58000,-1385000,-646000,-1376000,-8016000,-10435000
76,Stock Based Compensation,10113000,14658000,36100000,82292000,138786000,155836000,216881000,297863000,397800000,608040000
77,Change in Working Capital,18070000,94700000,152600000,52600000,381506000,287897000,432352000,2109809000,1377367000,-221396000
78,Accounts Receivable,-19854000,-27704000,-50361000,-27420000,-178405000,-305831000,245795000,-248271000,-473871000,-346217000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,2028000,-942000,179000,7831000,-2147000,68152000,-60651000,41697000,143528000,186804000
81,Other Working Capital,124061000,218761000,371361000,423961000,805467000,1093364000,1525716000,3635525000,5012892000,-61983000
82,Other Non-Cash Items,10512000,-73714000,-159923000,44857000,-363374000,-289103000,-376015000,-2391641000,-1682865000,170580000
83,Cash Provided by Operating Activities,-42925000,-60577000,-109394000,27584000,23131000,127711000,295080000,465699000,381603000,847830000
84,CAPEX,-13033000,-47931000,-29194000,-38718000,-25833000,-26097000,-62787000,-62498000,-138402000,-134320000
85,Acquisitions Net,- -,- -,- -,- -,-1000000,-2000000,-112000000,-20000000,-79000000,-163970000
86,Purchases of Investments,- -,- -,- -,- -,-164766000,-544910000,-1148442000,-1319332000,-2015891000,-3421921000
87,Sales/Maturities of Investments,- -,- -,- -,- -,77422000,257311000,417780000,1155055000,1626878000,2409332000
88,Other Investing Activites,-34758000,37128000,4240000,-7664000,-8956000,-24915000,-1983000,341968000,-221000,- -
89,Cash Used for Investing Activites,-47791000,-10803000,-24554000,-45096000,-122733000,-340611000,-905848000,95193000,-606636000,-1310879000
90,Debt Repayment,-190000,- -,- -,-30000000,-168000,-1439000,-223325000,- -,- -,-648100000
91,Common Stock Issued,- -,- -,- -,251257000,- -,- -,- -,- -,- -,793163000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,227370000,18907000,194152000,43506000,90909000,456372000,739080000,-98874000,2315195000,2506971000
95,Cash Used/Provided by Financing Activities,227180000,18907000,194152000,264763000,90741000,454933000,515755000,-98874000,2315195000,2652034000
96,Effect of Forex Changes on Cash,-4000,-760000,-1080000,-1776000,-438000,4303000,-7221000,3841000,12995000,-7066000
97,Net Change In Cash,136460000,-53233000,59124000,245475000,-9299000,246336000,-102234000,465859000,2103157000,2181919000
98,Cash at the End of Period,219409000,166176000,225300000,470775000,452030000,735081000,632847000,1098706000,3201863000,6975090000
99,Cash at the Beginning of Period,82949000,219409000,166176000,225300000,461329000,488745000,735081000,632847000,1098706000,4793171000
100,Free Cash Flow,-55958000,-108508000,-138588000,-11134000,-2702000,101614000,232293000,403201000,243201000,713510000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1512673/000162828017001754/0001628280-17-001754-index.html,https://www.sec.gov/Archives/edgar/data/1512673/000151267318000004/0001512673-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1512673/000151267319000003/0001512673-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/1512673/000162828020002303/0001628280-20-002303-index.html,https://www.sec.gov/Archives/edgar/data/1512673/000151267321000008/0001512673-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1512673/000162828022003825/0001628280-22-003825-index.htm
102,false,,,,,,,,,,
