,https://roic.ai/company/GPRO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,83593000,91128000,17718000,35766000,44956000,50962000,47756000,83413000,74516000,-28206000
58,Total Non-Current Liabilities,- -,197206000,144443000,17718000,35766000,44956000,181010000,186748000,232223000,292688000,169133000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,72060000,61355000,- -
61,Total Liabilities,- -,326406000,445037000,276487000,330943000,475695000,551541000,486247000,559274000,555381000,643965000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,8000,8000,533000000,663311000,757226000,854452000,894755000,930875000,980147000,1008872000
64,Retained Earnings,- -,-80220000,-19884000,108204000,144335000,-274668000,-442134000,-569030000,-583733000,-650516000,-279345000
65,Other Comprehensive Income/Loss,- -,-3490000,-14407000,-29800000,-50240000,-82392000,-114614000,-123381000,-118681000,-112594000,- -
66,Other Total Stockholders Equity,- -,3961000,28917000,29800000,14627000,46779000,1001000,9768000,5068000,-1019000,- -
67,Total Stockholders Equity,- -,-79741000,-5366000,641204000,772033000,446945000,298705000,212112000,233529000,216018000,615914000
68,Total Liabilities And Stockholders Equity,- -,246665000,439671000,917691000,1102976000,922640000,850246000,698359000,792803000,771399000,1259879000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,246665000,439671000,917691000,1102976000,922640000,850246000,698359000,792803000,771399000,1259879000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1500435/000150043515000007/0001500435-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043516000063/0001500435-16-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043517000013/0001500435-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043518000010/0001500435-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043519000013/0001500435-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043520000013/0001500435-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043521000020/0001500435-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043522000016/0001500435-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,24612000,32262000,60578000,128088000,36131000,-419003000,-182873000,-109034000,-14642000,-66783000,371171000
74,Depreciation and Amortization,1517000,3975000,12034000,17945000,28981000,41640000,41478000,35063000,26268000,19065000,10962000
75,Deferred Income Tax,-6831000,-2121000,-8129000,-16920000,-11468000,38568000,-2527000,-389000,-32000,-50000,-273541000
76,Stock Based Compensation,8975000,9156000,10887000,71399000,80680000,69527000,51255000,40887000,37188000,29963000,38650000
77,Change in Working Capital,-13973000,67824000,-12172000,506828000,-26208000,-380992000,46082000,-28582000,34351000,85066000,13035000
78,Accounts Receivable,-19565000,-53508000,-43117000,-62294000,38313000,-18816000,52278000,-16460000,-71269000,93084000,-8142000
79,Inventory,-12737000,-43718000,-55664000,-45108000,-35005000,21040000,16641000,34093000,-27778000,46322000,11505000
80,Accounts Payable,- -,67802000,- -,98354000,68461000,142941000,-44411000,-70400000,3210000,-87501000,56262000
81,Other Working Capital,1794000,69618000,57446000,564274000,538066000,157074000,203156000,174574000,208925000,293991000,307026000
82,Other Non-Cash Items,929000,-102730000,39279000,-610418000,49495000,542507000,9732000,19621000,-107577000,26521000,68876000
83,Cash Provided by Operating Activities,15229000,8366000,102477000,96922000,157611000,-107753000,-36853000,-42434000,-24444000,93782000,229153000
84,CAPEX,-1954000,-17795000,-18325000,-27498000,-51245000,-43627000,-24061000,-11004000,-8348000,-4881000,-5545000
85,Acquisitions Net,-7955000,- -,-2912000,-3950000,-65405000,-104353000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-103827000,-220055000,- -,-52318000,-57731000,-43636000,- -,-146515000
87,Sales/Maturities of Investments,- -,- -,- -,1083000,124728000,167266000,33282000,57500000,74755000,14830000,8341000
88,Other Investing Activites,- -,- -,- -,288000,- -,- -,- -,5000000,- -,-438000,- -
89,Cash Used for Investing Activites,-9909000,-17795000,-21237000,-133904000,-211977000,19286000,-43097000,-6235000,22771000,9511000,-143719000
90,Debt Repayment,-380000,-10380000,-46000000,-114000000,- -,- -,- -,- -,-20000000,-86000000,-17379000
91,Common Stock Issued,6131000,- -,527000,293969000,22833000,2775000,9751000,5169000,5574000,5435000,7490000
92,Common Stock Repurchased,- -,- -,- -,-920000,-35613000,- -,-78000000,- -,- -,- -,- -
93,Dividends Paid,-5071000,-117361000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,19663000,144557000,29158000,76452000,28445000,-820000,156843000,-6650000,13382000,152542000,- -
95,Cash Used/Provided by Financing Activities,20343000,16816000,-16315000,255501000,15665000,1955000,88594000,-1481000,-1044000,71977000,-9889000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-1556000,-1046000,1746000,-259000,923000,2083000,-2112000
97,Net Change In Cash,25663000,7387000,64925000,218519000,-40257000,-87558000,10390000,-50409000,-1794000,177353000,73433000
98,Cash at the End of Period,29098000,36485000,101410000,319929000,279672000,192114000,202504000,152095000,150301000,327654000,401087000
99,Cash at the Beginning of Period,3435000,29098000,36485000,101410000,319929000,279672000,192114000,202504000,152095000,150301000,327654000
100,Free Cash Flow,13275000,-9429000,84152000,69424000,106366000,-151380000,-60914000,-53438000,-32792000,88901000,223608000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1500435/000150043515000007/0001500435-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043516000063/0001500435-16-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043517000013/0001500435-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043518000010/0001500435-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043519000013/0001500435-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043520000013/0001500435-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043521000020/0001500435-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1500435/000150043522000016/0001500435-22-000016-index.htm
102,false,,,,,,,,,,,
