,https://roic.ai/company/EVBG,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,62203000,62274000,132246000,164995000,194866000,425945000,542776000,853664000
67,Total Stockholders Equity,- -,-5327000,-16051000,42352000,55991000,42158000,220312000,252305000,462689000
68,Total Liabilities And Stockholders Equity,- -,40066000,53509000,108322000,236413000,262180000,837296000,960944000,1479015000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,40066000,53509000,108322000,236413000,262180000,837296000,960944000,1479015000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1437352/000156459017005159/0001564590-17-005159-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459018005318/0001564590-18-005318-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459019005821/0001564590-19-005821-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459020007797/0001564590-20-007797-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459021009422/0001564590-21-009422-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459022007193/0001564590-22-007193-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-889000,-623000,-10824000,-11286000,-19634000,-47515000,-52250000,-93396000,-94796000
74,Depreciation and Amortization,2455000,2512000,5976000,7742000,10207000,13693000,19671000,30759000,53168000
75,Deferred Income Tax,- -,-315000,-431000,-138000,-47000,125000,- -,-3478000,-12972000
76,Stock Based Compensation,176000,376000,1488000,3056000,9218000,25589000,33489000,46755000,44095000
77,Change in Working Capital,2184000,1937000,43099000,77399000,-54031000,413296000,-93540000,53355000,-4494000
78,Accounts Receivable,-2066000,-1008000,-4813000,-2295000,-13067000,-2623000,-25558000,-22614000,-18187000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-245000,414000,866000,-423000,-90000,-1263000,5312000,1547000,3772000
81,Other Working Capital,-25936000,-23999000,19100000,96499000,42468000,455764000,362224000,415579000,9802000
82,Other Non-Cash Items,72000,3829000,-34857000,-67270000,59150000,-401893000,102947000,-18192000,37192000
83,Cash Provided by Operating Activities,3998000,7716000,4451000,9503000,4863000,3295000,10317000,15803000,22193000
84,CAPEX,-1450000,-3832000,-7404000,-6714000,-7827000,-10421000,-13088000,-30047000,-19752000
85,Acquisitions Net,- -,-304000,- -,-2306000,-21235000,-35857000,-58419000,-55138000,-262084000
86,Purchases of Investments,- -,- -,- -,- -,-60764000,-87204000,-1975000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,18060000,85069000,47765000,- -,- -
88,Other Investing Activites,-1335000,-3832000,-7404000,-6714000,-7327000,-10421000,-11945000,-30047000,-19752000
89,Cash Used for Investing Activites,-1335000,-4136000,-7404000,-9020000,-71266000,-48413000,-24574000,-85185000,-281836000
90,Debt Repayment,-30332000,-8745000,-6880000,-26576000,-12922000,-158000,-102701000,- -,-58643000
91,Common Stock Issued,25000,- -,49000,69750000,10444000,- -,139110000,53193000,- -
92,Common Stock Repurchased,- -,- -,-1500000,- -,- -,- -,-4602000,- -,-10083000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,28955000,6625000,15550000,8296000,110953000,3257000,462294000,-48139000,345070000
95,Cash Used/Provided by Financing Activities,-1352000,-2120000,7219000,51470000,108475000,3099000,494101000,5054000,276344000
96,Effect of Forex Changes on Cash,17000,-88000,-100000,234000,-83000,-964000,-250000,296000,427000
97,Net Change In Cash,1328000,1372000,4166000,52187000,41989000,-42983000,479594000,-64032000,17128000
98,Cash at the End of Period,3040000,4412000,8578000,60765000,102754000,60068000,539662000,475630000,492758000
99,Cash at the Beginning of Period,1712000,3040000,4412000,8578000,60765000,103051000,60068000,539662000,475630000
100,Free Cash Flow,2548000,3884000,-2953000,2789000,-2964000,-7126000,-2771000,-14244000,2441000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1437352/000156459017005159/0001564590-17-005159-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459018005318/0001564590-18-005318-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459019005821/0001564590-19-005821-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459020007797/0001564590-20-007797-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459021009422/0001564590-21-009422-index.htm,https://www.sec.gov/Archives/edgar/data/1437352/000156459022007193/0001564590-22-007193-index.htm
102,false,,,,,,,,,
