,https://roic.ai/company/OPGN,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-4.2043,-1.3744,-5.4951,-4.7611,-4.8020,-4.5372,-3.5575,-6.2193,-8.0830
25,EPS,-1654.17,-600.00,-1100.00,-550.00,-195.60,-44.40,-7.70,-1.66,-2.20
26,EPS Diluted,-1654.17,-600.00,-1100.00,-550.00,-195.60,-44.40,-7.70,-1.66,-2.20
27,Weighted Average Shares Outstanding,9375,9375,15961,35335,78688,300453,1616939,15800781,15800781
28,Weighted Average Shares Outstanding Diluted,9375,9375,15961,35335,78688,300453,1616939,15800781,15800781
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1293818/000114420416091560/0001144204-16-091560-index.html,https://www.sec.gov/Archives/edgar/data/1293818/000156459017005222/0001564590-17-005222-index.html,https://www.sec.gov/Archives/edgar/data/1293818/000156459018007151/0001564590-18-007151-index.html,https://www.sec.gov/Archives/edgar/data/1293818/000156459019004950/0001564590-19-004950-index.html,https://www.sec.gov/Archives/edgar/data/1293818/000156459020012253/0001564590-20-012253-index.htm,https://www.sec.gov/Archives/edgar/data/1293818/000107997321000195/0001079973-21-000195-index.htm,https://www.sec.gov/Archives/edgar/data/1293818/000107997322000358/0001079973-22-000358-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,1400345,749517,7814220,4117324,1847171,4572487,2708223,13360463,36080392
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1400345,749517,7814220,4117324,1847171,4572487,2708223,13360463,36080392
34,Net Receivables,241897,503983,678646,542420,809540,373858,3089290,653104,1172396
35,Inventory,175713,369742,826012,692368,533425,543747,473030,1485986,1239456
36,Other Current Assets,146438,90233,572489,329646,311644,292918,396760,1388090,1250331
37,Total Current Assets,1964393,1713475,9891367,5681758,3501780,5783010,6667303,16887643,39742575
38,PP&E,1079423,587956,1074710,800723,835537,1221827,2132886,5791415,4102215
39,Goodwill,- -,- -,637528,600814,600814,600814,600814,8024729,7453007
40,Intangible Assets,57594,- -,1888814,1620998,1353182,1085366,817550,16580963,14530209
41,Intangible Assets,57594,- -,2526342,2221812,1953996,1686180,1418364,24605692,21983216
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,57459,353500,270327,279752,328601,259346,203271,2466295,5838527
45,Total Non-Current Assets,1194476,941456,3871379,3302287,3118134,3167353,3754521,32863402,31923958
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3158869,2654931,13762746,8984045,6619914,8950363,10421824,49751045,71666533
48,Accounts Payable,869172,1160081,2285792,2232563,1691712,1623751,1056035,1868666,1307081
49,Short-Term Debt,- -,- -,- -,1023815,1010961,398595,373599,699000,15022055
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,509728,339171,50925,37397,24442,15824,9808,9808,- -
52,Other Current Liabilities,1376984,4522255,2557075,1978162,2062477,2342937,3499099,4794556,3587633
53,Total Current Liabilities,2755884,6021507,4893792,5271937,4789592,4381107,4938541,7372030,19916769
54,Long-Term Debt,- -,- -,1000000,- -,- -,660340,329456,19378935,2981046
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2234426,4699048,377908,544627,429325,600175,860488,1808825,7551638
58,Total Non-Current Liabilities,2234426,4699048,1377908,544627,429325,1260515,1189944,21187760,10532684
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,340529,234648,629708,330942,284992,836534,2456932,2770242,- -
61,Total Liabilities,4990310,10720555,6271700,5816564,5218917,5641622,6128485,28559790,30449453
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3625,4932,125477,253042,22653,86457,55823,250855,464503
64,Retained Earnings,-91100823,-96772293,-114124366,-133291119,-148710427,-162078525,-174524983,-200735827,-235541539
65,Other Comprehensive Income/Loss,-3396009,-3823159,-5584017,-5808012,-6209284,-6574308,-6026639,2547182,585626
66,Other Total Stockholders Equity,92661766,92524896,127073952,142013570,156298055,171875117,184789138,219129045,275708490
67,Total Stockholders Equity,-1831441,-8065624,7491046,3167481,1400997,3308741,4293339,21191255,41217080
68,Total Liabilities And Stockholders Equity,3158869,2654931,13762746,8984045,6619914,8950363,10421824,49751045,71666533
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3158869,2654931,13762746,8984045,6619914,8950363,10421824,49751045,71666533
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1293818/000114420416091560/0001144204-16-091560-index.html,https://www.sec.gov/Archives/edgar/data/1293818/000156459017005222/0001564590-17-005222-index.html,https://www.sec.gov/Archives/edgar/data/1293818/000156459018007151/0001564590-18-007151-index.html,https://www.sec.gov/Archives/edgar/data/1293818/000156459019004950/0001564590-19-004950-index.html,https://www.sec.gov/Archives/edgar/data/1293818/000156459020012253/0001564590-20-012253-index.htm,https://www.sec.gov/Archives/edgar/data/1293818/000107997321000195/0001079973-21-000195-index.htm,https://www.sec.gov/Archives/edgar/data/1293818/000107997322000358/0001079973-22-000358-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-10134821,-5671470,-17352073,-19166753,-15419308,-13368098,-12446458,-26210844,-34805712
74,Depreciation and Amortization,661807,573918,624653,656047,669088,730884,921379,2334739,2713907
75,Deferred Income Tax,- -,- -,-129095,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,152753,64412,1445088,945461,911398,862281,372870,316086,878575
77,Change in Working Capital,1107895,-3516541,9305607,-4587754,-1697633,2689715,326859,7786851,10310193
78,Accounts Receivable,938174,-257686,359298,136226,-260471,432814,-195019,438284,-575123
79,Inventory,-506088,-215906,424505,20179,161027,-11273,70286,-410341,-2336714
80,Accounts Payable,271460,198177,196444,-53229,-563357,89493,-503516,-481453,-471824
81,Other Working Capital,-791491,-4308032,4997575,409821,-1287812,1401903,1728762,9515613,19825806
82,Other Non-Cash Items,724544,3164139,-8172184,4902362,1232575,-1988779,-680089,-7623364,-576240
83,Cash Provided by Operating Activities,-7487822,-5385542,-14278004,-17250637,-14303880,-11073997,-11505439,-23396532,-21479277
84,CAPEX,-109871,-39537,-185296,-123514,-276950,-147767,-31826,-130354,-1983614
85,Acquisitions Net,- -,- -,1000000,- -,- -,- -,- -,1266849,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,367211,-123514,- -,10440,-2470750,-2200000,- -
89,Cash Used for Investing Activites,-109871,-39537,1181915,-123514,-276950,-137327,-2502576,-1063505,-1983614
90,Debt Repayment,-118087,-110881,-330317,-430698,-1460283,-664295,-1364781,-998182,-441076
91,Common Stock Issued,- -,- -,17366620,13866722,12563718,14128144,13062408,15821922,1483833
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-7166752
94,Other Financing Activites,1998411,4885132,3132775,228666,1244759,381253,470519,19263408,53575426
95,Cash Used/Provided by Financing Activities,1880324,4774251,20169078,13664690,12348194,13845102,12168146,34087148,47451431
96,Effect of Forex Changes on Cash,- -,- -,-8286,12565,-37517,12878,-3735,1586541,-1463609
97,Net Change In Cash,-5717369,-650828,7064703,-3696896,-2270153,2646656,-1843604,11213652,22524931
98,Cash at the End of Period,1400345,749517,7814220,4117324,1847171,4737207,2893603,14107255,36632186
99,Cash at the Beginning of Period,7117714,1400345,749517,7814220,4117324,2090551,4737207,2893603,14107255
100,Free Cash Flow,-7597693,-5425079,-14463300,-17374151,-14580830,-11221764,-11537265,-23526886,-23462891
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1293818/000114420416091560/0001144204-16-091560-index.html,https://www.sec.gov/Archives/edgar/data/1293818/000156459017005222/0001564590-17-005222-index.html,https://www.sec.gov/Archives/edgar/data/1293818/000156459018007151/0001564590-18-007151-index.html,https://www.sec.gov/Archives/edgar/data/1293818/000156459019004950/0001564590-19-004950-index.html,https://www.sec.gov/Archives/edgar/data/1293818/000156459020012253/0001564590-20-012253-index.htm,https://www.sec.gov/Archives/edgar/data/1293818/000107997321000195/0001079973-21-000195-index.htm,https://www.sec.gov/Archives/edgar/data/1293818/000107997322000358/0001079973-22-000358-index.htm
102,false,,,,,,,,,
