,https://roic.ai/company/SPSC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1092699/000095012311021730/c62861e10vk.htm,https://www.sec.gov/Archives/edgar/data/1092699/000119312512106386/0001193125-12-106386-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000119312513093885/0001193125-13-093885-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000119312514060842/d656812d10k.htm,https://www.sec.gov/Archives/edgar/data/1092699/000119312515056499/d845442d10k.htm,https://www.sec.gov/Archives/edgar/data/1092699/000119312516476036/0001193125-16-476036-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000119312517059313/0001193125-17-059313-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000156459018003249/0001564590-18-003249-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000156459019003903/0001564590-19-003903-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000156459020006450/0001564590-20-006450-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000156459021007614/0001564590-21-007614-index.htm,https://www.sec.gov/Archives/edgar/data/1092699/000156459022005952/0001564590-22-005952-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4854000,3715000,5931000,40473000,31985000,66050000,131294000,130795000,121538000,115877000,123127000,133859000,179252000,149692000,207552000
32,Short-Term Investments,1263000,- -,- -,- -,- -,- -,- -,- -,7517000,23076000,40192000,44537000,34284000,37786000,49758000
33,Cash and Short-Term Investments,6117000,3715000,5931000,40473000,31985000,66050000,131294000,130795000,129055000,138953000,163319000,178396000,213536000,187478000,257310000
34,Net Receivables,4149000,4564000,4766000,5574000,7958000,10940000,11611000,15422000,17615000,20746000,24897000,27488000,31532000,33578000,34562000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3553000,4843000,5566000,5594000,8296000,14521000,13170000,15977000,20116000,26234000,31240000,43731000,46553000,50300000,60571000
37,Total Current Assets,13819000,13122000,16263000,51641000,48239000,91511000,156075000,162194000,166786000,185933000,219456000,249615000,291621000,271356000,352443000
38,PP&E,2961000,2809000,2520000,2760000,3382000,7670000,9922000,11361000,13620000,15314000,16856000,20957000,39496000,42013000,42752000
39,Goodwill,1166000,1166000,1166000,1166000,5853000,25487000,25487000,34854000,33848000,49777000,51613000,69658000,76845000,134853000,143663000
40,Intangible Assets,1234000,446000,290000,290000,5767000,20240000,17082000,18851000,15081000,19788000,16529000,22741000,22668000,60230000,58587000
41,Intangible Assets,2400000,1612000,1456000,1456000,11620000,45727000,42569000,53705000,48929000,69565000,68142000,92399000,99513000,195083000,202250000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,14950000,7494000,5206000,- -,- -,2500000,- -
43,Tax Assets,- -,- -,- -,- -,11787000,10853000,10870000,11035000,11149000,12446000,17551000,10456000,2630000,194000,182000
44,Other Non-Current Assets,1507000,1654000,1680000,2023000,2590000,3440000,3894000,5480000,6297000,7613000,8309000,12696000,14180000,15312000,18219000
45,Total Non-Current Assets,6868000,6075000,5656000,6239000,29379000,67690000,67255000,81581000,94945000,112432000,116064000,136508000,155819000,255102000,263403000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20687000,19197000,21919000,57880000,77618000,159201000,223330000,243775000,261731000,298365000,335520000,386123000,447440000,526458000,615846000
48,Accounts Payable,1123000,804000,1345000,998000,1411000,1857000,1798000,3961000,2163000,2302000,4463000,4440000,4274000,5354000,8330000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2798000,4108000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,2355000,3067000,3530000,3585000,3840000,5499000,6335000,7505000,7740000,11055000,16407000,25328000,31463000,37947000,50428000
52,Other Current Liabilities,5806000,5637000,6415000,4506000,6215000,7115000,10782000,13094000,14331000,18804000,22277000,26754000,32293000,34033000,40006000
53,Total Current Liabilities,9284000,9508000,11290000,9089000,11466000,14471000,18915000,24560000,24234000,32161000,43147000,56522000,68030000,80132000,102872000
54,Long-Term Debt,1367000,732000,233000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19672000,16426000
55,Deferred Revenue,3172000,4014000,4025000,5002000,6599000,8312000,8785000,10653000,11005000,10847000,10602000,2512000,2851000,2996000,5144000
56,Deferred Tax Liabilities,- -,82000,110000,- -,- -,- -,- -,- -,- -,1911000,1887000,1376000,1193000,2937000,7145000
57,Other Non-Current Liabilities,66975000,66705000,66727000,281000,- -,1601000,2857000,3471000,4307000,4179000,3064000,6739000,20490000,- -,- -
58,Total Non-Current Liabilities,71514000,71533000,71095000,5283000,6599000,9913000,11642000,14124000,15312000,16937000,15553000,10627000,24534000,25605000,28715000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,1357000,994000,460000,122000,- -,- -,- -,- -,- -,- -,- -,- -,23868000,22470000,20534000
61,Total Liabilities,80798000,81041000,82385000,14372000,18065000,24384000,30557000,38684000,39546000,49098000,58700000,67149000,92564000,105737000,131587000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,- -,12000,12000,15000,16000,16000,17000,17000,17000,18000,36000,37000,38000
64,Retained Earnings,-64919000,-66814000,-65652000,-62768000,-49065000,-47843000,-46792000,-44088000,-39449000,-33739000,-19902000,15261000,48973000,93490000,138087000
65,Other Comprehensive Income/Loss,-5845000,-7020000,-8309000,-6478000,-7378000,-10243000,-14956000,-1000000,-4000000,-3000000,1000000,-3000000,-2000000,-1021000,-1447000
66,Other Total Stockholders Equity,10652000,11989000,13495000,112742000,115984000,192888000,254505000,250163000,265617000,285989000,295705000,306695000,307867000,328215000,347581000
67,Total Stockholders Equity,-60111000,-61844000,-60466000,43508000,59553000,134817000,192773000,205091000,222185000,249267000,276820000,318974000,354876000,420721000,484259000
68,Total Liabilities And Stockholders Equity,20687000,19197000,21919000,57880000,77618000,159201000,223330000,243775000,261731000,298365000,335520000,386123000,447440000,526458000,615846000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,20687000,19197000,21919000,57880000,77618000,159201000,223330000,243775000,261731000,298365000,335520000,386123000,447440000,526458000,615846000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1092699/000095012311021730/c62861e10vk.htm,https://www.sec.gov/Archives/edgar/data/1092699/000119312512106386/0001193125-12-106386-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000119312513093885/0001193125-13-093885-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000119312514060842/d656812d10k.htm,https://www.sec.gov/Archives/edgar/data/1092699/000119312515056499/d845442d10k.htm,https://www.sec.gov/Archives/edgar/data/1092699/000119312516476036/0001193125-16-476036-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000119312517059313/0001193125-17-059313-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000156459018003249/0001564590-18-003249-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000156459019003903/0001564590-19-003903-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000156459020006450/0001564590-20-006450-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000156459021007614/0001564590-21-007614-index.htm,https://www.sec.gov/Archives/edgar/data/1092699/000156459022005952/0001564590-22-005952-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-2156000,-1895000,1162000,2884000,13703000,1222000,1051000,2704000,4639000,5710000,-2440000,23872000,33712000,45586000,44597000
74,Depreciation and Amortization,1729000,1963000,1445000,1533000,2647000,4918000,8051000,8570000,9572000,11336000,11782000,12686000,16438000,18665000,24914000
75,Deferred Income Tax,- -,- -,- -,- -,-12708000,-15000,443000,1031000,-38000,-1698000,10854000,2798000,7581000,4241000,3881000
76,Stock Based Compensation,46000,157000,228000,750000,1768000,2755000,4203000,5396000,6379000,8023000,12728000,12510000,14690000,18936000,27574000
77,Change in Working Capital,-727000,-921000,1359000,37579000,-5779000,40267000,60120000,474000,4918000,11220000,22537000,16784000,30498000,-32367000,6887000
78,Accounts Receivable,-800000,-811000,-641000,-1081000,-2810000,-2067000,-1150000,-3890000,-3517000,-3735000,-5586000,-4569000,-6771000,-5922000,-4959000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,520000,-319000,541000,-347000,413000,446000,-59000,1271000,-1569000,-382000,832000,937000,-489000,1214000,2259000
81,Other Working Capital,4535000,3614000,4973000,42552000,36773000,77040000,137160000,137634000,142552000,153772000,176309000,193093000,223591000,191224000,14751000
82,Other Non-Cash Items,305000,-111000,964000,-37827000,4854000,-42318000,-55625000,-1387000,-11041000,-15826000,-24411000,-13635000,-31125000,33501000,5040000
83,Cash Provided by Operating Activities,-803000,-807000,5158000,4919000,4485000,6829000,18243000,16788000,14429000,18765000,31050000,55015000,71794000,88562000,112893000
84,CAPEX,-1123000,-884000,-1000000,-1772000,-2584000,-5983000,-5701000,-7582000,-8757000,-8008000,-7271000,-13750000,-13585000,-16467000,-19588000
85,Acquisitions Net,- -,- -,- -,- -,-10841000,-26262000,- -,-12595000,- -,-18032000,-500000,-27273000,-11500000,-98666000,-17066000
86,Purchases of Investments,-1263000,- -,- -,- -,- -,- -,- -,- -,-22527000,-23135000,-47878000,-81666000,-73700000,-74797000,-121242000
87,Sales/Maturities of Investments,- -,1263000,- -,- -,- -,- -,- -,- -,- -,15018000,33029000,82224000,84472000,69461000,111193000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2386000,379000,-1000000,-1772000,-13425000,-32245000,-5701000,-20177000,-31284000,-34157000,-22620000,-40465000,-14313000,-120469000,-46703000
90,Debt Repayment,-3977000,-11996000,-18068000,-7020000,-122000,-11410000,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,32902000,- -,57940000,47738000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-201000,- -,- -,- -,- -,- -,- -,- -,-5815000,-19864000,-20618000,-18950000,-20430000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10078000,11285000,16327000,5513000,574000,12951000,4964000,3485000,8254000,10105000,3343000,16089000,8476000,21278000,12069000
95,Cash Used/Provided by Financing Activities,6101000,-711000,-1942000,31395000,452000,59481000,52702000,3485000,8254000,10105000,-2472000,-3775000,-12142000,2328000,-8361000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-595000,-656000,-374000,1292000,-43000,54000,19000,31000
97,Net Change In Cash,2912000,-1139000,2216000,34542000,-8488000,34065000,65244000,-499000,-9257000,-5661000,7250000,10732000,45393000,-29560000,57860000
98,Cash at the End of Period,4854000,3715000,5931000,40473000,31985000,66050000,131294000,130795000,121538000,115877000,123127000,133859000,179252000,149692000,207552000
99,Cash at the Beginning of Period,1942000,4854000,3715000,5931000,40473000,31985000,66050000,131294000,130795000,121538000,115877000,123127000,133859000,179252000,149692000
100,Free Cash Flow,-1926000,-1691000,4158000,3147000,1901000,846000,12542000,9206000,5672000,10757000,23779000,41265000,58209000,72095000,93305000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1092699/000095012311021730/c62861e10vk.htm,https://www.sec.gov/Archives/edgar/data/1092699/000119312512106386/0001193125-12-106386-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000119312513093885/0001193125-13-093885-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000119312514060842/d656812d10k.htm,https://www.sec.gov/Archives/edgar/data/1092699/000119312515056499/d845442d10k.htm,https://www.sec.gov/Archives/edgar/data/1092699/000119312516476036/0001193125-16-476036-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000119312517059313/0001193125-17-059313-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000156459018003249/0001564590-18-003249-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000156459019003903/0001564590-19-003903-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000156459020006450/0001564590-20-006450-index.html,https://www.sec.gov/Archives/edgar/data/1092699/000156459021007614/0001564590-21-007614-index.htm,https://www.sec.gov/Archives/edgar/data/1092699/000156459022005952/0001564590-22-005952-index.htm
102,false,,,,,,,,,,,,,,,
