,https://roic.ai/company/OHI,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,-700000,-2800000,-6700000,-13000000,17701000,21546000,26907000,30331000,302928000,239717000,127870000,33496000,30610000,40948000,46649000,48530000,83440000,79833000,107675000,126861000,134313000,152375000,151868000,257142000,322774000,349854000,351476000,374485000,440126000,496635000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240000,21000,105000,40000,29000,41000,44000,285000,173000,267000,313000,856000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39746000,39075000,90602000,86899000,106096000,92048000,126869000,183208000,175561000,220243000,201422000,208715000,223389000,234604000
14,Depreciation and Amortization,800000,3000000,6700000,13000000,13693000,16910000,21543000,24211000,23265000,22066000,21270000,20985000,23403000,27398000,32263000,36056000,39890000,44694000,84623000,100337000,112983000,128646000,123257000,210703000,267062000,287591000,281279000,301683000,329924000,342014000
15,EBITDA,5200000,14600000,24500000,36000000,48283000,61761000,97752000,43882000,-26292000,5409000,6624000,44015000,40141000,64086000,90307000,105423000,157701000,165880000,233661000,239842000,339777000,393215000,471475000,619646000,810443000,611501000,767289000,854365000,717565000,997197000
16,EBITDA ratio,0.8814,0.7019,0.6481,0.5863,0.6603,0.6800,0.8990,0.3586,-0.0953,0.0210,0.0483,0.5102,0.4438,0.6057,0.6655,0.6607,0.8139,0.8402,0.9045,0.8208,0.9695,0.9391,0.9340,0.8333,0.8997,0.6732,0.8703,0.9198,0.8041,0.9383
17,Operating Income,6600000,23600000,44500000,74400000,55426000,69274000,81831000,92044000,-17146000,17224000,10187000,46064000,60097000,66463000,89044000,111028000,104738000,115885000,148937000,137795000,214966000,265679000,345311000,411269000,509745000,261262000,497590000,551745000,452255000,416080000
18,Operating Income ratio,1.1186,1.1346,1.1772,1.2117,0.7579,0.7628,0.7526,0.7521,-0.0622,0.0669,0.0743,0.5340,0.6644,0.6281,0.6562,0.6958,0.5405,0.5869,0.5766,0.4716,0.6134,0.6345,0.6841,0.5531,0.5659,0.2876,0.5644,0.5940,0.5068,0.3915
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,9989000,-677000,3494000,-6042000,-23446000,-5033000,-30655000,-43437000,-27119000,-33774000,-90501000,-85189000,-94268000,-93158000,-123962000,-176743000,-125412000,-155341000,-201077000,-207901000,-289928000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58389000,67591000,77619000,82111000,58436000,52606000,120698000,172521000,221349000,234526000,384333000,105921000,296513000,343844000,162327000,416080000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4303,0.4236,0.4006,0.4159,0.2262,0.1800,0.3444,0.4120,0.4385,0.3154,0.4266,0.1166,0.3363,0.3702,0.1819,0.3915
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2347000,-7000,-72000,- -,- -,- -,- -,- -,- -,1211000,1405000,3248000,3010000,2844000,4925000,3840000
23,Net Income,4400000,11600000,17800000,23000000,34590000,44851000,76209000,19671000,-49557000,-16657000,-14646000,23030000,16738000,36688000,55697000,69374000,78137000,82111000,58436000,52606000,120698000,172521000,221349000,224524000,366415000,100419000,281578000,341123000,159327000,416739000
24,Net Income ratio,0.7458,0.5577,0.4709,0.3746,0.4730,0.4938,0.7008,0.1607,-0.1797,-0.0647,-0.1068,0.2670,0.1851,0.3467,0.4105,0.4348,0.4033,0.4159,0.2262,0.1800,0.3444,0.4120,0.4385,0.3019,0.4068,0.1105,0.3194,0.3673,0.1785,0.3921
25,EPS,0.68,1.78,1.70,1.43,2.01,2.16,3.39,0.51,-3.32,-1.83,-1.00,0.08,-0.88,0.45,0.78,0.90,0.94,0.87,0.52,0.46,1.12,1.47,1.75,1.30,1.91,0.51,1.41,1.60,0.70,1.76
26,EPS Diluted,0.68,1.78,1.70,1.43,2.01,2.16,3.39,0.51,-3.32,-1.83,-1.00,0.08,-0.88,0.45,0.78,0.90,0.94,0.87,0.52,0.46,1.12,1.46,1.74,1.29,1.90,0.51,1.40,1.58,0.70,1.75
27,Weighted Average Shares Outstanding,6470588,6516854,8787879,16083916,17196000,19085000,20034000,19877000,20052000,20038000,34739000,37189000,45472000,51738000,58651000,65858000,75127000,83556000,94056000,102119000,107591000,117257000,126550000,172242000,191781000,197738000,200279000,213404000,227741000,236933000
28,Weighted Average Shares Outstanding Diluted,6470588,6516854,8787879,16083916,17196000,19137000,20041000,19877000,20052000,20038000,34739000,38154000,45472000,52059000,58745000,65886000,75213000,83649000,94237000,102177000,108011000,118100000,127294000,180508000,201635000,206790000,209711000,222125000,235104000,244338000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/888491/000114420418010511/0001144204-18-010511-index.htm,https://www.sec.gov/Archives/edgar/data/888491/000088849119000006/0000888491-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/888491/000088849120000007/0000888491-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/888491/000088849121000006/0000888491-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/888491/000088849122000007/0000888491-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15178000,3094000,12083000,3948000,729000,1979000,209000,2170000,6921000,351000,1711000,2616000,4489000,5424000,93687000,85937000,10300000,24117000,163535000,20534000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213125000,29787000,29699000,23490000,22078000,13683000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228303000,32881000,41782000,27438000,22807000,15662000,209000,2170000,6921000,351000,1711000,2616000,4489000,5424000,93687000,85937000,10300000,24117000,163535000,20534000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176680000,121708000,5582000,5885000,51194000,64992000,75037000,81558000,92819000,100664000,363801000,918464000,1355487000,1471358000,1481316000,644299000,479639000,419701000,1141151000,1109033000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6294000,64003000,79571000,34112000,37680000,33115000,41868000,21206000,66457000,97570000,2360000,14185000,85475000,265028000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81540000,147731000,179311000,135127000,403192000,954195000,1401844000,1497988000,1641460000,827806000,492299000,458003000,1390161000,1394595000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,551202000,557977000,773253000,943394000,1080863000,1085045000,1120158000,1373402000,1985861000,2066619000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,645683000,643474000,644690000,643950000,644415000,651737000,651417000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,645683000,643474000,644690000,643950000,644415000,651737000,651417000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36887000,29787000,29699000,23490000,22078000,13683000,29864000,33677000,28735000,52957000,47339000,53054000,48952000,89299000,305622000,312858000,535671000,619112000,668080000,664571000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132905000,100223000,110100000,302609000,2531474000,2454967000,2470849000,5786039000,6358704000,6987951000,6918957000,8074594000,6787471000,6927895000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1282927000,1507302000,2124696000,2422185000,2578813000,2508021000,2519801000,6521021000,7307800000,7945499000,8098578000,9338121000,8107288000,8243883000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,802620000,725054000,833563000,1015729000,1175370000,1182287000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,802620000,725054000,833563000,1015729000,1175370000,1182287000,1364467000,1655033000,2304007000,2557312000,2982005000,3462216000,3921645000,8019009000,8949260000,8773305000,8590877000,9796124000,9497449000,9638478000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,290000000,313000000,125000000,101158000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10766000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88920000,51657000,121859000,127428000,403744000,463695000,226815000,563706000,550514000,295142000,272172000,312040000,270058000,268516000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88920000,51657000,121859000,127428000,403744000,463695000,226815000,563706000,550514000,585142000,585172000,437040000,381982000,268516000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306462000,280594000,379508000,566229000,676141000,532714000,484697000,738149000,1176965000,1551400000,1566932000,1698418000,2293503000,3339086000,4176854000,4282158000,4227622000,5011140000,5068094000,5253536000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5646000,- -,- -,- -,- -,- -,- -,- -,- -,15352000,9906000,17747000,13599000,11350000,10766000,8200000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2862000,- -,1117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306462000,280594000,379508000,566229000,681787000,532714000,487559000,738149000,1178082000,1551400000,1566932000,1698418000,2293503000,3354438000,4186760000,4299905000,4241221000,5022490000,5078860000,5261736000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,629381000,569413000,780591000,1152277000,1391703000,1128874000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,322919000,288819000,401083000,586048000,709916000,596160000,576479000,789806000,1299941000,1678828000,1970676000,2162113000,2520318000,3918144000,4737274000,4885047000,4826393000,5459530000,5460842000,5530252000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212342000,212342000,168488000,118488000,118488000,118488000,108488000,108488000,108488000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3714000,3729000,5082000,5687000,5970000,6811000,8238000,8827000,9923000,10341000,11239000,12353000,12761000,18740000,19614000,19831000,20235000,22663000,23119000,23906000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-214409000,174275000,-330333000,-351407000,292766000,362140000,440277000,-410019000,-490476000,-603238000,-664765000,-710419000,-747668000,-881516000,-968450000,-1370892000,-1608686000,-1840110000,-2321362000,-2542434000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-117986000,-134477000,-153379000,-157255000,-188188000,-221366000,-251854000,-296441000,-380995000,-470420000,- -,- -,- -,- -,- -,-30000000,-42000000,-40000000,-13000000,-2200000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,596040000,180366000,742622000,814168000,236418000,320054000,482839000,1454372000,1757126000,1941801000,1664855000,1998169000,2136234000,4600762000,4807581000,4936152000,5074892000,5992875000,6153119000,6427566000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,479701000,436235000,432480000,429681000,465454000,586127000,787988000,865227000,1004066000,878484000,1011329000,1300103000,1401327000,3737986000,3858745000,3555091000,3444441000,4135428000,3841876000,3906838000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,802620000,725054000,833563000,1015729000,1175370000,1182287000,1364467000,1655033000,2304007000,2557312000,2982005000,3462216000,3921645000,7656130000,8596019000,8440138000,8270834000,9594958000,9302718000,9437090000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,362879000,353241000,333167000,320043000,201166000,194731000,201388000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,802620000,725054000,833563000,1015729000,1175370000,1182287000,1364467000,1655033000,2304007000,2557312000,2982005000,3462216000,3921645000,8019009000,8949260000,8773305000,8590877000,9796124000,9497449000,9638478000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/888491/000114420418010511/0001144204-18-010511-index.htm,https://www.sec.gov/Archives/edgar/data/888491/000088849119000006/0000888491-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/888491/000088849120000007/0000888491-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/888491/000088849121000006/0000888491-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/888491/000088849122000007/0000888491-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4400000,11600000,17800000,23000000,34590000,44851000,76209000,19671000,-49557000,-16657000,-14646000,23030000,16738000,36688000,55697000,69374000,78137000,82111000,58436000,52606000,120698000,172521000,221349000,224524000,366415000,100419000,281578000,341123000,159327000,416739000
74,Depreciation and Amortization,800000,3000000,6700000,13000000,13693000,16910000,21543000,24211000,23265000,22066000,21270000,20985000,23403000,27398000,32263000,36056000,39890000,44694000,84623000,100337000,112983000,128646000,123257000,210703000,267062000,287591000,281279000,301683000,329924000,342014000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6037000,- -,- -,- -,- -,13790000,15212000,15987000,15359000,18822000,21415000
77,Change in Working Capital,600000,- -,- -,- -,-5903000,8541000,1382000,-4020000,31556000,-33311000,1755000,- -,- -,- -,- -,- -,-7380000,103454000,-38622000,-49753000,-8251000,491052000,684529000,-240747000,156664000,-848282000,-335537000,113836000,987216000,-94026000
78,Accounts Receivable,-300000,-1500000,- -,-700000,-200000,-4400000,-4000000,- -,-20442000,2909000,19630000,5513000,-3062000,3772000,-23629000,-14279000,681000,-180000,-45000,-1463000,-22281000,-22952000,-20564000,-34815000,-44378000,-70280000,-91929000,-94582000,-45702000,-75375000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,600000,3500000,- -,1400000,6100000,1800000,- -,- -,4674000,-3820000,-4427000,-1478000,- -,- -,- -,-5574000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-5903000,2638000,4020000,- -,31556000,-1755000,- -,- -,- -,- -,- -,- -,-7380000,96074000,57452000,7699000,-552000,490500000,1175029000,934282000,1090946000,242664000,-92873000,20963000,1008179000,-4918000
82,Other Non-Cash Items,-300000,2000000,3200000,8800000,12506000,-9871000,-29421000,34450000,14228000,43810000,33166000,12438000,14221000,8871000,-25149000,-20888000,-21319000,-83036000,53126000,60544000,-17159000,-512270000,-691595000,269405000,-178140000,1022972000,256066000,-218254000,-787033000,35994000
83,Cash Provided by Operating Activities,5500000,16600000,27700000,44800000,54886000,60431000,69713000,74312000,19492000,15908000,41545000,56453000,54362000,72957000,62811000,84542000,89328000,147223000,157563000,169771000,208271000,279949000,337540000,463885000,625791000,577912000,499373000,553747000,708256000,722136000
84,CAPEX,- -,- -,-33400000,-23000000,-18621000,-184877000,-157474000,-79844000,- -,-2000,-727000,-1504000,-119820000,-252525000,-185712000,-48053000,-130218000,-182708000,-379205000,-106301000,- -,- -,- -,-164226000,-68983000,-86689000,-139441000,-139678000,-75111000,-95064000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-79844000,- -,- -,- -,- -,-114214000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84858000,-50032000,2341000,- -,-163579000,-10029000,-16214000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3430000,-9574000,-34445000,-8978000,-111238000,-44944000,-37093000,-163546000,-9737000,-36655000,-9441000,-65402000,-271557000,-139047000,-385707000,-100312000,-167936000,-164793000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,37771000,- -,- -,- -,- -,12911000,6152000,60513000,2406000,9042000,48412000,42900000,21483000,12207000,15355000,30962000,13589000,45871000,96789000,95696000,181371000,91281000,149866000,111109000
88,Other Investing Activites,-143300000,-88500000,-43700000,-49000000,-76223000,-4481000,-121906000,117051000,31013000,29291000,31607000,19703000,125085000,6245000,56396000,18083000,-11513000,-47484000,-36025000,-19597000,-396321000,-593138000,-552093000,-298512000,-820125000,-157434000,170558000,-66665000,14153000,-359211000
89,Cash Used for Investing Activites,-143300000,-88500000,-77100000,-72000000,-94844000,-189358000,-241609000,-42637000,31013000,29289000,30880000,31110000,-106227000,-195341000,-161355000,-29906000,-187099000,-209004000,-394815000,-257640000,-390703000,-598831000,-547945000,-397411000,-1113908000,-285133000,-173219000,-378953000,-89057000,-524173000
90,Debt Repayment,- -,-700000,-11600000,-97700000,-9794000,-6578000,-190312000,-44678000,-141459000,-46268000,-111404000,-202942000,-326502000,-424488000,-171190000,-231415000,-386795000,-250173000,-949578000,-299093000,-917186000,-457642000,-1383544000,-3868314000,-1525249000,-2839788000,-1270049000,-2081322000,-1838155000,-2178311000
91,Common Stock Issued,130200000,- -,70400000,- -,30500000,- -,- -,- -,100000000,- -,- -,287000,128800000,107754000,178000,112878000,195720000,23020000,138781000,31210000,77618000,278373000,61981000,439322000,19651000,22120000,75532000,404863000,152783000,274011000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-3545000,-8106000,-100000000,- -,- -,- -,-117090000,-100026000,-178000,- -,-7560000,- -,- -,-111484000,- -,- -,- -,- -,-733000,-48000,-134000,- -,- -,-79000
93,Dividends Paid,-1600000,-12800000,-19800000,-37800000,-42322000,-51431000,-61168000,-65287000,-29646000,- -,- -,-65469000,-49169000,-55749000,-66869000,-81260000,-98063000,-109235000,-138883000,-161893000,-182190000,-218116000,-258501000,-358232000,-453152000,-502603000,-528696000,-564127000,-612310000,-637648000
94,Other Financing Activites,10700000,92700000,14700000,156200000,61392000,181192000,428298000,88624000,123667000,5344000,42712000,169315000,424815000,586758000,333384000,146411000,392699000,400130000,1191683000,622559000,1205550000,717172000,1792342000,3721908000,2535779000,3016504000,1312646000,2086627000,1812134000,2200910000
95,Cash Used/Provided by Financing Activities,139300000,79200000,53700000,20700000,39776000,123183000,173273000,-29447000,-47438000,-40924000,-68692000,-98809000,60854000,114249000,95325000,-53386000,96001000,63742000,242003000,81299000,183792000,319787000,212278000,-65316000,576296000,-303815000,-410701000,-153959000,-485548000,-341117000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000,568000,-590000,874000,527000,7000
97,Net Change In Cash,139300000,79200000,53700000,20700000,-182000,-5744000,1377000,2228000,3067000,4273000,3733000,-11246000,8989000,-8135000,-3219000,1250000,-1770000,1961000,4751000,-6570000,1360000,905000,1873000,935000,88263000,-10468000,-85137000,21709000,134178000,-143147000
98,Cash at the End of Period,- -,- -,- -,- -,6244000,500000,1877000,4105000,7172000,11445000,15178000,3094000,12083000,3948000,729000,1979000,209000,2170000,6921000,351000,1711000,2616000,4489000,5424000,93687000,96808000,11671000,33380000,167558000,24411000
99,Cash at the Beginning of Period,- -,1400000,8600000,13000000,6426000,6244000,500000,1877000,4105000,7172000,11445000,14340000,3094000,12083000,3948000,729000,1979000,209000,2170000,6921000,351000,1711000,2616000,4489000,5424000,107276000,96808000,11671000,33380000,167558000
100,Free Cash Flow,5500000,16600000,-5700000,21800000,36265000,-124446000,-87761000,-5532000,19492000,15906000,40818000,54949000,-65458000,-179568000,-122901000,36489000,-40890000,-35485000,-221642000,63470000,208271000,279949000,337540000,299659000,556808000,491223000,359932000,414069000,633145000,627072000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/888491/000114420418010511/0001144204-18-010511-index.htm,https://www.sec.gov/Archives/edgar/data/888491/000088849119000006/0000888491-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/888491/000088849120000007/0000888491-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/888491/000088849121000006/0000888491-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/888491/000088849122000007/0000888491-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
