,https://roic.ai/company/CPMD,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35400
91,Common Stock Issued,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,3331000,804670,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98955,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,62807,56504,69123,60000,12029,10913,10992,-33934,5801,19758,- -,2132000,3365400,859973
95,Cash Used/Provided by Financing Activities,- -,- -,- -,112807,56504,69123,60000,12029,10913,10992,3297066,810471,19758,- -,2132000,3266445,824573
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112692,72422
97,Net Change In Cash,- -,- -,- -,112807,56504,69123,60000,-75,- -,10992,3297066,-1602618,19758,- -,2132000,-462571,333422
98,Cash at the End of Period,- -,- -,- -,5979,- -,- -,100,25,25,- -,1605239,2621,- -,- -,464118,1547,334969
99,Cash at the Beginning of Period,- -,- -,- -,- -,5979,- -,- -,100,25,25,- -,1605239,2621,- -,- -,464118,1547
100,Free Cash Flow,- -,- -,- -,-106828,-62483,-69123,-60000,-12104,-10913,-11017,-1641827,-2550837,-22380,- -,-941136,-3841708,-563573
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1081938/000107258809000109/0001072588-09-000109-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1081938/000107258812000034/0001072588-12-000034-index.html,https://www.sec.gov/Archives/edgar/data/1081938/000106594913000038/0001065949-13-000038-index.html,https://www.sec.gov/Archives/edgar/data/1081938/000107258814000014/0001072588-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000119312515113552/0001193125-15-113552-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316818002697/0001683168-18-002697-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316818002736/0001683168-18-002736-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316818002744/0001683168-18-002744-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316819002603/0001683168-19-002603-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316820002022/0001683168-20-002022-index.htm,https://www.sec.gov/Archives/edgar/data/1081938/000168316821001389/0001683168-21-001389-index.htm
102,false,,,,,,,,,,,,,,,,,
