,https://roic.ai/company/WVVI,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1600,0.1290,0.1111,0.2093,0.1228,0.1967,-0.0195,0.1937,0.1896,0.2250,0.1777,0.1865,0.1884,0.1939,0.2038,0.1246,0.1094,0.0920,0.1492,0.2315,0.2503,0.2838,0.2653,0.2952,0.2621,0.2639,0.2310,0.1553,0.1185
17,Operating Income,100000,200000,100000,400000,500000,300000,274841,408674,491139,549609,456091,1011519,2000403,2274407,2726063,1363158,1117399,846604,1500437,2198880,2374544,2806222,3268577,4167401,3636044,4182715,3727524,5001773,3690019
18,Operating Income ratio,0.0400,0.0645,0.0278,0.0930,0.0877,0.0492,0.0465,0.0608,0.0699,0.0918,0.0625,0.1078,0.1464,0.1525,0.1631,0.0849,0.0675,0.0487,0.0958,0.1755,0.1789,0.1852,0.1822,0.2145,0.1744,0.1812,0.1506,0.1831,0.1161
19,Total Other Income Expenses (Gains),100000,- -,- -,-100000,-300000,200000,-389953,-374017,-378279,-322297,-213606,-202361,-215203,-93012,-5232,-100023,-141928,-161445,-127756,-99212,-46343,131117,-91329,-60116,-189539,-243129,-264500,-227123,-223677
20,Income Before Tax,- -,- -,- -,300000,200000,- -,-115112,34657,112860,227312,242485,809158,1785200,2181395,2720831,1263135,975471,685159,1372681,2099668,2328201,2937339,3177248,4107285,3446505,3939586,3463024,4774650,3466342
21,Income Before Tax Ratio,- -,- -,- -,0.0698,0.0351,- -,-0.0195,0.0052,0.0161,0.0380,0.0332,0.0862,0.1306,0.1462,0.1628,0.0787,0.0589,0.0394,0.0876,0.1676,0.1754,0.1938,0.1771,0.2114,0.1653,0.1707,0.1399,0.1748,0.1090
22,Income Tax expense (Gain),- -,- -,- -,100000,100000,100000,-22880,19595,54015,90837,104265,345476,628261,889621,1034170,554541,244001,273351,514926,739434,904709,775999,1275416,1478310,452726,1081006,952123,-1379654,-1020879
23,Net Income,100000,200000,- -,200000,100000,-100000,-92232,15062,58845,136475,138220,463682,1156939,1291774,1686661,708594,731470,411808,857755,1202849,1423492,2161340,1901832,2628975,2993779,2858580,2510901,3394996,2445463
24,Net Income ratio,0.0400,0.0645,- -,0.0465,0.0175,-0.0164,-0.0156,0.0022,0.0084,0.0228,0.0189,0.0494,0.0846,0.0866,0.1009,0.0442,0.0442,0.0237,0.0548,0.0960,0.1073,0.1426,0.1060,0.1353,0.1436,0.1239,0.1015,0.1243,0.0769
25,EPS,0.03,0.04,- -,0.05,0.02,-0.02,-0.02,0.00,0.01,0.03,0.03,0.10,0.26,0.27,0.35,0.15,0.15,0.08,0.18,0.25,0.30,0.45,0.37,0.43,0.46,0.37,0.30,0.46,0.49
26,EPS Diluted,0.03,0.04,- -,0.05,0.02,-0.02,-0.02,0.00,0.01,0.03,0.03,0.10,0.25,0.26,0.34,0.14,0.15,0.08,0.18,0.25,0.29,0.44,0.37,0.43,0.46,0.37,0.30,0.46,0.49
27,Weighted Average Shares Outstanding,3333333,3785000,3785000,3785356,5000000,5000000,4611600,4253431,4323968,4549167,4607333,4636820,4449765,4784348,4819031,4845782,4869298,4890687,4892977,4849163,4804801,4849614,4928712,4991065,4985219,4964529,4964529,4964529,4964529
28,Weighted Average Shares Outstanding Diluted,3333333,3785000,3785000,3785356,5000000,5000000,4611600,4253431,4323968,4549167,4607333,4636820,4627756,4968362,4960768,4906690,4876410,4897303,4895968,4855756,4856321,4930494,4963999,4995343,4985219,4964529,4964529,4964529,4964529
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/838875/000110465908034128/0001104659-08-034128-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000114420409017513/0001144204-09-017513-index.html,https://www.sec.gov/Archives/edgar/data/838875/000114420410016310/0001144204-10-016310-index.html,https://www.sec.gov/Archives/edgar/data/838875/000114420411019287/0001144204-11-019287-index.html,https://www.sec.gov/Archives/edgar/data/838875/000119983512000142/0001199835-12-000142-index.html,https://www.sec.gov/Archives/edgar/data/838875/000119983513000141/0001199835-13-000141-index.html,https://www.sec.gov/Archives/edgar/data/838875/000119983514000112/0001199835-14-000112-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983515000073/wvvi_10k-16325.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983516000651/0001199835-16-000651-index.html,https://www.sec.gov/Archives/edgar/data/838875/000165495417002343/0001654954-17-002343-index.html,https://www.sec.gov/Archives/edgar/data/838875/000165495418002934/0001654954-18-002934-index.html,https://www.sec.gov/Archives/edgar/data/838875/000165495419003037/0001654954-19-003037-index.html,https://www.sec.gov/Archives/edgar/data/838875/000119983520000018/0001199835-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/838875/000165495421002818/0001654954-21-002818-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983522000167/0001199835-22-000167-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,800000,10000,100000,219041,252876,504510,632183,213681,851492,415591,1612470,1083405,350361,- -,1518864,3411292,4553113,945683,519761,4010664,5706351,13776257,9737467,7050176,13999755,13747285
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,800000,10000,100000,219041,252876,504510,632183,213681,851492,415591,1612470,1083405,350361,- -,1518864,3411292,4553113,945683,519761,4010664,5706351,13776257,9737467,7050176,13999755,13747285
34,Net Receivables,- -,- -,- -,300000,800000,400000,429495,564020,746678,519861,878506,908510,1568255,1609697,1866583,1267296,1985870,1442444,1599141,1370515,1622754,1935138,1889015,1871450,1760039,2429953,2437572,2671576,3163375
35,Inventory,- -,- -,- -,2800000,4200000,4600000,6142697,6921014,6905865,7550291,7335378,7827982,6950993,6751927,7976432,10604204,12169407,10712018,9619145,9226884,9833312,9910570,10632462,11970656,14793594,16247109,17075080,17687973,19076750
36,Other Current Assets,- -,- -,- -,200000,190000,400000,179900,164905,233566,196120,220888,162460,113561,214743,91981,150534,58746,82241,138382,89503,177769,150024,1607405,399740,108102,219800,202981,666826,438447
37,Total Current Assets,- -,- -,- -,4100000,5200000,5500000,6971133,7902815,8390619,8898455,8648453,9750444,9048400,10188837,11018401,12372395,14214023,13755567,14767960,15240015,12579518,12515493,18139546,19948197,30437992,28634329,26765809,35026130,36425857
38,PP&E,- -,- -,- -,5400000,6900000,6800000,6402023,5989169,5652067,5046893,4698915,4254526,4037160,3985680,4200155,6069408,6192229,6243990,7300737,8305616,13659090,15038659,16729162,20196945,23201876,25784451,33511208,31486856,46846461
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,59186,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3596507
44,Other Non-Current Assets,- -,- -,- -,800000,1800000,2100000,1652874,1905888,2630549,2601905,2595471,2183579,1641554,1623927,1964639,1893297,1899036,1770643,2218030,1865345,2766204,3423149,3750168,4666794,6055403,7063756,7638470,- -,4506285
45,Total Non-Current Assets,- -,- -,- -,6200000,8700000,8900000,8054897,7895057,8282616,7648798,7294386,6438105,5678714,5609607,6164794,7962705,8091265,8014633,9518767,10170961,16425294,18461808,20539330,24922925,29257279,32848207,41149678,31486856,54949253
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,10300000,13900000,14400000,15026030,15797872,16673235,16547253,15942839,16188549,14727114,15798444,17183195,20335100,22305288,21770200,24286727,25410976,29004812,30977301,38678876,44871122,59695271,61482536,67915487,66512986,91375110
48,Accounts Payable,- -,- -,- -,100000,400000,300000,960479,847883,1002501,371253,752219,510803,811141,945741,564494,1111499,823517,748813,301168,728596,711333,742024,386137,505085,993598,844820,859215,1416210,2102435
49,Short-Term Debt,- -,- -,- -,600000,1600000,1800000,1899086,2837470,1595149,2288009,1380807,1490208,283334,251437,284786,354536,845738,452226,197936,209327,306353,329255,594420,625888,2156903,2102474,2110333,2112307,1388324
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350870,- -,- -,- -,17659,- -,- -,- -,389798,125297,- -,- -,- -,138986
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142857,142857,142857,177292,216057,356469,401784,517710,604777,622077,938257
52,Other Current Liabilities,- -,- -,- -,700000,700000,900000,996647,1058028,1292942,1195924,1128933,1398220,1165029,1180150,1006886,1456372,1186959,1100408,1179216,1290356,1589870,1456438,2897691,2078869,2882598,1930258,1796876,3152926,7502967
53,Total Current Liabilities,- -,- -,- -,1400000,2700000,3000000,3856212,4743381,3890592,3855186,3261959,3399231,2259504,2377328,1856166,2922407,2856214,2301447,1821177,2371136,2750413,2705009,4094305,3566311,6434883,5395262,5371201,7303520,11931983
54,Long-Term Debt,- -,- -,- -,3100000,3900000,4100000,3583007,3406681,3184031,2944511,2693108,2331987,1986531,1237571,946372,2178246,3286005,2827086,4010654,3816911,5510392,5173039,5069432,4443685,6793051,6251316,5826161,450040,4930193
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,496744,1059169,884214,709259,534305,359350,184395,57077,24983,- -,- -,3596507
56,Deferred Tax Liabilities,- -,- -,- -,100000,200000,300000,100798,146819,209968,209095,300856,212975,148000,242000,262000,355207,491000,578000,754000,800000,993000,1211000,1848000,1931000,1587227,2200227,2958606,- -,3596507
57,Other Non-Current Liabilities,- -,- -,- -,100000,- -,- -,508054,506329,2010103,2010930,2008738,2106094,606985,601070,601961,563672,532040,- -,208047,197241,182490,163696,140756,113567,82024,50480,4714413,- -,2357926
58,Total Non-Current Liabilities,- -,- -,- -,3300000,4100000,4400000,4191859,4059829,5404102,5164536,5002702,4651056,2741516,2080641,1810333,3097125,4309045,3901830,6031870,5698366,7395141,7082040,7417538,6672647,8519379,8527006,13499180,450040,14481133
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13814940,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4917895,5002030,- -
61,Total Liabilities,- -,- -,- -,4700000,6800000,7400000,8048071,8803210,9294694,9019722,8264661,8050287,5001020,4457969,3666499,6019532,7165259,6203277,7853047,8069502,10145554,9787049,11511843,10238958,14954262,13922268,18870381,20668420,26413116
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3735437,9061307,17339508,18319102,18319102,25817305,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,6815972,6817613,7142647,7155162,7167589,7182329,7613222,- -,- -,- -,- -,- -,- -,8656926,8857085,9026739,9674362,8971575,8512489,8512489,8512489,- -,8512489
64,Retained Earnings,- -,- -,- -,300000,300000,300000,161987,177049,235894,372369,510589,955933,2112872,3404646,5091307,5799901,6531371,6943179,7800934,9003783,10427275,12588615,14432836,16599282,18889012,20728677,22213515,24492133,25493313
65,Other Comprehensive Income/Loss,- -,- -,- -,-1500000,-1900000,-2500000,-3153837,-3810806,-4493382,-5175643,-5788719,-4967465,-5415938,-5575051,-6224198,-6842745,-7426817,-8064058,-8717653,-8908799,-9543193,-10477209,-11654901,-12897082,-14310026,-15841834,-17381005,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,6800000,8700000,9200000,3153837,3810806,4493382,5175643,5788719,4967465,5415938,13510880,14649587,15358412,16035475,16687802,17350399,8589584,9118091,10052107,10979299,12897082,14310026,15841834,17381005,34329794,30956192
67,Total Stockholders Equity,- -,- -,- -,5600000,7100000,7000000,6977959,6994662,7378541,7527531,7678178,8138262,9726094,11340475,13516696,14315568,15140029,15566923,16433680,17341494,18859258,21190252,27167033,34632164,44741009,47560268,49045106,58821927,64961994
68,Total Liabilities And Stockholders Equity,- -,- -,- -,10300000,13900000,14400000,15026030,15797872,16673235,16547253,15942839,16188549,14727114,15798444,17183195,20335100,22305288,21770200,24286727,25410996,29004812,30977301,38678876,44871122,59695271,61482536,67915487,79490347,91375110
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20,- -,- -,- -,- -,- -,- -,- -,-12977361,- -
70,Total Liabilities & Equity,- -,- -,- -,10300000,13900000,14400000,15026030,15797872,16673235,16547253,15942839,16188549,14727114,15798444,17183195,20335100,22305288,21770200,24286727,25410976,29004812,30977301,38678876,44871122,59695271,61482536,67915487,66512986,91375110
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/838875/000110465908034128/0001104659-08-034128-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000114420409017513/0001144204-09-017513-index.html,https://www.sec.gov/Archives/edgar/data/838875/000114420410016310/0001144204-10-016310-index.html,https://www.sec.gov/Archives/edgar/data/838875/000114420411019287/0001144204-11-019287-index.html,https://www.sec.gov/Archives/edgar/data/838875/000119983512000142/0001199835-12-000142-index.html,https://www.sec.gov/Archives/edgar/data/838875/000119983513000141/0001199835-13-000141-index.html,https://www.sec.gov/Archives/edgar/data/838875/000119983514000112/0001199835-14-000112-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983515000073/wvvi_10k-16325.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983516000651/0001199835-16-000651-index.html,https://www.sec.gov/Archives/edgar/data/838875/000165495417002343/0001654954-17-002343-index.html,https://www.sec.gov/Archives/edgar/data/838875/000165495418002934/0001654954-18-002934-index.html,https://www.sec.gov/Archives/edgar/data/838875/000165495419003037/0001654954-19-003037-index.html,https://www.sec.gov/Archives/edgar/data/838875/000119983520000018/0001199835-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/838875/000165495421002818/0001654954-21-002818-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983522000167/0001199835-22-000167-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,100000,200000,- -,200000,100000,-100000,-92232,15062,58845,136475,138220,463682,1156939,1291774,1686661,708594,731470,411808,857755,1202849,1423492,2161340,1901832,2628975,2993779,2858580,2510901,3394996,2445463
74,Depreciation and Amortization,200000,200000,300000,400000,500000,700000,- -,719046,778752,763077,713817,636889,556487,541848,576515,620180,674200,719906,747144,725286,748832,1074737,1274243,1335254,1544735,1692463,1812463,1812394,1952093
75,Deferred Income Tax,- -,- -,- -,- -,100000,- -,-65880,27868,36046,-3031,-12382,-17388,-46574,78000,128000,10507,279493,257000,295000,-51000,383000,-20000,431000,83000,-343773,- -,758379,292493,345408
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56230,17976,8836,9002,18000,22839,21164,17685,748,- -,- -,- -,69721,39059
77,Change in Working Capital,-600000,- -,- -,2700000,-200000,- -,614921,44513,1340593,543242,343225,964719,437683,1022613,1350726,287753,1907821,96311,1492663,-77904,-3039774,-18621,4234757,2336645,7621223,-764042,-1844459,6328002,-3228736
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,599287,-282276,193531,206654,-101959,-140841,-382733,-72378,-186948,111411,-592851,538886,-857572,-491799
79,Inventory,-400000,-100000,-400000,-1000000,-1000000,-400000,-1519795,-778317,-565791,-579909,182907,-511545,1448344,199066,-1224503,-2627775,-1565203,1457389,1092873,-383071,-606428,-77258,-721892,-1338194,-2822938,-1453515,-827971,-612893,-1388777
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,537512,-287982,-74704,-447645,577779,60804,195772,-162828,-88073,1230308,-621866,-129966,805166,-136741
81,Other Working Capital,- -,- -,- -,2700000,2500000,2500000,3114921,3159434,4500027,5043269,5386494,6351213,6788896,7811509,9162235,9449988,11357809,11454120,12946783,12868879,9829105,9810484,14045241,16381886,24003109,23239067,21394608,27722610,24493874
82,Other Non-Cash Items,- -,100000,-300000,-3600000,-1200000,- -,-575563,-1023364,-1762797,-1562096,-104178,-1403333,466306,-741249,-3271679,-1286670,-4561426,1514458,-681766,1498215,2150103,-212072,-5162540,-3296709,-9306065,-1484888,1054162,-6476608,1019421
83,Cash Provided by Operating Activities,-300000,500000,- -,-300000,-700000,600000,-118754,-216875,451439,-122333,1078702,644569,2570841,2192986,470223,396594,-950466,3008319,2719798,3315446,1688492,3006548,2696977,3087913,2509899,2302113,4291446,5420998,2572708
84,CAPEX,-800000,-1000000,-1100000,-900000,-2000000,-900000,-767732,-482088,-379953,-191530,-336489,-395042,-248030,-400537,-863623,-2487404,-828037,-692065,-1794998,-1545836,-5970933,-2529512,-2451705,-4327804,-2782366,-4046161,-4534995,-4178821,-5905
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,22094,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,100000,- -,1490706,- -,-153930,- -,15128,639632,-123043,-94608,-322268,-21428,-63902,45728,1107,-132402,-721929,-1186997,-913191,-1000615,-1133046,-1215704,-783653,-593157,-10295490
89,Cash Used for Investing Activites,-800000,-1000000,-1100000,-900000,-1900000,-800000,722974,-482088,-533883,-191530,-321361,244590,-371073,-495145,-1185891,-2465310,-781994,-643274,-1737593,-1678238,-6692862,-3716509,-3424896,-5328419,-3915412,-5261865,-5318648,-4771978,-10301395
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-267124,-377297,-580520,-470722,-182352,-659493,-314451,-329276,-594340,-742611,-609412,-634026,-438289,-450132
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,8574,- -,2550,421283,279895,156480,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4589192
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-319215,-105887,- -,-250500,-526860,-480716,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57611,-462529,-704049,-1018915,-1026063,-1116378,-708225
94,Other Financing Activites,500000,- -,1300000,1400000,1800000,300000,-534580,732798,334078,432962,-1175843,-253898,-3056952,-780857,30123,1602796,1759396,-265661,1380945,6180,2162320,598490,4856209,5519922,11402795,549289,- -,7855226,4045382
95,Cash Used/Provided by Financing Activities,500000,- -,1300000,1400000,1800000,300000,-534580,732798,334078,441536,-1175843,-251348,-2635669,-500962,186603,1335672,1382099,-846181,910223,-495387,1396940,284039,4218822,3936193,9475419,-1079038,-1660089,6300559,7476217
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,500000,- -,1300000,- -,- -,- -,69640,33835,251634,127673,-418502,637811,-435901,1196879,-529065,-733044,- -,- -,1892428,1141821,-3607430,-425922,3490903,1695687,8069906,-4038790,-2687291,6949579,-252470
98,Cash at the End of Period,- -,- -,- -,- -,- -,100000,219041,252876,504510,632183,213681,851492,415591,1612470,1083405,350361,- -,1518864,3411292,4553113,945683,519761,4010664,5706351,13776257,9737467,7050176,13999755,13747285
99,Cash at the Beginning of Period,1600000,1000000,400000,600000,800000,- -,149401,219041,252876,504510,632183,213681,851492,415591,1612470,1083405,350361,- -,1518864,3411292,4553113,945683,519761,4010664,5706351,13776257,9737467,7050176,13999755
100,Free Cash Flow,-1100000,-500000,-1100000,-1200000,-2700000,-300000,-886486,-698963,71486,-313863,742213,249527,2322811,1792449,-393400,-2090810,-1778503,2316254,924800,1769610,-4282441,477036,245272,-1239891,-272467,-1744048,-243549,1242177,2566803
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/838875/000110465908034128/0001104659-08-034128-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000114420409017513/0001144204-09-017513-index.html,https://www.sec.gov/Archives/edgar/data/838875/000114420410016310/0001144204-10-016310-index.html,https://www.sec.gov/Archives/edgar/data/838875/000114420411019287/0001144204-11-019287-index.html,https://www.sec.gov/Archives/edgar/data/838875/000119983512000142/0001199835-12-000142-index.html,https://www.sec.gov/Archives/edgar/data/838875/000119983513000141/0001199835-13-000141-index.html,https://www.sec.gov/Archives/edgar/data/838875/000119983514000112/0001199835-14-000112-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983515000073/wvvi_10k-16325.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983516000651/0001199835-16-000651-index.html,https://www.sec.gov/Archives/edgar/data/838875/000165495417002343/0001654954-17-002343-index.html,https://www.sec.gov/Archives/edgar/data/838875/000165495418002934/0001654954-18-002934-index.html,https://www.sec.gov/Archives/edgar/data/838875/000165495419003037/0001654954-19-003037-index.html,https://www.sec.gov/Archives/edgar/data/838875/000119983520000018/0001199835-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/838875/000165495421002818/0001654954-21-002818-index.htm,https://www.sec.gov/Archives/edgar/data/838875/000119983522000167/0001199835-22-000167-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
