,https://roic.ai/company/MRSN,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1442836/000155837018002479/0001558370-18-002479-index.htm,https://www.sec.gov/Archives/edgar/data/1442836/000155837019001720/0001558370-19-001720-index.htm,https://www.sec.gov/Archives/edgar/data/1442836/000155837020001726/0001558370-20-001726-index.htm,https://www.sec.gov/Archives/edgar/data/1442836/000162828021003370/0001628280-21-003370-index.htm,https://www.sec.gov/Archives/edgar/data/1442836/000162828022004101/0001628280-22-004101-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-16428000,-13700000,-38707000,-64257000,-28208000,-88045000,-170060000
74,Depreciation and Amortization,297000,655000,928000,1257000,1245000,1010000,855000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,349000,668000,1422000,3884000,4872000,7172000,18409000
77,Change in Working Capital,6146000,71768000,11875000,-80782000,72376000,151321000,10085000
78,Accounts Receivable,1197000,-411000,267000,325000,459000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,926000,-325000,1335000,7375000,-3110000,942000,483000
81,Other Working Capital,2019000,73787000,85662000,4880000,77256000,228577000,-43000
82,Other Non-Cash Items,- -,-27803000,-18197000,84682000,-118029000,-146154000,723000
83,Cash Provided by Operating Activities,-9636000,31588000,-42679000,-55216000,-67744000,-74696000,-139988000
84,CAPEX,-619000,-1084000,-1143000,-1370000,-605000,-473000,-648000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-145701000,- -,-53688000,- -,- -
87,Sales/Maturities of Investments,- -,- -,47220000,88565000,27000000,37500000,- -
88,Other Investing Activites,-164000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-783000,-1084000,-99624000,87195000,-27293000,37027000,-648000
90,Debt Repayment,- -,- -,- -,- -,-87000,-313000,-5701000
91,Common Stock Issued,- -,- -,68145000,- -,92162000,227026000,43087000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9960000,58259000,452000,1064000,5629000,3699000,26260000
95,Cash Used/Provided by Financing Activities,9960000,58259000,68597000,1064000,97704000,230412000,63646000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-459000,88763000,-73706000,33043000,2667000,192743000,-76990000
98,Cash at the End of Period,11534000,100297000,26591000,60005000,62672000,255415000,178425000
99,Cash at the Beginning of Period,11993000,11534000,100297000,26962000,60005000,62672000,255415000
100,Free Cash Flow,-10255000,30504000,-43822000,-56586000,-68349000,-75169000,-140636000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1442836/000155837018002479/0001558370-18-002479-index.htm,https://www.sec.gov/Archives/edgar/data/1442836/000155837019001720/0001558370-19-001720-index.htm,https://www.sec.gov/Archives/edgar/data/1442836/000155837020001726/0001558370-20-001726-index.htm,https://www.sec.gov/Archives/edgar/data/1442836/000162828021003370/0001628280-21-003370-index.htm,https://www.sec.gov/Archives/edgar/data/1442836/000162828022004101/0001628280-22-004101-index.htm
102,false,,,,,,,
