,https://roic.ai/company/GXO,2018,2019,2020,2021
41,Intangible Assets,- -,2327000000,2362000000,2274000000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,- -,136000000,146000000,263000000
45,Total Non-Current Assets,- -,4663000000,4712000000,5172000000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,- -,6151000000,6548000000,7271000000
48,Accounts Payable,- -,413000000,415000000,624000000
49,Short-Term Debt,- -,367000000,390000000,487000000
50,Tax Payable,- -,87000000,141000000,135000000
51,Deferred Revenue,- -,- -,- -,- -
52,Other Current Liabilities,- -,703000000,933000000,1218000000
53,Total Current Liabilities,- -,1483000000,1738000000,2329000000
54,Long-Term Debt,- -,1766000000,1714000000,2318000000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,85000000,54000000,- -
57,Other Non-Current Liabilities,- -,120000000,94000000,234000000
58,Total Non-Current Liabilities,- -,1971000000,1862000000,2552000000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,1460000000,1431000000,1844000000
61,Total Liabilities,- -,3454000000,3600000000,4881000000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000000
64,Retained Earnings,- -,- -,- -,126000000
65,Other Comprehensive Income/Loss,- -,-66000000,58000000,-130000000
66,Other Total Stockholders Equity,- -,- -,- -,2354000000
67,Total Stockholders Equity,- -,2567000000,2823000000,2351000000
68,Total Liabilities And Stockholders Equity,- -,6021000000,6423000000,7232000000
69,Minority Interest,- -,130000000,125000000,39000000
70,Total Liabilities & Equity,- -,6151000000,6548000000,7271000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1852244/000185224422000010/0001852244-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,70000000,60000000,-31000000,153000000
74,Depreciation and Amortization,261000000,302000000,323000000,335000000
75,Deferred Income Tax,- -,- -,- -,-62000000
76,Stock Based Compensation,- -,- -,- -,28000000
77,Change in Working Capital,-36000000,5000000,93000000,3000000
78,Accounts Receivable,39000000,-173000000,-122000000,-243000000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,-39000000,-41000000,-13000000,114000000
81,Other Working Capital,- -,5000000,98000000,- -
82,Other Non-Cash Items,40000000,-222000000,-52000000,-2000000
83,Cash Provided by Operating Activities,335000000,145000000,333000000,455000000
84,CAPEX,-270000000,-222000000,-222000000,-250000000
85,Acquisitions Net,- -,- -,- -,32000000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,30000000,75000000,-58000000,-239000000
89,Cash Used for Investing Activites,-240000000,-147000000,-280000000,-207000000
90,Debt Repayment,-139000000,-376000000,-123000000,-98000000
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,101000000,274000000,190000000,-143000000
95,Cash Used/Provided by Financing Activities,-38000000,-102000000,67000000,-241000000
96,Effect of Forex Changes on Cash,-11000000,3000000,8000000,-2000000
97,Net Change In Cash,46000000,-101000000,128000000,5000000
98,Cash at the End of Period,301000000,200000000,328000000,333000000
99,Cash at the Beginning of Period,255000000,301000000,200000000,328000000
100,Free Cash Flow,65000000,-77000000,111000000,205000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1852244/000185224422000010/0001852244-22-000010-index.htm
102,false,,,,
