,https://roic.ai/company/YECO,2012,2013,2014,2015,2016,2017
61,Total Liabilities,- -,30219134,31908728,30946104,25178160,16719480
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,10000,10000,10000,14997,8684515
64,Retained Earnings,- -,2688661,12682821,21211829,-31978194,18283448
65,Other Comprehensive Income/Loss,- -,5160194,5952317,6429068,2703044,- -
66,Other Total Stockholders Equity,- -,19001464,19001464,19001464,40525094,- -
67,Total Stockholders Equity,- -,26860319,37646602,46652361,11264941,42234368
68,Total Liabilities And Stockholders Equity,- -,57079453,69555330,77598465,36443101,58953848
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,57079453,69555330,77598465,36443101,58953848
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1607741/000121390015007371/0001213900-15-007371-index.htm,https://www.sec.gov/Archives/edgar/data/1607741/000121390017009199/f10k2016_yulongecomaterial.htm,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,10049495,10692174,8679571,-53190023,-551581
74,Depreciation and Amortization,- -,1056482,1388409,1752651,2217886,686997
75,Deferred Income Tax,- -,-124997,-74893,-328761,92181,225581
76,Stock Based Compensation,- -,- -,- -,- -,534237,162363
77,Change in Working Capital,- -,339463,235013,-3902618,4418267,4057393
78,Accounts Receivable,- -,-347385,-1076607,-4089754,-1124425,-1350912
79,Inventory,- -,1158974,-106559,60562,-30984,147658
80,Accounts Payable,- -,-396537,293592,-107346,127937,623805
81,Other Working Capital,- -,10297,378281,-403490,2156337,1919003
82,Other Non-Cash Items,- -,39020,-126976,- -,59203326,-3030917
83,Cash Provided by Operating Activities,- -,11359463,12113727,6200843,13275874,1549836
84,CAPEX,- -,-14117380,-950496,-2025166,-36620904,-1928954
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-2267099,2494679,16900,20469,- -
89,Cash Used for Investing Activites,- -,-16156441,1652648,-1998492,-36600435,-1928954
90,Debt Repayment,- -,-12709625,-8779663,-5550893,-6500094,-17478
91,Common Stock Issued,- -,- -,- -,- -,11510157,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,18841168,8956197,-2042703,5613964,-433168
95,Cash Used/Provided by Financing Activities,- -,6131543,176534,-7593596,10624027,-450646
96,Effect of Forex Changes on Cash,- -,137380,-2764,128774,-1035225,-90868
97,Net Change In Cash,- -,1471945,13940145,-3262471,-13735759,-920632
98,Cash at the End of Period,- -,5792625,19732770,16470299,2734540,1813908
99,Cash at the Beginning of Period,- -,4320680,5792625,19732770,16470299,2734540
100,Free Cash Flow,- -,-2757917,11163231,4175677,-23345030,-379118
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1607741/000121390015007371/0001213900-15-007371-index.htm,https://www.sec.gov/Archives/edgar/data/1607741/000121390017009199/f10k2016_yulongecomaterial.htm,- -
102,false,,,,,,
