,https://roic.ai/company/TWER,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
44,Other Non-Current Assets,- -,61685,283790,183063,190803,203132,583950,2200098,1950835,4277558,2075778,369769,386047,391467
45,Total Non-Current Assets,- -,4170270,9277540,13948842,14800488,20560724,37749265,50404766,45198801,42056983,26258473,20948897,17733779,13107109
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,72225,4513278,50955182,39287834,29502707,44589825,83636896,67109714,74917467,82321838,48721260,34392837,26457414,18418764
48,Accounts Payable,- -,- -,1413970,1394476,1055804,909548,1443919,1163442,1241743,871251,877134,323625,1150861,175810
49,Short-Term Debt,- -,2119637,47486,2632741,- -,88613,293126,775087,783051,845668,992690,791009,34251618,39041282
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000
51,Deferred Revenue,- -,400766,631506,985403,1028952,1000018,1591286,1692482,1396780,1384846,1486754,1161520,934450,985914
52,Other Current Liabilities,4925,1146357,685576,913944,1165147,1846801,2512639,2986020,2599934,2095938,5599598,2261948,3451735,1974445
53,Total Current Liabilities,4925,3666760,2778538,5926564,3249903,3844980,5840970,6617031,6021508,5197703,8956176,4538102,39788664,42177451
54,Long-Term Debt,- -,147715,3168202,- -,- -,55735,241154,2387674,1805336,33387267,35628209,31645956,305947,295747
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,56827,- -,- -,- -,- -,- -,38471
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,244274,- -,- -,363774,420438,336598,- -
57,Other Non-Current Liabilities,- -,- -,273154,354071,841633,668232,409862,- -,996682,1774841,1227414,641799,417605,347554
58,Total Non-Current Liabilities,- -,147715,3441356,354071,841633,723967,651016,2688775,2802018,35162108,37219397,32708193,1060150,681772
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,136000,25341,25346,- -,144348,534280,3162761,2588387,2131526,1925516,949712,688865,637722
61,Total Liabilities,4925,17641,6219894,6280635,4091536,4568947,6491986,9305806,8823526,40359811,46175573,37246295,40848814,42859223
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,503,2,2
63,Common Stock,4450,15000,34080,34588,34662,42117,54256,54671,66425,66657,66810,18327,394,394
64,Retained Earnings,-9221,-8213000,-8501725,-21879144,-29751201,-35354208,-42379315,-63368890,-88144179,-115735929,-156218731,-176655227,-189124909,-199335362
65,Other Comprehensive Income/Loss,1513,1405,-20100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,70558,8895398,53223033,54851755,55127710,75332969,119469969,121118127,154171695,157631299,158697608,173782939,174733113,174894507
67,Total Stockholders Equity,67300,698803,44735288,33007199,25411171,40020878,77144910,57803908,66093941,41962027,2545687,-2853458,-14391400,-24440459
68,Total Liabilities And Stockholders Equity,72225,716444,50955182,39287834,29502707,44589825,83636896,67109714,74917467,82321838,48721260,34392837,26457414,18418764
69,Minority Interest,- -,3796834,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,72225,4513278,50955182,39287834,29502707,44589825,83636896,67109714,74917467,82321838,48721260,34392837,26457414,18418764
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1349437/000114420407012386/0001144204-07-012386-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000114420408016356/0001144204-08-016356-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000114420409014809/0001144204-09-014809-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000114420410014092/0001144204-10-014092-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000114420411015571/0001144204-11-015571-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000114420412014858/0001144204-12-014858-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000114420413015859/0001144204-13-015859-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000143774914004347/0001437749-14-004347-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000143774915004899/0001437749-15-004899-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000143774916028047/0001437749-16-028047-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000143774917005741/0001437749-17-005741-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000143774918006024/0001437749-18-006024-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000143774919006265/0001437749-19-006265-index.html
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-9221,-811531,-8501725,-13377419,-8625250,-5603007,-7025107,-20989575,-24775289,-27591750,-40482802,-20436496,-12469682,-10210453
74,Depreciation and Amortization,- -,1206250,2483666,3222716,4035267,5770335,9138318,13634294,15351441,13639415,9643583,10875935,6734988,6437050
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,126256,78531,78532,- -,- -,- -,-336598
76,Stock Based Compensation,- -,- -,- -,899339,802956,771812,1081042,1658200,1253661,960490,1024246,1518134,931434,161394
77,Change in Working Capital,-1927,463439,806942,827463,-271839,-139229,254755,-2833852,-1169868,-1780579,157104,-1850893,493948,-2116156
78,Accounts Receivable,- -,- -,- -,-159778,-202410,45619,157990,-202051,-8007,-1021099,146527,-221523,-529259,233230
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-19493,-338672,-200379,424572,-280477,48766,-370492,119925,-553509,827236,- -
81,Other Working Capital,- -,- -,273153,353897,43549,-453314,-556240,-1644248,182121,334831,31067,-349818,-227070,79261
82,Other Non-Cash Items,3640,109572,1237357,554664,1079109,-206109,-1882965,326184,-222914,1280764,14404115,2157985,2906351,4278102
83,Cash Provided by Operating Activities,-7508,967730,-3973760,-7873237,-2979757,593802,1566043,-8078493,-9484438,-13413128,-15253754,-7735335,-1402961,-1786661
84,CAPEX,- -,-1176597,-6834917,-7683855,-4848245,-5659702,-14483705,-20722510,-7143376,-7306942,-6487040,-2361601,-2407877,-1163513
85,Acquisitions Net,- -,- -,- -,-400000,-100000,- -,-4400000,-288339,-222942,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-41512,-60197,-12015,3919,-2753310,-198549,-332279,-196146,270186,-196365,39172,-23875,20254
89,Cash Used for Investing Activites,- -,-1168109,-6895114,-8095870,-4944326,-8413012,-19082254,-21343128,-7562464,-7036756,-6683405,-2322429,-2431752,-1143259
90,Debt Repayment,- -,- -,- -,-47481,-2775346,-7130,-174569,-492479,-784198,-796513,-1016035,-975804,-869055,-465992
91,Common Stock Issued,75000,- -,48377891,- -,- -,16958853,39100632,329041,30791725,- -,42216,6167109,306,- -
92,Common Stock Repurchased,- -,- -,- -,-9,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1513,157692,3087485,- -,- -,- -,89383,64698,68680,31092375,- -,2022372,- -,- -
95,Cash Used/Provided by Financing Activities,76513,157692,51465376,-47490,-2775346,16951723,39015446,-98740,30076207,30295862,-973819,7213677,-868749,-465992
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,76513,-42687,40596502,-16016597,-10699429,9132513,21499235,-29520361,13029305,9845978,-22910978,-2844087,-4703462,-3395912
98,Cash at the End of Period,69005,160363,40756865,24740268,14040839,23173352,44672587,15152226,28181531,38027509,15116531,12272444,7568982,4173070
99,Cash at the Beginning of Period,- -,203050,160363,40756865,24740268,14040839,23173352,44672587,15152226,28181531,38027509,15116531,12272444,7568982
100,Free Cash Flow,-7508,-208867,-10808677,-15557092,-7828002,-5065900,-12917662,-28801003,-16627814,-20720070,-21740794,-10096936,-3810838,-2950174
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1349437/000114420407012386/0001144204-07-012386-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000114420408016356/0001144204-08-016356-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000114420409014809/0001144204-09-014809-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000114420410014092/0001144204-10-014092-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000114420411015571/0001144204-11-015571-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000114420412014858/0001144204-12-014858-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000114420413015859/0001144204-13-015859-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000143774914004347/0001437749-14-004347-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000143774915004899/0001437749-15-004899-index.htm,https://www.sec.gov/Archives/edgar/data/1349437/000143774916028047/0001437749-16-028047-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000143774917005741/0001437749-17-005741-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000143774918006024/0001437749-18-006024-index.html,https://www.sec.gov/Archives/edgar/data/1349437/000143774919006265/0001437749-19-006265-index.html
102,false,,,,,,,,,,,,,,
