,https://roic.ai/company/HFFG,2017,2018,2019,2020
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1680873/000161577418002196/0001615774-18-002196-index.htm,https://www.sec.gov/Archives/edgar/data/1680873/000143774919006198/0001437749-19-006198-index.htm,https://www.sec.gov/Archives/edgar/data/1680873/000143774920005276/0001437749-20-005276-index.htm,https://www.sec.gov/Archives/edgar/data/1680873/000168087321000006/0001680873-21-000006-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,9646071,6286455,5389677,-342974059
74,Depreciation and Amortization,2004374,2134832,6754508,17868596
75,Deferred Income Tax,-125854,641916,-250705,-5915827
76,Stock Based Compensation,- -,- -,- -,- -
77,Change in Working Capital,3134286,2732027,-7846730,34286644
78,Accounts Receivable,462877,-502350,-3274975,26361859
79,Inventory,850373,493456,1112728,18867664
80,Accounts Payable,251581,45914,-3598444,-14129292
81,Other Working Capital,366130,-1172077,-1459252,-683459
82,Other Non-Cash Items,627985,158236,619778,340865932
83,Cash Provided by Operating Activities,15286862,11953466,4666528,44131286
84,CAPEX,-2264680,-3075385,-4835929,-664750
85,Acquisitions Net,31070,1430298,7017467,-94004068
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,-3234994,-4720226,593577,257372
89,Cash Used for Investing Activites,-5468604,-6365313,2775115,-94411446
90,Debt Repayment,-6284319,-11173698,-153384843,-588662315
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,-8584929,-1161445,-302500,-174500
94,Other Financing Activites,5180889,6150350,155294582,634159542
95,Cash Used/Provided by Financing Activities,-9688359,-6184793,1607239,45322727
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,129899,-596640,9048882,-4957433
98,Cash at the End of Period,6086044,5489404,14538286,9580853
99,Cash at the Beginning of Period,5956145,6086044,5489404,14538286
100,Free Cash Flow,13022182,8878081,-169401,43466536
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1680873/000161577418002196/0001615774-18-002196-index.htm,https://www.sec.gov/Archives/edgar/data/1680873/000143774919006198/0001437749-19-006198-index.htm,https://www.sec.gov/Archives/edgar/data/1680873/000143774920005276/0001437749-20-005276-index.htm,https://www.sec.gov/Archives/edgar/data/1680873/000168087321000006/0001680873-21-000006-index.htm
102,false,,,,
