,https://roic.ai/company/ROKU,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,4531000,-136157000,27240000,-351715000,-637157000,-1172116000,94565000
83,Cash Provided by Operating Activities,-32604000,-32463000,37292000,13922000,13707000,148192000,228081000
84,CAPEX,-5019000,-8596000,-9229000,-18327000,-84608000,-82382000,-40041000
85,Acquisitions Net,- -,- -,-3000000,- -,-68000000,- -,-136778000
86,Purchases of Investments,- -,- -,- -,-53806000,-12365000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,12000000,54810000,- -,- -
88,Other Investing Activites,-186000,29000,-39000,- -,-7560000,1058000,- -
89,Cash Used for Investing Activites,-5205000,-8567000,-12268000,-60133000,-110295000,-81324000,-176819000
90,Debt Repayment,-2576000,-15000000,-40446000,- -,- -,-74325000,-5000000
91,Common Stock Issued,- -,- -,131646000,- -,- -,497242000,989615000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,61123000,14844000,26464000,24525000,458328000,86131000,18532000
95,Cash Used/Provided by Financing Activities,58547000,-156000,117664000,24525000,458328000,509048000,1003147000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,29000,- -,12000
97,Net Change In Cash,20738000,-41186000,142688000,-21686000,361769000,575916000,1054421000
98,Cash at the End of Period,75748000,34562000,177250000,155564000,517333000,1093249000,2147670000
99,Cash at the Beginning of Period,55010000,75748000,34562000,177250000,155564000,517333000,1093249000
100,Free Cash Flow,-37623000,-41059000,28063000,-4405000,-70901000,65810000,188040000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1428439/000156459018004134/0001564590-18-004134-index.htm,https://www.sec.gov/Archives/edgar/data/1428439/000156459019005829/0001564590-19-005829-index.htm,https://www.sec.gov/Archives/edgar/data/1428439/000156459020007916/0001564590-20-007916-index.htm,https://www.sec.gov/Archives/edgar/data/1428439/000156459021009021/0001564590-21-009021-index.htm,https://www.sec.gov/Archives/edgar/data/1428439/000142843922000010/0001428439-22-000010-index.htm
102,false,,,,,,,
