,https://roic.ai/company/ET,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,130806000,297921000,575540000,809336000,1098903000,1110398000,1036729000,1234819000,1360000000,1551000000,2470000000,2399000000,1499000000,2713000000,5348000000,7277000000,2980000000,8792000000
18,Operating Income ratio,0.0557,0.0483,0.0732,0.1192,0.1182,0.2050,0.1571,0.1498,0.0802,0.0321,0.0444,0.0569,0.0400,0.0669,0.0989,0.1342,0.0765,0.1304
19,Total Other Income Expenses (Gains),318745000,-193072000,-141633000,-245977000,-415341000,-403298000,-685167000,-689689000,77000000,-1176000000,-1053000000,-1406000000,-1675000000,-2003000000,-1714000000,-2183000000,-2603000000,-1921000000
20,Income Before Tax,449551000,104849000,433907000,563359000,683562000,707100000,351562000,545130000,1437000000,375000000,1417000000,993000000,-176000000,710000000,3634000000,5094000000,377000000,6871000000
21,Income Before Tax Ratio,0.1915,0.0170,0.0552,0.0829,0.0736,0.1305,0.0533,0.0662,0.0847,0.0078,0.0254,0.0236,-0.0047,0.0175,0.0672,0.0940,0.0097,0.1019
22,Income Tax expense (Gain),2792000,4397000,23015000,11391000,3808000,9229000,13738000,16883000,54000000,93000000,357000000,-100000000,-217000000,-1833000000,4000000,195000000,237000000,184000000
23,Net Income,450217000,146746000,107140000,319360000,375044000,442473000,192758000,309811000,304000000,196000000,633000000,1189000000,995000000,954000000,1694000000,3592000000,-648000000,5470000000
24,Net Income ratio,0.1918,0.0238,0.0136,0.0470,0.0404,0.0817,0.0292,0.0376,0.0179,0.0041,0.0114,0.0282,0.0265,0.0235,0.0313,0.0663,-0.0166,0.0811
25,EPS,0.62,0.18,0.20,0.39,0.42,0.49,0.21,0.35,0.28,0.17,0.58,1.11,0.94,0.85,1.16,1.37,-0.24,1.89
26,EPS Diluted,0.46,0.15,0.20,0.39,0.42,0.49,0.21,0.34,0.28,0.17,0.57,1.11,0.92,0.83,1.15,1.36,-0.24,1.89
27,Weighted Average Shares Outstanding,716650544,822996056,535280704,818314876,891319824,891592812,891764624,891873044,1069026549,1121800000,1095000000,1062800000,1045500000,1078200000,1423800000,2628000000,2695600000,2734400000
28,Weighted Average Shares Outstanding Diluted,969919280,976331976,535280704,818314876,891319824,891592812,891764624,891873044,1069026549,1121800000,1095000000,1064400000,1078600000,1150800000,1461400000,2637600000,2695600000,2739500000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1276187/000119312506243515/0001193125-06-243515-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1276187/000119312510039075/0001193125-10-039075-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000119312511049530/0001193125-11-049530-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618712000011/0001276187-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618713000010/0001276187-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618714000009/0001276187-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618715000014/0001276187-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618716000132/0001276187-16-000132-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618717000023/0001276187-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618718000011/0001276187-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618719000011/0001276187-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618720000011/0001276187-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618721000034/0001276187-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618722000020/0001276187-22-000020-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,82852000,33459000,26204000,77350000,92023000,68315000,86264000,126342000,372000000,590000000,847000000,606000000,483000000,336000000,419000000,291000000,367000000,336000000
32,Short-Term Investments,2464000,3452000,2817000,3099000,5915000,6055000,2032000,1229000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,85316000,36911000,29021000,80449000,97938000,74370000,88296000,127571000,372000000,590000000,847000000,606000000,483000000,336000000,419000000,291000000,367000000,336000000
34,Net Receivables,260021000,884946000,699368000,676546000,651608000,641552000,710614000,802204000,3183000000,3788000000,3457000000,2876000000,3732000000,4693000000,4193000000,5343000000,3989000000,7740000000
35,Inventory,53261000,302893000,387140000,192276000,272348000,389954000,366384000,327963000,1522000000,1807000000,1467000000,1636000000,2291000000,2022000000,1677000000,1935000000,1739000000,2014000000
36,Other Current Assets,83270000,240428000,187206000,101307000,159101000,162083000,125716000,197706000,520000000,351000000,382000000,292000000,479000000,3632000000,461000000,298000000,222000000,447000000
37,Total Current Assets,481868000,1465178000,1302735000,1050578000,1180995000,1267959000,1291010000,1455444000,5597000000,6536000000,6153000000,5410000000,6985000000,10683000000,6750000000,7867000000,6317000000,10537000000
38,PP&E,1915274000,2887750000,3748614000,5971127000,8702534000,9064475000,11852732000,14558562000,28284000000,30682000000,40292000000,48683000000,55438000000,61088000000,66963000000,75157000000,76490000000,82943000000
39,Goodwill,348761000,- -,633998000,748018000,773283000,775094000,1600611000,2038975000,6434000000,5894000000,7865000000,7473000000,6738000000,4768000000,4885000000,5167000000,2391000000,2533000000
40,Intangible Assets,- -,472049000,185735000,356651000,402980000,389683000,1260427000,1072291000,2291000000,2264000000,5582000000,5431000000,5992000000,6116000000,6000000000,6154000000,5746000000,5856000000
41,Intangible Assets,348761000,472049000,819733000,1104669000,1176263000,1164777000,2861038000,3111266000,8725000000,8158000000,13447000000,12904000000,12730000000,10884000000,10885000000,11321000000,8137000000,8389000000
42,Investments,8010000,- -,41000000,- -,10110000,663298000,1359979000,1496600000,4737000000,4014000000,3659000000,3462000000,3040000000,2705000000,2642000000,3460000000,3060000000,2947000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,111278000,92143000,12059000,56715000,- -,- -,13971000,274921000,1561000000,940000000,918000000,730000000,818000000,886000000,1006000000,1075000000,1140000000,1147000000
45,Total Non-Current Assets,2383323000,3451942000,4621406000,7132511000,9888907000,10892550000,16087720000,19441349000,43307000000,43794000000,58316000000,65779000000,72026000000,75563000000,81496000000,91013000000,88827000000,95426000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2865191000,4917120000,5924141000,8183089000,11069902000,12160509000,17378730000,20896793000,48904000000,50330000000,64469000000,71189000000,79011000000,86246000000,88246000000,98880000000,95144000000,105963000000
48,Accounts Payable,237138000,819220000,603847000,506970000,416428000,397691000,448907000,512023000,3107000000,3834000000,3349000000,2274000000,3502000000,4685000000,3493000000,4118000000,2809000000,6834000000
49,Short-Term Debt,31234000,56402000,40607000,47063000,45232000,40924000,35305000,424160000,613000000,637000000,1008000000,131000000,1194000000,413000000,2655000000,86000000,74000000,727000000
50,Tax Payable,2252000,- -,- -,- -,14298000,- -,- -,94112000,249000000,215000000,290000000,76000000,201000000,288000000,256000000,263000000,446000000,384000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,100525000,61000000,142000000,103000000,114000000,72000000,59000000,128000000,123000000,161000000,346000000
52,Other Current Liabilities,136545000,380611000,376333000,378782000,747261000,451130000,596863000,804605000,2064000000,1887000000,2322000000,2391000000,2509000000,2740000000,3034000000,3397000000,2879000000,2928000000
53,Total Current Liabilities,404917000,1256233000,1020787000,932815000,1208921000,889745000,1081075000,1841313000,5845000000,6500000000,6782000000,4910000000,7277000000,7897000000,9310000000,7724000000,5923000000,10835000000
54,Long-Term Debt,1071158000,2275965000,3205646000,5198676000,7190357000,7750998000,9346067000,10946864000,21440000000,22562000000,29653000000,36837000000,42858000000,43671000000,43373000000,51028000000,52254000000,49836000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,216726000,215118000,207877000,198947000,194871000,204373000,- -,- -,3566000000,3865000000,4325000000,4590000000,5112000000,3315000000,2926000000,3208000000,3428000000,3648000000
57,Other Non-Current Liabilities,845000,45806000,4953000,17351000,136437000,95142000,703856000,719671000,1703000000,1124000000,1395000000,1254000000,1247000000,1383000000,1787000000,3075000000,2151000000,2299000000
58,Total Non-Current Liabilities,1288729000,2536889000,3418476000,5414974000,7521665000,8050513000,10049923000,11666535000,26709000000,27551000000,35373000000,42681000000,49217000000,48369000000,48086000000,57311000000,57833000000,55783000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,961000000,890000000,861000000
61,Total Liabilities,1693646000,3793122000,4439263000,6347789000,8730586000,8940258000,11130998000,13507848000,32554000000,34051000000,42155000000,47591000000,56494000000,56266000000,57396000000,65035000000,63756000000,66618000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,772000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,11000,-88909000,45751000,-47132000,- -,-53628000,4798000,678000,-12000000,9000000,-5000000,-6296000000,-8283000000,-10089000000,-42000000,-11000000,6000000,23000000
66,Other Total Stockholders Equity,803231000,- -,1482878000,- -,- -,3274251000,6242732000,7387945000,16362000000,16270000000,22319000000,29894000000,30800000000,40069000000,30892000000,33856000000,- -,- -
67,Total Stockholders Equity,-368314000,-88137000,45751000,-47132000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,1325332000,3704985000,4485014000,6300657000,8730586000,12160509000,17378730000,20896793000,48904000000,50330000000,64469000000,71189000000,79011000000,86246000000,88246000000,98880000000,95144000000,66618000000
69,Minority Interest,1539859000,1212135000,1439127000,1882432000,2339316000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39345000000
70,Total Liabilities & Equity,2865191000,4917120000,5924141000,8183089000,11069902000,12160509000,17378730000,20896793000,48904000000,50330000000,64469000000,71189000000,79011000000,86246000000,88246000000,98880000000,95144000000,105963000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1276187/000119312506243515/0001193125-06-243515-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1276187/000119312510039075/0001193125-10-039075-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000119312511049530/0001193125-11-049530-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618712000011/0001276187-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618713000010/0001276187-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618714000009/0001276187-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618715000014/0001276187-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618716000132/0001276187-16-000132-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618717000023/0001276187-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618718000011/0001276187-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618719000011/0001276187-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618720000011/0001276187-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618721000034/0001276187-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618722000020/0001276187-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,450217000,146746000,107140000,319360000,375044000,442473000,192758000,309811000,304000000,196000000,633000000,1189000000,995000000,954000000,1694000000,3592000000,-648000000,5470000000
74,Depreciation and Amortization,58491000,111697000,133595000,198074000,274372000,325024000,431199000,611809000,871000000,1313000000,1724000000,2079000000,2359000000,2554000000,2859000000,3147000000,3678000000,- -
75,Deferred Income Tax,-5413000,-1609000,-6724000,-6939000,-8177000,8422000,- -,- -,51000000,43000000,-50000000,242000000,-201000000,-1871000000,-7000000,217000000,210000000,141000000
76,Stock Based Compensation,- -,- -,- -,- -,24304000,25833000,31168000,- -,47000000,61000000,82000000,91000000,70000000,99000000,105000000,113000000,121000000,111000000
77,Change in Working Capital,10389000,131994000,73003000,-164185000,-145689000,406140000,-168279000,-595804000,137869000,284000000,-665000000,1129000000,-792000000,3078000000,-5346000000,2703000000,251000000,515000000
78,Accounts Receivable,- -,- -,- -,- -,223869000,- -,65820000,-17743000,267000000,-556000000,600000000,856000000,-1126000000,-948000000,541000000,-473000000,1163000000,-3318000000
79,Inventory,35457000,-116889000,-83448000,196173000,96145000,- -,14750000,50991000,-258000000,-254000000,51000000,-430000000,-356000000,58000000,282000000,-117000000,-271000000,-19000000
80,Accounts Payable,- -,- -,- -,- -,-309723000,- -,-76875000,27309000,-989000000,541000000,-850000000,-1127000000,1146000000,712000000,-766000000,146000000,-1327000000,3800000000
81,Other Working Capital,76951000,208945000,281948000,117763000,-27926000,378214000,209935000,-385869000,-248000000,36000000,-629000000,500000000,-292000000,2786000000,-2560000000,143000000,394000000,-88000000
82,Other Non-Cash Items,-391586000,-332376000,3768000,408187000,303903000,-484431000,600033000,1050875000,-332869000,522000000,1451000000,-1662000000,986000000,-385000000,8201000000,-1769000000,3749000000,4925000000
83,Cash Provided by Operating Activities,122098000,56452000,310782000,754497000,823757000,723461000,1086879000,1376691000,1078000000,2419000000,3175000000,3068000000,3417000000,4429000000,7506000000,8003000000,7361000000,11162000000
84,CAPEX,-109688000,-196459000,-680164000,-1096664000,-2054806000,-748621000,-1509977000,-1810230000,-3271000000,-3505000000,-5381000000,-9386000000,-8092000000,-8444000000,-7407000000,-5960000000,-5130000000,-2822000000
85,Acquisitions Net,-622929000,-1131844000,-586185000,-90695000,-84783000,30367000,-437840000,-2121298000,-1369000000,946000000,-1810000000,-945000000,-1638000000,2627000000,6000000,-1224000000,-38000000,-209000000
86,Purchases of Investments,- -,- -,-4651000,-993866000,- -,- -,- -,- -,-37000000,-3000000,-334000000,-45000000,-68000000,-268000000,-26000000,-523000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,54534000,- -,- -,- -,- -,- -,- -,- -,- -,3478000000,- -,- -,- -,- -
88,Other Investing Activites,-108902000,194554000,26594000,23135000,-1985336000,-1376123000,-1392139000,-1751584000,-2790000000,-3290000000,-4651000000,-9104000000,-7761000000,-11443000000,-7055000000,-5187000000,-4860000000,-2566000000
89,Cash Used for Investing Activites,-731831000,-1133749000,-1244406000,-2158090000,-2015585000,-1345756000,-1829979000,-3872882000,-4196000000,-2347000000,-6795000000,-10094000000,-9467000000,-5606000000,-7075000000,-6934000000,-4898000000,-2775000000
90,Debt Repayment,-518418000,- -,- -,- -,-4915891000,-3028233000,-4078171000,-6263802000,-8848000000,-11951000000,-13886000000,-19828000000,-24127000000,-31523000000,-28948000000,-20101000000,-24133000000,-27318000000
91,Common Stock Issued,528129000,507724000,473978000,372434000,- -,936337000,1551810000,1902642000,1103000000,1759000000,3057000000,3889000000,2559000000,3803000000,1402000000,780000000,1580000000,889000000
92,Common Stock Repurchased,- -,- -,-369437000,- -,- -,- -,- -,- -,- -,-340000000,- -,-1064000000,- -,-53000000,-24000000,-25000000,- -,-31000000
93,Dividends Paid,-266277000,- -,-101259000,-276997000,-435868000,-852129000,-1050641000,-1304153000,-666000000,-733000000,-821000000,-1090000000,-1022000000,-1010000000,-1684000000,-3054000000,-2802000000,-1898000000
94,Other Financing Activites,894079000,520180000,923087000,1359302000,6579053000,3542612000,4338051000,8201582000,11775000000,11411000000,15527000000,24878000000,28517000000,29736000000,26172000000,21203000000,22968000000,19940000000
95,Cash Used/Provided by Financing Activities,637513000,1027904000,926369000,1454739000,1227294000,598587000,761049000,2536269000,3364000000,146000000,3877000000,6785000000,5927000000,953000000,-3082000000,-1197000000,-2387000000,-8418000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,27780000,-49393000,-7255000,51146000,35466000,-23708000,17949000,40078000,246000000,218000000,257000000,-241000000,-123000000,-131000000,83000000,-128000000,76000000,-31000000
98,Cash at the End of Period,82852000,33459000,26204000,77350000,92023000,68315000,86264000,126342000,372000000,590000000,847000000,606000000,483000000,336000000,419000000,291000000,367000000,336000000
99,Cash at the Beginning of Period,55072000,82852000,33459000,26204000,56557000,92023000,68315000,86264000,126000000,372000000,590000000,847000000,606000000,467000000,336000000,419000000,291000000,367000000
100,Free Cash Flow,12410000,-140007000,-369382000,-342167000,-1231049000,-25160000,-423098000,-433539000,-2193000000,-1086000000,-2206000000,-6318000000,-4675000000,-4015000000,99000000,2043000000,2231000000,8340000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1276187/000119312506243515/0001193125-06-243515-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1276187/000119312510039075/0001193125-10-039075-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000119312511049530/0001193125-11-049530-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618712000011/0001276187-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618713000010/0001276187-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618714000009/0001276187-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618715000014/0001276187-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618716000132/0001276187-16-000132-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618717000023/0001276187-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618718000011/0001276187-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618719000011/0001276187-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618720000011/0001276187-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618721000034/0001276187-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1276187/000127618722000020/0001276187-22-000020-index.htm
102,false,,,,,,,,,,,,,,,,,,
