,https://roic.ai/company/VPRB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1376231/000137623112000002/0001376231-12-000002-index.html,https://www.sec.gov/Archives/edgar/data/1376231/000137623113000002/0001376231-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/1376231/000158095714000029/0001580957-14-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1376231/000158095715000039/0001580957-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1376231/000158095716000586/0001580957-16-000586-index.htm,https://www.sec.gov/Archives/edgar/data/1376231/000158095717000309/0001580957-17-000309-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1376231/000089109219005562/0000891092-19-005562-index.htm,https://www.sec.gov/Archives/edgar/data/1376231/000089109220007529/e10027-10k.htm,https://www.sec.gov/Archives/edgar/data/1376231/000089109221003500/0000891092-21-003500-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,102,- -,- -,- -,- -,- -,- -,9440,4650,83790,56640,58320,22800,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,102,- -,- -,- -,- -,- -,- -,9440,4650,83790,56640,58320,22800,- -
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,155010,199800,217900,107380,19157
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,380850,150370,413290,723880,457736
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,54700,16780,16780,59580,55360,140164
37,Total Current Assets,102,- -,- -,- -,- -,- -,- -,9440,59350,636430,423590,749090,909420,617057
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,27900,17760,8500,362740,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,5330000,5325260,- -,305920,29750,9620,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,5330000,5325260,- -,305920,29750,9620,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,5330000,- -,- -,333810,47510,18120,362740,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291288
47,Total Assets,102,- -,- -,- -,- -,- -,5330000,9440,59350,970240,471100,767210,1272160,908345
48,Accounts Payable,24500,10000,- -,10000,- -,10000,- -,- -,16820,- -,- -,- -,- -,312693
49,Short-Term Debt,- -,- -,10000,- -,- -,- -,- -,- -,- -,120000,666855,1050732,2397446,2093108
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,10000,20000,20000,- -,5760,- -,388420,635885,299968,216724,103466
53,Total Current Liabilities,24500,10000,10000,20000,20000,30000,- -,5760,16820,508420,1302740,1350700,2614170,2509267
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,595020,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336180,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,595020,- -,- -,336180,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,641047
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382462,336181
61,Total Liabilities,24500,10000,10000,20000,20000,30000,- -,5760,16820,1103440,1302740,1350700,2950350,3150314
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2058,- -,- -,90000,90000,90000,5450000,5548330,5680630,5880630,6794000,8015890,8100200,- -
64,Retained Earnings,-55136,-100000,-100000,-110000,-110000,-120000,-120000,-5544650,-5638100,-6013830,-7625640,-8599380,-9778390,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,93788,90000,1529,- -,37,- -,2,5,1,- -,- -,- -,- -
67,Total Stockholders Equity,-24398,-6212,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,102,3788,- -,1529,-3867,37,5320000,9442,59355,970241,471098,767207,1272160,908345
69,Minority Interest,- -,-3788,- -,-1529,3867,-37,10000,-2,-5,-1,2,3,- -,- -
70,Total Liabilities & Equity,102,- -,- -,- -,- -,- -,5330000,9440,59350,970240,471100,767210,1272160,908345
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1376231/000137623112000002/0001376231-12-000002-index.html,https://www.sec.gov/Archives/edgar/data/1376231/000137623113000002/0001376231-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/1376231/000158095714000029/0001580957-14-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1376231/000158095715000039/0001580957-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1376231/000158095716000586/0001580957-16-000586-index.htm,https://www.sec.gov/Archives/edgar/data/1376231/000158095717000309/0001580957-17-000309-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1376231/000089109219005562/0000891092-19-005562-index.htm,https://www.sec.gov/Archives/edgar/data/1376231/000089109220007529/e10027-10k.htm,https://www.sec.gov/Archives/edgar/data/1376231/000089109221003500/0000891092-21-003500-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-34705,-40044,-3788,-8471,- -,- -,- -,-5419830,-93450,-375730,-1611810,-973740,-1179010,-563779
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,5325258,- -,25444,15690,30237,18124,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,32300,- -,29400,- -,84313,- -
77,Change in Working Capital,22271,20000,- -,-10000,- -,-10000,30000,3680,38850,85480,-1007160,277540,-1103140,-187460
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150758,-44797,-18099,110521,88224
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-202678,230489,-262924,-310595,266148
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,11055,161511,80179,- -,- -,- -
81,Other Working Capital,- -,-10000,-10000,-20000,-20000,-30000,- -,3680,42530,128010,-879150,-601610,-1704750,-1892210
82,Other Non-Cash Items,- -,4183,-7040,17871,-10142,8417,-41992,334,-82492,-180880,1875317,438573,843755,681632
83,Cash Provided by Operating Activities,-12434,-15861,-10828,-600,-10142,-1583,-11992,-90558,-104792,-445686,-698563,-227390,-1335958,-69607
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15201,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15201,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-6782,- -,-234978,-75220,-870935,-1004873,-1211756
91,Common Stock Issued,4728,- -,- -,- -,- -,- -,- -,100000,100000,200000,75000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,16587,10000,600,10142,1583,11992,6782,- -,575000,671638,1100008,2305305,1258566
95,Cash Used/Provided by Financing Activities,4728,16587,10000,600,10142,1583,11992,100000,100000,540022,671418,229073,1300432,46810
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-7706,726,10000,600,10142,1583,11992,100000,-4792,79135,-27145,1683,-35526,46810
98,Cash at the End of Period,102,828,- -,- -,- -,- -,- -,9442,4650,83785,56640,58323,22797,- -
99,Cash at the Beginning of Period,7808,102,828,- -,- -,- -,- -,- -,9442,4650,83785,56640,58323,22797
100,Free Cash Flow,-12434,-15861,-10828,-600,-10142,-1583,-11992,-90558,-104792,-460887,-698563,-227390,-1335958,-69607
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1376231/000137623112000002/0001376231-12-000002-index.html,https://www.sec.gov/Archives/edgar/data/1376231/000137623113000002/0001376231-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/1376231/000158095714000029/0001580957-14-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1376231/000158095715000039/0001580957-15-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1376231/000158095716000586/0001580957-16-000586-index.htm,https://www.sec.gov/Archives/edgar/data/1376231/000158095717000309/0001580957-17-000309-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1376231/000089109219005562/0000891092-19-005562-index.htm,https://www.sec.gov/Archives/edgar/data/1376231/000089109220007529/e10027-10k.htm,https://www.sec.gov/Archives/edgar/data/1376231/000089109221003500/0000891092-21-003500-index.htm
102,false,,,,,,,,,,,,,,
