,https://roic.ai/company/PK,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1617406/000156459017003210/0001564590-17-003210-index.html,https://www.sec.gov/Archives/edgar/data/1617406/000156459018004101/0001564590-18-004101-index.htm,https://www.sec.gov/Archives/edgar/data/1617406/000156459019005443/0001564590-19-005443-index.htm,https://www.sec.gov/Archives/edgar/data/1617406/000156459020007367/0001564590-20-007367-index.htm,https://www.sec.gov/Archives/edgar/data/1617406/000156459021009414/0001564590-21-009414-index.htm,https://www.sec.gov/Archives/edgar/data/1617406/000095017022001484/0000950170-22-001484-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,42000000,72000000,293000000,364000000,410000000,346000000,951000000,688000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,42000000,72000000,293000000,364000000,410000000,346000000,951000000,688000000
34,Net Receivables,- -,99000000,122000000,130000000,125000000,153000000,180000000,26000000,96000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1665000000,125000000,115000000,100000000,97000000,194000000,69000000,110000000
37,Total Current Assets,- -,1806000000,319000000,538000000,589000000,660000000,720000000,1046000000,894000000
38,PP&E,- -,6911000000,8676000000,8541000000,8311000000,7975000000,9842000000,9422000000,8721000000
39,Goodwill,- -,805000000,617000000,604000000,606000000,607000000,607000000,- -,- -
40,Intangible Assets,- -,52000000,52000000,44000000,41000000,27000000,46000000,45000000,44000000
41,Intangible Assets,- -,857000000,669000000,648000000,647000000,634000000,653000000,45000000,44000000
42,Investments,- -,126000000,104000000,81000000,84000000,50000000,35000000,14000000,15000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,14000000,19000000,26000000,83000000,44000000,40000000,60000000,69000000
45,Total Non-Current Assets,- -,7908000000,9468000000,9296000000,9125000000,8703000000,10570000000,9541000000,8849000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,9714000000,9787000000,9834000000,9714000000,9363000000,11290000000,10587000000,9743000000
48,Accounts Payable,- -,182000000,171000000,167000000,215000000,183000000,217000000,147000000,156000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,5121000000,78000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,10000000,- -
52,Other Current Liabilities,- -,102000000,162000000,301000000,279000000,272000000,159000000,-5043000000,111000000
53,Total Current Liabilities,- -,284000000,333000000,468000000,494000000,455000000,376000000,235000000,345000000
54,Long-Term Debt,- -,4228000000,4040000000,2998000000,2945000000,2947000000,3870000000,5120000000,4821000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2517000000,2502000000,2437000000,65000000,42000000,50000000,10000000,9000000
57,Other Non-Current Liabilities,- -,92000000,115000000,108000000,248000000,333000000,543000000,379000000,165000000
58,Total Non-Current Liabilities,- -,6837000000,6657000000,5543000000,3258000000,3322000000,4463000000,5509000000,4995000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,18000000,17000000,14000000,16000000,1000000,261000000,245000000,227000000
61,Total Liabilities,- -,7121000000,6990000000,6011000000,3752000000,3777000000,4839000000,5744000000,5340000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,2000000,2000000,2000000,2000000,2000000
64,Retained Earnings,- -,- -,- -,- -,2229000000,2047000000,1922000000,376000000,-83000000
65,Other Comprehensive Income/Loss,- -,-1407000000,-1677000000,-67000000,-45000000,-6000000,-3000000,-4000000,- -
66,Other Total Stockholders Equity,- -,4000000000,4474000000,3939000000,3825000000,3589000000,4575000000,4519000000,- -
67,Total Stockholders Equity,- -,2617000000,2821000000,3872000000,6011000000,5632000000,6496000000,4893000000,4452000000
68,Total Liabilities And Stockholders Equity,- -,9738000000,9811000000,9883000000,9763000000,9409000000,11335000000,10637000000,9792000000
69,Minority Interest,- -,-24000000,-24000000,-49000000,-49000000,-46000000,-45000000,-50000000,-49000000
70,Total Liabilities & Equity,- -,9714000000,9787000000,9834000000,9714000000,9363000000,11290000000,10587000000,9743000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1617406/000156459017003210/0001564590-17-003210-index.html,https://www.sec.gov/Archives/edgar/data/1617406/000156459018004101/0001564590-18-004101-index.htm,https://www.sec.gov/Archives/edgar/data/1617406/000156459019005443/0001564590-19-005443-index.htm,https://www.sec.gov/Archives/edgar/data/1617406/000156459020007367/0001564590-20-007367-index.htm,https://www.sec.gov/Archives/edgar/data/1617406/000156459021009414/0001564590-21-009414-index.htm,https://www.sec.gov/Archives/edgar/data/1617406/000095017022001484/0000950170-22-001484-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,144000000,176000000,292000000,133000000,2625000000,472000000,306000000,-1440000000,-459000000
74,Depreciation and Amortization,246000000,248000000,287000000,300000000,288000000,277000000,264000000,298000000,281000000
75,Deferred Income Tax,14000000,85000000,-7000000,-66000000,-2378000000,-20000000,5000000,-30000000,-1000000
76,Stock Based Compensation,- -,- -,- -,- -,14000000,16000000,16000000,20000000,19000000
77,Change in Working Capital,93000000,1451000000,-1536000000,84000000,25000000,110000000,139000000,467000000,-24000000
78,Accounts Receivable,5000000,-9000000,-25000000,-9000000,4000000,-27000000,-3000000,152000000,-70000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,28000000,35000000,-16000000,-1000000,20000000,-21000000,-28000000,-51000000,- -
81,Other Working Capital,71000000,1522000000,-14000000,70000000,95000000,205000000,344000000,811000000,4000000
82,Other Non-Cash Items,-57000000,-1444000000,1483000000,-52000000,79000000,-411000000,-231000000,247000000,47000000
83,Cash Provided by Operating Activities,440000000,516000000,519000000,399000000,653000000,444000000,499000000,-438000000,-137000000
84,CAPEX,-184000000,-171000000,-226000000,-227000000,-185000000,-188000000,-240000000,-86000000,-54000000
85,Acquisitions Net,-31000000,-5000000,-1411000000,- -,-1000000,150000000,-863000000,-3000000,-6000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-4000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-169000000,-115000000,1641000000,-210000000,-164000000,269000000,228000000,122000000,404000000
89,Cash Used for Investing Activites,-200000000,-120000000,230000000,-210000000,-165000000,419000000,-635000000,119000000,394000000
90,Debt Repayment,-4551000000,-14000000,-883000000,-3680000000,-55000000,- -,-232000000,-1105000000,-1213000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-348000000,- -,-66000000,- -
93,Dividends Paid,-103000000,-351000000,-81000000,-180000000,-386000000,-464000000,-494000000,-241000000,- -
94,Other Financing Activites,4439000000,-36000000,249000000,3890000000,-18000000,-4000000,823000000,2326000000,738000000
95,Cash Used/Provided by Financing Activities,-215000000,-401000000,-715000000,30000000,-459000000,-816000000,97000000,914000000,-475000000
96,Effect of Forex Changes on Cash,-4000000,-1000000,-4000000,2000000,- -,-1000000,- -,- -,- -
97,Net Change In Cash,21000000,-6000000,30000000,221000000,29000000,46000000,-39000000,595000000,-218000000
98,Cash at the End of Period,48000000,42000000,72000000,293000000,379000000,425000000,386000000,981000000,763000000
99,Cash at the Beginning of Period,27000000,48000000,42000000,72000000,350000000,379000000,425000000,386000000,981000000
100,Free Cash Flow,256000000,345000000,293000000,172000000,468000000,256000000,259000000,-524000000,-191000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1617406/000156459017003210/0001564590-17-003210-index.html,https://www.sec.gov/Archives/edgar/data/1617406/000156459018004101/0001564590-18-004101-index.htm,https://www.sec.gov/Archives/edgar/data/1617406/000156459019005443/0001564590-19-005443-index.htm,https://www.sec.gov/Archives/edgar/data/1617406/000156459020007367/0001564590-20-007367-index.htm,https://www.sec.gov/Archives/edgar/data/1617406/000156459021009414/0001564590-21-009414-index.htm,https://www.sec.gov/Archives/edgar/data/1617406/000095017022001484/0000950170-22-001484-index.htm
102,false,,,,,,,,,
