,https://roic.ai/company/AUY,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,-35.0002,-86.9994,-362.9988,-32.0001,-3574260.5596,-1.6344,-Infinity,0.1181,-0.0820,-0.1993,0.4235,0.1962,0.2889,0.3386,0.4348,0.4007,-0.2111,-0.4391,-1.4413,-0.2649,-0.1000,-0.0232,0.2941,0.3753,0.2711
19,Total Other Income Expenses (Gains),- -,950501,492959,66221,-620732,-1527292,-1627415,-52641,-493417,-4660293,-61476813,-93245619,221743000,-24576000,-19563000,-126778000,-121223000,-6297000,-30252000,-117200000,-142200000,-137700000,-134900000,-163800000,-95700000,-107700000
20,Income Before Tax,- -,-1608540,-5633802,-23971922,- -,- -,-11172656,-2374458,1846027,-8434631,-95202380,223133770,428692000,317257000,551541000,818184000,815128000,-395241000,-836086000,-2747500000,-615700000,-318000000,-176700000,310300000,490100000,384500000
21,Income Before Tax Ratio,- -,-22.0001,-79.9995,-361.9988,- -,- -,-1.9131,-Infinity,0.0932,-0.1832,-0.5626,0.2987,0.4065,0.2681,0.3270,0.3765,0.3488,-0.2145,-0.4556,-1.5056,-0.3444,-0.1763,-0.0982,0.1925,0.3140,0.2118
22,Income Tax expense (Gain),- -,219346,70423,66221,- -,- -,-143650,1017491,838381,-4324834,-25039928,63872968,19683000,136559000,160690000,269890000,373064000,79110000,358781000,-647900000,-324900000,-113900000,121000000,84700000,286500000,295700000
23,Net Income,- -,-1827886,-5704225,-24038143,-2344989,-2391567,-11029005,-3391949,1007646,-4109797,-70162452,157243064,434772000,192631000,451444000,548294000,442064000,-446247000,-1383073000,-2114800000,-307900000,-194400000,-284600000,225600000,203600000,147500000
24,Net Income ratio,- -,-25.0002,-80.9995,-362.9988,-34.0001,-3674641.6115,-1.8885,-Infinity,0.0509,-0.0893,-0.4147,0.2105,0.4123,0.1628,0.2676,0.2523,0.1892,-0.2422,-0.7537,-1.1589,-0.1722,-0.1078,-0.1582,0.1399,0.1304,0.0812
25,EPS,- -,-2.24,-5.89,-23.43,-1.73,-1.45,-5.85,-0.05,0.02,-0.03,-0.25,0.38,0.63,0.26,0.61,0.74,0.59,-0.59,-1.69,-2.26,-0.33,-0.21,-0.30,0.24,0.21,0.15
26,EPS Diluted,- -,-2.24,-5.89,-23.43,-1.73,-1.45,-5.85,-0.05,0.02,-0.03,-0.25,0.36,0.62,0.26,0.61,0.74,0.59,-0.59,-1.69,-2.26,-0.33,-0.21,-0.30,0.24,0.21,0.15
27,Weighted Average Shares Outstanding,- -,815766,969131,1025940,1355987,1648708,1885010,65374000,43674000,144888000,276617000,415232000,691536000,733093000,739938000,744600000,748095000,752697000,820782000,936606000,947443000,925714286,949030000,950266000,951818000,951818000
28,Weighted Average Shares Outstanding Diluted,- -,815766,969131,1025940,1355987,1648708,1885010,65374000,43674000,144888000,276617000,431917000,701685000,734235000,740878000,745356000,749591000,752697000,822505000,936606000,947443000,925714286,949030000,951924000,953846000,953846000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1264089/000110465907024452/0001104659-07-024452-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465908021418/0001104659-08-021418-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465909021815/0001104659-09-021815-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465910017817/0001104659-10-017817-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465911018151/0001104659-11-018151-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465912022894/0001104659-12-022894-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000126408913000004/0001264089-13-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1264089/000126408916000019/0001264089-16-000019-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000126408917000004/0001264089-17-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/1264089/000126408919000005/0001264089-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000126408920000016/0001264089-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000126408921000006/0001264089-21-000006-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,18863786,4225352,2979935,1310435,949246,213576,722344,87054000,151632403,69679480,299129231,170137000,170070000,330498000,550438000,349594000,220018000,191027000,119900000,97400000,148900000,98500000,158800000,651200000,525000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43745775,- -,- -,- -,- -,4516000,44493000,111779000,102300000,75500000,13200000,7400000,8500000,14300000,27000000
33,Cash and Short-Term Investments,- -,18863786,4225352,2979935,1310435,949246,213576,722344,87054000,151632403,69679480,342875006,170137000,170070000,330498000,550438000,354110000,264511000,302806000,222200000,172900000,162100000,105900000,167300000,665500000,552000000
34,Net Receivables,- -,1242963,- -,- -,- -,9117,62933,216330,1177000,7421374,8283163,123814859,26995000,102126000,268737000,206101000,175297000,80101000,51014000,45900000,36600000,38600000,24300000,3400000,4200000,3000000
35,Inventory,- -,- -,- -,- -,- -,356944,330394,- -,5862000,6980977,51251947,97626420,123988000,101820000,116443000,163421000,230216000,229225000,307019000,270000000,254100000,163500000,181000000,133400000,152100000,167200000
36,Other Current Assets,- -,877385,492958,331104,206911,198590,163910,39940,2068000,5666668,24244792,86186546,200986000,208603000,212495000,182692000,164530000,144626000,123168000,110900000,88800000,475200000,118000000,97500000,96100000,113300000
37,Total Current Assets,- -,20984134,4718310,3311039,1517346,1513897,770813,978614,96161000,171701423,153459381,650502831,522106000,582619000,928173000,1102652000,924153000,718463000,784007000,649000000,552400000,839400000,429200000,401600000,917900000,835500000
38,PP&E,- -,17693939,28309859,14038805,16070074,10541159,8586701,5642192,73692000,294484395,1944723255,8706682167,8534081000,8576361000,8829195000,9044094000,10276071000,10260801000,11142809000,8208700000,7566300000,7259700000,6696500000,5952900000,6684800000,6775400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000000,55000000,55000000,55000000,- -,- -,- -,- -,- -,403700000,358700000,358700000,358700000,358700000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16574000,15682000,- -,- -,- -,- -,- -,45800000,41100000,33500000,37700000,33100000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54999886,55000942,55000000,55000000,71574000,70682000,98514000,65548000,325425000,489500000,481000000,449500000,399800000,392200000,396400000,391800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2258754,28008438,270736337,12517000,56366000,102958000,250455000,254915000,136311000,109849000,27300000,36500000,26100000,164900000,135500000,123000000,81000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1456000,151632403,69679480,124421184,124021000,135454000,132145000,156785000,124843000,121599000,112854000,88600000,116700000,97800000,88500000,80800000,98100000,96200000
44,Other Non-Current Assets,- -,2412810,2887324,1258195,1379405,995875,784848,- -,5797000,-151632403,-69679480,88577716,89628000,301460000,235196000,145272000,121667000,107995000,63909000,55000000,48800000,90800000,234000000,154200000,202600000,203000000
45,Total Non-Current Assets,- -,20106749,31197183,15297000,17449479,11537034,9371549,5642192,80945000,296743149,2027731579,9245418346,8815247000,9124641000,9371068000,9667288000,10876010000,10692254000,11754846000,8869100000,8249300000,7923900000,7583700000,6715600000,7504900000,7547400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,41090883,35915493,18608039,18966825,13050931,10142362,6620806,177106000,468444571,2181190961,9895921177,9337353000,9707260000,10299241000,10769940000,11800163000,11410717000,12538853000,9518100000,8801700000,8763300000,8012900000,7117200000,8422800000,8382700000
48,Accounts Payable,- -,1096732,633803,331104,896614,924616,977527,709815,7225000,20605753,39466257,136354953,143705000,153522000,185151000,194300000,305271000,310874000,289708000,203100000,228700000,256400000,221300000,153900000,154200000,173100000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,3293200,37308,- -,- -,- -,83245265,83749000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,202995,3922673,56287877,6848000,42844000,81785000,129528000,103490000,53458000,24655000,27100000,4800000,91800000,32500000,18300000,45000000,37400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,2767797,1,603311,- -,10834449,37734626,253034446,133341000,168760000,213649000,300331000,363748000,326496000,438400000,339000000,246400000,524300000,275100000,254500000,287600000,272700000
53,Total Current Liabilities,- -,1096732,633803,331104,896614,3692413,4270728,1350434,7225000,31440203,77200883,472634665,360795000,322282000,398800000,494631000,669019000,637370000,728108000,542100000,475100000,780700000,496400000,408400000,441800000,445800000
54,Long-Term Debt,- -,- -,- -,- -,689703,- -,- -,- -,- -,106847833,- -,539179881,472215000,529450000,486550000,431769000,765912000,1189762000,2025383000,1676700000,1573800000,1747700000,1756800000,991700000,993800000,772800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,482868,1500357,4600000,5671829,328371742,2696387277,1714146000,1768899000,1822185000,2000848000,2072741000,2024541000,2655960000,1837800000,1511400000,1147100000,1129300000,1041400000,1229100000,1364200000
57,Other Non-Current Liabilities,- -,-73115,- -,331104,-137941,208864,1104418,- -,4972000,9511539,59028578,234091797,233278000,291111000,300918000,351169000,430613000,400939000,396541000,596900000,661400000,640500000,606400000,455800000,585800000,596700000
58,Total Non-Current Liabilities,- -,-73115,- -,331104,551762,208864,1587286,1500357,9572000,122031201,387400319,3469658955,2419639000,2589460000,2609653000,2783786000,3269266000,3615242000,5077884000,4111400000,3746600000,3535300000,3492500000,2488900000,2808700000,2733700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6939317910,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1023616,633803,662208,1448376,3901277,5858014,2850791,16797000,153471404,464601202,3942293620,2780434000,2911742000,3008453000,3278417000,3938285000,4252612000,5805992000,4653500000,4221700000,4316000000,3988900000,2897300000,3250500000,3179500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,34831892,- -,- -,- -,310409212,1662341816,5502517444,- -,- -,- -,- -,6304801000,6320138000,7347347000,7625400000,7630500000,7633700000,7636400000,7639900000,7648900000,7689900000
64,Retained Earnings,- -,-4313812,-10000000,-35229455,-37726740,-27019648,-52644787,-3490589,263000,-3848311,-80334309,59959961,424182000,587643000,976218000,1240867000,1503016000,860507000,-630252000,-2802700000,-3130300000,-3344100000,-3650600000,-3453800000,-3318800000,-3296500000
65,Other Comprehensive Income/Loss,- -,-438693,-985915,-1854182,-1586316,-1133100,-1912841,2459147,12639000,3736492,61578905,73536028,-40651000,26652000,49727000,-5280000,7261000,-41236000,-2930000,18600000,12000000,23800000,-16900000,-21900000,-6500000,-22400000
66,Other Total Stockholders Equity,- -,44819771,46267605,55029468,56831506,2470510,58841976,7648084,- -,- -,73003347,270804599,6470648000,6830981000,7236369000,7544974000,- -,- -,- -,- -,- -,- -,20400000,21000000,22700000,24900000
67,Total Stockholders Equity,- -,40067266,35281690,17945831,17518450,9149654,4284348,3770015,160309000,314973168,1716589759,5906818031,6510119000,6748718000,7243988000,7444723000,7815078000,7139409000,6714165000,4841300000,4512200000,4313400000,3989300000,4185200000,4346300000,4395900000
68,Total Liabilities And Stockholders Equity,- -,41090882,35915493,18608039,18966826,13050931,10142362,6620806,177106000,468444571,2181190961,9849111651,9290553000,9660460000,10252441000,10723140000,11753363000,11392021000,12520157000,9494800000,8733900000,8629400000,7978200000,7082500000,7596800000,7575400000
69,Minority Interest,- -,1,- -,- -,-1,- -,- -,- -,- -,-0,- -,46809526,46800000,46800000,46800000,46800000,46800000,18696000,18696000,23300000,67800000,133900000,34700000,34700000,826000000,807300000
70,Total Liabilities & Equity,- -,41090883,35915493,18608039,18966825,13050931,10142362,6620806,177106000,468444571,2181190961,9895921177,9337353000,9707260000,10299241000,10769940000,11800163000,11410717000,12538853000,9518100000,8801700000,8763300000,8012900000,7117200000,8422800000,8382700000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1264089/000110465907024452/0001104659-07-024452-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465908021418/0001104659-08-021418-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465909021815/0001104659-09-021815-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465910017817/0001104659-10-017817-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465911018151/0001104659-11-018151-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465912022894/0001104659-12-022894-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000126408913000004/0001264089-13-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1264089/000126408916000019/0001264089-16-000019-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000126408917000004/0001264089-17-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/1264089/000126408919000005/0001264089-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000126408920000016/0001264089-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000126408921000006/0001264089-21-000006-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1827886,-5704225,-24038143,-2344989,-2391567,-11029005,-3391949,1007646,-4109797,-70162452,157243064,434772000,192631000,451444000,548294000,442064000,-446247000,-1383073000,-2114800000,-307900000,-194400000,-284600000,225600000,203600000,147500000
74,Depreciation and Amortization,- -,- -,70423,66221,68970,37619,2172637,9858,2429895,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,426800000,- -,- -,- -,- -
75,Deferred Income Tax,- -,73115,- -,- -,- -,- -,-143650,1017491,495301,- -,- -,- -,-45928000,54435000,22654000,- -,- -,- -,- -,- -,- -,- -,5700000,-2500000,-5900000,-3400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,726787,4493000,10470000,12249000,20429000,26293000,7682000,5831000,11200000,14200000,12600000,5300000,15000000,31500000,3200000
77,Change in Working Capital,- -,-1023616,1126761,-132442,275881,-84069,600221,243566,538209,- -,-39709706,5236082,-96892000,32407000,-133661000,-40591000,113111000,-54726000,-81069000,-138800000,25300000,-14000000,-162100000,-68700000,-70900000,-33300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33689000,-40802000,-83747000,-33537000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-219346,- -,- -,- -,-356944,275105,- -,-1610676,- -,- -,-30685687,-34135000,-33313000,-18182000,-40571000,-77347000,-44539000,-32456000,-3900000,11000000,-17800000,-67000000,-1500000,-21600000,-12100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94202000,- -,19092000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,1,-1,- -,- -,- -,243566,- -,- -,3675298,-33914068,- -,-37696000,-107419000,14750000,-5851000,-613000,868000,-29300000,-17800000,8700000,-26600000,-23700000,-18100000,- -
82,Other Non-Cash Items,- -,-73116,2535210,22051520,827643,1566167,8811530,1318713,1119602,10772519,101153143,120245168,32230000,261650000,261986000,697650000,576589000,1146426000,1987782000,2773600000,933200000,253000000,839900000,352400000,459500000,628300000
83,Cash Provided by Operating Activities,- -,-2851503,-1971831,-2052844,-1172495,-871850,411733,-802321,5590653,6662722,-8719015,283451101,328675000,551593000,614672000,1225782000,1158057000,653135000,529471000,531200000,664800000,484000000,404200000,521800000,617800000,742300000
84,CAPEX,- -,-8188930,-12816901,-6092312,-2413960,-100292,-179986,-72126,-5961046,-179969185,-219300610,-288733360,-586920000,-498757000,-481972000,-822223000,-1537994000,-1047526000,-662111000,-378800000,-495400000,-643800000,-446900000,-331700000,-273700000,-384600000
85,Acquisitions Net,- -,- -,- -,- -,- -,-103237,- -,- -,-22097791,- -,66816989,-416668020,- -,- -,-49109000,- -,- -,- -,-462728000,- -,73800000,- -,189900000,825000000,359700000,-44800000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12583995,- -,- -,- -,- -,- -,-25443000,-2796000,-3825000,-83647000,-29700000,-7600000,- -,-5200000,- -,- -,-25000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8222000,20411000,12204000,1626000,- -,- -,66577000,18600000,33600000,17500000,- -,- -,- -,61500000
88,Other Investing Activites,- -,11552241,-704226,-66221,206911,-1444050,-816505,-18880,- -,- -,-26543816,15555660,-445683000,-17510000,74055000,-35000,42760000,-2059000,45009000,-2300000,15700000,-17900000,-67400000,-61300000,-34600000,-6800000
89,Cash Used for Investing Activites,- -,3363311,-13521127,-6158533,-2207049,-1647579,-996491,-91006,-28058837,-192553179,-179027437,-689845720,-559715000,-495856000,-444822000,-846075000,-1498030000,-1053410000,-1096900000,-392200000,-379900000,-644200000,-329600000,432000000,51400000,-399700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-115414554,-53278335,-95621000,-596891000,-45000000,-55000000,-167632000,-100000000,-520133000,-688600000,-484500000,-460900000,-486500000,-969300000,-273300000,-791500000
91,Common Stock Issued,- -,26687139,985915,5694987,1172495,579740,176169,1402096,61105569,155098807,221208938,37911399,272323000,1353000,- -,- -,- -,- -,- -,228200000,- -,71500000,- -,- -,7400000,- -
92,Common Stock Repurchased,- -,-1023616,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28300000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17199966,-69930000,-29366000,-48267000,-100108000,-168244000,-196199000,-142853000,-55200000,-28000000,-18900000,-19000000,-23700000,-53000000,-104100000
94,Other Financing Activites,- -,-14696206,- -,1258195,620732,2055997,-836358,- -,-4756265,95369991,- -,654174914,24807000,559947000,75238000,12430000,482275000,580042000,1203129000,311000000,204300000,626200000,371200000,100500000,143000000,456400000
95,Cash Used/Provided by Financing Activities,- -,10967317,985915,6953182,1793227,2635737,-660189,1402096,56349304,250468799,105794384,621608012,131579000,-64957000,-18029000,-142678000,146399000,283843000,540143000,-204600000,-308200000,217900000,-134300000,-892500000,-175900000,-467500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15296000,9152000,8607000,-17089000,-7270000,-13144000,-1069000,-6100000,800000,100000,3000000,-1000000,-900000,-1300000
97,Net Change In Cash,- -,11479125,-14577465,-1258195,-1655287,116308,-1244947,508769,33881120,64578342,-81952069,215213394,-114757000,2305000,160428000,219940000,-200844000,-129576000,-28355000,-71700000,-22500000,51500000,-50400000,60300000,492400000,-126200000
98,Cash at the End of Period,- -,18790670,4225352,2979935,1310435,949246,213576,722344,34603464,157299071,69679480,270190243,170137000,170070000,330498000,550438000,349594000,220018000,191663000,119900000,97400000,148900000,98500000,158800000,651200000,525000000
99,Cash at the Beginning of Period,- -,7311545,18802817,4238130,2965722,832938,1458523,213575,722344,92720729,151631549,54976849,284894000,167765000,170070000,330498000,550438000,349594000,220018000,191600000,119900000,97400000,148900000,98500000,158800000,651200000
100,Free Cash Flow,- -,-11040433,-14788732,-8145156,-3586455,-972142,231747,-874447,-370393,-173306463,-228019625,-5282259,-258245000,52836000,132700000,403559000,-379937000,-394391000,-132640000,152400000,169400000,-159800000,-42700000,190100000,344100000,357700000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1264089/000110465907024452/0001104659-07-024452-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465908021418/0001104659-08-021418-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465909021815/0001104659-09-021815-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465910017817/0001104659-10-017817-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465911018151/0001104659-11-018151-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000110465912022894/0001104659-12-022894-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000126408913000004/0001264089-13-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1264089/000126408916000019/0001264089-16-000019-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000126408917000004/0001264089-17-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/1264089/000126408919000005/0001264089-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000126408920000016/0001264089-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/1264089/000126408921000006/0001264089-21-000006-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
