,https://roic.ai/company/UCLE,2012,2013,2014,2015,2016,2017,2018,2019,2020
27,Weighted Average Shares Outstanding,9150000,9476986,11669438,13294110,13649329,13965211,15972462,18300793,22080873
28,Weighted Average Shares Outstanding Diluted,9150000,9476986,11669438,13294110,13649329,13965211,15972462,18300793,22080873
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1543623/000126246313000054/0001262463-13-000054-index.html,https://www.sec.gov/Archives/edgar/data/1543623/000126246314000298/0001262463-14-000298-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1543623/000165917316000242/0001659173-16-000242-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000165917317000179/0001659173-17-000179-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000165917318000149/0001659173-18-000149-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000165917319000049/0001659173-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000121390020016520/0001213900-20-016520-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000121390021039266/0001213900-21-039266-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,270000,140250,419130,236400,442340,969120,1087660,227304
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,270000,140250,419130,236400,442340,969120,1087660,227304
34,Net Receivables,- -,580000,95700,181080,229220,278090,730770,560300,255202
35,Inventory,- -,1420000,2343730,2320330,1201560,1315500,1047610,1098250,1317687
36,Other Current Assets,- -,10000,1800,- -,10,- -,2500,3000,4000
37,Total Current Assets,- -,2280000,2581480,2920540,1667190,2035930,2750000,2749210,1804193
38,PP&E,- -,20000,14450,7900,17290,5670,5750,219650,60923
39,Goodwill,- -,570000,570180,570180,570180,570180,570180,570180,570176
40,Intangible Assets,- -,- -,- -,- -,183060,53840,- -,- -,- -
41,Intangible Assets,- -,570000,570180,570180,753240,624020,570180,570180,570176
42,Investments,- -,- -,- -,- -,- -,- -,10000,2000,19616
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,590000,584630,578080,770530,629690,585930,791830,650715
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2870000,3166110,3498620,2437720,2665620,3335930,3541040,2454908
48,Accounts Payable,- -,140000,199030,41610,51920,121500,93260,55490,60977
49,Short-Term Debt,- -,355255,319274,306487,362459,315128,238752,389072,717890
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,194311
52,Other Current Liabilities,- -,74745,289616,160503,417451,466132,558228,794938,526983
53,Total Current Liabilities,- -,570000,807920,508600,831830,902760,890240,1239500,1500161
54,Long-Term Debt,- -,660000,58220,248880,336320,453160,440100,546290,107587
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,55080,- -
58,Total Non-Current Liabilities,- -,660000,58220,248880,336320,453160,440100,601370,107587
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,211799,55079
61,Total Liabilities,- -,1230000,866140,757480,1168150,1355920,1330340,1840870,1607748
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1330,1350,1400,1410,1700,2010,2572
64,Retained Earnings,-10000,-520000,-838030,-438620,-2044790,-2034660,-4441730,-7602500,-11140603
65,Other Comprehensive Income/Loss,-5304,- -,- -,- -,- -,- -,- -,-460730,- -
66,Other Total Stockholders Equity,- -,2160000,3136674,3178410,3312961,3342951,6445624,9761384,11985191
67,Total Stockholders Equity,-4304,1641606,2299974,2741140,1269571,1309701,2005594,1700164,847160
68,Total Liabilities And Stockholders Equity,- -,2871606,3166114,3498620,2437721,2665621,3335934,3541034,2454908
69,Minority Interest,- -,-1606,-4,- -,-1,-1,-4,6,- -
70,Total Liabilities & Equity,- -,2870000,3166110,3498620,2437720,2665620,3335930,3541040,2454908
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1543623/000126246313000054/0001262463-13-000054-index.html,https://www.sec.gov/Archives/edgar/data/1543623/000126246314000298/0001262463-14-000298-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1543623/000165917316000242/0001659173-16-000242-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000165917317000179/0001659173-17-000179-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000165917318000149/0001659173-18-000149-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000165917319000049/0001659173-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000121390020016520/0001213900-20-016520-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000121390021039266/0001213900-21-039266-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-10000,-30000,-321510,399420,-1606170,10130,-2407070,-3160770,-3538103
74,Depreciation and Amortization,18428,3694,7331,6554,87099,142832,59536,1496,2004
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-500961,1710000,63560,638380,-1576580,297810,726590,-350050,-1205678
78,Accounts Receivable,-131093,-251572,489113,-85384,-44691,-100869,-452682,170470,305101
79,Inventory,-248995,-290068,-922087,23396,-119655,-113934,267886,-50638,-219437
80,Accounts Payable,26228,29812,58783,-157426,2706,79577,-49764,-55433,-5828
81,Other Working Capital,- -,1710000,1773560,2411940,835360,1133170,1859760,1509710,304032
82,Other Non-Cash Items,501476,-2217261,-212937,-943358,2810516,-286344,1226081,3378703,4127628
83,Cash Provided by Operating Activities,8943,-533567,-463556,100996,-285135,164428,-394863,-130621,-614149
84,CAPEX,- -,-6434,-1242,- -,- -,-1989,-5777,-3592,- -
85,Acquisitions Net,-78536,- -,- -,- -,-60000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-10000,-500000,-235000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-78536,-6434,-1242,- -,-60000,-1989,-15777,-503592,-235000
90,Debt Repayment,- -,- -,-35981,- -,-7136,-72051,-55419,-46676,-633271
91,Common Stock Issued,- -,- -,108545,- -,- -,- -,1068750,325000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,253166,457435,266614,177877,169549,115549,-75914,474431,622064
95,Cash Used/Provided by Financing Activities,253166,457435,339178,177877,162413,43498,937417,752755,-11207
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,183573,-82566,-125620,278873,-182722,205937,526777,118542,-860356
98,Cash at the End of Period,348439,265873,140253,419126,236404,442341,969118,1087660,227304
99,Cash at the Beginning of Period,164866,348439,265873,140253,419126,236404,442341,969118,1087660
100,Free Cash Flow,8943,-540001,-464798,100996,-285135,162439,-400640,-134213,-614149
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1543623/000126246313000054/0001262463-13-000054-index.html,https://www.sec.gov/Archives/edgar/data/1543623/000126246314000298/0001262463-14-000298-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1543623/000165917316000242/0001659173-16-000242-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000165917317000179/0001659173-17-000179-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000165917318000149/0001659173-18-000149-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000165917319000049/0001659173-19-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000121390020016520/0001213900-20-016520-index.htm,https://www.sec.gov/Archives/edgar/data/1543623/000121390021039266/0001213900-21-039266-index.htm
102,false,,,,,,,,,
