,https://roic.ai/company/CTAS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,5300000,6500000,8200000,10100000,12300000,16400000,19400000,23100000,35100000,37700000,43100000,47700000,57200000,90200000,99513000,112089000,120025000,143061000,143259000,148175000,160653000,175926000,191903000,200106000,152059000,150886000,155831000,189377000,190862000,155082000,165279000,196595000,279416000,360093000,379053000,387951000
15,EBITDA,25400000,31600000,35900000,45000000,53900000,65100000,80300000,94400000,120600000,138600000,165300000,194300000,236700000,314200000,411272000,468543000,491610000,538820000,575339000,625168000,682468000,709479000,722607000,611935000,544563000,593259000,697400000,754997000,864542000,895521000,1184502000,993945000,1289246000,1566574000,1542414000,1773910000
16,EBITDA ratio,0.2053,0.1934,0.1756,0.1847,0.1895,0.2019,0.2000,0.2085,0.2305,0.2253,0.2264,0.2313,0.1975,0.1794,0.2162,0.2168,0.2165,0.2006,0.2045,0.2038,0.2005,0.1914,0.1835,0.1621,0.1535,0.1557,0.1700,0.1749,0.1899,0.2000,0.2415,0.1867,0.1991,0.2273,0.2177,0.2493
17,Operating Income,20900000,27100000,30300000,36700000,42900000,50100000,63200000,77000000,90500000,106100000,128800000,150400000,200900000,281300000,323758000,367204000,376901000,423771000,458874000,494527000,546838000,577397000,577455000,409065000,390809000,440343000,539627000,565211000,567010000,696407000,781748000,773691000,949834000,1133534000,1162696000,1385492000
18,Operating Income ratio,0.1690,0.1659,0.1482,0.1507,0.1508,0.1553,0.1574,0.1701,0.1730,0.1725,0.1764,0.1791,0.1677,0.1606,0.1702,0.1699,0.1660,0.1577,0.1631,0.1612,0.1607,0.1558,0.1466,0.1084,0.1102,0.1156,0.1316,0.1309,0.1246,0.1556,0.1594,0.1453,0.1467,0.1645,0.1641,0.1947
19,Total Other Income Expenses (Gains),-800000,-2000000,-2600000,-1800000,-1300000,-1400000,-5000000,-5700000,-5000000,-5200000,-6600000,-3800000,-21400000,-57300000,-11999000,-10750000,-5316000,-28012000,-26794000,-17534000,-25023000,-43844000,-46751000,-47472000,-46917000,-47674000,-68683000,-65303000,40848000,-38131000,-63626000,-86287000,-108833000,-31135000,-104405000,-97743000
20,Income Before Tax,20100000,25100000,27700000,34900000,41600000,48700000,58200000,71300000,85500000,100900000,122200000,146600000,179500000,224000000,311759000,356454000,371585000,395759000,432080000,476993000,521815000,533553000,530704000,361593000,343892000,392669000,470944000,499908000,607858000,658276000,718122000,687404000,841001000,1102399000,1058291000,1287749000
21,Income Before Tax Ratio,0.1625,0.1536,0.1355,0.1433,0.1462,0.1510,0.1449,0.1575,0.1634,0.1640,0.1674,0.1745,0.1498,0.1279,0.1639,0.1650,0.1636,0.1473,0.1535,0.1555,0.1533,0.1439,0.1348,0.0958,0.0969,0.1031,0.1148,0.1158,0.1335,0.1470,0.1464,0.1291,0.1299,0.1599,0.1494,0.1810
22,Income Tax expense (Gain),8800000,11200000,10500000,12800000,15000000,17300000,21700000,26400000,33300000,38200000,47000000,55800000,56600000,85100000,118372000,134003000,137334000,146506000,159875000,176475000,194637000,199015000,195299000,135236000,128272000,145680000,173307000,184466000,233416000,244660000,261181000,230118000,57069000,219764000,181931000,176781000
23,Net Income,11300000,13900000,17200000,22100000,26600000,31400000,39200000,44900000,52200000,62700000,75200000,90800000,122900000,138900000,193387000,222451000,234251000,249253000,272205000,300518000,327178000,334538000,335405000,226357000,215620000,246989000,297637000,315442000,374442000,430618000,693520000,480708000,842586000,884981000,876037000,1110968000
24,Net Income ratio,0.0914,0.0851,0.0841,0.0907,0.0935,0.0974,0.0976,0.0992,0.0998,0.1019,0.1030,0.1081,0.1026,0.0793,0.1017,0.1030,0.1031,0.0928,0.0967,0.0980,0.0961,0.0902,0.0852,0.0600,0.0608,0.0648,0.0726,0.0731,0.0823,0.0962,0.1414,0.0903,0.1301,0.1284,0.1236,0.1561
25,EPS,0.10,0.12,0.15,0.20,0.21,0.24,0.28,0.34,0.37,0.45,0.53,0.64,0.81,0.84,1.16,1.32,1.38,1.46,1.59,1.75,1.95,2.09,2.15,1.48,1.40,1.68,2.27,2.53,3.08,3.68,6.30,4.49,7.78,8.25,8.36,10.52
26,EPS Diluted,0.10,0.12,0.15,0.20,0.21,0.24,0.28,0.33,0.37,0.45,0.53,0.64,0.79,0.82,1.14,1.30,1.36,1.45,1.58,1.74,1.94,2.09,2.15,1.48,1.40,1.68,2.27,2.52,3.05,3.63,6.21,4.38,7.56,7.99,8.11,10.24
27,Weighted Average Shares Outstanding,113000000,115833333,114666667,110500000,126666667,130833333,140000000,132058824,140118000,140673000,141297000,142893000,152355372,165357143,166712931,168523485,169747101,170721233,171198113,171724571,167783590,160066029,155678000,152942000,152859000,146586000,129891000,123956000,120377000,115900000,108221000,104964000,106593000,106080000,103816000,104874000
28,Weighted Average Shares Outstanding Diluted,113000000,115833333,114666667,110500000,126666667,130833333,140000000,136060606,140118000,140673000,141315789,142893000,154915966,169390244,169637719,171116154,172243382,171898621,172281646,172711494,168648454,160066029,155930000,153366000,152859000,146586000,130033000,124531000,121640000,117543000,109956000,107783000,109810000,109495000,107012000,107707000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723254/000072325494000007/0000723254-94-000007-index.html,https://www.sec.gov/Archives/edgar/data/723254/000072325495000006/0000723254-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/723254/000072325496000007/0000723254-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/723254/000089225197000145/0000892251-97-000145-index.html,https://www.sec.gov/Archives/edgar/data/723254/000089225198000270/0000892251-98-000270-index.html,https://www.sec.gov/Archives/edgar/data/723254/000095015299007187/0000950152-99-007187-index.html,https://www.sec.gov/Archives/edgar/data/723254/000091205700039325/0000912057-00-039325-index.html,https://www.sec.gov/Archives/edgar/data/723254/000095010901503261/0000950109-01-503261-index.html,https://www.sec.gov/Archives/edgar/data/723254/000091205702033406/0000912057-02-033406-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000104746903029303/0001047469-03-029303-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000110465904024519/0001104659-04-024519-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000110465905039417/0001104659-05-039417-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000110465906053974/0001104659-06-053974-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000089225107000154/0000892251-07-000154-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000089225108000175/0000892251-08-000175-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000104746909007009/0001047469-09-007009-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000104746910006785/0001047469-10-006785-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000104746911006745/0001047469-11-006745-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325412000004/0000723254-12-000004-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325413000011/0000723254-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325414000020/0000723254-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325415000017/0000723254-15-000017-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325416000050/0000723254-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325417000020/0000723254-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325418000015/0000723254-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325419000021/0000723254-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325420000025/0000723254-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325421000021/0000723254-21-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,33700000,26900000,18900000,30100000,6400000,5500000,8800000,14200000,8400000,6700000,9100000,14200000,12700000,15800000,52182000,73724000,40628000,32239000,87357000,43196000,38914000,35360000,66224000,129745000,411281000,438106000,339825000,352273000,513288000,417073000,139357000,169266000,138724000,96645000,145402000,493640000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72300000,57640000,36505000,44458000,25420000,166964000,266232000,202539000,120053000,125471000,120393000,154806000,87220000,- -,5680000,- -,16081000,70405000,22219000,- -,- -,- -,- -
33,Cash and Short-Term Investments,33700000,26900000,18900000,30100000,6400000,5500000,8800000,14200000,8400000,6700000,9100000,14200000,12700000,88100000,109822000,110229000,85086000,57659000,254321000,309428000,241453000,155413000,191695000,250138000,566087000,525326000,339825000,357953000,513288000,433154000,209762000,191485000,138724000,96645000,145402000,493640000
34,Net Receivables,12800000,19600000,22200000,27000000,31800000,35300000,40700000,48100000,56300000,69000000,78200000,95200000,157600000,202100000,225735000,244450000,283234000,278147000,285592000,326896000,389905000,408870000,430078000,718637000,381992000,856499000,925834000,505151000,508427000,497066000,564890000,780328000,824217000,917595000,870369000,923992000
35,Inventory,9600000,10500000,19900000,17900000,19800000,23200000,25200000,21500000,29100000,36900000,34700000,43100000,108200000,138000000,164906000,214349000,193821000,228410000,185585000,216412000,198000000,231741000,238669000,202351000,169484000,249658000,251205000,240440000,251239000,226211000,249362000,278218000,280347000,334589000,1179309000,1291901000
36,Other Current Assets,14600000,20200000,25300000,29700000,57400000,53500000,64000000,103300000,127700000,128800000,175500000,203500000,230100000,206300000,221007000,250642000,291109000,313328000,308745000,313808000,348650000,360712000,421894000,99147000,407381000,69294000,24704000,521282000,532727000,579376000,566021000,704447000,734644000,887451000,114619000,133776000
37,Total Current Assets,70700000,77200000,86300000,104700000,115400000,117500000,138700000,187100000,221500000,241400000,297500000,356000000,508600000,634500000,721470000,819670000,853250000,877544000,1034243000,1166544000,1178008000,1156736000,1282336000,1270273000,1524944000,1700777000,1541568000,1624826000,1805681000,1735807000,1590035000,1954478000,1977932000,2236280000,2309699000,2843309000
38,PP&E,37300000,52300000,64600000,82900000,111300000,152600000,173000000,180800000,192500000,228000000,252600000,287400000,367100000,573100000,642507000,702132000,778402000,777432000,785310000,817198000,863783000,920243000,974575000,914627000,894522000,946218000,944305000,986703000,855702000,871421000,994237000,1323501000,1382730000,1430685000,1563032000,1486970000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1136175000,1245877000,1315569000,1331388000,1356925000,1487882000,1485375000,1517560000,1267411000,1195612000,1291593000,2782335000,2846888000,2842441000,2870020000,2913069000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,678598000,721855000,805441000,889538000,210282000,171361000,152757000,124330000,103445000,102312000,99460000,92153000,55675000,43883000,85165000,588487000,586388000,752639000,451529000,408445000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,678598000,721855000,805441000,889538000,1346457000,1417238000,1468326000,1455718000,1460370000,1590194000,1584835000,1609713000,1323086000,1239495000,1376758000,3370822000,3433276000,3595080000,3321549000,3321514000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90198000,101525000,458357000,329692000,124952000,164788000,175581000,192346000,214847000,274616000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,22800000,32300000,29000000,26000000,27500000,35700000,49600000,86300000,87600000,126800000,118700000,118400000,142100000,200200000,217365000,230422000,208984000,206115000,185303000,186464000,36989000,76263000,83364000,80333000,89900000,114751000,- -,22865000,19626000,16045000,18411000,30468000,-11305000,-17729000,260758000,310414000
45,Total Non-Current Assets,60100000,84600000,93600000,108900000,138800000,188300000,222600000,267100000,280100000,354800000,371300000,405800000,509200000,773300000,859872000,932554000,1665984000,1705402000,1776054000,1893200000,2247229000,2413744000,2526265000,2450678000,2444792000,2651163000,2619338000,2720806000,2656771000,2456653000,2514358000,4889579000,4980282000,5200382000,5360186000,5393514000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,130800000,161800000,179900000,213600000,254200000,305800000,361300000,454200000,501600000,596200000,668800000,761800000,1017800000,1407800000,1581342000,1752224000,2519234000,2582946000,2810297000,3059744000,3425237000,3570480000,3808601000,3720951000,3969736000,4351940000,4160906000,4345632000,4462452000,4192460000,4104393000,6844057000,6958214000,7436662000,7669885000,8236823000
48,Accounts Payable,- -,- -,- -,- -,10500000,11300000,14000000,20600000,18800000,17300000,19400000,20700000,41800000,46800000,50976000,42495000,60393000,53909000,53451000,69296000,71635000,64622000,94755000,69965000,71747000,110279000,94840000,121029000,150070000,109607000,114514000,177051000,215074000,226020000,230995000,230786000
49,Short-Term Debt,4200000,6900000,4800000,3900000,6500000,10100000,6900000,4500000,15700000,10000000,6600000,6700000,8100000,16400000,16604000,20605000,18369000,28251000,10523000,7300000,4288000,4141000,1070000,598000,609000,1335000,225636000,8187000,503000,- -,250000000,362900000,- -,312264000,43031000,942920000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7776000,13491000,6064000,5783000,8057000,8148000,7716000,27099000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,18000000,23300000,28300000,34000000,29800000,32000000,31000000,40100000,57000000,67700000,76600000,88700000,109100000,148900000,167812000,187803000,233872000,222679000,261712000,279885000,335905000,334275000,271417000,246902000,311326000,322525000,350415000,427040000,479558000,511451000,451041000,590901000,560783000,589449000,611169000,760379000
53,Total Current Liabilities,22200000,30200000,33100000,37900000,46800000,53400000,51900000,65200000,91500000,95000000,102600000,116100000,159000000,212100000,235392000,250903000,312634000,304839000,325686000,356481000,411828000,403038000,367242000,317465000,383682000,434139000,670891000,556256000,630131000,621058000,815555000,1130852000,775857000,1127733000,885195000,1934085000
54,Long-Term Debt,41200000,51100000,48600000,36900000,43600000,58900000,67800000,103600000,84200000,120300000,117900000,111500000,180000000,283600000,254378000,220940000,703250000,534763000,473685000,465291000,794454000,877074000,942736000,786058000,785444000,1284790000,1059166000,1300979000,1300477000,1300000000,1050000000,2770624000,2535309000,2537507000,2662400000,1773607000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2400000,2800000,3800000,5000000,6400000,7900000,15700000,20500000,16300000,16600000,18700000,21900000,24300000,40700000,48696000,49066000,79591000,97012000,122957000,133837000,130992000,122630000,124184000,149032000,150560000,196321000,204581000,210483000,246044000,226938000,259475000,469328000,352581000,438179000,388579000,386647000
57,Other Non-Current Liabilities,200000,- -,- -,-100000,- -,- -,- -,- -,-100000,- -,100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120308000,100987000,116021000,134041000,87133000,76422000,92942000,112009000,136704000,170460000,277941000,330522000,498509000,454637000
58,Total Non-Current Liabilities,43800000,53900000,52400000,41800000,50000000,66800000,83500000,124100000,100400000,136900000,136700000,133300000,204300000,324300000,303074000,270006000,782841000,631775000,596642000,599128000,925446000,999704000,1187228000,1036077000,1052025000,1615152000,1350880000,1587884000,1639463000,1638947000,1446179000,3410412000,3165831000,3306208000,3549488000,2614891000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165726000,174624000
61,Total Liabilities,66000000,84100000,85500000,79700000,96800000,120200000,135400000,189300000,191900000,231900000,239300000,249400000,363300000,536400000,538466000,520909000,1095475000,936614000,922328000,955609000,1337274000,1402742000,1554470000,1353542000,1435707000,2049291000,2021771000,2144140000,2269594000,2260005000,2261734000,4541264000,3941688000,4433941000,4434683000,4548976000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,54738000,62409000,65508000,76124000,94569000,114171000,- -,- -,129182000,- -,- -,- -,- -,186332000,251753000,329248000,409682000,485068000,618464000,840328000,1102689000,1417343000
64,Retained Earnings,48600000,61300000,77500000,97200000,120500000,148100000,187700000,225700000,269900000,323300000,386700000,468400000,610000000,825300000,992450000,1174330000,1365136000,1568071000,1790547000,2035992000,2304280000,2533459000,2784302000,2938419000,3080079000,3255256000,3482073000,3717771000,3998893000,4227620000,4805867000,5170830000,5837827000,6691236000,7296509000,7877015000
65,Other Comprehensive Income/Loss,-12800000,-17600000,-22800000,-27900000,-33700000,-44700000,-67500000,-82200000,-95900000,-105400000,-113900000,-132800000,-194700000,-282300000,-305494000,-355801000,-433261000,2137000,2853000,12176000,42384000,37121000,52280000,25299000,36133000,57888000,36295000,38123000,28428000,-8471000,-24874000,-3029000,16343000,-39152000,-153380000,30888000
66,Other Total Stockholders Equity,29000000,34000000,39700000,64600000,70600000,82200000,105700000,121400000,135700000,146400000,156700000,176800000,239200000,278400000,301182000,350377000,426376000,- -,- -,-58204000,- -,- -,-711633000,- -,- -,- -,- -,-1740734000,-2086216000,-2615942000,-3348016000,-3350076000,-3456108000,-4489691000,-5010616000,-5637399000
67,Total Stockholders Equity,64800000,77700000,94400000,133900000,157400000,185600000,225900000,264900000,309700000,364300000,429500000,512400000,654500000,871400000,1042876000,1231315000,1423759000,1646332000,1887969000,2104135000,2087963000,2167738000,2254131000,2367409000,2534029000,2302649000,2139135000,2201492000,2192858000,1932455000,1842659000,2302793000,3016526000,3002721000,3235202000,3687847000
68,Total Liabilities And Stockholders Equity,130800000,161800000,179900000,213600000,254200000,305800000,361300000,454200000,501600000,596200000,668800000,761800000,1017800000,1407800000,1581342000,1752224000,2519234000,2582946000,2810297000,3059744000,3425237000,3570480000,3808601000,3720951000,3969736000,4351940000,4160906000,4345632000,4462452000,4192460000,4104393000,6844057000,6958214000,7436662000,7669885000,8236823000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,130800000,161800000,179900000,213600000,254200000,305800000,361300000,454200000,501600000,596200000,668800000,761800000,1017800000,1407800000,1581342000,1752224000,2519234000,2582946000,2810297000,3059744000,3425237000,3570480000,3808601000,3720951000,3969736000,4351940000,4160906000,4345632000,4462452000,4192460000,4104393000,6844057000,6958214000,7436662000,7669885000,8236823000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723254/000072325494000007/0000723254-94-000007-index.html,https://www.sec.gov/Archives/edgar/data/723254/000072325495000006/0000723254-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/723254/000072325496000007/0000723254-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/723254/000089225197000145/0000892251-97-000145-index.html,https://www.sec.gov/Archives/edgar/data/723254/000089225198000270/0000892251-98-000270-index.html,https://www.sec.gov/Archives/edgar/data/723254/000095015299007187/0000950152-99-007187-index.html,https://www.sec.gov/Archives/edgar/data/723254/000091205700039325/0000912057-00-039325-index.html,https://www.sec.gov/Archives/edgar/data/723254/000095010901503261/0000950109-01-503261-index.html,https://www.sec.gov/Archives/edgar/data/723254/000091205702033406/0000912057-02-033406-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000104746903029303/0001047469-03-029303-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000110465904024519/0001104659-04-024519-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000110465905039417/0001104659-05-039417-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000110465906053974/0001104659-06-053974-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000089225107000154/0000892251-07-000154-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000089225108000175/0000892251-08-000175-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000104746909007009/0001047469-09-007009-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000104746910006785/0001047469-10-006785-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000104746911006745/0001047469-11-006745-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325412000004/0000723254-12-000004-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325413000011/0000723254-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325414000020/0000723254-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325415000017/0000723254-15-000017-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325416000050/0000723254-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325417000020/0000723254-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325418000015/0000723254-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325419000021/0000723254-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325420000025/0000723254-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/723254/000072325421000021/0000723254-21-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,26600000,31400000,39200000,44900000,52200000,62700000,75200000,90800000,122900000,138900000,193387000,222451000,234251000,249253000,272205000,300518000,327178000,334538000,335405000,226357000,215620000,246989000,297637000,315442000,374442000,430618000,693520000,480708000,842586000,884981000,876037000,1110968000
74,Depreciation and Amortization,- -,- -,- -,- -,12300000,16400000,19400000,23100000,35100000,37700000,43100000,47700000,57200000,90200000,99513000,112089000,120025000,143061000,143259000,148175000,160653000,175926000,191903000,200106000,152059000,150886000,155831000,189377000,190862000,155082000,165279000,196595000,279416000,360093000,379053000,387951000
