,https://roic.ai/company/BTTR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33255000,31729000,30200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1330000,1364000,116000
45,Total Non-Current Assets,- -,- -,25340,21148,16956,12764,8572,4380,2190,- -,- -,2200000,35953000,33690000,30741000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,30340,23202,16993,12802,8572,4380,2190,16640,16324,- -,53532000,51253000,74660000
48,Accounts Payable,- -,- -,- -,14620,20534,20571,21271,21733,21322,28371,106726,120774,4049000,3137000,4553000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,68090,15668,38543,267265,633754,- -,21225000,8189000,54000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1233000,1009000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,311000,350000,- -
52,Other Current Liabilities,- -,- -,- -,7683,36407,48088,- -,- -,- -,295327,458718,7574614,7441000,42900000,2734000
53,Total Current Liabilities,- -,- -,- -,22303,56941,68659,89361,37401,59865,590963,1199198,7695388,33026000,54576000,7341000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17011000,24595000,4861000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184000,4559000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17011000,24779000,9444000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,986000,357000,- -
61,Total Liabilities,- -,- -,- -,22303,56941,68659,89361,37401,59865,590963,1199198,7695388,50037000,79355000,16785000
62,Preferred Stock,- -,- -,2000,2000,1000,1,1,1,1,1,1,2847,10566000,- -,- -
63,Common Stock,- -,- -,48220,57200,60200,60,60,37582,37582,77775,78226,3416,48000,52000,29000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-330547,-381784,-431453,-1365214,-3108472,-10472149,-201269000,-260641000,-259256000
65,Other Comprehensive Income/Loss,- -,- -,-141200,-179621,-220468,-236377,-16768,-20960,-23150,-25340,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,121320,121320,119320,180459,266465,332140,359345,738455,1847371,5335004,194150000,232487000,317102000
67,Total Stockholders Equity,- -,- -,30340,899,-39948,-55857,-80789,-33021,-57675,-574323,-1182874,-5130882,3495000,-28102000,57875000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,23202,16993,12802,8572,4380,2190,16640,16324,2564506,53532000,51253000,74660000
69,Minority Interest,- -,- -,30340,- -,- -,- -,- -,- -,- -,- -,- -,-2564506,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,30340,23202,16993,12802,8572,4380,2190,16640,16324,- -,53532000,51253000,74660000
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1471727/000118518512002768/0001185185-12-002768-index.htm,https://www.sec.gov/Archives/edgar/data/1471727/000118518513002588/0001185185-13-002588-index.html,https://www.sec.gov/Archives/edgar/data/1471727/000118518514003301/0001185185-14-003301-index.htm,https://www.sec.gov/Archives/edgar/data/1471727/000118518515003074/0001185185-15-003074-index.html,https://www.sec.gov/Archives/edgar/data/1471727/000118518516005898/0001185185-16-005898-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1471727/000147172721000029/0001471727-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1471727/000147172722000027/0001471727-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-38421,-40847,-15909,-94170,-51237,-49669,-933761,-403212,-4412858,-184462000,-59335000,3387000
74,Depreciation and Amortization,- -,- -,- -,4192,4192,4192,4192,4192,2190,2190,- -,- -,171000,1748000,3713000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10280000,8940000,4140000
77,Change in Working Capital,- -,- -,- -,- -,-25249,-36655,-11717,-20740,51960,-22464,-608551,-4681607,-8116118,-21566000,73591000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45,- -,- -,-99000,1193000,-2141000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5349,27,- -,232000,1454000,-642000
80,Accounts Payable,- -,- -,- -,14620,5914,37,700,462,-411,- -,-30859,97846,-1695000,-2445000,773000
81,Other Working Capital,- -,- -,5000,5000,-20249,-56904,-68621,-89361,-37401,-59865,-1182874,-7330882,-15447000,-37013000,36578000
82,Other Non-Cash Items,- -,- -,- -,14668,43523,30635,84507,45164,-27356,773432,882213,8870067,161158118,62708000,-84831000
83,Cash Provided by Operating Activities,- -,- -,- -,-19561,-18381,-17737,-17188,-22621,-22875,-180603,-129550,-224398,-20969000,-7505000,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110000,-151000,-353000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,-20097000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,- -,- -,- -,- -,-353000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000,- -,-2200000,-20207000,-151000,-353000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-22,- -,-12626,-75000,- -,-12400000,-18881000,- -
91,Common Stock Issued,- -,- -,- -,8980,- -,- -,- -,- -,- -,14500,- -,2607099,15826000,18053000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27271,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,7440,18359,17738,17150,22643,22875,438926,276750,- -,36338000,9939000,37164000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,16420,18359,17738,17150,22621,22875,440800,201750,2579828,39764000,9111000,37164000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-3141,-22,1,17150,22621,22875,440800,201750,2579828,-1412000,1455000,24953000
98,Cash at the End of Period,- -,- -,- -,59,37,38,- -,- -,- -,10197,73642,355104,2534000,3989000,28942000
99,Cash at the Beginning of Period,- -,- -,- -,3200,59,37,38,- -,- -,- -,- -,- -,3946000,2534000,3989000
100,Free Cash Flow,- -,- -,- -,-19561,-18381,-17737,-17188,-22621,-22875,-180603,-129550,-224398,-21079000,-7656000,-353000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1471727/000118518512002768/0001185185-12-002768-index.htm,https://www.sec.gov/Archives/edgar/data/1471727/000118518513002588/0001185185-13-002588-index.html,https://www.sec.gov/Archives/edgar/data/1471727/000118518514003301/0001185185-14-003301-index.htm,https://www.sec.gov/Archives/edgar/data/1471727/000118518515003074/0001185185-15-003074-index.html,https://www.sec.gov/Archives/edgar/data/1471727/000118518516005898/0001185185-16-005898-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1471727/000147172721000029/0001471727-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1471727/000147172722000027/0001471727-22-000027-index.htm
102,false,,,,,,,,,,,,,,,
