,https://roic.ai/company/GLOG-PA,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.5402,0.5386,0.5491,0.4201,0.7241,0.5522,0.5021,0.5025,0.5500,0.5913,-0.2520,0.4374,0.5405
17,Operating Income,-894443,13056331,24700879,20421278,71401904,145360000,154313000,176644000,217556000,292518000,123364000,250310000,222680000
18,Operating Income ratio,-0.1049,0.3278,0.3716,0.2979,0.4541,0.4423,0.3718,0.3790,0.4142,0.4731,0.1857,0.3713,0.2751
19,Total Other Income Expenses (Gains),5323873,1459588,-1388618,-16200459,-14472588,-94595000,-100645000,-148593000,-133347000,-166120000,-238977000,-247021000,-142164000
20,Income Before Tax,- -,- -,- -,4220819,56929316,50765000,53668000,28051000,84209000,126398000,-115613000,3289000,80516000
21,Income Before Tax Ratio,- -,- -,- -,0.0616,0.3621,0.1545,0.1293,0.0602,0.1603,0.2044,-0.1740,0.0049,0.0995
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,4409442,9848757,14039651,4220819,56929316,42161000,10829000,-21486000,15506000,47683000,-100661000,-44948000,67663000
24,Net Income ratio,0.5170,0.2473,0.2112,0.0616,0.3621,0.1283,0.0261,-0.0461,0.0295,0.0771,-0.1515,-0.0667,0.0836
25,EPS,0.08,0.18,0.26,0.08,1.04,0.77,0.20,-0.39,0.28,0.87,-1.84,-0.82,1.24
26,EPS Diluted,0.08,0.18,0.26,0.08,1.04,0.77,0.20,-0.39,0.28,0.87,-1.84,-0.82,1.24
27,Weighted Average Shares Outstanding,54718399,54718399,54718399,54718399,54718399,54718399,54718399,54718399,54718399,54718399,54718399,54718399,54718399
28,Weighted Average Shares Outstanding Diluted,54718399,54718399,54718399,54718399,54718399,54718399,54718399,54718399,54718399,54718399,54718399,54718399,54718399
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7240318,23270100,20092909,110978315,103797922,211974000,302988000,227024000,384092000,342594000,263747000,219424000,282246000
32,Short-Term Investments,- -,- -,- -,104674150,4500000,28103000,6000000,18000000,- -,25000000,4500000,- -,- -
33,Cash and Short-Term Investments,7240318,23270100,20092909,215652465,108297922,240077000,308988000,245024000,384092000,367594000,268247000,219424000,282246000
34,Net Receivables,1070224,2098035,3956616,3290973,9732656,16186000,17424000,12321000,19372000,53639000,25473000,37482000,28613000
35,Inventory,276034,383021,425266,480554,5935576,4953000,6496000,8461000,6839000,7753000,8172000,7564000,8327000
36,Other Current Assets,5793341,774175,3365697,425385,2263294,27269000,65237000,4450000,6768000,9902000,13904000,173064000,6394000
37,Total Current Assets,14379917,26525331,27840488,219849377,126229448,288485000,398145000,270256000,417071000,438888000,315796000,437534000,325580000
38,PP&E,246920008,468965138,547971893,644201117,1650015133,2952293000,3578675000,4207407000,4153550000,4689610000,4836883000,5364785000,5388803000
39,Goodwill,9511140,9511140,9511140,9511140,9511140,9511000,9511000,9511000,9511000,9511000,9511000,9511000,9511000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,9511140,9511140,9511140,9511140,9511140,9511000,9511000,9511000,9511000,9511000,9511000,9511000,9511000
42,Investments,7113316,7002904,6528087,6856144,6326264,6603000,6274000,6265000,20800000,20713000,21620000,21759000,23508000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,15161096,28350054,24596529,13079000,47016000,21725000,33959000,16085000,39385000,23174000,12343000
45,Total Non-Current Assets,263544464,485479182,579172216,688918455,1690449066,2981486000,3641476000,4244908000,4217820000,4735919000,4907399000,5419229000,5434165000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,277924381,512004513,607012704,908767832,1816678514,3269971000,4039621000,4515164000,4634891000,5174807000,5223195000,5856763000,5759745000
48,Accounts Payable,719209,1397037,1704915,1794300,5734673,9668000,12391000,7255000,11526000,11890000,27615000,25046000,15892000
49,Short-Term Debt,4190661,22640483,24276813,25753343,100320398,116431000,636987000,153394000,185669000,527225000,264785000,255270000,584066000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,4742619,4731043,850680,8148219,1285000,3524000,841000,2394000,580000,601000,397000,- -
52,Other Current Liabilities,9377749,11860504,18477401,22360884,44629732,73977000,81490000,101345000,95268000,129710000,144537000,178636000,179165000
53,Total Current Liabilities,14287619,40640643,49190172,50759207,158833022,201361000,734392000,262835000,294857000,669405000,437538000,459349000,779123000
54,Long-Term Debt,170869366,287596575,256788206,228514890,1014753538,1778845000,1737500000,2504578000,2368189000,2307909000,2891973000,3527595000,3377004000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1750046,2835167,10620805,26283426,3558894,36728000,59809000,238069000,208711000,214371000,243831000,272682000,35247000
58,Total Non-Current Liabilities,172619412,290431742,267409011,254798316,1018312432,1815573000,1797309000,2742647000,2576900000,2522280000,3135804000,3800277000,3412251000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,220401000,213428000,206099000,204930000,196170000,302850000
61,Total Liabilities,186907031,331072385,316599183,305557523,1177145454,2016934000,2531701000,3005482000,2871757000,3191685000,3573342000,4259626000,4191374000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,46000,46000,46000,46000,46000,46000,46000
63,Common Stock,164292,164292,391015,628632,628632,810000,810000,810000,810000,810000,810000,954000,954000
64,Retained Earnings,-36326171,-26477414,-12437763,-8216944,27368310,29689000,1846000,-21486000,-5980000,12614000,-87832000,-132780000,-65117000
65,Other Comprehensive Income/Loss,-326377,-6886758,-19714042,-11080758,-3428313,-12002000,-8829000,10160000,18347000,18962000,16799000,18667000,15322000
66,Other Total Stockholders Equity,127505606,204932913,322174311,621879379,614964431,910894000,1007801000,956113000,904806000,847310000,758512000,758482000,692536000
67,Total Stockholders Equity,91017350,171733033,290413521,603210309,639533060,929391000,1001674000,945643000,918029000,879742000,688335000,645369000,643741000
68,Total Liabilities And Stockholders Equity,277924381,502805418,607012704,908767832,1816678514,2946325000,3533375000,3951125000,3789786000,4071427000,4261677000,4904995000,4835115000
69,Minority Interest,- -,9199095,- -,- -,- -,323646000,506246000,564039000,845105000,1103380000,961518000,951768000,924630000
70,Total Liabilities & Equity,277924381,512004513,607012704,908767832,1816678514,3269971000,4039621000,4515164000,4634891000,5174807000,5223195000,5856763000,5759745000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,4409442,9848757,14039651,4220819,56929316,42161000,10829000,-21486000,15506000,47683000,-100661000,-44948000,67663000
74,Depreciation and Amortization,125567,6560381,12827284,13064898,29321948,70695000,106641000,122957000,137187000,153193000,168041000,177213000,202953000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,3481090,492822,1856000,2872000,3869000,4565000,5216000,5447000,5849000,3448000
77,Change in Working Capital,975047,6116752,-5916064,-276613,13779446,4682000,-14971000,39290000,-4163000,-27708000,30017000,2147000,9394000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-276034,-106987,-42245,-55288,-5455022,983000,-1543000,-1964000,1622000,-915000,-419000,607000,- -
80,Accounts Payable,1337023,7419023,- -,2319528,24304373,16678000,9654000,11517000,1544000,3113000,23436000,21678000,- -
81,Other Working Capital,- -,- -,-294573,-3123165,1442794,-2791000,-22952000,26672000,1737000,2492000,-20814000,12133000,- -
82,Other Non-Cash Items,-5376028,3107418,6050463,4427974,-13779007,28894000,56208000,111902000,70535000,105326000,214579000,148690000,308649000
83,Cash Provided by Operating Activities,134028,25633308,27001334,24918168,86744525,148288000,161579000,256532000,223630000,283710000,317423000,288951000,592107000
84,CAPEX,-45005651,-228858542,-88036471,-110765495,-1038153383,-1364283000,-728446000,-761513000,-82352000,-673823000,-480553000,-738188000,-506641000
85,Acquisitions Net,- -,- -,-56426,- -,359973,- -,- -,137000,59000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-307914861,-44969200,-89823000,-74647000,-19500000,-51369000,-71136000,-82658000,-472000,-2730000
87,Sales/Maturities of Investments,8944017,9174760,- -,204091159,145046500,66220000,97007000,7500000,55244000,46000000,103000000,4500000,2500000
88,Other Investing Activites,3895064,6877689,1628466,1967884,2200543,1230000,2034000,2134000,3819000,5960000,17233000,4591000,244821000
89,Cash Used for Investing Activites,-32166570,-212806093,-86464431,-212621313,-935515567,-1386656000,-704052000,-771242000,-74599000,-692999000,-442978000,-729569000,-262050000
90,Debt Repayment,-80000000,-8538375,-29880190,-27454542,-142648971,-656944000,-103709000,-1986410000,-402039000,-239082000,-604422000,-1494796000,-607306000
91,Common Stock Issued,- -,- -,- -,314255049,- -,633327000,172875000,52731000,141395000,60345000,- -,36000000,10000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-13221000,- -,- -,- -,-62000,-26642000,-2996000,-18388000
93,Dividends Paid,- -,-16767000,-772000,-6914948,-28288424,-47140000,-84527000,-99207000,-121071000,-178028000,-193436000,-90041000,-91499000
94,Other Financing Activites,113796185,228507942,86938096,-1074318,1011418190,1430740000,649678000,2472652000,388980000,724947000,874566000,2097787000,292449000
95,Cash Used/Provided by Financing Activities,33796185,203202567,56285906,278811241,840480795,1346762000,634317000,439766000,7265000,368120000,50066000,545954000,-414744000
96,Effect of Forex Changes on Cash,- -,- -,- -,-222690,1109854,-218000,-830000,-1020000,772000,-329000,-3358000,-1814000,-336000
97,Net Change In Cash,1763643,16029782,-3177191,90885406,-7180393,108176000,91014000,-75964000,157068000,-41498000,-78847000,103522000,-85023000
98,Cash at the End of Period,7240318,23270100,20092909,110978315,103797922,211974000,302988000,227024000,384092000,342594000,263747000,367269000,282246000
99,Cash at the Beginning of Period,5476675,7240318,23270100,20092909,110978315,103798000,211974000,302988000,227024000,384092000,342594000,263747000,367269000
100,Free Cash Flow,-44871623,-203225234,-61035137,-85847327,-951408858,-1215995000,-566867000,-504981000,141278000,-390113000,-163130000,-449237000,85466000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,
