,https://roic.ai/company/CLIR,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434524/000114420413010734/0001144204-13-010734-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000114420414014814/v369746_10k.htm,https://www.sec.gov/Archives/edgar/data/1434524/000114420415012243/v400802_10k.htm,https://www.sec.gov/Archives/edgar/data/1434524/000114420416085858/0001144204-16-085858-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000114420417008828/0001144204-17-008828-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000114420418017160/0001144204-18-017160-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000114420419013533/0001144204-19-013533-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000110465920039929/0001104659-20-039929-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000110465921044241/0001104659-21-044241-index.htm,https://www.sec.gov/Archives/edgar/data/1434524/000155837022004842/0001558370-22-004842-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,49,25,929962,8027000,2688000,1845000,10985000,1259000,1247000,8949000,8552000,8824000,7607000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,6923000,- -,- -,- -
33,Cash and Short-Term Investments,49,25,929962,8027000,2688000,1845000,10985000,1259000,1247000,15872000,8552000,8824000,7607000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,103000,184000,39000,39000,- -,33000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,43355,436962,60000,118000,109000,203000,535000,366000,500000,391000,- -,384000
37,Total Current Assets,49,43380,1366924,8087000,2806000,1954000,11188000,1897000,1797000,16411000,8982000,8824000,8024000
38,PP&E,56675,57142,162173,400000,427000,263000,123000,144000,498000,457000,665000,427000,530000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,86546,- -,1459000,2372000,2881000,1735000,1856000,1759000,1285000,- -,799000
41,Intangible Assets,- -,- -,86546,618000,1459000,2372000,2881000,1735000,1856000,1759000,1285000,- -,799000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,20512,10000,10000,10000,10000,10000,10000,10000,10000,- -,10000
45,Total Non-Current Assets,56675,57142,269231,1028000,1896000,2645000,3014000,1889000,2364000,2226000,1960000,427000,1339000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,56724,100522,1636155,9115000,4702000,4599000,14202000,3786000,4161000,18637000,10942000,9251000,9363000
48,Accounts Payable,142321,147022,442697,276000,297000,253000,- -,- -,- -,- -,- -,435000,- -
49,Short-Term Debt,- -,- -,47667,- -,- -,- -,- -,- -,159000,216000,177000,169000,205000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,- -
52,Other Current Liabilities,103734,270306,253899,168000,586000,982000,1624000,1542000,1375000,1421000,1071000,476000,526000
53,Total Current Liabilities,246055,417328,744263,444000,883000,1235000,1624000,1542000,1534000,1637000,1298000,1080000,731000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,17475,35000,31000,405000,- -,- -,195000,91000,418000,- -,- -
58,Total Non-Current Liabilities,- -,- -,17475,35000,31000,405000,- -,- -,195000,91000,418000,- -,350000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,354000,307000,595000,418000,- -
61,Total Liabilities,246055,417328,761738,479000,914000,1640000,1624000,1542000,1729000,1728000,1716000,1580000,1081000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,213,222,516,1000,1000,1000,1000,1000,2000,3000,3000,3000,3000
64,Retained Earnings,-1118356,-1513943,- -,-8679000,-13964000,-21260000,-29158000,-40331000,-50011000,-59511000,-67990000,- -,-82765000
65,Other Comprehensive Income/Loss,-11335,-30369,-4490238,-157000,-366000,-605000,-761000,-876000,-1135000,-1369000,-1566000,- -,9000
66,Other Total Stockholders Equity,940147,1227284,5364139,17471000,18117000,24823000,42496000,43450000,53576000,77786000,78776000,9537000,91035000
67,Total Stockholders Equity,-189331,-316806,874417,8636000,3788000,2959000,12578000,2244000,2432000,16909000,9223000,9540000,8282000
68,Total Liabilities And Stockholders Equity,56724,100522,1636155,9115000,4702000,4599000,14202000,3786000,4161000,18637000,10939000,11120000,9363000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,-1869000,- -
70,Total Liabilities & Equity,56724,100522,1636155,9115000,4702000,4599000,14202000,3786000,4161000,18637000,10942000,9251000,9363000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434524/000114420413010734/0001144204-13-010734-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000114420414014814/v369746_10k.htm,https://www.sec.gov/Archives/edgar/data/1434524/000114420415012243/v400802_10k.htm,https://www.sec.gov/Archives/edgar/data/1434524/000114420416085858/0001144204-16-085858-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000114420417008828/0001144204-17-008828-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000114420418017160/0001144204-18-017160-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000114420419013533/0001144204-19-013533-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000110465920039929/0001104659-20-039929-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000110465921044241/0001104659-21-044241-index.htm,https://www.sec.gov/Archives/edgar/data/1434524/000155837022004842/0001558370-22-004842-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-528772,-395587,-2976295,-4189000,-5285000,-7296000,-7898000,-11173000,-9680000,-9500000,-8479000,-6886000,-7892000
74,Depreciation and Amortization,11335,19034,27880,99000,209000,243000,200000,208000,297000,271000,240000,210000,260000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,187096,310000,146000,365000,797000,645000,369000,224000,685000,800000,680000
77,Change in Working Capital,121580,-127942,996609,7020339,-5720000,-1204000,8845000,-9209000,-92000,14511000,-7090000,60000,-451000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-103000,103000,- -,- -,- -,-33000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,42221,4701,349271,274000,21000,-44000,242000,260000,- -,- -,- -,- -,- -
81,Other Working Capital,-246006,-373948,622661,7643000,1923000,719000,9564000,355000,263000,14774000,7684000,7744000,7293000
82,Other Non-Cash Items,102844,374529,76032,-6428339,6353000,2423000,-8205000,10857000,848000,-13890000,7742000,-148000,696000
83,Cash Provided by Operating Activities,-293013,-129966,-1688678,-3188000,-4297000,-5469000,-6261000,-8672000,-8258000,-8384000,-6902000,-5964000,-6707000
84,CAPEX,-19932,- -,-217723,-868000,-1081000,-1254000,-1162000,-1054000,-421000,-502000,-418000,-194000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6923000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6923000,- -,- -
88,Other Investing Activites,- -,- -,-86546,-531000,-845000,-1176000,-1113000,-917000,-327000,-408000,-398000,-177000,-213000
89,Cash Used for Investing Activites,-19932,- -,-217723,-868000,-1081000,-1254000,-1162000,-1054000,-421000,-7425000,6505000,-194000,-213000
90,Debt Repayment,- -,- -,- -,-146000,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,11201000,39000,5780000,16279000,- -,8667000,23511000,- -,6053000,33000
92,Common Stock Repurchased,312212,129942,2836338,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,98000,- -,100000,284000,- -,- -,- -,- -,377000,5661000
95,Cash Used/Provided by Financing Activities,312212,129942,2836338,11153000,39000,5880000,16563000,- -,8667000,23511000,- -,6430000,5694000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000
97,Net Change In Cash,-733,-24,929937,7097000,-5339000,-843000,9140000,-9726000,-12000,7702000,-397000,272000,-1217000
98,Cash at the End of Period,49,25,929962,8027000,2688000,1845000,10985000,1259000,1247000,8949000,8552000,8824000,7607000
99,Cash at the Beginning of Period,782,49,25,930000,8027000,2688000,1845000,10985000,1259000,1247000,8949000,8552000,8824000
100,Free Cash Flow,-312945,-129966,-1906401,-4056000,-5378000,-6723000,-7423000,-9726000,-8679000,-8886000,-7320000,-6158000,-6707000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1434524/000114420413010734/0001144204-13-010734-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000114420414014814/v369746_10k.htm,https://www.sec.gov/Archives/edgar/data/1434524/000114420415012243/v400802_10k.htm,https://www.sec.gov/Archives/edgar/data/1434524/000114420416085858/0001144204-16-085858-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000114420417008828/0001144204-17-008828-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000114420418017160/0001144204-18-017160-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000114420419013533/0001144204-19-013533-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000110465920039929/0001104659-20-039929-index.html,https://www.sec.gov/Archives/edgar/data/1434524/000110465921044241/0001104659-21-044241-index.htm,https://www.sec.gov/Archives/edgar/data/1434524/000155837022004842/0001558370-22-004842-index.htm
102,false,,,,,,,,,,,,,
