,https://roic.ai/company/WCN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.8710,0.0963,0.1101,0.1561,0.1341,0.1776,0.1820,0.1815,0.1837,0.1525,0.1659,0.1562,0.1472,0.1708,0.1814,0.1595,0.1664,0.1855,-0.0596,0.1070,0.1098,0.1436,0.1310,0.0466,0.1253
22,Income Tax expense (Gain),-300000,2400000,10900000,19310000,19932000,33113000,37233000,41748000,48066000,48329000,59917000,58400000,64565000,89334000,106958000,105443000,124916000,152335000,-31592000,114044000,-68910000,159986000,139210000,-49922000,152253000
23,Net Income,-5100000,1800000,9200000,28189000,30528000,55466000,65596000,72271000,83943000,77423000,99081000,105556000,109825000,135104000,165239000,159093000,195655000,232525000,-95764000,246540000,576817000,546871000,566841000,203992000,618047000
24,Net Income ratio,-0.8226,0.0333,0.0504,0.0926,0.0809,0.1112,0.1164,0.1148,0.1163,0.0939,0.1034,0.1006,0.0922,0.1024,0.1098,0.0957,0.1014,0.1118,-0.0452,0.0730,0.1246,0.1111,0.1052,0.0375,0.1005
25,EPS,-0.59,0.03,0.10,0.24,0.22,0.40,0.46,0.46,0.53,0.50,0.64,0.67,0.61,0.78,0.98,0.87,1.05,1.25,-0.52,1.07,2.19,2.07,2.15,0.78,2.35
26,EPS Diluted,-0.59,0.02,0.09,0.23,0.22,0.38,0.43,0.44,0.52,0.49,0.63,0.66,0.61,0.77,0.97,0.87,1.05,1.24,-0.52,1.07,2.18,2.07,2.14,0.78,2.34
27,Weighted Average Shares Outstanding,8626406,32705233,93921960,117963124,137040280,140487625,143406936,157212363,157614690,153306283,153536676,157555966,178679400,173469259,169080666,181758571,185396310,186323019,185237896,230325012,263682608,263650155,263792693,263189699,263189699
28,Weighted Average Shares Outstanding Diluted,8626406,42380288,100370259,121474657,140107922,163648471,166412738,166961982,162713140,158419513,157488104,160694352,180759242,175341306,170375229,182736523,186247578,187181131,185237896,231081496,264302411,264395618,264526561,263687539,263687539
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318220/000114420417011069/0001144204-17-011069-index.htm,https://www.sec.gov/Archives/edgar/data/1318220/000114420418009150/0001144204-18-009150-index.htm,https://www.sec.gov/Archives/edgar/data/1318220/000114420419007493/0001144204-19-007493-index.htm,https://www.sec.gov/Archives/edgar/data/1318220/000155837020000746/0001558370-20-000746-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1318220/000155837022001308/0001558370-22-001308-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,4067000,5276000,3610000,7514000,34949000,10298000,265264000,9639000,9873000,12643000,23212000,13591000,14353000,10974000,154382000,433815000,319305000,326738000,617294000,147441000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,4067000,5276000,3610000,7514000,34949000,10298000,265264000,9639000,9873000,12643000,23212000,13591000,14353000,10974000,154382000,433815000,319305000,326738000,617294000,147441000
34,Net Receivables,- -,- -,- -,- -,- -,63488000,72474000,80864000,94438000,100269000,123882000,118456000,138972000,152156000,176277000,235762000,234001000,259969000,255192000,485138000,554458000,609545000,662808000,630264000,770919000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44257000
36,Other Current Assets,- -,- -,- -,- -,- -,8652000,11270000,17008000,22424000,25015000,36685000,45491000,51243000,53532000,60338000,103512000,80913000,91822000,96261000,193049000,188595000,164053000,141052000,160714000,70160000
37,Total Current Assets,- -,- -,- -,- -,- -,76207000,89020000,101482000,124376000,160233000,170865000,429211000,199854000,215561000,249258000,362486000,328505000,366144000,362427000,832569000,1176868000,1092903000,1130598000,1408272000,1032777000
38,PP&E,- -,- -,- -,- -,- -,578040000,613225000,640730000,700508000,736428000,865330000,984124000,1308392000,1337476000,1450469000,2457606000,2450649000,2594205000,2738288000,4738055000,4820934000,5168996000,5699567000,5455429000,5882516000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,750397000,811049000,836930000,906710000,927852000,1116888000,1636557000,1675154000,1693789000,1422825000,4390261000,4681774000,5031685000,5510851000,5726650000,6187643000
40,Intangible Assets,- -,- -,- -,- -,- -,582473000,654838000,711514000,810771000,86098000,93957000,306444000,354303000,381475000,449581000,541908000,527871000,509995000,511294000,1067158000,1087436000,1128628000,1163063000,1155079000,1350597000
41,Intangible Assets,- -,- -,- -,- -,- -,582473000,654838000,711514000,810771000,836495000,905006000,1143374000,1261013000,1309327000,1566469000,2178465000,2203025000,2203784000,1934119000,5457419000,5769210000,6160313000,6673914000,6881729000,7538240000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,760044000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,25162000,38869000,37757000,40652000,40735000,40757000,43931000,51189000,53620000,61809000,77469000,82073000,85898000,86964000,165059000,247669000,205117000,233616000,-513110000,246391000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,1185675000,1306932000,1390001000,1551931000,1613658000,1811093000,2171429000,2620594000,2700423000,3078747000,4713540000,4735747000,4883887000,4759371000,10360533000,10837813000,11534426000,12607097000,12584092000,13667147000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,1261882000,1395952000,1491483000,1676307000,1773891000,1981958000,2600640000,2820448000,2915984000,3328005000,5076026000,5064252000,5250031000,5121798000,11193102000,12014681000,12627329000,13737695000,13992364000,14699924000
48,Accounts Payable,- -,- -,- -,- -,- -,30688000,38682000,42941000,54795000,53010000,59912000,65537000,86669000,85252000,95097000,130260000,105394000,120717000,115206000,251253000,330523000,359967000,436970000,290820000,392868000
49,Short-Term Debt,- -,- -,- -,- -,- -,3646000,9740000,9266000,19727000,6884000,13315000,4698000,14726000,15053000,18068000,46535000,17841000,16095000,14484000,12605000,30882000,20304000,46348000,38939000,44037000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8833000
51,Deferred Revenue,- -,- -,- -,- -,- -,19016000,23738000,24155000,30957000,32161000,44074000,45694000,50138000,54157000,64694000,69930000,71917000,80915000,90349000,134081000,145197000,179282000,216443000,233596000,273720000
52,Other Current Liabilities,- -,- -,- -,- -,- -,45905000,31920000,37944000,44522000,57810000,78413000,99535000,93380000,99075000,106243000,170847000,149866000,142584000,158235000,294238000,295997000,301156000,307467000,465299000,522121000
53,Total Current Liabilities,- -,- -,- -,- -,- -,99255000,104080000,114306000,150001000,149865000,195714000,215464000,244913000,253537000,284102000,417572000,345018000,360311000,378274000,692177000,802599000,860709000,1007228000,1028654000,1232746000
54,Long-Term Debt,- -,- -,- -,- -,- -,578481000,601891000,489343000,586104000,637308000,719518000,830758000,867554000,909978000,1172758000,2204967000,2067590000,1975916000,2147127000,3616760000,3899572000,4153465000,4353782000,4855901000,5170128000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,760044000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,94543000,120162000,146871000,175167000,205532000,223308000,251514000,- -,334414000,397134000,464882000,501692000,538635000,452493000,867841000,690767000,760033000,818622000,760044000,850921000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,14813000,8400000,9020000,20478000,16712000,38053000,47509000,350945000,47637000,74324000,105475000,101745000,141428000,152120000,361447000,347673000,392934000,619709000,-275717000,452584000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,687837000,730453000,645234000,781749000,859552000,980879000,1129781000,1218499000,1292029000,1644216000,2775324000,2671027000,2655979000,2751740000,4846048000,4938012000,5306432000,5792113000,6100272000,6473633000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189962000,177894000,167645000
61,Total Liabilities,- -,- -,- -,- -,- -,787092000,834533000,759540000,931750000,1009417000,1176593000,1345245000,1463412000,1545566000,1928318000,3192896000,3016045000,3016290000,3130014000,5538225000,5740611000,6167141000,6799341000,7128926000,7706379000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,280000,287000,476000,459000,455000,670000,798000,786000,1139000,1109000,1230000,1236000,1240000,1224000,4174808000,4187568000,4131307000,4135343000,4030368000,3693027000
64,Retained Earnings,- -,- -,- -,- -,- -,123498000,189094000,261365000,345308000,422731000,524481000,630037000,732738000,858887000,988560000,1103188000,1247630000,1421249000,1259495000,1413488000,1856946000,2264510000,2654207000,2659001000,3056845000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-4771000,-33000,1277000,2723000,3067000,-4290000,-23937000,-4892000,-3095000,-3480000,-6165000,-1869000,-5593000,-12171000,-43001000,108413000,-74786000,-10963000,-651000,39584000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,332705000,348146000,444404000,369710000,310229000,254284000,647829000,625173000,509218000,408721000,779904000,796085000,811289000,736652000,102220000,115743000,133577000,154917000,170555000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,451712000,537494000,707522000,718200000,736482000,775145000,1254727000,1353805000,1366149000,1394910000,1878157000,2043082000,2228185000,1985200000,5647515000,6268670000,6454608000,6933504000,6859273000,6988938000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,1238804000,1372027000,1467062000,1649950000,1745899000,1951738000,2599972000,2817217000,2911715000,3323228000,5071053000,5059127000,5244475000,5115214000,11185740000,12009281000,12621749000,13732845000,13988199000,14695317000
69,Minority Interest,- -,- -,- -,- -,- -,23078000,23925000,24421000,26357000,27992000,30220000,668000,3231000,4269000,4777000,4973000,5125000,5556000,6584000,7362000,5400000,5580000,4850000,4165000,4607000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,1261882000,1395952000,1491483000,1676307000,1773891000,1981958000,2600640000,2820448000,2915984000,3328005000,5076026000,5064252000,5250031000,5121798000,11193102000,12014681000,12627329000,13737695000,13992364000,14699924000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318220/000114420417011069/0001144204-17-011069-index.htm,https://www.sec.gov/Archives/edgar/data/1318220/000114420418009150/0001144204-18-009150-index.htm,https://www.sec.gov/Archives/edgar/data/1318220/000114420419007493/0001144204-19-007493-index.htm,https://www.sec.gov/Archives/edgar/data/1318220/000155837020000746/0001558370-20-000746-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1318220/000155837022001308/0001558370-22-001308-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5100000,1800000,9200000,28189000,30528000,55466000,65596000,72271000,83943000,77423000,99081000,105556000,109825000,135104000,165239000,159093000,195655000,232525000,-95764000,246540000,576817000,546871000,566841000,203992000,618047000
74,Depreciation and Amortization,1200000,4300000,15000000,27195000,37730000,41172000,49750000,60632000,67039000,81103000,87810000,97429000,130758000,147456000,167100000,193584000,243864000,257944000,269434000,463912000,632484000,680487000,743918000,752404000,813009000
75,Deferred Income Tax,-400000,1400000,2200000,1303000,12442000,10132000,27931000,26566000,-792000,26585000,12440000,31902000,38224000,26431000,50989000,29689000,38680000,31031000,-132454000,42298000,-153283000,77859000,54637000,-50487000,14563000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9336000,11331000,11879000,17289000,15397000,18446000,20318000,44772000,39361000,43803000,42671000,45751000,58221000
77,Change in Working Capital,2400000,- -,- -,- -,- -,-23048000,7988000,2236000,-12801000,35993000,-35217000,238596000,-258806000,7083000,3132000,-20242000,38573000,22346000,-21680000,156239000,233877000,-142075000,-108824000,256248000,19014000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4328000,-9321000,-14507000,1549000,1612000,-22168000,17348000,-5252000,-38934000,-37724000,-22933000,46841000,-54688000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1083000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13218000,-853000,-2912000,2761000,-26993000,10173000,-16674000,54219000,50012000,16135000,71147000,-148362000,66752000
81,Other Working Capital,- -,- -,- -,- -,- -,-23048000,-15060000,-12824000,-25625000,10368000,-24849000,213747000,-45059000,-37976000,-34844000,-55086000,-16513000,5833000,-15847000,140392000,374269000,232194000,123370000,379618000,11326000
82,Other Non-Cash Items,4500000,-1400000,-4500000,-2911000,6498000,44194000,5950000,17920000,62423000,-16870000,54955000,-203074000,274300000,991000,-10169000,36914000,-48108000,-17072000,537145000,-158449000,-141996000,204290000,241304000,200613000,175375000
83,Cash Provided by Operating Activities,2600000,6100000,21900000,53776000,87198000,127916000,157215000,179625000,199812000,204234000,219069000,270409000,303637000,328396000,388170000,416327000,484061000,545220000,576999000,795312000,1187260000,1411235000,1540547000,1408521000,1698229000
84,CAPEX,-11800000,-62500000,-252300000,-25408000,-40215000,-56776000,-70213000,-71201000,-97482000,-96519000,-124234000,-113496000,-128251000,-134829000,-141924000,-153517000,-209874000,-241277000,-238833000,-344723000,-479287000,-546145000,-666089000,-664561000,-744315000
85,Acquisitions Net,- -,- -,- -,-168307000,-52853000,-166626000,-84855000,-46784000,-80849000,-38594000,-109429000,-355150000,-420011000,-81010000,-258352000,-1579869000,-46156000,-126181000,-230517000,48637000,-410695000,-830091000,-761610000,-388789000,-985449000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2552000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-100000,- -,-3900000,741000,2228000,511000,-5883000,5520000,5059000,563000,-1946000,999000,-128216000,4167000,-142153000,-153978000,-204859000,-237227000,-240017000,-309000,-76250000,4416000,1693000,-60201000,-708033000
89,Cash Used for Investing Activites,-11900000,-62500000,-256200000,-192974000,-90840000,-222891000,-160951000,-112465000,-173272000,-134550000,-235609000,-467647000,-548227000,-214224000,-400505000,-1733847000,-251015000,-363408000,-470534000,-296395000,-966232000,-1371820000,-1426006000,-1046043000,-1693482000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-402164000,-467660000,-422099000,-609014000,-493560000,-525909000,-1429195000,-3714044000,-770106000,-970773000,-1470711000,-1542958000,-2003717000
91,Common Stock Issued,7000000,24400000,66600000,82110000,7620000,14078000,12271000,36959000,28716000,32146000,35620000,413019000,- -,- -,- -,369584000,- -,- -,- -,19870000,10814000,2667000,4036000,679000,430000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-72889000,-113874000,-100245000,-110329000,-31527000,-62624000,-166320000,-116817000,-18597000,- -,-7317000,-91165000,- -,- -,-58928000,- -,-105654000,-338993000
93,Dividends Paid,- -,-200000,-500000,- -,- -,- -,- -,-11025000,-10486000,- -,- -,- -,- -,- -,-35566000,-44465000,-51213000,-58906000,-65990000,-92547000,-131975000,-152550000,-175067000,-199883000,-220203000
94,Other Financing Activites,3100000,34100000,167200000,57156000,840000,77685000,-7326000,-21871000,73008000,25850000,66598000,70712000,453753000,520042000,589587000,1630581000,302106000,411082000,1476506000,3431852000,948027000,992006000,1545848000,1769592000,2062987000
95,Cash Used/Provided by Financing Activities,10100000,58300000,233300000,139266000,8460000,91763000,4945000,-68826000,-22636000,-42249000,-8111000,452204000,-11035000,-113938000,15105000,1328089000,-242667000,-181050000,-109844000,-354869000,56760000,-187578000,-95894000,-78224000,-499496000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-598000,1795000,-1290000,608000,6914000,-25000
97,Net Change In Cash,10100000,58300000,-1000000,68000,4818000,-3212000,1209000,-1666000,3904000,27435000,-24651000,254966000,-255625000,234000,2770000,10569000,-9621000,762000,-3379000,143408000,279433000,-149261000,19255000,291168000,-494774000
98,Cash at the End of Period,- -,- -,2400000,2461000,7279000,4067000,5276000,3610000,7514000,34949000,10298000,265264000,9639000,9873000,12643000,23212000,13591000,14353000,10974000,154382000,433815000,403966000,423221000,714389000,219615000
99,Cash at the Beginning of Period,- -,800000,3400000,2393000,2461000,7279000,4067000,5276000,3610000,7514000,34949000,10298000,265264000,9639000,9873000,12643000,23212000,13591000,14353000,10974000,154382000,553227000,403966000,423221000,714389000
100,Free Cash Flow,-9200000,-56400000,-230400000,28368000,46983000,71140000,87002000,108424000,102330000,107715000,94835000,156913000,175386000,193567000,246246000,262810000,274187000,303943000,338166000,450589000,707973000,865090000,874458000,743960000,953914000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1318220/000114420417011069/0001144204-17-011069-index.htm,https://www.sec.gov/Archives/edgar/data/1318220/000114420418009150/0001144204-18-009150-index.htm,https://www.sec.gov/Archives/edgar/data/1318220/000114420419007493/0001144204-19-007493-index.htm,https://www.sec.gov/Archives/edgar/data/1318220/000155837020000746/0001558370-20-000746-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1318220/000155837022001308/0001558370-22-001308-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
