,https://roic.ai/company/AIRI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,125585,81932,14778,7406,127296,1058416,180000,910000,164000,- -,600000,577000,490000,561000,1418000,529000,1304000,630000,2012000,1294000,2505000,627000
34,Net Receivables,497835,194792,344700,520402,-167337,2623612,3508957,7674647,5332000,- -,4400000,6042000,11631000,8584000,11916000,13662000,8050000,5464000,6522000,7858000,8798000,10473000
35,Inventory,299556,165168,438375,1159470,691737,12603810,15257641,21820514,21099000,- -,21440000,22521000,26739000,26222000,28391000,36923000,39851000,31141000,29051000,28646000,32120000,- -
36,Other Current Assets,319141,- -,2373,10228,73124,275719,233205,225272,1803000,- -,200000,332000,679000,1561000,2296000,5008000,7016000,10345000,463000,447000,188000,29780000
37,Total Current Assets,1242117,441892,800226,1697506,724820,16561557,19179803,30630433,28398000,- -,26640000,29472000,39539000,36928000,44021000,56122000,56221000,47580000,38048000,38245000,43611000,40880000
38,PP&E,92219,66949,39302,49683,75475,7716469,3565316,4786143,5507000,- -,3940000,3971000,5883000,6523000,9557000,15299000,12219000,10050000,8777000,11201000,13091000,11422000
39,Goodwill,- -,- -,- -,- -,- -,1265963,1265963,6372372,291000,- -,290000,291000,453000,453000,5434000,10518000,9883000,272000,163000,163000,163000,163000
40,Intangible Assets,- -,- -,- -,1274,120,- -,- -,5876974,2126000,- -,-640000,1607000,5889000,4726000,4513000,3852000,1754000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,1274,120,1265963,1265963,12249346,2417000,- -,-350000,1898000,6342000,5179000,9947000,14370000,11637000,272000,163000,163000,163000,163000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,7888,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185000,858000,338000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,14760,33335,30516,6424,8018,593729,881100,2624118,3027000,- -,4150000,1640000,1392000,1357000,1537000,2121000,2723000,2853000,768000,1481000,912000,960000
45,Total Non-Current Assets,114867,100284,69818,57381,83613,9576161,5712379,19659607,10951000,- -,7740000,7509000,13617000,13244000,21899000,32128000,26579000,13175000,9708000,12845000,14166000,12545000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1356984,542176,870044,1754887,808433,26137718,24892182,50290040,39349000,- -,34380000,36981000,53156000,50172000,65920000,88250000,82800000,60755000,47756000,51090000,57777000,53425000
48,Accounts Payable,447604,1105116,1117407,682297,1530322,5294629,7648426,6549122,5167000,- -,- -,7432000,7077000,5142000,5636000,9722000,13843000,8634000,6782000,6576000,7240000,- -
49,Short-Term Debt,169819,53552,321109,500000,283367,6874262,5754867,6353857,16904000,- -,- -,14055000,19211000,14969000,19508000,40893000,33999000,23393000,19345000,23241000,17176000,3524000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000,1448000,1496000,71000,14000,20000,20000,20000,27000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,38000,- -,- -,38000,38000,289000,196000,996000,984000,969000,919000,1049000,955000,1470000
52,Other Current Liabilities,122841,183887,64680,348069,263323,279431,865156,12028094,3244000,- -,18940000,126000,1533000,3997000,2505000,2345000,4492000,5053000,1961000,1756000,1956000,- -
53,Total Current Liabilities,740264,1342555,1503196,1530366,2077012,12448322,14268449,24931073,25353000,- -,18940000,21651000,27859000,24397000,27845000,53956000,53318000,38049000,29007000,32622000,27327000,4994000
54,Long-Term Debt,- -,- -,141266,278580,- -,5903368,1936020,3031366,5973000,- -,11540000,8992000,4640000,2527000,8213000,3912000,2971000,3448000,5721000,3406000,10798000,6079000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1057000,- -,- -,1497000,1542000,1579000,1586000,371000,333000,295000,257000,219000,181000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,676394,512937,1878677,1364000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313000,314000
57,Other Non-Current Liabilities,22511,1645,- -,- -,-1,-1,1305078,2093192,- -,- -,1620000,175000,127000,56000,4000,1206000,1288000,1197000,1165000,4637000,4049000,24649000
58,Total Non-Current Liabilities,22511,1645,141266,278580,-1,6579761,3754035,7003235,8394000,- -,13160000,10664000,6309000,4162000,9803000,5489000,4592000,4940000,7143000,8262000,15341000,31042000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,552589,1188506,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4932000,4628000,- -
61,Total Liabilities,762775,1344200,1644462,1808946,2077011,19028083,18022484,31934308,33747000,- -,32100000,32315000,34168000,28559000,37648000,59445000,57910000,42989000,36150000,40884000,42668000,36036000
62,Preferred Stock,- -,- -,- -,- -,- -,1,- -,829,1000,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -
63,Common Stock,3605,3630,3630,3830,3830,14723,57269,69122,72000,- -,- -,4000,6000,6000,7000,7000,7000,25000,28000,29000,32000,- -
64,Retained Earnings,-240933,-1640466,-1612860,-916501,-2131020,-749704,-1086273,-458373,-17428000,- -,-23730000,-21479000,-18931000,-15192000,-14525000,-15357000,-30980000,-53531000,-64523000,-67257000,-66161000,-64534000
65,Other Comprehensive Income/Loss,-94810,-123605,-151252,-170886,-201026,-45406,-580607,-1437048,-2906000,- -,-6560000,-8050000,-9606000,-11317000,-13658000,-16638000,-18974000,-19943000,-22612000,-25561000,- -,- -
66,Other Total Stockholders Equity,926347,958417,986064,1029498,1059638,7890021,8479309,20181202,25863000,- -,32580000,34191000,47519000,48116000,56448000,60793000,74836000,91215000,98713000,102995000,81238000,81923000
67,Total Stockholders Equity,594209,-802024,-774418,-54059,-1268578,7109635,6869698,18355732,5602000,- -,2290000,4666000,18988000,21613000,28272000,28805000,24890000,17766000,11606000,10206000,15109000,17389000
68,Total Liabilities And Stockholders Equity,1356984,542176,870044,1754887,808433,26137718,24892182,50290040,39349000,- -,34390000,36981000,53156000,50172000,65920000,88250000,82800000,60755000,47756000,51090000,57777000,53425000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1356984,542176,870044,1754887,808433,26137718,24892182,50290040,39349000,- -,34380000,36981000,53156000,50172000,65920000,88250000,82800000,60755000,47756000,51090000,57777000,53425000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1009891/000111650204000916/0001116502-04-000916-index.htm,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1009891/000119380513000723/0001193805-13-000723-index.html,- -,https://www.sec.gov/Archives/edgar/data/1009891/000119380515000450/0001193805-15-000450-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000119380516003163/0001193805-16-003163-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000119380517000719/0001193805-17-000719-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000119380518000599/0001193805-18-000599-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000121390019005550/0001213900-19-005550-index.html,https://www.sec.gov/Archives/edgar/data/1009891/000121390020007657/0001213900-20-007657-index.html,https://www.sec.gov/Archives/edgar/data/1009891/000121390021018136/0001213900-21-018136-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000121390022015031/0001213900-22-015031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,70562,-1399533,27606,696359,-1214519,-749704,-336569,627900,-16543000,- -,-2910000,2247000,2548000,3739000,667000,-832000,-15623000,-22551000,-10992000,-2732000,1096000,1627000
74,Depreciation and Amortization,28951,31616,30466,21760,31293,78659,714168,1300019,2262000,- -,1940000,2387000,2761000,2872000,3527000,4352000,4626000,3396000,2877000,3472000,3052000,2803000
75,Deferred Income Tax,-7888,7888,- -,- -,- -,- -,-163457,389060,-515000,- -,- -,- -,- -,-1236000,-1043000,-215000,2063000,- -,- -,- -,627000,-313000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,237000,- -,- -,131000,101000,- -,42000,100000,167000,564000,356000,622000,519000,443000
77,Change in Working Capital,190578,-1402516,197693,870110,-1519332,5465427,798119,788006,-2654360,- -,4655000,121000,3859000,851000,3645000,-14010000,737000,6628000,-490000,-3418000,10661000,19602000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-229000,- -,900000,-2088000,-4606000,2871000,-2417000,91000,4616000,1004000,-561000,-1647000,-1045000,-1589000
79,Inventory,-179230,127981,-202845,-646325,361706,-434362,-2653831,-3323195,-2859000,- -,-340000,-1078000,1136000,440000,-1802000,-8412000,-2902000,905000,1395000,405000,-3474000,2588000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3527000,- -,-970000,275000,-1594000
81,Other Working Capital,501853,-900663,-702970,167140,-1352192,4113235,4911354,5699360,3045000,- -,7700000,7821000,11680000,12531000,16176000,2166000,2903000,9531000,9041000,5623000,16284000,35886000
82,Other Non-Cash Items,-256875,2728895,-65436,-1146452,3373594,-5957354,-1741787,-9053381,17073360,- -,-785000,-1253000,-7575000,2663000,-9637000,9711000,7338000,7977000,5913000,1168000,-17480000,-20098000
83,Cash Provided by Operating Activities,25328,-33650,190329,441777,671036,-1162972,-729526,-5948396,-140000,- -,2900000,3633000,1694000,8889000,-2799000,-894000,-692000,-3986000,-2336000,-888000,-1525000,4064000
84,CAPEX,-32628,-3524,- -,-30014,-55934,-4322975,-812372,-9715099,-2563000,- -,-770000,-1288000,-1438000,-668000,-906000,-2220000,-2595000,-2499000,-1787000,-764000,-3797000,-1364000
85,Acquisitions Net,- -,- -,- -,- -,- -,-4120620,- -,- -,- -,- -,- -,- -,-11600000,-450000,-8757000,-6340000,- -,4260000,5472000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,150687,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-152881,-25000,- -,300000,- -,1684,4969174,- -,-256000,- -,-340000,-510000,-292000,-380000,-335000,-656000,708000,-985000,-523000,- -,- -,- -
89,Cash Used for Investing Activites,-185509,122163,- -,269986,-55934,-8441911,4156802,-9715099,-2819000,- -,-1110000,-1288000,-13038000,-1118000,-9663000,-8560000,-924000,1761000,3685000,-764000,-3797000,-1364000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-1998000,- -,- -,-2189000,-3477000,-7077000,-1747000,-2788000,-9621000,-12976000,-5600000,-17593000,-2082000,-12000
91,Common Stock Issued,7364,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7115000,- -,- -,- -,- -,7733000,2885000,- -,984000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-587000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-359000,-1433000,-3748000,-4468000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,124156,-132166,-257483,-719135,-495212,10663299,-4485692,15663495,5121000,- -,-1710000,-116000,8565000,810000,18814000,15821000,12012000,6794000,2748000,18527000,7631000,-4566000
95,Cash Used/Provided by Financing Activities,131520,-132166,-257483,-719135,-495212,10663299,-4485692,15663495,3123000,- -,-1710000,-2305000,11257000,-7700000,13319000,8565000,2391000,1551000,33000,934000,6533000,-4578000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-28661,-43653,-67154,-7372,119890,- -,- -,- -,- -,- -,80000,40000,-87000,71000,857000,-889000,775000,-674000,1382000,-718000,1211000,-1878000
98,Cash at the End of Period,125585,81932,14778,7406,127296,1058416,- -,- -,164000,- -,340000,577000,490000,561000,1418000,529000,1304000,630000,2012000,1294000,2505000,627000
99,Cash at the Beginning of Period,154246,125585,81932,14778,7406,- -,1058416,- -,- -,- -,260000,537000,577000,490000,561000,1418000,529000,1304000,630000,2012000,1294000,2505000
100,Free Cash Flow,-7300,-37174,190329,411763,615102,-5485947,-1541898,-15663495,-2703000,- -,2130000,2345000,256000,8221000,-3705000,-3114000,-3287000,-6485000,-4123000,-1652000,-5322000,2700000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1009891/000111650204000916/0001116502-04-000916-index.htm,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1009891/000119380513000723/0001193805-13-000723-index.html,- -,https://www.sec.gov/Archives/edgar/data/1009891/000119380515000450/0001193805-15-000450-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000119380516003163/0001193805-16-003163-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000119380517000719/0001193805-17-000719-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000119380518000599/0001193805-18-000599-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000121390019005550/0001213900-19-005550-index.html,https://www.sec.gov/Archives/edgar/data/1009891/000121390020007657/0001213900-20-007657-index.html,https://www.sec.gov/Archives/edgar/data/1009891/000121390021018136/0001213900-21-018136-index.htm,https://www.sec.gov/Archives/edgar/data/1009891/000121390022015031/0001213900-22-015031-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
