,https://roic.ai/company/PLAY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
24,Net Income ratio,-0.0007,-0.0140,-0.0129,0.0144,0.0034,0.0102,0.0688,0.0903,0.1061,0.0926,0.0740,-0.4742,0.0833
25,EPS,-0.01,-0.19,-0.18,0.22,0.06,0.22,1.46,2.16,2.93,3.00,3.00,-4.75,2.49
26,EPS Diluted,-0.01,-0.19,-0.18,0.22,0.06,0.21,1.39,2.10,2.84,2.93,2.94,-4.75,2.49
27,Weighted Average Shares Outstanding,39086625,39086625,39086625,39086625,39086625,35314884,40968455,41951770,41276314,39047106,33450217,43549887,43549887
28,Weighted Average Shares Outstanding Diluted,39086625,39086625,39086625,39086625,39086625,37126048,42783905,43288592,42583009,39975122,34099378,43549887,43549887
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1525769/000119312515121531/0001193125-15-121531-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312516521591/0001193125-16-521591-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312517099977/0001193125-17-099977-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312518106389/0001193125-18-106389-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312519095746/0001193125-19-095746-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312520098060/0001193125-20-098060-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312521102470/0001193125-21-102470-index.htm,https://www.sec.gov/Archives/edgar/data/1525769/000119312522087521/0001193125-22-087521-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,16682000,34407000,33684000,36117000,38080000,70876000,25495000,20083000,18795000,21585000,24655000,11891000,25910000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,16682000,34407000,33684000,36117000,38080000,70876000,25495000,20083000,18795000,21585000,24655000,11891000,25910000
34,Net Receivables,51000,5861000,- -,1120000,2445000,2421000,4146000,5901000,19808000,12622000,2331000,70064000,64921000
35,Inventory,13782000,14231000,14840000,14849000,15354000,18457000,19529000,21860000,27560000,27315000,34477000,23807000,40319000
36,Other Current Assets,16271000,22192000,31776000,46660000,43465000,51155000,60910000,27760000,28744000,29571000,17514000,13109000,14421000
37,Total Current Assets,46786000,76691000,80300000,98746000,99344000,142909000,110080000,75604000,94907000,91093000,78977000,118871000,145571000
38,PP&E,294151000,304819000,323342000,337239000,388093000,436048000,523891000,606865000,726455000,805337000,1912205000,1852596000,1815794000
39,Goodwill,65857000,272626000,272286000,272278000,272428000,272592000,272694000,272629000,272566000,272625000,272636000,272597000,272597000
40,Intangible Assets,63000000,79000000,79000000,85439000,84035000,79000000,81236000,79000000,79000000,79000000,79000000,79000000,384425000
41,Intangible Assets,128857000,351626000,351286000,357717000,356463000,351592000,353930000,351629000,351566000,351625000,351636000,351597000,384425000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,27828000,- -,14497000,10213000,14634000,19102000,5874000,9961000
44,Other Non-Current Assets,13846000,31406000,31214000,19908000,17858000,-8059000,16634000,4138000,13889000,10498000,8219000,23886000,-9961000
45,Total Non-Current Assets,436854000,687851000,705842000,714864000,762414000,807409000,894455000,977129000,1102123000,1182094000,2291162000,2233953000,2200219000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,483640000,764542000,786142000,813610000,861758000,950318000,1004535000,1052733000,1197030000,1273187000,2370139000,2352824000,2345790000
48,Accounts Payable,21414000,18694000,23974000,23878000,36092000,35001000,42836000,55278000,54627000,60427000,65359000,36400000,62493000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,7500000,- -,- -,- -,- -,46471000,- -
50,Tax Payable,- -,- -,- -,- -,- -,1570000,- -,2692000,3037000,11799000,3054000,9980000,64921000
51,Deferred Revenue,11805000,13649000,14313000,15703000,18756000,30962000,32062000,14497000,10213000,14634000,19102000,91143000,- -
52,Other Current Liabilities,47489000,49534000,48356000,53302000,58196000,59806000,74249000,108022000,142985000,169329000,206404000,97622000,249022000
53,Total Current Liabilities,80708000,81877000,86643000,92883000,113044000,125769000,156647000,177797000,207825000,244390000,290865000,271636000,311515000
54,Long-Term Debt,226414000,346418000,456997000,469550000,484177000,429020000,330750000,256628000,351249000,378469000,632689000,1864179000,1708934000
55,Deferred Revenue,- -,- -,- -,- -,- -,99847000,- -,147592000,184994000,223678000,- -,- -,- -
56,Deferred Tax Liabilities,11493000,24702000,30308000,24887000,23654000,27828000,35347000,14497000,10213000,14634000,19102000,13658000,- -
57,Other Non-Current Liabilities,72379000,71715000,74679000,78879000,90435000,9157000,135453000,16767000,21103000,24179000,1257833000,50119000,- -
58,Total Non-Current Liabilities,310286000,442835000,561984000,573316000,598266000,565852000,501550000,435484000,567559000,640960000,1909624000,1927956000,1708934000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1267665000,1314262000,- -
61,Total Liabilities,390994000,524712000,648627000,666199000,711310000,691621000,658197000,613281000,775384000,885350000,2200489000,2199592000,2020449000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,2000,1000,1000,1000,402000,416000,425000,427000,432000,434000,605000,616000
64,Retained Earnings,-19639000,-5157000,-12142000,-3360000,-1191000,6445000,66064000,144337000,248311000,353962000,433465000,226491000,335131000
65,Other Comprehensive Income/Loss,-188681000,-32707000,-83422000,-139457000,-195339000,-1000000,-1000000,-1000000,-498000,-1000000,-8000000,-9085000,-3628000
66,Other Total Stockholders Equity,300965000,277692000,233078000,290227000,346977000,252850000,280858000,295690000,173406000,34443000,-256249000,-64779000,- -
67,Total Stockholders Equity,92646000,239830000,137515000,147411000,150448000,258697000,346338000,439452000,421646000,387837000,169650000,153232000,325341000
68,Total Liabilities And Stockholders Equity,483640000,764542000,786142000,813610000,861758000,950318000,1004535000,1052733000,1197030000,1273187000,2370139000,2352824000,2345790000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,483640000,764542000,786142000,813610000,861758000,950318000,1004535000,1052733000,1197030000,1273187000,2370139000,2352824000,2345790000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1525769/000119312515121531/0001193125-15-121531-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312516521591/0001193125-16-521591-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312517099977/0001193125-17-099977-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312518106389/0001193125-18-106389-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312519095746/0001193125-19-095746-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312520098060/0001193125-20-098060-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312521102470/0001193125-21-102470-index.htm,https://www.sec.gov/Archives/edgar/data/1525769/000119312522087521/0001193125-22-087521-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-350000,-7295000,-6985000,8782000,2169000,7636000,59619000,90795000,120949000,117221000,100263000,-206974000,108640000
74,Depreciation and Amortization,53658000,50018000,54277000,63457000,66337000,70868000,78660000,88305000,102766000,118275000,132460000,138789000,138329000
75,Deferred Income Tax,-6246000,-3486000,-4004000,-13548000,-801000,-1615000,7853000,6961000,-8845000,5474000,6473000,-3365000,-7795000
76,Stock Based Compensation,723000,2491000,1038000,1099000,1207000,2212000,4109000,5828000,8916000,7422000,6857000,6985000,12472000
77,Change in Working Capital,9623000,28736000,-1157000,12206000,-19563000,30840000,-63707000,-55626000,-10725000,-40379000,-58591000,59123000,-13179000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,1486000,-1173000,-609000,-9000,-505000,-3103000,-1072000,-2331000,-5700000,245000,-7162000,10670000,-16512000
80,Accounts Payable,2524000,-2720000,5280000,-96000,-1774000,8720000,3391000,832000,-4071000,11122000,2026000,-9576000,14286000
81,Other Working Capital,-33922000,-5186000,-6343000,5863000,-13700000,17140000,-46567000,-102193000,-112918000,-153297000,-211888000,-152765000,-165944000
82,Other Non-Cash Items,1646000,-33929000,29608000,10800000,60529000,-23226000,100449000,95066000,51611000,129603000,101484000,-43782000,44661000
83,Cash Provided by Operating Activities,59054000,36535000,72777000,82796000,109878000,86715000,186983000,231329000,264672000,337616000,288946000,-49224000,283128000
84,CAPEX,-48423000,-35233000,-72946000,-78689000,-105894000,-129688000,-162892000,-180577000,-219901000,-216286000,-228091000,-83016000,-92197000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-330803000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-48406000,215084000,-70502000,-78488000,-105677000,-129573000,-161540000,-159485000,-216623000,-203808000,-227291000,-81960000,-92197000
89,Cash Used for Investing Activites,-48406000,-115719000,-70502000,-78488000,-105677000,-129573000,-161540000,-159485000,-216623000,-203808000,-227291000,-81960000,-91468000
90,Debt Repayment,-39100000,-240500000,-1500000,-1875000,-1500000,-544375000,-559750000,-170500000,-406500000,-238000000,-152000000,-770250000,-253000000
91,Common Stock Issued,- -,- -,1075000,- -,80000,100659000,1103000,1405000,1642000,- -,- -,182207000,5124000
92,Common Stock Repurchased,- -,-500000,-98485000,- -,- -,- -,- -,-28825000,-151913000,-149798000,-297912000,-929000,-9465000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11570000,-15724000,-4891000,- -
94,Other Financing Activites,36600000,337909000,95912000,- -,-818000,519370000,487823000,120664000,507434000,268350000,407051000,712283000,79700000
95,Cash Used/Provided by Financing Activities,-2500000,96909000,-2998000,-1875000,-2238000,75654000,-70824000,-77256000,-49337000,-131018000,-58585000,118420000,-177641000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,8148000,17725000,-723000,2433000,1963000,32796000,-45381000,-5412000,-1288000,2790000,3070000,-12764000,14019000
98,Cash at the End of Period,16682000,49284000,33684000,36117000,38080000,70876000,25495000,20083000,18795000,21585000,24655000,11891000,25910000
99,Cash at the Beginning of Period,8534000,31559000,34407000,33684000,36117000,38080000,70876000,25495000,20083000,18795000,21585000,24655000,11891000
100,Free Cash Flow,10631000,1302000,-169000,4107000,3984000,-42973000,24091000,50752000,44771000,121330000,60855000,-132240000,190931000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1525769/000119312515121531/0001193125-15-121531-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312516521591/0001193125-16-521591-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312517099977/0001193125-17-099977-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312518106389/0001193125-18-106389-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312519095746/0001193125-19-095746-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312520098060/0001193125-20-098060-index.html,https://www.sec.gov/Archives/edgar/data/1525769/000119312521102470/0001193125-21-102470-index.htm,https://www.sec.gov/Archives/edgar/data/1525769/000119312522087521/0001193125-22-087521-index.htm
102,false,,,,,,,,,,,,,
