,https://roic.ai/company/IZEA,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,-80000,308196,-207182,-408936,7830267,-4085851,-83856,8537,-309357,-122416,-16304,2217106
20,Income Before Tax,- -,-2160000,-3978592,-4672638,-3321992,3184064,-11308171,-7560200,-5467699,-5718407,-7290120,-10250007,-3140621
21,Income Before Tax Ratio,- -,-0.5654,-0.9152,-0.9432,-0.5013,0.3826,-0.5525,-0.2768,-0.2237,-0.2845,-0.3846,-0.5592,-0.1046
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-2160000,-3978592,-4672638,-3321992,3184064,-11308171,-7560200,-5467699,-5718407,-7290120,-10250007,-3140621
24,Net Income ratio,- -,-0.5654,-0.9152,-0.9432,-0.5013,0.3826,-0.5525,-0.2768,-0.2237,-0.2845,-0.3846,-0.5592,-0.1046
25,EPS,- -,-0.04,-128.00,-19.80,-5.40,1.20,-3.03,-1.41,-0.96,-0.67,-0.29,-0.25,-0.08
26,EPS Diluted,- -,-0.04,-128.00,-19.80,-5.40,1.00,-3.03,-1.41,-0.96,-0.67,-0.29,-0.25,-0.08
27,Weighted Average Shares Outstanding,- -,62000000,30639,236803,620018,2616354,3737897,5380465,5674901,8541725,25516573,41289705,41289705
28,Weighted Average Shares Outstanding Diluted,- -,62000000,30639,236803,620018,3170004,3737897,5380465,5674901,8541725,25516573,41289705,41289705
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1495231/000149523113000009/0001495231-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523114000012/0001495231-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523115000010/0001495231-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523116000076/0001495231-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523117000027/0001495231-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523118000031/0001495231-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523119000030/0001495231-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523120000028/0001495231-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523121000058/0001495231-21-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523122000068/0001495231-22-000068-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,520000,1500000,225277,657946,530052,6521930,11608452,5949004,3906797,1968403,5884629,33045225,75433295
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,520000,1500000,225277,657946,530052,6521930,11608452,5949004,3906797,1968403,5884629,33045225,75433295
34,Net Receivables,310000,390000,690575,426818,1659802,2156378,3917925,3745695,3647025,7071815,5596719,5207205,7599103
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,20000,70000,204633,176069,193446,252028,210308,334317,398244,567171,553212,273761,2357904
37,Total Current Assets,850000,1960000,1120485,1260833,2383300,8930336,15736685,10029016,7952066,9607389,12034560,38526191,85390302
38,PP&E,180000,140000,152434,113757,156482,588919,596008,460650,286043,272239,309780,230918,155185
39,Goodwill,- -,- -,- -,- -,- -,- -,2468289,3604720,3604720,8316722,8316722,4016722,4016722
40,Intangible Assets,10000,- -,108091,18000,362346,483544,2620123,2766495,1635836,4578553,3131496,1978240,213263
41,Intangible Assets,10000,- -,108091,18000,362346,483544,5088412,6371215,5240556,12895275,11448218,5994962,4229985
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10000,10000,21038,9048,46574,100641,117946,161736,148638,143174,151803,- -,1019600
45,Total Non-Current Assets,200000,150000,281563,140805,565402,1173104,5802366,6993601,5675237,13310688,11909801,6225880,5404770
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1050000,2110000,1402048,1401638,2948702,10103440,21539051,17022617,13627303,22918077,23944361,44752071,90795072
48,Accounts Payable,340000,640000,1080015,1163307,817057,310611,995275,1438389,1756841,2618103,2252536,1880144,2086892
49,Short-Term Debt,800000,- -,25070,92638,43852,54376,7291,- -,500550,1526288,110644,1507626,31648
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117698,286455,- -
51,Deferred Revenue,- -,- -,1132794,1140140,1292228,1767074,3584527,3315563,3070502,4957869,6466766,7180264,- -
52,Other Current Liabilities,1560000,1530000,235268,199685,365454,394617,1768112,2530064,2378638,6597502,1350719,1894486,13809329
53,Total Current Liabilities,2700000,2170000,2473147,2595770,2518591,2526678,6355205,7284016,7706531,15699762,10180665,12462520,15927869
54,Long-Term Debt,330000,10000,27850,106355,- -,- -,- -,- -,- -,- -,- -,459383,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,50000,10000,752486,12962,1881137,3317287,996805,750738,627187,- -,45673,43808,42068
58,Total Non-Current Liabilities,380000,20000,780336,119317,1881137,3317287,996805,750738,627187,- -,45673,503191,42068
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,52920,27850,77865,61667,7291,- -,- -,- -,156317,74295,- -
61,Total Liabilities,3080000,2190000,3253483,2715087,4399728,5843965,7352010,8034754,8333718,15699762,10226338,12965711,15969937
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3865,619,2256,5770,522,545,573,1208,3464,5005,6205
64,Retained Earnings,-11990000,-14150000,-18130784,-22803422,-26125414,-22941350,-34249521,-41809721,-47277420,-53094649,-60384769,-70634776,-73633568
65,Other Comprehensive Income/Loss,-540000,-630000,- -,-173732,-205070,-239521,-445971,-616056,-790029,-998562,-868335,- -,- -
66,Other Total Stockholders Equity,10500000,14700000,16275484,21663086,24877202,27434576,48882011,51413095,53360461,61310318,74967663,102416131,148452498
67,Total Stockholders Equity,-2030000,-80000,-1851435,-1313449,-1451026,4259475,14187041,8987863,5293585,7218315,13718023,31786360,74825135
68,Total Liabilities And Stockholders Equity,1050000,2110000,1402048,1401638,2948702,10103440,21539051,17022617,13627303,22918077,23944361,44752071,90795072
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1050000,2110000,1402048,1401638,2948702,10103440,21539051,17022617,13627303,22918077,23944361,44752071,90795072
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1495231/000149523113000009/0001495231-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523114000012/0001495231-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523115000010/0001495231-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523116000076/0001495231-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523117000027/0001495231-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523118000031/0001495231-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523119000030/0001495231-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523120000028/0001495231-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523121000058/0001495231-21-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523122000068/0001495231-22-000068-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,-2160000,-3978592,-4672638,-3321992,3184064,-11308171,-7560200,-5467699,-5718407,-7290120,-10250007,-3140621
74,Depreciation and Amortization,- -,90000,63143,117745,97190,205371,1059131,1299851,1516807,1298359,1750629,1652126,1089118
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,240950,857148,725254,538263,705466,748092,635427,580693,634651,477993,878739
77,Change in Working Capital,- -,130000,17725,1199646,6538949,2977822,-6636480,-2499465,-6337908,7946268,24209776,42716431,682331
78,Accounts Receivable,- -,-80000,-309461,246134,-1259373,-496576,-1608561,346414,58368,-280420,1469586,234938,11250
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-300000,393394,83292,-346250,-506446,141325,443114,318452,710446,-365567,-372392,-224083
81,Other Working Capital,- -,-1352662,-1334937,-135291,6403658,9381480,2745000,245535,-6092373,1853895,26063671,68780102,69462433
82,Other Non-Cash Items,- -,10000,-258927,-637048,-6976382,-11119194,10107096,3292268,7286406,-9689393,-22210421,-36692194,-2076566
83,Cash Provided by Operating Activities,- -,-1930000,-3915701,-3135147,-2936981,-4213674,-6072958,-4719454,-2366967,-5582480,-2905485,-2095651,-2566999
84,CAPEX,- -,-10000,-35006,-11303,-379932,-723642,-639731,-593749,-202784,-925339,-679350,-383590,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-1072055,-329468,- -,11266,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-44653,11990,-399872,-260596,-451323,-515009,-161281,-749700,-599178,-334610,-26169
89,Cash Used for Investing Activites,- -,- -,-47704,687,-417458,-777709,-1710538,-967007,-189686,-908609,-687979,-354407,-26169
90,Debt Repayment,- -,- -,-359596,-25070,-217364,-63537,-54376,-7291,- -,- -,-1552426,-41219,- -
91,Common Stock Issued,- -,- -,2543407,3047400,2004111,10933998,- -,- -,26249,17253,- -,- -,- -
92,Common Stock Repurchased,- -,2660000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,260000,501766,544799,1439798,112800,12924394,34304,488197,4535442,9062116,29651873,44981238
95,Cash Used/Provided by Financing Activities,- -,2920000,2685577,3567129,3226545,10983261,12870018,27013,514446,4552695,7509690,29610654,44981238
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,990000,-1277828,432669,-127894,5991878,5086522,-5659448,-2042207,-1938394,3916226,27160596,42388070
98,Cash at the End of Period,- -,1510000,225277,657946,530052,6521930,11608452,5949004,3906797,1968403,5884629,33045225,75433295
99,Cash at the Beginning of Period,- -,520000,1503105,225277,657946,530052,6521930,11608452,5949004,3906797,1968403,5884629,33045225
100,Free Cash Flow,- -,-1940000,-3950707,-3146450,-3316913,-4937316,-6712689,-5313203,-2569751,-6507819,-3584835,-2479241,-2566999
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1495231/000149523113000009/0001495231-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523114000012/0001495231-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523115000010/0001495231-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523116000076/0001495231-16-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523117000027/0001495231-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523118000031/0001495231-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523119000030/0001495231-19-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523120000028/0001495231-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523121000058/0001495231-21-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1495231/000149523122000068/0001495231-22-000068-index.htm
102,false,,,,,,,,,,,,,
