,https://roic.ai/company/ADXN,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-20544810,-35085760,-22066277,-42692124,-33645347,-31141068,-27018827,-14461828,-1774858,-4204213,-3149386,-3280406,-1644798,-14780604,-12858599,-15351914
24,Net Income ratio,-4.3353,-72.0550,-0.8232,-10.4362,-17.0333,-11.0295,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.2721,-5.3498,-3.5592,-5.2642
25,EPS,-43.14,-41.94,-23.10,-44.64,-34.14,-25.14,-20.46,-9.60,-1.08,-2.34,-1.68,-1.50,-0.42,-3.36,-2.88,-2.70
26,EPS Diluted,-43.14,-41.94,-23.10,-44.64,-34.14,-25.14,-20.46,-9.60,-1.08,-2.34,-1.68,-1.50,-0.42,-3.36,-2.88,-2.70
27,Weighted Average Shares Outstanding,476529,836148,956033,955777,986056,1238493,1318656,1511014,1664148,1808676,1902050,2156906,3882206,4404712,4446962,5686611
28,Weighted Average Shares Outstanding Diluted,476529,836148,956033,955777,986056,1238493,1318656,1511014,1664148,1808676,1902050,2156906,3882206,4404712,4446962,5686611
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1574232/000104746920002580/0001047469-20-002580-index.htm,https://www.sec.gov/Archives/edgar/data/1574232/000104746921000566/0001047469-21-000566-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,40946680,140044690,119470604,76560104,63797325,36065379,15256707,2913396,1979609,2633601,1416364,2590539,41670158,31536803,18695040,20484836
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7983,13968,64930,17145
33,Cash and Short-Term Investments,40946680,140044690,119470604,76560104,63797325,36065379,15256707,2913396,1979609,2633601,1416364,2590539,41678141,31550771,18759970,20501981
34,Net Receivables,- -,- -,- -,- -,- -,- -,982467,811549,91507,132075,220723,303882,273016,118028,68373,324421
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1309780,3638460,3125876,1838463,2697674,2002589,781451,176063,67882,17087,21435,158923,199410,720063,661221,1115374
37,Total Current Assets,42256460,143683150,122596480,78398567,66494999,38067968,17020625,3901008,2138998,2782763,1658522,3053344,42150567,32388862,19489564,21941776
38,PP&E,3653540,4949830,8993922,9568079,6668201,3964409,2089574,179524,44677,31843,17303,2751,8868,570966,633104,542100
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,81420,184740,224053,181566,83918,32217,97596,52584,13216,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,81420,184740,224053,181566,83918,32217,97596,52584,13216,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,360350,556870,513361,405142,1036862,1551483,2527895,1746535,1802331,75109,7102,7087,54404,68911,59144,57908
45,Total Non-Current Assets,4095310,5691440,9731336,10154787,7788981,5548109,4715065,1978643,1860224,106952,24405,9838,63272,639877,692248,600008
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,46351770,149374590,132327816,88553354,74283980,43616077,21735690,5879651,3999222,2889715,1682927,3063182,42213839,33028739,20181812,22541784
48,Accounts Payable,1837260,2571100,- -,- -,- -,- -,709643,605803,647304,170899,669678,383211,1148801,2216147,983545,1787287
49,Short-Term Debt,126570,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,373025,308611,287698
50,Tax Payable,170250,436210,- -,- -,- -,- -,332250,30022,11500,64814,7240,10979,14921,107415,171876,203288
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,14397,158,- -,439022,212744,1111126,820149,- -
52,Other Current Liabilities,2110250,6695350,13336443,10889962,9277301,8728038,3946542,1757438,847291,858766,580222,654558,972283,1980264,1508382,2059858
53,Total Current Liabilities,4074080,9266450,13336443,10889962,9277301,8728038,4656185,2363241,1508992,1029823,1249900,1476791,2333828,5680562,3620687,4134843
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177220,258785,194316
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165390,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,82554,592477,1052083,788615,490435,144536,195662,214435,243864,639351,1481738,1692537,1281525
58,Total Non-Current Liabilities,- -,- -,- -,82554,592477,1052083,788615,490435,144536,195662,214435,243864,639351,1824348,1951322,1475841
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,126570,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,550245,567396,482014
61,Total Liabilities,4074080,9266450,13336443,10972516,9869778,9780121,5444800,2853676,1653528,1225485,1464335,1720655,2973179,7504910,5572009,5610684
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3867620,5737910,5735554,5741188,6334180,7705132,8633531,9843247,9984888,11025489,11563547,13420015,28564031,32848635,32848635,49272952
64,Retained Earnings,-64439490,-99525260,-121591532,-164283656,-197929003,-229070071,-256088898,-272013024,-273787882,-277992095,-281141481,-284421887,-286066685,-300847289,-313705888,-329057802
65,Other Comprehensive Income/Loss,- -,- -,- -,-13839810,-15372593,-17461900,6030657,5505898,6127826,6552733,6757887,7547295,10266402,7146506,8578702,24437868
66,Other Total Stockholders Equity,102849390,233895480,234847351,249963116,271381618,272662795,257715600,259689854,260020862,262078103,263038639,264797104,286476912,286375977,286888354,272278082
67,Total Stockholders Equity,42277520,140108130,118991373,77580838,64414202,33835956,16290890,3025975,2345694,1664230,218592,1342527,39240660,25523829,14609803,16931100
68,Total Liabilities And Stockholders Equity,46351600,149374580,132327816,88553354,74283980,43616077,21735690,5879651,3999222,2889715,1682927,3063182,42213839,33028739,20181812,22541784
69,Minority Interest,170,10,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,46351770,149374590,132327816,88553354,74283980,43616077,21735690,5879651,3999222,2889715,1682927,3063182,42213839,33028739,20181812,22541784
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1574232/000104746920002580/0001047469-20-002580-index.htm,https://www.sec.gov/Archives/edgar/data/1574232/000104746921000566/0001047469-21-000566-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-20544810,-35085760,-22066277,-42692124,-33645347,-31141068,-27018827,-14461828,-1774858,-4204213,-3149386,-3280406,-1644798,-14780604,-12858599,-15351914
74,Depreciation and Amortization,2522150,1802090,2016429,2835639,2941151,2927636,2104420,662549,110135,25878,25761,15249,2937,333844,378754,347613
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,526780,599670,- -,- -,- -,- -,580482,174475,275740,355909,197347,800188,2298933,1685965,1176413,1178344
77,Change in Working Capital,-1701580,2247460,3713428,-335535,-2381897,246772,-5225015,-1537809,-107252,-5745,194279,265147,742724,2658282,-1821544,-761567
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96412
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-226278,1063772,-456367,-820149
82,Other Non-Cash Items,-361950,-2568340,-1455239,815636,1745189,1416029,106002,-613755,-303407,1199728,37612,64870,351933,620409,944909,-117661
83,Cash Provided by Operating Activities,-19559410,-33004880,-17791659,-39376384,-31340904,-26550631,-29452938,-15776368,-1799642,-2628443,-2694387,-2134952,1751729,-9482104,-12180067,-14705185
84,CAPEX,-357410,-2729520,-5609892,-4210598,-453018,-204314,-330906,- -,- -,- -,-11221,-697,-9054,-28459,-59414,-31549
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52690,-14795,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1236
88,Other Investing Activites,-543040,2536030,3313303,241940,-564822,-568995,-5889,256067,373450,399903,9708,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-900450,-193490,-2172781,-3895468,-972802,-758275,-225036,256067,373450,399903,-1513,-697,-61744,-43254,-59414,-30313
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-316793,-367412,-309617
91,Common Stock Issued,40232730,136875000,- -,318275,6042512,- -,9680759,3351075,468329,3183397,1523948,3380747,40488180,5986,720013,13958189
92,Common Stock Repurchased,-7220,-63070,-64093,- -,-148701,-183254,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-611770,-4500960,-38198,-3116,13813404,- -,-780195,-167105,4320,-253701,-32321,-25744,-3097722,-152888,-306202,2754252
95,Cash Used/Provided by Financing Activities,39613740,132310970,-102291,315159,19707215,-183254,8900564,3183970,472649,2929696,1491627,3355003,37390458,-463695,46399,16402824
96,Effect of Forex Changes on Cash,122630,-14580,-507351,46193,-156288,-239786,-31262,-6981,19756,-47164,-12964,-45179,10467,-144302,-648681,122470
97,Net Change In Cash,19276510,99098020,-20574082,-42910500,-12762779,-27731946,-20808672,-12343312,-933787,653992,-1217237,1174175,39090910,-10133355,-12841763,1789796
98,Cash at the End of Period,40946750,140044700,119470604,76560104,63797325,36065379,15256707,2913396,1979609,2633601,1416364,2590539,41670158,31536803,18695040,20484836
99,Cash at the Beginning of Period,21670240,40946680,140044686,119470604,76560104,63797325,36065379,15256708,2913396,1979609,2633601,1416364,2579248,41670158,31536803,18695040
100,Free Cash Flow,-19916820,-35734400,-23401551,-43586982,-31793922,-26754945,-29783844,-15776368,-1799642,-2628443,-2705608,-2135649,1742675,-9510563,-12239481,-14736734
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1574232/000104746920002580/0001047469-20-002580-index.htm,https://www.sec.gov/Archives/edgar/data/1574232/000104746921000566/0001047469-21-000566-index.htm,- -
102,Forex Rate,0.8206,0.882,0.9366,0.9656,1.0701,1.0656,1.0923,1.1194,1.0056,0.9977,0.9814,1.0263,1.0185,1.0328,1.1293,1.0958
