,https://roic.ai/company/MGPI,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,15000000,16100000,17000000,18400000,21400000,16900000,19400000,19300000,22900000,23200000,25300000,25500000,25624000,13545000,9824000,-3786000,9619000,18611000,22843000,18893000,33881000,26095000,23289000,21983000,25967000,26438000,20102000,25683000,23308000,33107000,33451000,29290000,44565000,88927000
11,COGS and Expenses,- -,108500000,172800000,171200000,177100000,206900000,141300000,160500000,169700000,199200000,222900000,225900000,212500000,223087000,225603000,203149000,198326000,255385000,268547000,300107000,340834000,422543000,336173000,194716000,247021000,335279000,328463000,305074000,294754000,276288000,304539000,325941000,315503000,341280000,516682000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1400000,- -,500000,100000,100000,100000,100000,600000,2600000,2600000,- -,- -,- -,1347000,1237000,- -,1088000,1393000,1482000,964000,1490000,2901000,1757000,358000,870000,1118000,816000,534000,1294000,1184000,1168000,1305000,1640000,4037000
14,Depreciation and Amortization,- -,5400000,6100000,6700000,6500000,7200000,6200000,7200000,8700000,13900000,14000000,13900000,13600000,13515000,13627000,14308000,14354000,15197000,16008000,12655000,14467000,15172000,11946000,8631000,8843000,11568000,12009000,12325000,12382000,11253000,11308000,11362000,11572000,12961000,19092000
15,EBITDA,- -,22700000,26600000,20300000,24000000,28600000,30800000,32900000,14900000,10900000,16800000,10200000,15700000,21597000,19371000,25913000,22875000,31935000,23528000,35162000,43117000,-6931000,-67064000,14358000,7956000,14380000,7484000,39081000,51334000,57264000,65250000,61510000,58814000,67202000,144715000
16,EBITDA ratio,- -,0.1817,0.1387,0.1103,0.1236,0.1260,0.1885,0.1769,0.0826,0.0560,0.0748,0.0457,0.0727,0.0931,0.0845,0.1208,0.1189,0.1180,0.0855,0.1090,0.1172,-0.0176,-0.2430,0.0711,0.0321,0.0430,0.0232,0.1247,0.1567,0.1799,0.1878,0.1636,0.1621,0.1699,0.2309
17,Operating Income,- -,16400000,19000000,12800000,17000000,20100000,22100000,25500000,10600000,-4600000,1800000,-2600000,3600000,8793000,3638000,11379000,-5954000,15288000,6630000,22370000,27160000,-29650000,-79008000,7255000,645000,-944000,-5199000,16619000,32850000,41975000,42909000,50148000,47242000,54241000,126363000
18,Operating Income ratio,- -,0.1313,0.0991,0.0696,0.0876,0.0885,0.1353,0.1371,0.0588,-0.0236,0.0080,-0.0116,0.0167,0.0379,0.0159,0.0530,-0.0310,0.0565,0.0241,0.0694,0.0738,-0.0755,-0.2863,0.0359,0.0026,-0.0028,-0.0161,0.0530,0.1003,0.1319,0.1235,0.1333,0.1302,0.1371,0.2016
19,Total Other Income Expenses (Gains),- -,-500000,1500000,300000,400000,1200000,800000,100000,-5000000,-1000000,-1600000,-1100000,-1500000,-711000,759000,-1011000,14475000,362000,-503000,-1345000,526000,6057000,-2903000,-3285000,-1890000,2886000,-1322000,9321000,5568000,2742000,9849000,-1168000,-1305000,-1640000,-5267000
20,Income Before Tax,- -,15900000,20500000,13100000,17400000,21300000,22900000,25600000,5600000,-5600000,200000,-3700000,2100000,8082000,4397000,10368000,8521000,15650000,6127000,21025000,27686000,-23593000,-81911000,3970000,-1245000,1942000,-6521000,25940000,38418000,44717000,52758000,48980000,45937000,52601000,121096000
21,Income Before Tax Ratio,- -,0.1273,0.1069,0.0712,0.0896,0.0938,0.1401,0.1376,0.0311,-0.0288,0.0009,-0.0166,0.0097,0.0349,0.0192,0.0483,0.0443,0.0578,0.0223,0.0652,0.0752,-0.0600,-0.2968,0.0197,-0.0050,0.0058,-0.0202,0.0828,0.1173,0.1405,0.1518,0.1302,0.1266,0.1330,0.1932
22,Income Tax expense (Gain),- -,5800000,7400000,4700000,6300000,7800000,8300000,9700000,2300000,-2200000,100000,-1500000,800000,3192000,1737000,4109000,3367000,6182000,2123000,7030000,9988000,-11851000,-12788000,-4768000,68000,318000,-714000,2265000,12227000,13533000,10935000,11696000,7144000,12256000,30279000
23,Net Income,- -,10100000,13100000,8400000,11100000,13500000,16200000,15900000,3300000,-3400000,100000,-2200000,1300000,4890000,2660000,6259000,5154000,9468000,4004000,13995000,17698000,-11742000,-69123000,8738000,-1313000,1624000,-4929000,23675000,26191000,31184000,41823000,37284000,38793000,40345000,91307000
24,Net Income ratio,- -,0.0809,0.0683,0.0457,0.0572,0.0595,0.0991,0.0855,0.0183,-0.0175,0.0004,-0.0099,0.0060,0.0211,0.0116,0.0292,0.0268,0.0350,0.0146,0.0434,0.0481,-0.0299,-0.2505,0.0433,-0.0053,0.0049,-0.0152,0.0755,0.0799,0.0980,0.1204,0.0991,0.1069,0.1020,0.1457
25,EPS,- -,0.57,0.69,0.42,0.57,0.69,0.83,0.81,0.17,-0.17,0.01,-0.12,0.07,0.27,0.16,0.39,0.33,0.61,0.25,0.87,1.08,-0.71,-4.17,0.52,-0.07,0.09,-0.29,1.32,1.48,1.82,2.44,2.17,2.27,2.37,4.37
26,EPS Diluted,- -,0.57,0.69,0.42,0.57,0.69,0.83,0.81,0.17,-0.17,0.01,-0.12,0.07,0.27,0.16,0.39,0.33,0.59,0.24,0.83,1.05,-0.71,-4.17,0.51,-0.07,0.09,-0.29,1.32,1.48,1.82,2.44,2.17,2.27,2.37,4.34
27,Weighted Average Shares Outstanding,- -,17565217,18848921,19764706,19473684,19565217,19518072,19629630,19411765,19428571,20000000,19130435,20000000,18111111,16625000,16257143,15858462,15521311,16016000,16086207,16387037,16538028,16585000,16655203,16726000,16951168,17069455,17305866,17123556,16643811,16746731,16866176,17012288,16937125,20719663
28,Weighted Average Shares Outstanding Diluted,- -,17565217,18848921,19764706,19473684,19565217,19518072,19629630,19629630,19428571,22500000,20000000,20000000,20000000,16625000,16297143,16113580,16047458,16683333,16861446,16855238,16774286,16585000,17082123,16726000,16951168,17069455,17305866,17123556,16643811,16746731,16866176,17012288,16937125,20982453
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/835011/000162828021003174/0001628280-21-003174-index.htm,https://www.sec.gov/Archives/edgar/data/835011/000162828022003647/0001628280-22-003647-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3800000,9200000,9700000,9900000,12200000,20100000,3800000,500000,3800000,6000000,4700000,4100000,7728000,33454000,28736000,17539000,6488000,10384000,16786000,3900000,- -,1158000,7102000,384000,- -,2857000,5641000,747000,1569000,3084000,5025000,3309000,21662000,21568000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3800000,9200000,9700000,9900000,12200000,20100000,3800000,500000,3800000,6000000,4700000,4100000,7728000,33454000,28736000,17539000,6488000,10384000,16786000,4300000,- -,1158000,7102000,384000,- -,2857000,5641000,747000,1569000,3084000,5025000,3309000,21662000,21568000
34,Net Receivables,- -,20100000,23100000,21400000,25800000,28100000,22300000,21600000,22400000,18400000,26300000,26400000,26700000,30272000,26109000,24071000,20466000,34243000,28097000,32197000,34700000,42657000,24448000,18252000,28370000,35567000,28287000,33060000,30670000,28790000,36327000,39509000,41918000,56966000,98076000
35,Inventory,- -,11700000,12500000,11800000,14400000,13500000,10900000,13200000,14700000,19900000,15000000,20400000,24500000,19246000,18230000,20755000,26956000,32775000,31252000,30467000,44900000,63620000,20400000,14524000,31082000,36532000,34917000,34441000,58701000,78858000,93149000,108769000,136931000,141011000,245944000
36,Other Current Assets,- -,1000000,1100000,1100000,1200000,1300000,1100000,1500000,3800000,5100000,2900000,4500000,4100000,5675000,4375000,1419000,4664000,2918000,3913000,3088000,8100000,9803000,34781000,8755000,18222000,5992000,5825000,9103000,1062000,1684000,2182000,1320000,2048000,2644000,1510000
37,Total Current Assets,- -,36600000,45900000,44000000,51300000,55100000,54400000,40100000,41400000,47200000,50200000,56000000,59400000,62921000,82168000,74981000,69625000,76424000,73646000,82538000,92000000,116080000,80787000,48633000,78058000,78091000,71886000,82245000,91180000,110901000,134742000,154623000,184206000,222283000,367098000
38,PP&E,- -,51900000,56400000,57300000,57500000,64600000,70100000,112600000,134900000,125100000,114700000,105600000,97900000,92771000,92124000,91015000,91804000,109097000,115629000,121835000,132200000,108974000,63309000,57363000,77079000,75391000,70244000,63881000,83554000,92791000,103051000,120788000,134909000,137143000,216957000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226294000
40,Intangible Assets,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218838000
41,Intangible Assets,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,445132000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238000,14266000,12147000,7301000,7123000,12373000,18563000,18934000,- -,- -,- -,- -,4944000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1200000,2300000,1000000,900000,600000,2200000,15400000,400000,500000,400000,400000,100000,87000,158000,222000,11701000,1516000,225000,211000,-16000000,878000,798000,875000,1873000,2388000,2076000,2100000,1013000,2710000,2535000,2481000,3482000,7149000,7336000
45,Total Non-Current Assets,- -,56100000,58700000,58300000,58400000,65200000,72300000,128000000,135300000,125600000,115100000,106000000,98000000,92858000,92282000,91237000,103505000,110613000,115854000,122046000,133000000,109852000,64345000,72504000,91099000,85080000,79443000,78354000,103130000,114435000,105586000,123269000,138391000,144292000,674369000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,92700000,104600000,102300000,109700000,120300000,126700000,168100000,176700000,172800000,165300000,162000000,157400000,155779000,174450000,166218000,173130000,187037000,189500000,204584000,225000000,225932000,145132000,121137000,169157000,163171000,151329000,160599000,194310000,225336000,240328000,277892000,322597000,366575000,1041467000
48,Accounts Payable,- -,- -,- -,4700000,4700000,6300000,5700000,8200000,7800000,6400000,8200000,9100000,9100000,10563000,10446000,8681000,9729000,10576000,11744000,10661000,15800000,23315000,19864000,15292000,28871000,18860000,23107000,16076000,20940000,20342000,30037000,25363000,29511000,30273000,53712000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,3400000,2400000,2273000,4273000,3201000,3201000,3201000,4705000,3796000,- -,23432000,20980000,689000,22812000,1683000,1557000,2613000,3345000,4359000,372000,386000,401000,3712000,6092000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,512000,- -,- -,- -,- -,- -,- -,- -,2165000,8487000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14323000,12598000,10948000,9374000,5759000,4562000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,19300000,17600000,8300000,9600000,11700000,7100000,9800000,6600000,3700000,4400000,3700000,4800000,4996000,19959000,14716000,3845000,10238000,5621000,14238000,22841000,17907000,8701000,7510000,7488000,9228000,9486000,12059000,13376000,12294000,11171000,11714000,9383000,19344000,28996000
53,Total Current Liabilities,- -,19300000,17600000,13000000,14300000,18000000,12800000,18000000,14400000,10100000,13600000,16200000,16300000,17832000,34678000,26598000,31098000,36613000,33018000,38069000,44400000,69216000,49545000,23491000,59171000,29771000,34150000,30748000,37661000,36995000,41580000,37463000,39295000,53329000,88800000
54,Long-Term Debt,- -,7500000,2900000,1300000,1100000,100000,- -,25000000,38900000,40900000,29900000,25500000,21100000,18181000,22420000,18433000,15232000,12561000,16785000,12355000,8900000,1301000,9632000,2082000,6852000,31061000,21611000,7670000,30115000,31642000,24182000,31628000,40659000,41328000,237169000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,9700000,11400000,11500000,11300000,10300000,6400000,6000000,5300000,6600000,7000000,7500000,8200000,11218000,10774000,10587000,15802000,13677000,12828000,12694000,- -,10494000,1218000,- -,6056000,5283000,4977000,9297000,2757000,3432000,12000,1677000,1929000,2298000,66101000
57,Other Non-Current Liabilities,- -,400000,300000,100000,- -,- -,4300000,4900000,5500000,6000000,6200000,6500000,6400000,6170000,6034000,5922000,5780000,5977000,6342000,6554000,24700000,10906000,20853000,22780000,12648000,10229000,8988000,8519000,7617000,6975000,5824000,5683000,9670000,7094000,5132000
58,Total Non-Current Liabilities,- -,17600000,14600000,12900000,12400000,10400000,10700000,35900000,49700000,53500000,43100000,39500000,35700000,35569000,39228000,34942000,36814000,32215000,35955000,31603000,33600000,22701000,31703000,24862000,25556000,46573000,35576000,25486000,40489000,42049000,30018000,38988000,52258000,50720000,308402000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6511000,5169000,9862000
61,Total Liabilities,- -,36900000,32200000,25900000,26700000,28400000,23500000,53900000,64100000,63600000,56700000,55700000,52000000,53401000,73906000,61540000,67912000,68828000,68973000,69672000,78000000,91917000,81248000,48353000,84727000,76344000,69726000,56234000,78150000,79044000,71598000,76451000,91553000,104049000,397202000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,6715000,6715000,6715000,6715000,6715000,6715000,- -,6700000,- -,- -,6715000,- -,6715000,6715000,6715000,6715000,6715000,6715000,6715000,6715000,6715000,6715000
64,Retained Earnings,- -,55500000,72000000,67200000,73800000,82600000,94000000,105000000,103400000,100000000,100100000,97900000,99200000,104073000,105878000,110916000,114861000,123181000,124754000,136267000,147800000,131813000,62690000,71428000,78953000,72531000,66686000,89454000,114558000,142652000,167129000,198914000,230784000,262943000,344237000
65,Other Comprehensive Income/Loss,- -,-40900000,-46300000,-52300000,-58400000,-62700000,-65700000,-69900000,-71400000,-85200000,-99100000,-113000000,-126500000,-139737000,-153181000,-167486000,-172186000,-187280000,-201997000,-214593000,-1000000,2000000,-2000000,-3000000,-1035000,-233000,-124443000,-1000000,-1000000,-153428000,-164237000,-175105000,-185539000,486000,354000
66,Other Total Stockholders Equity,- -,41200000,46700000,61500000,67600000,72000000,74900000,79100000,80600000,94400000,107600000,121400000,126000000,131327000,141132000,154533000,155824000,175589000,191051000,213238000,-5356000,202000,3194000,-2363000,- -,7810000,132641000,9192000,-4117000,150349000,159119000,170913000,179080000,-7622000,293445000
67,Total Stockholders Equity,- -,55800000,72400000,76400000,83000000,91900000,103200000,114200000,112600000,109200000,108600000,106300000,105400000,102378000,100544000,104678000,105218000,118209000,120527000,134912000,148148000,134015000,63884000,72784000,84430000,86827000,81603000,104365000,116160000,146292000,168730000,201441000,231044000,262526000,644755000
68,Total Liabilities And Stockholders Equity,- -,92700000,104600000,102300000,109700000,120300000,126700000,168100000,176700000,172800000,165300000,162000000,157400000,155779000,174450000,166218000,173130000,187037000,189500000,204584000,226148000,225932000,145132000,121137000,169157000,163171000,151329000,160599000,194310000,225336000,240328000,277892000,322597000,366575000,1041957000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1148000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-490000
70,Total Liabilities & Equity,- -,92700000,104600000,102300000,109700000,120300000,126700000,168100000,176700000,172800000,165300000,162000000,157400000,155779000,174450000,166218000,173130000,187037000,189500000,204584000,225000000,225932000,145132000,121137000,169157000,163171000,151329000,160599000,194310000,225336000,240328000,277892000,322597000,366575000,1041467000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/835011/000162828021003174/0001628280-21-003174-index.htm,https://www.sec.gov/Archives/edgar/data/835011/000162828022003647/0001628280-22-003647-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,10100000,13100000,8400000,11100000,13500000,16200000,15900000,3300000,-3400000,100000,-2200000,1300000,4890000,2660000,6259000,5154000,9468000,4004000,13995000,17698000,-11742000,-69123000,8738000,-1313000,1624000,-4929000,23675000,26191000,31184000,41823000,37284000,38793000,40345000,91307000
74,Depreciation and Amortization,- -,5400000,6100000,6700000,6500000,7200000,6200000,7200000,8700000,13900000,14000000,13900000,13600000,13515000,13627000,14308000,14354000,15197000,16008000,12655000,14467000,15172000,11946000,8631000,8843000,11568000,12009000,12325000,12382000,11253000,11308000,11362000,11572000,12961000,19092000
75,Deferred Income Tax,- -,- -,- -,-100000,-300000,-700000,-700000,-500000,-600000,600000,200000,-200000,- -,1995000,6000,1980000,5740000,683000,579000,-1461000,308000,-4569000,-7217000,- -,- -,- -,-152000,1570000,1349000,681000,-3420000,1665000,252000,593000,6772000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491000,1164000,969000,932000,1393000,1414000,2402000,2574000,3099000,3304000,3002000,5555000
77,Change in Working Capital,- -,- -,11000000,2700000,6000000,100000,4500000,-19500000,4900000,10100000,-500000,3200000,3300000,1989000,2401000,893000,-9856000,1284000,817000,3841000,3131000,-736000,-15622000,-6100000,-2761000,-3494000,29433000,-10584000,13761000,2022000,20387000,19256000,23998000,27751000,-19404000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15684000,- -,- -,-7521000,7511000,-4851000,2002000,4585000,-8262000,-4450000,-2134000,- -,- -
79,Inventory,- -,- -,- -,700000,-2600000,900000,-2300000,-2400000,-1500000,-5200000,4900000,-5400000,-4000000,5204000,1031000,-2364000,-6427000,-6020000,1546000,531000,-12216000,-16478000,42456000,2766000,-301000,-5450000,1542000,476000,-24260000,-20106000,-14291000,-15620000,-28162000,-3886000,-14214000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3063000,6390000,7122000,-6461000,-233000,-3799000,2611000,-2120000,6191000,-2542000,2107000,1817000,5301000
81,Other Working Capital,- -,17300000,28300000,31000000,37000000,37100000,41600000,22100000,27000000,37100000,36600000,39800000,43100000,45089000,47490000,48383000,38527000,39811000,40628000,44469000,47600000,46864000,31242000,25142000,22381000,18887000,48320000,37736000,51497000,53519000,73906000,93162000,117160000,144911000,-6317000
82,Other Non-Cash Items,- -,-15500000,-30200000,200000,-10000000,500000,-3000000,15700000,-5600000,-14200000,2600000,-9200000,-5500000,-13000,18631000,-7841000,-7215000,-15662000,410000,-1804000,-20865000,-3475000,83174000,20907000,-2794000,-15693000,-19993000,-12567000,-36435000,-27821000,-39201000,-39185000,-58197000,-31397000,-15059000
83,Cash Provided by Operating Activities,- -,- -,- -,17900000,13300000,20600000,23200000,18800000,10700000,7000000,16400000,5500000,12700000,22376000,37325000,15599000,8177000,10970000,21818000,27226000,14739000,-5350000,3158000,32667000,3139000,-5026000,17300000,15812000,18662000,19721000,33471000,33481000,19722000,53255000,88263000
84,CAPEX,- -,- -,- -,-8700000,-6300000,-15000000,-12200000,-45700000,-38900000,-5500000,-3500000,-4800000,-6100000,-8127000,-13384000,-12972000,-15911000,-31781000,-22966000,-18517000,-23188000,-7432000,-2069000,-2062000,-12775000,-9229000,-6208000,-6953000,-30526000,-17922000,-21055000,-31046000,-16730000,-19701000,-47389000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13951000,- -,8603000,2797000,- -,- -,-1200000,22832000,- -,- -,-2750000,-150475000
86,Purchases of Investments,- -,- -,- -,- -,-2000000,-1000000,-2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-375000,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,-1201000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,100000,500000,5300000,-9400000,15800000,1000000,100000,- -,100000,12000,55000,- -,4126000,11013000,1025000,97000,187000,-148000,744000,4154000,- -,4331000,- -,8455000,- -,1439000,- -,- -,- -,2804000,15245000
89,Cash Used for Investing Activites,- -,- -,- -,-7700000,-8200000,-15500000,-9400000,-55100000,-23100000,-4500000,-3400000,-4800000,-6000000,-8115000,-13329000,-12972000,-11785000,-20768000,-21941000,-18420000,-23001000,-7955000,-1325000,16043000,-12775000,3205000,-3411000,1502000,-30526000,-17683000,1777000,-31046000,-17931000,-19647000,-182619000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-165923000,-259051000,-313220000,-124009000,-105088000,-75031000,-4979000,-24702000,-57243000,-21636000,-28526000,-56208000,-331429000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563000,14000,3588000,722000,3126000,1904000,236000,- -,- -,48000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,- -,-2000000,-8112000,-3654000,-1628000,-3193000,-446000,- -,- -,-1939000,- -,-34000,-26000,-33000,-84000,-540000,-672000,-15408000,-1518000,-4663000,-2324000,-5489000,-4411000,-767000
93,Dividends Paid,- -,- -,- -,-4200000,-4600000,-4600000,-4900000,-4900000,-4900000,-1200000,- -,- -,- -,- -,-855000,-1221000,-1209000,-1148000,-2431000,-2482000,-5036000,-4233000,- -,- -,-891000,-914000,-916000,-907000,-1087000,-2066000,-17380000,-5500000,-6856000,-8188000,-10017000
94,Other Financing Activites,- -,- -,- -,-5600000,-300000,-200000,-1000000,25000000,13900000,2000000,-10000000,-2000000,-5400000,-2475000,6239000,-5059000,-3201000,-3247000,5728000,-5339000,2738000,13402000,164302000,216558000,324966000,126445000,95512000,62080000,28444000,27070000,45553000,28966000,37364000,53552000,436500000
