,https://roic.ai/company/GM,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,10203000000,15151000000,6923000000,7344000000,38762000000,8041000000,7238000000,8017000000,10408000000,12261000000,13669000000,14118000000,12815000000,12051000000
15,EBITDA,-16449000000,123928000000,14865000000,17184000000,10608000000,15848000000,11818000000,16250000000,22823000000,20505000000,22812000000,22401000000,22114000000,25791000000
16,EBITDA ratio,-0.1104,1.1849,0.1096,0.1143,0.0697,0.1020,0.0758,0.1067,0.1372,0.1408,0.1551,0.1632,0.1805,0.2031
17,Operating Income,-21230000000,-21023000000,5084000000,5656000000,-30363000000,5131000000,1530000000,4897000000,9545000000,10016000000,4445000000,5481000000,6634000000,9324000000
18,Operating Income ratio,-0.1425,-0.2010,0.0375,0.0376,-0.1994,0.0330,0.0098,0.0321,0.0574,0.0688,0.0302,0.0399,0.0542,0.0734
19,Total Other Income Expenses (Gains),-8241000000,123516000000,653000000,329000000,106000000,2327000000,2716000000,2821000000,2139000000,1847000000,4104000000,1955000000,1461000000,3392000000
20,Income Before Tax,-29471000000,102493000000,5737000000,5985000000,-30257000000,7458000000,4246000000,7718000000,11684000000,11863000000,8549000000,7436000000,8095000000,12716000000
21,Income Before Tax Ratio,-0.1978,0.9800,0.0423,0.0398,-0.1987,0.0480,0.0272,0.0507,0.0702,0.0815,0.0581,0.0542,0.0661,0.1001
22,Income Tax expense (Gain),1766000000,-2166000000,672000000,110000000,-34831000000,2127000000,228000000,-1897000000,2416000000,11533000000,474000000,769000000,1774000000,2771000000
23,Net Income,-30943000000,104821000000,6172000000,9190000000,6188000000,5346000000,3949000000,9687000000,9427000000,-3864000000,8014000000,6732000000,6427000000,10019000000
24,Net Income ratio,-0.2077,1.0022,0.0455,0.0612,0.0406,0.0344,0.0253,0.0636,0.0567,-0.0265,0.0545,0.0491,0.0525,0.0789
25,EPS,-53.47,113.18,3.11,4.94,3.10,2.71,1.75,6.11,6.12,-2.65,5.61,4.62,4.36,6.85
26,EPS Diluted,-53.47,113.18,2.89,4.58,2.92,2.38,1.65,5.91,6.00,-2.65,5.53,4.57,4.33,6.78
27,Weighted Average Shares Outstanding,579000000,925000000,1500000000,1536000000,1566000000,1393000000,1605000000,1586000000,1540000000,1465000000,1411000000,1424000000,1433000000,1452000000
28,Weighted Average Shares Outstanding Diluted,579000000,925000000,1624000000,1668000000,1675000000,1676000000,1687000000,1640000000,1570000000,1492000000,1431000000,1439000000,1442000000,1467000000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1467858/000119312511051462/d10k.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785812000014/0001467858-12-000014-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785813000025/0001467858-13-000025-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785814000043/gm201310k.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785815000036/0001467858-15-000036-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785816000255/0001467858-16-000255-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785817000028/0001467858-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785818000022/0001467858-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785819000033/0001467858-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785820000028/0001467858-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785821000037/0001467858-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785822000034/0001467858-22-000034-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14053000000,22679000000,21061000000,15499000000,18422000000,20021000000,18954000000,15238000000,12960000000,15512000000,20844000000,19069000000,19992000000,20067000000
32,Short-Term Investments,141000000,134000000,5555000000,16148000000,8988000000,8972000000,9222000000,8163000000,11841000000,8313000000,5966000000,4174000000,9046000000,8609000000
33,Cash and Short-Term Investments,14194000000,22813000000,26616000000,31647000000,27410000000,28993000000,28176000000,23401000000,24801000000,23825000000,26810000000,23243000000,29038000000,28676000000
34,Net Receivables,7918000000,7518000000,8699000000,9949000000,14439000000,22813000000,25606000000,26388000000,31703000000,28685000000,33399000000,33398000000,34244000000,34043000000
35,Inventory,13195000000,10107000000,12125000000,14324000000,14714000000,14039000000,13642000000,13764000000,13788000000,10663000000,9816000000,10398000000,10235000000,12988000000
36,Other Current Assets,8960000000,18809000000,5613000000,4327000000,13433000000,15656000000,16246000000,14454000000,5911000000,5571000000,5268000000,7953000000,7407000000,6396000000
37,Total Current Assets,44267000000,59247000000,53053000000,60247000000,69996000000,81501000000,83670000000,78007000000,76203000000,68744000000,75293000000,74992000000,80924000000,82103000000
38,PP&E,39665000000,18687000000,19235000000,22957000000,25845000000,29250000000,34803000000,51401000000,70346000000,79135000000,82317000000,80805000000,77451000000,79044000000
39,Goodwill,- -,30672000000,31778000000,29019000000,1973000000,1560000000,1427000000,1371000000,1868000000,1857000000,1861000000,1859000000,1910000000,1914000000
40,Intangible Assets,265000000,14547000000,11882000000,10013000000,6809000000,5668000000,4983000000,4576000000,4391000000,3992000000,3718000000,3478000000,3320000000,3173000000
41,Intangible Assets,265000000,45219000000,43660000000,39032000000,8782000000,7228000000,6410000000,5947000000,6259000000,5849000000,5579000000,5337000000,5230000000,5087000000
42,Investments,4063000000,9425000000,8529000000,6790000000,6883000000,8094000000,8350000000,9201000000,8996000000,9073000000,9215000000,8562000000,8406000000,9677000000
43,Tax Assets,98000000,564000000,308000000,2900000000,27922000000,22736000000,25414000000,28443000000,35092000000,23544000000,24082000000,24640000000,24136000000,21152000000
44,Other Non-Current Assets,2681000000,3153000000,14113000000,12677000000,9994000000,17535000000,19030000000,21521000000,24794000000,26137000000,30853000000,33701000000,39047000000,47655000000
45,Total Non-Current Assets,46772000000,77048000000,85845000000,84356000000,79426000000,84843000000,94007000000,116513000000,145487000000,143738000000,152046000000,153045000000,154270000000,162615000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,91039000000,136295000000,138898000000,144603000000,149422000000,166344000000,177677000000,194520000000,221690000000,212482000000,227339000000,228037000000,235194000000,244718000000
48,Accounts Payable,22259000000,18725000000,21497000000,24494000000,25166000000,23621000000,22529000000,24062000000,26961000000,23929000000,22297000000,21018000000,19928000000,20391000000
49,Short-Term Debt,16920000000,10221000000,1616000000,1682000000,5051000000,14158000000,14988000000,19562000000,29028000000,26965000000,31891000000,37400000000,36913000000,33720000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1326000000,1276000000,1622000000,2227000000,2755000000,3400000000,3504000000,3234000000,3132000000,2461000000
52,Other Current Liabilities,36429000000,23489000000,24044000000,22756000000,22449000000,23357000000,26562000000,25615000000,26437000000,22596000000,24545000000,23253000000,19937000000,17836000000
53,Total Current Liabilities,75608000000,52435000000,47157000000,48932000000,53992000000,62412000000,65701000000,71466000000,85181000000,76890000000,82237000000,84905000000,79910000000,74408000000
54,Long-Term Debt,29018000000,5562000000,9142000000,11650000000,9677000000,22025000000,31853000000,43549000000,55600000000,67254000000,73060000000,65924000000,73950000000,76671000000
55,Deferred Revenue,- -,- -,- -,- -,1169000000,1249000000,1556000000,2007000000,2362000000,2887000000,2959000000,2962000000,2715000000,3010000000
56,Deferred Tax Liabilities,17392000000,13279000000,13021000000,12336000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,54097000000,43062000000,32419000000,32694000000,47584000000,37484000000,42543000000,37175000000,34472000000,29251000000,26306000000,28289000000,28942000000,24814000000
58,Total Non-Current Liabilities,100507000000,61903000000,54582000000,56680000000,58430000000,60758000000,75952000000,82731000000,92434000000,99392000000,102325000000,97175000000,105607000000,104495000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1038000000,- -,- -,- -,- -,- -,- -,1010000000,969000000,1012000000
61,Total Liabilities,176115000000,114338000000,101739000000,105612000000,112422000000,123170000000,141653000000,154197000000,177615000000,176282000000,184562000000,182080000000,185517000000,178903000000
62,Preferred Stock,- -,- -,10391000000,10391000000,10391000000,3109000000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1017000000,15000000,15000000,16000000,14000000,15000000,16000000,15000000,15000000,14000000,14000000,14000000,14000000,15000000
64,Retained Earnings,-70727000000,-4394000000,266000000,7183000000,10057000000,13816000000,14577000000,20285000000,26168000000,17627000000,22322000000,26860000000,31962000000,41937000000
65,Other Comprehensive Income/Loss,-32339000000,1588000000,1251000000,-5861000000,-8052000000,-3113000000,-8073000000,-8036000000,-9330000000,-8011000000,-9039000000,-11156000000,-13488000000,-9269000000
66,Other Total Stockholders Equity,16489000000,24040000000,24257000000,26391000000,23834000000,28780000000,28937000000,27607000000,26983000000,25371000000,25563000000,26074000000,26542000000,- -
67,Total Stockholders Equity,-85560000000,21249000000,36180000000,38120000000,36244000000,42607000000,35457000000,39871000000,43836000000,35001000000,38860000000,41792000000,45030000000,59744000000
68,Total Liabilities And Stockholders Equity,90555000000,135587000000,137919000000,143732000000,148666000000,165777000000,177110000000,194068000000,221451000000,211283000000,223422000000,223872000000,230547000000,238647000000
69,Minority Interest,484000000,708000000,979000000,871000000,756000000,567000000,567000000,452000000,239000000,1199000000,3917000000,4165000000,4647000000,6071000000
70,Total Liabilities & Equity,91039000000,136295000000,138898000000,144603000000,149422000000,166344000000,177677000000,194520000000,221690000000,212482000000,227339000000,228037000000,235194000000,244718000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1467858/000119312511051462/d10k.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785812000014/0001467858-12-000014-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785813000025/0001467858-13-000025-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785814000043/gm201310k.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785815000036/0001467858-15-000036-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785816000255/0001467858-16-000255-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785817000028/0001467858-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785818000022/0001467858-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785819000033/0001467858-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785820000028/0001467858-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785821000037/0001467858-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785822000034/0001467858-22-000034-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-30943000000,104821000000,6172000000,9190000000,6188000000,5346000000,3949000000,9687000000,9427000000,-3864000000,8014000000,6732000000,6427000000,10019000000
74,Depreciation and Amortization,10203000000,15151000000,6923000000,7344000000,38762000000,8041000000,7238000000,8017000000,10408000000,12261000000,13669000000,14118000000,12815000000,12051000000
75,Deferred Income Tax,1163000000,-2027000000,242000000,-311000000,-35561000000,1561000000,-574000000,-2757000000,1886000000,10880000000,-112000000,-133000000,925000000,2214000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,94000000,38153000000,-916000000,5419000000,4689000000,3085000000,-1120000000,-11428000000,-15519000000,832000000,1202000000,-2969000000,10927000000,-3366000000
78,Accounts Receivable,1315000000,392000000,-641000000,-1572000000,-460000000,8000000,-1248000000,-254000000,-1285000000,1402000000,492000000,-563000000,-1341000000,493000000
79,Inventory,77000000,3194000000,-2229000000,-2760000000,-326000000,59000000,-309000000,-1350000000,-320000000,440000000,399000000,-761000000,-104000000,-3155000000
80,Accounts Payable,-4556000000,-3483000000,2259000000,2095000000,162000000,-485000000,19000000,1953000000,3469000000,-362000000,-537000000,-492000000,42000000,-1166000000
81,Other Working Capital,-31341000000,6812000000,5896000000,11315000000,16004000000,19089000000,17969000000,6541000000,-8978000000,-8146000000,-6944000000,-9913000000,1014000000,- -
82,Other Non-Cash Items,7418000000,-173337000000,-5641000000,-13476000000,-3473000000,-5403000000,565000000,8459000000,10343000000,-2781000000,-7517000000,-2727000000,-14424000000,-5730000000
83,Cash Provided by Operating Activities,-12065000000,-17239000000,6780000000,8166000000,10605000000,12630000000,10058000000,11978000000,16545000000,17328000000,15256000000,15021000000,16670000000,15188000000
84,CAPEX,-7530000000,-5379000000,-4200000000,-7078000000,-9118000000,-9819000000,-11867000000,-23032000000,-29166000000,-27633000000,-25497000000,-23996000000,-20533000000,-22111000000
85,Acquisitions Net,231000000,-2122000000,-3263000000,4768000000,-26000000,-1727000000,-53000000,-928000000,-809000000,-41000000,-83000000,- -,- -,- -
86,Purchases of Investments,-3771000000,-1269000000,-12317000000,-16176000000,-10884000000,-9968000000,-9154000000,-9363000000,-15444000000,-5503000000,-2820000000,-4075000000,-16204000000,-8962000000
87,Sales/Maturities of Investments,5866000000,356000000,6871000000,5613000000,17786000000,10104000000,8755000000,10221000000,11743000000,9007000000,5108000000,6265000000,11941000000,9347000000
88,Other Investing Activites,-4090000000,-15943000000,9942000000,-6108000000,-1263000000,-2952000000,-3379000000,-4933000000,-1967000000,98000000,2363000000,10907000000,-2330000000,-2138000000
89,Cash Used for Investing Activites,-1764000000,-18978000000,1233000000,-12740000000,-3505000000,-14362000000,-15698000000,-28035000000,-35643000000,-24072000000,-20929000000,-10899000000,-21826000000,-16355000000
90,Debt Repayment,-4100000000,-2716000000,-13052000000,-8468000000,-7377000000,-20191000000,-19524000000,-17256000000,-23815000000,-33592000000,-33323000000,-39156000000,-72663000000,-47806000000
91,Common Stock Issued,- -,- -,4857000000,11000000,4000000,- -,- -,- -,- -,- -,2862000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1462000000,-100000000,-5098000000,-2438000000,-3277000000,-3520000000,-2500000000,-4492000000,-190000000,- -,- -,- -
93,Dividends Paid,-283000000,-97000000,-1572000000,-916000000,-939000000,-1687000000,-3165000000,-2242000000,-2368000000,-2233000000,-2242000000,-2350000000,-669000000,-186000000
94,Other Financing Activites,8226000000,47387000000,1459000000,9115000000,8669000000,28047000000,31641000000,36704000000,45822000000,52901000000,44347000000,36829000000,78884000000,49736000000
95,Cash Used/Provided by Financing Activities,3843000000,44574000000,-9770000000,-358000000,-4741000000,3731000000,5675000000,13686000000,17139000000,12584000000,11454000000,-4677000000,5552000000,1744000000
96,Effect of Forex Changes on Cash,-778000000,660000000,-57000000,-253000000,-8000000,-400000000,-1102000000,-1345000000,-213000000,348000000,-299000000,2000000,-222000000,-152000000
97,Net Change In Cash,-10764000000,9017000000,-1814000000,-5185000000,2351000000,1599000000,-1067000000,-3716000000,-2172000000,2688000000,5648000000,-553000000,174000000,425000000
98,Cash at the End of Period,14053000000,22679000000,21256000000,16071000000,18422000000,20021000000,18954000000,15238000000,15160000000,17848000000,23496000000,22943000000,23117000000,23542000000
99,Cash at the Beginning of Period,24817000000,13662000000,23070000000,21256000000,16071000000,18422000000,20021000000,18954000000,17332000000,15160000000,17848000000,23496000000,22943000000,23117000000
100,Free Cash Flow,-19595000000,-22618000000,2580000000,1088000000,1487000000,2811000000,-1809000000,-11054000000,-12621000000,-10305000000,-10241000000,-8975000000,-3863000000,-6923000000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1467858/000119312511051462/d10k.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785812000014/0001467858-12-000014-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785813000025/0001467858-13-000025-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785814000043/gm201310k.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785815000036/0001467858-15-000036-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785816000255/0001467858-16-000255-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785817000028/0001467858-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785818000022/0001467858-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785819000033/0001467858-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785820000028/0001467858-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1467858/000146785821000037/0001467858-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785822000034/0001467858-22-000034-index.htm
102,false,,,,,,,,,,,,,,
