,https://roic.ai/company/OCGN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,212617,212617,25568,220523,239824,377837,618182,13893819,112236110,195013043
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372299/000119312516500103/0001193125-16-500103-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000119312517085372/0001193125-17-085372-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000156459018005711/0001564590-18-005711-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000156459019008830/0001564590-19-008830-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828020004221/0001628280-20-004221-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828021005124/0001628280-21-005124-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828022004085/0001628280-22-004085-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,14716000,8734000,58060000,30915000,31908000,7081000,15542000,7444052,24039325,94958000
32,Short-Term Investments,- -,- -,- -,- -,- -,900000,- -,- -,- -,- -
33,Cash and Short-Term Investments,14716000,8734000,58060000,30915000,31908000,7981000,15542000,7444052,24039325,94958000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,363000,1612000,796000,321000,173000,194000,858000,8322167,1838357,7688000
37,Total Current Assets,15079000,10346000,58856000,31236000,32081000,8175000,16400000,15766219,25877682,102646000
38,PP&E,2315000,2283000,4878000,5213000,3860000,2723000,141000,222464,632967,1164000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,630000,570000,510000,200000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,630000,570000,510000,200000,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,2480000,1058000,651000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,540000,539000,604000,137000,137000,137000,887000,818763,865703,1951000
45,Total Non-Current Assets,5965000,4450000,6643000,5550000,3997000,2860000,1028000,1041227,1498670,3115000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,21044000,14796000,65499000,36786000,36078000,11035000,17428000,16807446,27376352,105761000
48,Accounts Payable,1042000,2530000,4886000,2253000,1948000,776000,1590000,1895613,395034,2312000
49,Short-Term Debt,- -,- -,- -,583000,583000,178000,- -,- -,234119,363000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3362000,2557000,3365000,3523000,2640000,2851000,1283000,2648346,2984398,4325000
53,Total Current Liabilities,4404000,5087000,8251000,6359000,5171000,3805000,2873000,4543959,3613551,7000000
54,Long-Term Debt,- -,- -,1345000,761000,178000,- -,- -,1072123,1823043,2943000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,36351000,85263000,1697000,1468000,17162000,18498000,5013000,172953,389317,- -
58,Total Non-Current Liabilities,36351000,85263000,3042000,2229000,17340000,18498000,15013000,1245076,2212360,2943000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,335508,433565,1594000
61,Total Liabilities,40755000,90350000,11293000,8588000,22511000,22303000,17886000,5789035,5825911,9943000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000
63,Common Stock,6000,6000,127000,132000,159000,159000,513000,527467,1841334,1995000
64,Retained Earnings,-85036000,-110748000,-133541000,-165565000,-181773000,-208187000,-216830000,-51479824,-73301777,-131667000
65,Other Comprehensive Income/Loss,-5147000,-5649000,-6375000,-7989000,-9387000,-10919000,-10286000,- -,- -,- -
66,Other Total Stockholders Equity,70466000,40837000,193995000,201620000,204568000,207679000,226145000,61970768,93010884,225489000
67,Total Stockholders Equity,-19711000,-75554000,54206000,28198000,13567000,-11268000,-458000,11018411,21550441,95818000
68,Total Liabilities And Stockholders Equity,21044000,14796000,65499000,36786000,36078000,11035000,17428000,16807446,27376352,105761000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,21044000,14796000,65499000,36786000,36078000,11035000,17428000,16807446,27376352,105761000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372299/000119312516500103/0001193125-16-500103-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000119312517085372/0001193125-17-085372-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000156459018005711/0001564590-18-005711-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000156459019008830/0001564590-19-008830-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828020004221/0001628280-20-004221-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828021005124/0001628280-21-005124-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828022004085/0001628280-22-004085-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-16935000,-25712000,-22793000,-32024000,-16208000,-26414000,-8643000,-20242630,-21821953,-58365000
74,Depreciation and Amortization,638000,566000,726000,1614000,1673000,1534000,450000,60608,102110,229000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,14000,158000,547000,1228000,1548000,1573000,1625000,884089,660317,6958000
77,Change in Working Capital,48000,-5416000,45346000,-25728000,2033000,-22540000,9157000,-2304740,11041871,73381869
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-228000,804000,2026000,-2633000,-304000,-1209000,-375000,- -,- -,3498000
81,Other Working Capital,10675000,5259000,50605000,24877000,26910000,4370000,13527000,11222260,22264131,95646000
82,Other Non-Cash Items,4003000,15122000,-42231000,24876000,-14782000,22827000,-18366000,4709392,-4691075,-70144869
83,Cash Provided by Operating Activities,-12232000,-15282000,-18405000,-30034000,-25736000,-23020000,-15777000,-16893281,-14708730,-47941000
84,CAPEX,-79000,-604000,-3321000,-1949000,-320000,-276000,-2013000,-29446,-306825,-939000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-8004000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,7050000,900000,- -,- -,- -
88,Other Investing Activites,- -,50000,- -,- -,- -,- -,- -,-327273,- -,-877000
89,Cash Used for Investing Activites,-79000,-554000,-3321000,-1949000,-320000,-1230000,-1113000,-2356719,-306825,-1816000
90,Debt Repayment,- -,- -,- -,-406000,-583000,-583000,-178000,-5315866,-5648856,-10000
91,Common Stock Issued,- -,- -,60450000,4738000,27630000,- -,25526000,22729387,37822025,129211000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-47864,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,26688000,9854000,10602000,39000,2000,6000,3000,7700798,-562131,-8525000
95,Cash Used/Provided by Financing Activities,26688000,9854000,71052000,4371000,27049000,-577000,25351000,25066455,31611038,120676000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,14377000,-5982000,49326000,-27612000,993000,-24827000,8461000,5816455,16595483,70919000
98,Cash at the End of Period,14716000,8734000,58060000,30915000,31908000,7081000,15679000,7595068,24190551,95109000
99,Cash at the Beginning of Period,339000,14716000,8734000,58527000,30915000,31908000,7218000,1778613,7595068,24190000
100,Free Cash Flow,-12311000,-15886000,-21726000,-31983000,-26056000,-23296000,-17790000,-16922727,-15015555,-48880000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1372299/000119312516500103/0001193125-16-500103-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000119312517085372/0001193125-17-085372-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000156459018005711/0001564590-18-005711-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000156459019008830/0001564590-19-008830-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828020004221/0001628280-20-004221-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828021005124/0001628280-21-005124-index.htm,https://www.sec.gov/Archives/edgar/data/1372299/000162828022004085/0001628280-22-004085-index.htm
102,false,,,,,,,,,,
