,https://roic.ai/company/NICK,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3116307,3164364,4253114,5351734,6782448,8418735,9970552,11519347,13192707,16024367,21258731,22418362,28171915,38618356,34668303,30309041,39000000,44000000,49000000,54000000,62000000,73000000,71000000,66000000,51000000,- -
11,COGS and Expenses,3257093,3263197,4359038,5454102,6872919,8503605,10049167,11603251,13258900,16088923,21303961,22436200,28206504,38635853,34686591,30321907,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6310465,5384532,5169736,5599951,68122532,82072643,82609859,86789958,90707000,90466000,83917000,71300000,62095000,54211000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6310465,5384532,5169736,5599951,4891854,5120827,5678188,5970434,9007000,9222000,10137000,9504000,8515000,5980000
14,Depreciation and Amortization,73562,82897,82758,90005,91049,145567,189733,190257,210125,221753,335258,362754,351099,355894,322050,266686,287839,284594,317504,366275,458000,492000,469000,380000,2305000,1837000
15,EBITDA,1132463,1372427,1580405,2695603,4521846,5677299,6460291,7027839,8599786,13334456,17375553,19100329,22227392,13292407,23141981,33213441,41341794,37891576,34512422,32433080,29570000,18454000,13769000,5296000,13067000,18763000
16,EBITDA ratio,0.1941,0.2210,0.1991,0.2587,0.3213,0.3190,0.3195,0.3141,0.3372,0.4061,0.4071,0.4089,0.4438,0.2503,0.4098,0.5291,0.6534,0.4954,0.4445,0.4031,0.3620,0.2265,0.1867,0.0857,0.2439,0.3750
17,Operating Income,2576082,2945932,3577984,4964436,7201897,9293421,10168958,10773624,12241585,16742970,21372709,24273174,21876293,14466518,21785062,32451619,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.4416,0.4745,0.4508,0.4765,0.5117,0.5222,0.5030,0.4815,0.4801,0.5100,0.5008,0.5197,0.4368,0.2724,0.3858,0.5170,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-1517181,-1656402,-2080337,-2358838,-2771100,-3761689,-3898400,-3936042,-3851924,-3630267,-4332414,-5535599,-6310465,-6914537,-4134867,-5104815,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,1058901,1289530,1497647,2605598,4430797,5531732,6270558,6837582,8389661,13112703,17040295,18737575,15565828,7551981,17650195,27346804,36162101,32486155,28516730,26096371,20105000,8740000,3163000,-4588000,2247000,10946000
21,Income Before Tax Ratio,0.1815,0.2077,0.1887,0.2501,0.3148,0.3108,0.3101,0.3056,0.3290,0.3994,0.3993,0.4012,0.3108,0.1422,0.3125,0.4356,0.5715,0.4247,0.3673,0.3244,0.2462,0.1073,0.0429,-0.0742,0.0419,0.2187
22,Income Tax expense (Gain),396750,497276,583957,1003242,1853229,2120855,2338419,2556188,3176983,5033008,6480806,7157816,5893652,2834418,6785634,10541620,13931809,12545209,11813378,9240479,7726000,3331000,4261000,-940000,-1219000,2595000
23,Net Income,662151,792254,913690,1602356,2577568,3410877,3932139,4281394,5212678,8079695,10559489,11579759,9672176,4717563,10864561,16805184,22230292,19940946,16703352,16855892,12379000,5409000,-1098000,-3648000,3466000,8351000
24,Net Income ratio,0.1135,0.1276,0.1151,0.1538,0.1831,0.1917,0.1945,0.1913,0.2044,0.2461,0.2474,0.2479,0.1931,0.0888,0.1924,0.2677,0.3513,0.2607,0.2151,0.2095,0.1516,0.0664,-0.0149,-0.0590,0.0647,0.1669
25,EPS,0.10,0.11,0.12,0.21,0.33,0.44,0.49,0.52,0.62,0.52,0.97,1.06,0.88,0.42,0.95,1.45,1.89,1.67,1.38,1.40,1.60,0.70,-0.14,-0.46,0.45,1.09
26,EPS Diluted,0.10,0.11,0.12,0.20,0.31,0.41,0.45,0.49,0.58,0.48,0.92,1.03,0.85,0.41,0.93,1.41,1.85,1.63,1.36,1.38,1.59,0.69,-0.14,-0.46,0.45,1.09
27,Weighted Average Shares Outstanding,6634850,7255845,7734863,7781347,7762543,7710776,8033978,8256690,8350407,10243830,10855549,10886953,10968447,11273810,11470318,11607341,11747160,11977000,12096000,12013000,7736875,7727143,7842857,7930435,7702222,7661468
28,Weighted Average Shares Outstanding Diluted,6634850,7322339,7978964,8655180,8765839,8477257,8685543,8743689,8959290,10958515,11500434,11272332,11318504,11440312,11689123,11893518,12033131,12218000,12325000,12192000,7785535,7839130,7842857,7930435,7702222,7661468
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1000045/000095014405006982/0000950144-05-006982-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312506139517/0001193125-06-139517-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312507135810/0001193125-07-135810-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312508134501/0001193125-08-134501-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312509130987/0001193125-09-130987-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312510138957/0001193125-10-138957-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312511164700/0001193125-11-164700-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312512270341/0001193125-12-270341-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312513259413/0001193125-13-259413-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312514237425/0001193125-14-237425-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312515223218/0001193125-15-223218-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312516620952/0001193125-16-620952-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312517203193/0001193125-17-203193-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312518205637/0001193125-18-205637-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000156459019023956/0001564590-19-023956-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000156459020030033/0001564590-20-030033-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000156459021033737/0001564590-21-033737-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,108148,303960,509418,259183,233167,51239,481211,957684,853494,1729057,1499193,2297451,1732575,1533894,2017540,2803054,2797716,2635036,3388193,1849000,2855000,2626000,35595000,16802000,22022000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,108148,303960,509418,259183,233167,51239,481211,957684,853494,1729057,1499193,2297451,1732575,1533894,2017540,2803054,2797716,2635036,3388193,1849000,2855000,2626000,35595000,16802000,22022000
34,Net Receivables,- -,32224,23405,22932,20922,14468,14444,16228,11923,12849,11638,17858,179047545,186694369,202439754,230163854,497535,102999,1093682,112984,593000,719000,1505000,4543000,8062000,2938000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-179043344,1775612,1852553,680615,-497535,-102999,-1093682,-112984,-593000,-719000,-1505000,-4543000,-8062000,-24960000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,866343,1740695,1517051,2301652,190202556,205826201,232862009,2803054,2797716,2635036,3388193,1849000,2855000,2626000,35595000,16802000,0
38,PP&E,- -,182341,182341,217293,331594,333759,370849,467596,565562,763247,887832,1014698,844086,774472,661093,771311,758784,741581,869693,872134,1290000,1184000,843000,656000,3080000,4251000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183603,- -,- -,17000,- -,- -,- -,- -
43,Tax Assets,- -,411367,991923,1275056,1115888,1070888,488455,2256508,3354202,3699324,3706642,3997278,5175617,6805147,7648779,8954665,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,115486527,143159774,166490221,181516470,- -,- -,1055140,11325675,10470370,10397652,9364204,10333000,12334000,10817000,14127000,19155000,-4251000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,119949098,147754248,171502197,187536173,7579619,8309872,10781116,12084459,11211951,11450948,10236338,11623000,13535000,11660000,14783000,22235000,0
46,Other Assets,- -,27020742,34172885,42257014,54135378,67242336,77509027,90036928,103223452,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,27020742,34172885,42257014,54135378,67242336,77509027,90036928,103223452,120815441,149494943,173019248,189837825,197782175,214136073,243643125,14887513,14009667,14085984,13624531,13472000,16390000,14286000,50378000,39037000,0
48,Accounts Payable,- -,1274024,1742458,1735356,2695622,3017503,3400859,3070876,3765044,4311888,5887177,5929844,7236918,6528920,7082172,9087996,6612429,7405579,8924919,7841070,5839000,5932000,5000000,3604000,- -,- -
49,Short-Term Debt,- -,1756095,1591595,1606765,1318008,968008,542282,808610,681530,1000000,- -,- -,99937198,102030195,107274971,118000000,112000000,125500000,127900000,199000000,211000000,213000000,165750000,142619000,124255000,86154000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1477272,1244136,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,-1430119,-1134053,-1242121,-713630,114489,1756859,3020514,3153426,2488112,2912823,3270156,-97251388,2961211,420819,233754,-109312429,-121505579,-123224919,-193200420,-205379000,-207180000,-164078000,-143688000,-119846000,-86154000
53,Total Current Liabilities,- -,1600000,2200000,2100000,3300000,4100000,5700000,6900000,7600000,7800000,8800000,9200000,11400000,112764462,114777962,127321750,9300000,11400000,13600000,13640650,11460000,11752000,6672000,2535000,4409000,0
54,Long-Term Debt,- -,17680594,23430594,29964549,38414549,48123426,53273426,60160238,67510290,65330897,82415917,94012099,99937198,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6611000
55,Deferred Revenue,- -,174014,241129,387944,518718,611729,655556,916889,1072883,1359696,1595389,1527076,- -,- -,1137150,1107907,1082475,1363630,2328544,3143231,3917000,3969000,3303000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1545392,1328277,1247507,766733,64845,-128982,-77127,-383173,-390593,-1611306,-1539175,-37198,- -,783678,- -,110917525,124136370,125571456,195856769,207083000,209031000,162447000,145000000,126830000,-6611000
58,Total Non-Current Liabilities,- -,19400000,25000000,31600000,39700000,48800000,53800000,61000000,68200000,66300000,82400000,94000000,99900000,- -,1920828,1107907,112000000,125500000,127900000,199000000,211000000,213000000,165750000,145000000,126830000,0
59,Other Liabilities,- -,- -,- -,63216313,79408094,- -,107612549,122046488,- -,- -,164845768,188012263,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,334803000,- -,- -,97216000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2652000,3367000
61,Total Liabilities,- -,20985464,27197058,33716313,43008094,52814485,59512549,67946488,75777859,74057547,91245768,103212263,111261386,112764462,116698790,128429657,121296983,136870372,141492024,212640649,222460000,224752000,175725000,147535000,131239000,97216000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3713210,3740069,3702587,3711602,3601292,4402960,4452693,4766150,15127922,15525988,16088477,17204883,- -,- -,- -,28426043,30031548,31151781,32655130,33287000,33889000,34564000,34660000,34867000,35064000
64,Retained Earnings,- -,2322068,3235758,4838114,7415682,10826559,14758698,19040092,23744785,31171023,41730512,53310271,62982447,67700010,72070553,88875737,107513008,96933548,110785774,127641666,140021000,145430000,144332000,140684000,144150000,152501000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,-2000000,-1000000,-2064984,-2257808,- -,- -,-2242703,-2236449,-2462000,- -,-3052000,-3216000,-3482000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,-1402345,-1065342,458949,-7325,408237,389109,18317703,27431714,28595539,- -,- -,2242703,-68172405,-67997000,-70459000,-67407000,-67243000,-67956000,-72343000
67,Total Stockholders Equity,- -,6035278,6975827,8540701,11127284,14427851,17996478,22090440,27445593,46757894,58249175,69806985,78576439,85017713,97437283,115213468,135939051,126965096,141937555,89887942,102849000,108860000,108437000,104885000,107579000,115222000
68,Total Liabilities And Stockholders Equity,- -,27020742,34172885,42257014,54135378,67242336,77509027,90036928,103223452,120815441,149494943,173019248,189837825,197782175,214136073,243643125,257236034,263835468,283429579,302528591,325309000,333612000,284162000,252420000,238818000,212438000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-242348521,-249825801,-269343595,-288904060,-311837000,-317222000,-269876000,-202042000,-199781000,-212438000
70,Total Liabilities & Equity,- -,27020742,34172885,42257014,54135378,67242336,77509027,90036928,103223452,120815441,149494943,173019248,189837825,197782175,214136073,243643125,14887513,14009667,14085984,13624531,13472000,16390000,14286000,50378000,39037000,0
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1000045/000095014405006982/0000950144-05-006982-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312506139517/0001193125-06-139517-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312507135810/0001193125-07-135810-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312508134501/0001193125-08-134501-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312509130987/0001193125-09-130987-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312510138957/0001193125-10-138957-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312511164700/0001193125-11-164700-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312512270341/0001193125-12-270341-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312513259413/0001193125-13-259413-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312514237425/0001193125-14-237425-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312515223218/0001193125-15-223218-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312516620952/0001193125-16-620952-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312517203193/0001193125-17-203193-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312518205637/0001193125-18-205637-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000156459019023956/0001564590-19-023956-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000156459020030033/0001564590-20-030033-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000156459021033737/0001564590-21-033737-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,662151,792254,913690,1602356,2577568,3410877,3932139,4281394,5212678,8079695,10559489,11579759,9672176,4717563,10864561,16805184,22230292,19940946,16703352,16855892,12379000,5409000,-1098000,-3648000,3466000,8351000
74,Depreciation and Amortization,73562,82897,82758,90005,91049,145567,189733,190257,210125,221753,335258,362754,351099,355894,322050,266686,287839,284594,317504,366275,458000,492000,469000,380000,2305000,1837000
75,Deferred Income Tax,-153196,74431,-539411,-324278,159168,45000,582433,-917635,-1268778,-1272447,-334458,66291,44523,-2309977,-1217391,-1417788,250566,696339,1710365,356017,-292000,-1956000,2216000,-835000,3215000,1626000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,387391,649372,450374,660328,551912,812004,535070,514463,574000,607000,217000,80000,202000,197000
77,Change in Working Capital,-143621,-1510763,-600000,100000,-1200000,-800000,-1600000,-1200000,-700000,666343,-125648,-623644,-1415399,86536442,13610145,14492020,-112037205,-2105338,-2362680,712507,641457,714000,4851000,37106000,-20667000,-12393000
78,Accounts Receivable,- -,-100000,100000,100000,48944,-126448,32557,-122404,-321787,-75743,-61560,-13592,13657,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-157000,-275000,879000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,400000,600000,-200000,999764,447514,641791,244354,869905,1789837,1084298,70536,-1313777,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-89237,-1600000,-2200000,-2100000,-3300000,-4100000,-5700000,-6900000,-7600000,-6933657,-7059305,-7682949,-9098348,77438094,91048239,105540259,-6496946,-8602284,-10964964,-10252457,-9611000,-8897000,-4046000,33060000,12393000,0
82,Other Non-Cash Items,795696,2229225,2200280,749526,3318427,2591810,4187266,3535809,3446619,3435336,5046779,4713506,7817264,-68283816,-2703821,-9448806,110591475,5991610,4437783,6953599,10309543,22055000,17026000,-18679000,21964000,15005000
83,Cash Provided by Operating Activities,1234592,1668044,2057317,2217609,4946212,5393254,7291571,5889825,6900644,11130680,15481420,16098666,16857054,21665478,21325918,21357624,21874879,25620155,21341394,25758753,24070000,27321000,23681000,14404000,10485000,14623000
84,CAPEX,-67377,-84820,-123903,-83812,-205350,-147732,-226823,-287004,-308091,-419438,-487283,-515908,-189845,-295272,-208671,-393782,-320537,-271003,-464598,-442758,-913000,-772000,-130000,-228000,-130000,-615000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20483000,- -
86,Purchases of Investments,-6061139,-8034817,- -,- -,- -,- -,- -,-60795789,-68920330,-82630379,-105084756,-112964211,- -,-103378183,-110184843,-134049373,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,48471205,55663425,63761788,74426193,85009367,- -,79341088,83117609,101715052,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-7349961,-8439982,-13161355,-14496505,-12939437,- -,- -,9400,38000,76451,-22692072,97457,-1618,57661,-12435677,-10297707,-21415763,-26061489,-35740000,-27931000,23427000,44387000,16937000,30476000
89,Cash Used for Investing Activites,-6128516,-8119637,-7473864,-8523794,-13366705,-14644237,-13166260,-12611588,-13564996,-19278629,-31107846,-28394301,-22881917,-24234910,-27277523,-32670442,-12756214,-10568710,-21880361,-26504247,-36653000,-28703000,23297000,44159000,-3676000,29861000
90,Debt Repayment,-5670031,-470438,-164500,- -,-288757,-350000,- -,- -,-127080,-2179393,-16686954,-11426370,-5925099,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-165750000,-38950000,-38530000
91,Common Stock Issued,71404,1989159,26859,- -,9015,- -,72733,49328,313457,10416000,- -,- -,756747,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-133910,- -,- -,- -,-384470,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70408854,-50000,- -,- -,- -,-979000,-905000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-507985,-653457,- -,- -,- -,- -,- -,- -,-3593021,-29844516,-2851126,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10700000,4550229,5750000,6511643,8450000,9708877,5533000,7102407,7462433,845079,33188943,23492141,11991473,2004556,5752924,11796464,-4740130,14787733,3227413,71907505,11094000,2388000,-47207000,142203000,20162000,3244000
95,Cash Used/Provided by Financing Activities,5101373,6068950,5612359,6511643,8170258,9224967,5605733,7151735,7140825,8043759,16501989,12065771,6823121,2004556,5752924,11796464,-8333151,-15056783,376287,1498651,11044000,2388000,-47207000,-23547000,-19767000,-36191000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,207549,-382643,195812,205458,-250235,-26016,-268956,429972,476473,-104190,875563,-229864,798258,-564876,-198681,483646,785514,-5338,-162680,753157,-1539000,1006000,-229000,35016000,-12958000,8293000
98,Cash at the End of Period,490791,108148,303960,509418,259183,233167,51239,481211,957684,853494,1729057,1499193,2297451,1732575,1533894,2017540,2803054,2797716,2635036,3388193,1849000,2855000,2626000,37642000,24684000,32977000
99,Cash at the Beginning of Period,283242,490791,108148,303960,509418,259183,320195,51239,481211,957684,853494,1729057,1499193,2297451,1732575,1533894,2017540,2803054,2797716,2635036,3388000,1849000,2855000,2626000,37642000,24684000
100,Free Cash Flow,1167215,1583224,1933414,2133797,4740862,5245522,7064748,5602821,6592553,10711242,14994137,15582758,16667209,21370206,21117247,20963842,21554342,25349152,20876796,25315995,23157000,26549000,23551000,14176000,10355000,14008000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1000045/000095014405006982/0000950144-05-006982-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312506139517/0001193125-06-139517-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312507135810/0001193125-07-135810-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312508134501/0001193125-08-134501-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312509130987/0001193125-09-130987-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312510138957/0001193125-10-138957-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312511164700/0001193125-11-164700-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312512270341/0001193125-12-270341-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312513259413/0001193125-13-259413-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312514237425/0001193125-14-237425-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312515223218/0001193125-15-223218-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312516620952/0001193125-16-620952-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312517203193/0001193125-17-203193-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000119312518205637/0001193125-18-205637-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000156459019023956/0001564590-19-023956-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000156459020030033/0001564590-20-030033-index.htm,https://www.sec.gov/Archives/edgar/data/1000045/000156459021033737/0001564590-21-033737-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
