,https://roic.ai/company/STON,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-0.2424,-0.2138,-0.1552,0.0337,-0.0461,0.0594,0.0388,0.0300,0.0305,-0.0167,-0.0423,-0.0740,-0.0198,-0.0865,-0.0238,-0.0757,-0.0886,-0.2507,-0.2357,-0.4274,-0.1509,-0.2333
22,Income Tax expense (Gain),4057000,5423000,1631000,1799000,-278000,1837000,1427000,625000,80000,-1954000,-5383000,-4019000,-1790000,-2304000,3913000,1108000,1589000,-9621000,-1797000,28204000,-4855000,18370000
23,Net Income,-25023000,-10577000,-4155000,887000,-3838000,4090000,3040000,2786000,4556000,-1077000,-1446000,-9715000,-3013000,-19032000,-10773000,-24244000,-30483000,-75158000,-72699000,-151942000,-8359000,-55279000
24,Net Income ratio,-0.3916,-0.1414,-0.0550,0.0111,-0.0430,0.0410,0.0264,0.0245,0.0300,-0.0059,-0.0090,-0.0524,-0.0124,-0.0772,-0.0374,-0.0793,-0.0934,-0.2222,-0.2300,-0.5248,-0.0299,-0.1712
25,EPS,-2.95,-1.25,-0.49,0.10,0.27,0.47,0.34,0.30,0.38,-0.09,-0.10,-0.50,-0.15,-0.89,-0.40,-0.79,-0.94,-1.96,-1.90,-3.84,-0.08,-0.52
26,EPS Diluted,-2.95,-1.25,-0.49,0.10,0.27,0.47,0.34,0.30,0.38,-0.09,-0.10,-0.50,-0.15,-0.89,-0.40,-0.79,-0.94,-1.96,-1.90,-3.84,-0.08,-0.52
27,Weighted Average Shares Outstanding,8479564,8479564,8479564,8479564,8480000,8526000,8831000,9107000,11809000,12034000,14133000,18947000,19445000,20954000,26582000,30472000,34602000,37948000,37959000,39614000,106991000,106991000
28,Weighted Average Shares Outstanding Diluted,8479564,8479564,8479564,8479564,8480000,8526000,8831000,9107000,11809000,12034000,14133000,18947000,19445000,20954000,26582000,30472000,34602000,37948000,37959000,39677000,107001000,107001000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1753886/000156459020015753/0001564590-20-015753-index.htm,https://www.sec.gov/Archives/edgar/data/1753886/000156459021015568/0001564590-21-015568-index.htm,https://www.sec.gov/Archives/edgar/data/1753886/000095017022005236/0000950170-22-005236-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,14474000,6925000,9914000,13800000,13800000,13479000,7535000,12058000,7946000,12175000,10401000,15153000,12570000,6821000,18147000,34867000,39244000,83882000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,14474000,6925000,9914000,13800000,13800000,13479000,7535000,12058000,7946000,12175000,10401000,15153000,12570000,6821000,18147000,34867000,39244000,83882000
34,Net Receivables,- -,- -,- -,- -,25479000,29991000,22968000,32063000,32063000,37113000,45149000,48837000,51895000,55115000,62503000,68415000,77253000,79116000,57928000,55794000,57869000,62220000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,2639000,3736000,5336000,7900000,13005000,8033000,12363000,20602000,21250000,26289000,28974000,24230000,28998000,27049000,22241000,67678000,71595000,34845000
37,Total Current Assets,- -,- -,- -,- -,42592000,40652000,38218000,53763000,58868000,58625000,65047000,81497000,81091000,93579000,101878000,107798000,118821000,112986000,98316000,158339000,168708000,180947000
38,PP&E,- -,- -,- -,- -,22616000,191863000,200741000,241481000,241481000,287622000,349709000,372715000,389720000,401476000,440239000,446969000,455596000,447494000,443557000,424005000,383022000,82610000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19851000,36439000,42392000,48034000,58836000,69851000,70436000,24862000,24862000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9342000,9655000,68990000,67209000,65438000,63244000,61421000,56246000,55094000,54023000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19851000,36439000,51734000,57689000,127826000,137060000,135874000,88106000,86283000,56246000,55094000,54023000
42,Investments,- -,- -,- -,- -,- -,- -,316419000,437194000,437194000,- -,- -,599194000,658286000,743327000,829925000,772480000,840859000,855384000,818810000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,451000,605000,415000,381000,42000,40000,40000,64000,84000,86000,81000,9000,21000
44,Other Non-Current Assets,- -,- -,- -,- -,429259000,318320000,71648000,79319000,79319000,512191000,711907000,158865000,162513000,177216000,199556000,221778000,235799000,252028000,222049000,1080697000,1028130000,1423543000
45,Total Non-Current Assets,- -,- -,- -,- -,451875000,510183000,588808000,757994000,757994000,800264000,1082072000,1167628000,1262634000,1379750000,1597586000,1578327000,1668192000,1643096000,1570785000,1561029000,1466255000,1560197000
46,Other Assets,- -,- -,377720000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,377720000,- -,494467000,550835000,627026000,811757000,816862000,858889000,1147119000,1249125000,1343725000,1473329000,1699464000,1686125000,1787013000,1756082000,1669101000,1719368000,1634963000,1741144000
48,Accounts Payable,- -,- -,- -,- -,6136000,7461000,11345000,19075000,24180000,26574000,23444000,26428000,28973000,37269000,35382000,31875000,35547000,43023000,59035000,55134000,51718000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,641000,1388000,386000,386000,378000,1386000,1487000,2175000,2916000,2251000,2440000,1775000,1002000,798000,374000,317000,762000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,949164000,1056260000
52,Other Current Liabilities,- -,- -,- -,- -,162000,260000,361000,677000,677000,1829000,2034000,1632000,1833000,1512000,1219000,1503000,1571000,1781000,1967000,20793000,-925663000,-1007212000
53,Total Current Liabilities,- -,- -,- -,- -,6298000,8362000,13094000,20138000,25243000,28781000,26864000,29547000,32981000,41697000,38852000,35818000,38893000,45806000,61800000,76301000,75536000,49810000
54,Long-Term Debt,- -,- -,- -,- -,80000000,86304000,102104000,145778000,145778000,182821000,219008000,193835000,252774000,289016000,285378000,316399000,300351000,317693000,320248000,367963000,320715000,389401000
55,Deferred Revenue,- -,- -,125007000,- -,- -,- -,196103000,220942000,220942000,258978000,388403000,441878000,497861000,581585000,643408000,637536000,866633000,912626000,914286000,949375000,949164000,1056260000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5290000,18029000,16968000,14910000,12407000,17708000,17833000,20058000,9638000,6675000,34613000,29652000,10878000
57,Other Non-Current Liabilities,- -,- -,- -,- -,292852000,347184000,45806000,79574000,79574000,267771000,366623000,386618000,410017000,441104000,505356000,494861000,370724000,378623000,372670000,393606000,352309000,380537000
58,Total Non-Current Liabilities,- -,- -,- -,- -,372852000,433488000,344013000,446294000,446294000,714860000,992063000,1039299000,1175562000,1324112000,1451850000,1466629000,1557766000,1618580000,1613879000,1745557000,1651840000,1837076000
59,Other Liabilities,- -,- -,328800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8767000,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,328800000,- -,379150000,441850000,357107000,466432000,471537000,743641000,1018927000,1068846000,1208543000,1365809000,1490702000,1502447000,1596659000,1664386000,1675679000,1821858000,1727376000,1886886000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,944474000,1178000,1182000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8359000,-63638000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,115317000,1537000,-22141000,-21470000,-21470000,-28262000,-32945000,-38162000,-44669000,-51396000,-57077000,-67050000,-75096000,-82946000,-90146000,-93841000,- -,- -
66,Other Total Stockholders Equity,- -,- -,48920000,- -,- -,107448000,292060000,366795000,366795000,143510000,161137000,218441000,179851000,158916000,265839000,250728000,265450000,174642000,83568000,-953123000,-85232000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,115317000,108985000,- -,- -,- -,-208579000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-102490000,-92413000,-145742000
68,Total Liabilities And Stockholders Equity,- -,- -,377720000,- -,494467000,550835000,627026000,811757000,816862000,535062000,1147119000,1249125000,1343725000,1473329000,1699464000,1686125000,1787013000,1756082000,1669101000,1719368000,1634963000,1741144000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,323827000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,377720000,- -,494467000,550835000,627026000,811757000,816862000,858889000,1147119000,1249125000,1343725000,1473329000,1699464000,1686125000,1787013000,1756082000,1669101000,1719368000,1634963000,1741144000
71,SEC Link,undefined,undefined,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1753886/000156459020015753/0001564590-20-015753-index.htm,https://www.sec.gov/Archives/edgar/data/1753886/000156459021015568/0001564590-21-015568-index.htm,https://www.sec.gov/Archives/edgar/data/1753886/000095017022005236/0000950170-22-005236-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-25023000,-10577000,-4155000,- -,-3838000,4090000,3040000,2786000,4556000,-1077000,-1446000,-9715000,-3013000,-19032000,-10773000,-24244000,-30483000,-75158000,-72699000,-151942000,-8359000,-55279000
74,Depreciation and Amortization,4291000,4337000,4893000,- -,4547000,3510000,3501000,3891000,5029000,6390000,8845000,8534000,9431000,9548000,11081000,12803000,12899000,13183000,11736000,10782000,9395000,8122000
75,Deferred Income Tax,- -,- -,- -,- -,-1415000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18786000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,1212000,4741000,2262000,1576000,711000,773000,916000,1370000,1068000,1516000,1147000,1045000,2523000,3623000,1481000,2036000
77,Change in Working Capital,- -,- -,- -,- -,36294000,-4004000,-7166000,8501000,- -,-3781000,8339000,13767000,-3840000,3772000,11144000,8954000,7948000,-12748000,-30664000,45522000,11134000,37965000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,5990000,-2430000,-6678000,-9452000,-15357000,-9241000,-5475000,-8926000,-11337000,-8873000,-22816000,-17074000,4498000,-8633000,-20453000,-17529000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-125000,- -,- -,4330000,- -,- -,- -,- -,6064000,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,36294000,32290000,25124000,33625000,33625000,29844000,38183000,51950000,48110000,51882000,63026000,71980000,79928000,67180000,36516000,82038000,93172000,131137000
82,Other Non-Cash Items,27650000,18829000,10304000,- -,-28103000,13993000,17752000,-946000,9297000,10390000,-13343000,-7893000,28402000,39419000,6928000,5033000,31256000,88654000,115561000,54029000,-12291000,28568000
83,Cash Provided by Operating Activities,6918000,12589000,11042000,- -,7485000,17589000,18339000,18973000,21144000,13498000,3106000,5466000,31896000,35077000,19448000,4062000,22767000,14976000,26457000,-37986000,1360000,2626000
84,CAPEX,-10502000,- -,- -,- -,-5887000,-5042000,-5457000,-5640000,-9185000,-7283000,-10078000,-13166000,-11972000,-12752000,-67574000,-15339000,-11382000,-10789000,-12172000,-6418000,-6360000,-11995000
85,Acquisitions Net,- -,- -,- -,- -,- -,-10244000,-11259000,-81137000,-7200000,-3666000,-39127000,-16020000,-27976000,-14100000,-56084000,-18800000,-10550000,1241000,-1667000,6255000,57343000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-10502000,-5766000,-8913000,- -,- -,- -,2091000,- -,-661000,- -,-346000,- -,- -,155000,-53000000,-15339000,-8579000,-10162000,-10896000,-6418000,-6360000,-5016000
89,Cash Used for Investing Activites,-10502000,-5766000,-8913000,- -,-5887000,-15286000,-14625000,-86777000,-17046000,-10949000,-49551000,-29186000,-39948000,-26697000,-123658000,-34139000,-19129000,-8921000,-12563000,-163000,50983000,-5016000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1021000,-34000000,-18446000,-239862000,-41712000,-75184000,-30271000,-239932000,-98140000,-111034000,-243984000,-88951000,-28493000,-368369000,-65476000,-333604000
91,Common Stock Issued,- -,- -,- -,- -,86638000,120000,120000,50788000,86000,23680000,38891000,103207000,- -,38377000,173497000,75156000,94314000,- -,- -,- -,8200000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-5255000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-16442000,-17346000,-18724000,-25658000,-27253000,-32443000,-44605000,-47454000,-52053000,-62836000,-77512000,-79164000,-24545000,- -,- -,- -,- -
94,Other Financing Activites,4340000,-8011000,1258000,- -,-74062000,6470000,17522000,73626000,33188000,247297000,75765000,44825000,81665000,249457000,89915000,148219000,222613000,101692000,25925000,445138000,8256000,322134000
95,Cash Used/Provided by Financing Activities,4340000,-8011000,1258000,- -,7321000,-9852000,-725000,71690000,-10830000,3862000,40501000,28243000,3940000,-4151000,102436000,34829000,-6221000,-11804000,-2568000,76769000,-49020000,-11470000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4340000,-8011000,1258000,- -,8920000,-7549000,2989000,3886000,-6732000,6411000,-5944000,4523000,-4112000,4229000,-1774000,4752000,-2583000,-5749000,11326000,38620000,3323000,40207000
98,Cash at the End of Period,- -,- -,- -,- -,14474000,6925000,9914000,13800000,7068000,13479000,7535000,12058000,7946000,12175000,10401000,15153000,12570000,6821000,18147000,56767000,60090000,100297000
99,Cash at the Beginning of Period,- -,- -,- -,- -,5554000,14474000,6925000,9914000,13800000,7068000,13479000,7535000,12058000,7946000,12175000,10401000,15153000,12570000,6821000,18147000,56767000,60090000
100,Free Cash Flow,-3584000,12589000,11042000,- -,1598000,12547000,12882000,13333000,11959000,6215000,-6972000,-7700000,19924000,22325000,-48126000,-11277000,11385000,4187000,14285000,-44404000,-5000000,-9369000
101,SEC Link,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1753886/000156459020015753/0001564590-20-015753-index.htm,https://www.sec.gov/Archives/edgar/data/1753886/000156459021015568/0001564590-21-015568-index.htm,https://www.sec.gov/Archives/edgar/data/1753886/000095017022005236/0000950170-22-005236-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
