,https://roic.ai/company/LL,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0260,0.0465,0.0437,0.0388,0.0279,0.0459,0.0494,0.0423,0.0385,0.0579,0.0774,0.0605,-0.0577,-0.0714,-0.0368,-0.0501,0.0088,0.0560,0.0362
25,EPS,0.17,0.53,0.71,0.86,0.68,0.83,1.00,0.96,0.95,1.71,2.82,2.32,-2.08,-2.51,-1.33,-1.90,0.34,2.13,1.44
26,EPS Diluted,0.17,0.51,0.46,0.56,0.48,0.82,0.97,0.93,0.93,1.68,2.77,2.31,-2.08,-2.51,-1.33,-1.90,0.34,2.10,1.41
27,Weighted Average Shares Outstanding,15000100,15000100,15000100,15000100,16646674,26772288,26983689,27384095,27706629,27448333,27484790,27264882,27082299,27284434,28407000,28571000,28689000,28830000,29041000
28,Weighted Average Shares Outstanding Diluted,15000100,15675477,23063174,22952118,23634995,27090593,27684547,28246453,28379693,28031453,27914322,27485852,27082299,27284434,28407000,28571000,28793000,29247000,29525000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396033/000119312509050268/0001193125-09-050268-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000119312510033678/0001193125-10-033678-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000119312511042899/d10k.htm,https://www.sec.gov/Archives/edgar/data/1396033/000119312512071457/0001193125-12-071457-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000119312513066128/0001193125-13-066128-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000114420414010440/v367177_10k.htm,https://www.sec.gov/Archives/edgar/data/1396033/000114420415011792/v400728_10k.htm,https://www.sec.gov/Archives/edgar/data/1396033/000114420416084768/0001144204-16-084768-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000114420417009976/0001144204-17-009976-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000114420418010939/0001144204-18-010939-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000155837019002205/0001558370-19-002205-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000155837020001266/0001558370-20-001266-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000155837021002205/0001558370-21-002205-index.htm,https://www.sec.gov/Archives/edgar/data/1396033/000155837022001644/0001558370-22-001644-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3073000,3031000,6031000,3965000,33168000,35139000,35675000,34830000,61675000,64167000,80634000,20287000,26703000,10271000,19938000,11565000,8993000,169941000,85189000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3073000,3031000,6031000,3965000,33168000,35139000,35675000,34830000,61675000,64167000,80634000,20287000,26703000,10271000,19938000,11565000,8993000,169941000,85189000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19596000,31429000,1298000,- -,27025000,4078000,- -
35,Inventory,14910000,22507000,30009000,51758000,72024000,88731000,133342000,155131000,164139000,206704000,252428000,314371000,244402000,301892000,262280000,318272000,286369000,244409000,254385000
36,Other Current Assets,- -,- -,4628000,6997000,7873000,8764000,10344000,12844000,12155000,17274000,19145000,22619000,32087000,16803000,14480000,36466000,36726000,19724000,20254000
37,Total Current Assets,- -,- -,40668000,62720000,113065000,132634000,179361000,202805000,237969000,288145000,352207000,357277000,322788000,360395000,297996000,366303000,359113000,438152000,359828000
38,PP&E,- -,- -,9515000,9332000,11580000,13780000,20491000,35314000,44147000,47764000,65947000,124867000,121997000,115004000,100491000,93689000,220529000,207032000,216436000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,9693000,9693000,9693000,9693000,9693000,9693000,9693000,9693000,9693000,9693000,9693000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,9693000,9693000,9693000,9693000,9693000,9693000,9693000,9693000,9693000,9693000,9693000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,2819000,3737000,1220000,2317000,2002000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11611000,11336000
44,Other Non-Current Assets,- -,- -,2160000,2231000,2559000,3674000,4026000,4171000,3045000,1785000,1712000,1625000,1724000,3542000,2615000,5832000,6674000,7860000,8599000
45,Total Non-Current Assets,- -,- -,14494000,15300000,15359000,19771000,26519000,39485000,56885000,59242000,77352000,136185000,133414000,128239000,112799000,109214000,236896000,236196000,246064000
46,Other Assets,21017000,39753000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,21017000,39753000,55162000,78020000,128424000,152405000,205880000,242290000,294854000,347387000,429559000,493462000,456202000,488634000,410795000,475517000,596009000,674348000,605892000
48,Accounts Payable,- -,- -,8412000,16296000,15654000,15373000,32608000,33744000,38161000,55110000,56327000,80303000,55247000,120647000,67676000,73412000,59827000,70543000,63464000
49,Short-Term Debt,- -,- -,2868000,3065000,122000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31333000,33024000,33060000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,4314000,4878000,7472000,3914000,4249000,4273000,4200000,7225000,5793000,4297000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,18120000,25747000,22377000,34943000,33771000,32639000,38546000,40332000,41571000,61389000,67063000
52,Other Current Liabilities,- -,- -,12329000,13662000,20460000,21016000,22653000,22943000,14440000,20170000,28296000,29001000,38726000,33426000,71939000,128380000,105375000,77299000,68753000
53,Total Current Liabilities,- -,- -,23609000,33023000,36236000,36389000,55261000,56687000,70721000,101027000,107000000,144247000,127744000,186712000,178161000,242124000,238106000,242255000,232340000
54,Long-Term Debt,- -,- -,7194000,6479000,- -,- -,- -,- -,- -,- -,- -,- -,20000000,40000000,15000000,65000000,82000000,191194000,97163000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,2185000,2746000,3328000,- -,- -,- -,- -,12246000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,2352000,5721000,8166000,9061000,10558000,10638000,9888000,552000,792000,426000,2566000,- -
57,Other Non-Current Liabilities,- -,- -,43134000,43986000,- -,1619000,- -,- -,- -,3653000,4169000,6603000,20252000,8896000,19235000,20203000,114227000,10727000,4268000
58,Total Non-Current Liabilities,- -,- -,50328000,50465000,- -,1619000,2185000,5098000,9049000,11819000,13230000,17161000,50890000,71030000,34787000,85995000,196653000,204487000,101431000
59,Other Liabilities,17397000,69995000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,298000,59000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3038000,2872000,2864000,131803000,123218000,130223000
61,Total Liabilities,17397000,69995000,73937000,83488000,36236000,38008000,57446000,61785000,79770000,112846000,120230000,161408000,178634000,257742000,212948000,328119000,434759000,446742000,333771000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,27000,27000,27000,27000,28000,29000,30000,30000,30000,31000,31000,32000,30000,30000,31000
64,Retained Earnings,- -,- -,-19616000,-6718000,4608000,26757000,53681000,79947000,106203000,153267000,230662000,294033000,237600000,169037000,131214000,76835000,86498000,147925000,189623000
65,Other Comprehensive Income/Loss,- -,- -,-3504000,-6313000,-9814000,-14113000,-18237000,-22930000,-194000,73000,-562000,-796000,-1665000,-1456000,-1152000,-1385000,-1580000,- -,- -
66,Other Total Stockholders Equity,3620000,- -,4345000,7563000,97367000,101726000,112963000,123461000,109047000,81172000,79199000,38787000,41603000,63280000,67754000,71916000,76302000,79651000,- -
67,Total Stockholders Equity,3620000,-30242000,-18775000,-5468000,92188000,114397000,148434000,180505000,215084000,234541000,309329000,332054000,277568000,230892000,197847000,147398000,161250000,227606000,272121000
68,Total Liabilities And Stockholders Equity,21017000,39753000,55162000,78020000,128424000,152405000,205880000,242290000,294854000,347387000,429559000,493462000,456202000,488634000,410795000,475517000,596009000,674348000,605892000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,21017000,39753000,55162000,78020000,128424000,152405000,205880000,242290000,294854000,347387000,429559000,493462000,456202000,488634000,410795000,475517000,596009000,674348000,605892000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396033/000119312509050268/0001193125-09-050268-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000119312510033678/0001193125-10-033678-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000119312511042899/d10k.htm,https://www.sec.gov/Archives/edgar/data/1396033/000119312512071457/0001193125-12-071457-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000119312513066128/0001193125-13-066128-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000114420414010440/v367177_10k.htm,https://www.sec.gov/Archives/edgar/data/1396033/000114420415011792/v400728_10k.htm,https://www.sec.gov/Archives/edgar/data/1396033/000114420416084768/0001144204-16-084768-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000114420417009976/0001144204-17-009976-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000114420418010939/0001144204-18-010939-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000155837019002205/0001558370-19-002205-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000155837020001266/0001558370-20-001266-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000155837021002205/0001558370-21-002205-index.htm,https://www.sec.gov/Archives/edgar/data/1396033/000155837022001644/0001558370-22-001644-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,10713000,12898000,11326000,22149000,26924000,26266000,26256000,47064000,77395000,63371000,-56433000,-68563000,-37823000,-54379000,9663000,61427000,41698000
74,Depreciation and Amortization,- -,- -,2240000,2908000,3627000,4350000,4714000,5773000,8328000,9957000,11666000,14714000,17392000,17505000,17739000,18425000,17465000,17645000,18833000
75,Deferred Income Tax,- -,- -,-1732000,-697000,377000,486000,-1110000,4300000,2402000,160000,-846000,-152000,-12064000,14205000,-3246000,240000,-366000,-12037000,276000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,2955000,3091000,4005000,3997000,5974000,5593000,3941000,22328000,4735000,4091000,4848000,3333000,5113000
77,Change in Working Capital,- -,- -,-6590000,12638000,47132000,19416000,27855000,22018000,21130000,19870000,58089000,-32177000,-17986000,-21361000,-53848000,4344000,-3172000,74890000,-21583000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-7502000,-21749000,-20266000,-16707000,-44611000,-21789000,-9197000,-42712000,-45834000,-62140000,42773000,-62054000,32614000,-59179000,28941000,38617000,-15104000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,17235000,1136000,4467000,16756000,-15000,21478000,-21450000,64025000,-52475000,4852000,-13640000,9910000,-8538000
81,Other Working Capital,- -,- -,17059000,29697000,76829000,96245000,124100000,146118000,167248000,187118000,245207000,213030000,195044000,173683000,119835000,124179000,121007000,195897000,-10492000
82,Other Non-Cash Items,- -,- -,3357000,-26337000,-53950000,-37040000,-53526000,-44472000,-18020000,-33779000,-99278000,5738000,74354000,8285000,111835000,-15707000,-28109000,11788000,-5667000
83,Cash Provided by Operating Activities,- -,- -,7988000,1410000,8512000,9361000,7812000,16976000,44101000,47269000,53000000,57087000,9204000,-27601000,39392000,-42986000,329000,157046000,38670000
84,CAPEX,- -,- -,-4327000,-2719000,-5977000,-7360000,-11433000,-20535000,-16988000,-13376000,-28585000,-71138000,-22478000,-8908000,-7411000,-14332000,-19906000,-15828000,-19443000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-4725000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,575000,3073000,871000,422000,966000,71000
89,Cash Used for Investing Activites,- -,- -,-4327000,-2719000,-5977000,-7360000,-11433000,-20535000,-21713000,-13376000,-28585000,-71138000,-22478000,-8333000,-4338000,-13461000,-19484000,-14862000,-19372000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,-53000000,-19000000,-17469000,-65351000,-24000000,-87500000,-26000000,-101000000
91,Common Stock Issued,- -,- -,- -,- -,36150000,203000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-152000,-323000,-389000,-249000,-49436000,-34830000,-53310000,-295000,-433000,-1455000,-953000,- -,- -,-2360000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-661000,-757000,-9482000,-81000,4481000,3103000,4760000,17585000,27387000,60154000,39000000,36660000,40613000,74158000,103381000,44778000,-690000
95,Cash Used/Provided by Financing Activities,- -,- -,-661000,-757000,26668000,-30000,4157000,2714000,4511000,-31851000,-7443000,-46156000,19705000,18758000,-26193000,49205000,15881000,18778000,-104050000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-54000,450000,-505000,-140000,-15000,744000,806000,-1131000,702000,-14000,- -
97,Net Change In Cash,- -,- -,3000000,-2066000,29203000,1971000,536000,-845000,26845000,2492000,16467000,-60347000,6416000,-16432000,9667000,-8373000,-2572000,160948000,-84752000
98,Cash at the End of Period,- -,- -,6031000,3965000,33168000,35139000,35675000,34830000,61675000,64167000,80634000,20287000,26703000,10271000,19938000,11565000,8993000,169941000,85189000
99,Cash at the Beginning of Period,- -,- -,3031000,6031000,3965000,33168000,35139000,35675000,34830000,61675000,64167000,80634000,20287000,26703000,10271000,19938000,11565000,8993000,169941000
100,Free Cash Flow,- -,- -,3661000,-1309000,2535000,2001000,-3621000,-3559000,27113000,33893000,24415000,-14051000,-13274000,-36509000,31981000,-57318000,-19577000,141218000,19227000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396033/000119312509050268/0001193125-09-050268-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000119312510033678/0001193125-10-033678-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000119312511042899/d10k.htm,https://www.sec.gov/Archives/edgar/data/1396033/000119312512071457/0001193125-12-071457-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000119312513066128/0001193125-13-066128-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000114420414010440/v367177_10k.htm,https://www.sec.gov/Archives/edgar/data/1396033/000114420415011792/v400728_10k.htm,https://www.sec.gov/Archives/edgar/data/1396033/000114420416084768/0001144204-16-084768-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000114420417009976/0001144204-17-009976-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000114420418010939/0001144204-18-010939-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000155837019002205/0001558370-19-002205-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000155837020001266/0001558370-20-001266-index.html,https://www.sec.gov/Archives/edgar/data/1396033/000155837021002205/0001558370-21-002205-index.htm,https://www.sec.gov/Archives/edgar/data/1396033/000155837022001644/0001558370-22-001644-index.htm
102,false,,,,,,,,,,,,,,,,,,,
