,https://roic.ai/company/CCEP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,689385500,975282588,1265366250,1253426866,1156434825,1345918665,1647652050,1906238670,1899206340,2002028970,2496381290,4007268720,4496928840,4523732080,4834984340,6023033690,4867770760,4437039640,4389933680,5141847900,7056366970,4465699570,10303150620,4735658600,1255673000,1540785350,1491108080,1410702640,1606891440,1558580640,2698000000,3030000000,3158000000,3045000000,2922000000,3570000000
11,COGS and Expenses,1666583604,2298035520,3014171250,3009134346,2706204900,2936590566,3989618550,4552746800,4542927660,4917332550,5926394720,9598172220,10696619700,13482748930,14506017760,16969917090,14794859250,12508354590,12335484960,14585455250,16138039310,13351145420,20189664040,14041559280,4439217600,5594509050,5394302760,5285065640,5957998200,5620585700,8282000000,9802000000,10218000000,10469000000,9793000000,12247000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000,48000000,47000000,49000000,33000000,43000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400629040,47369700,65581750,71077160,74590540,97860840,107929880,145000000,141000000,134000000,137000000,144000000,172000000
14,Depreciation and Amortization,86278348,149387670,193170000,192925630,171856125,187674032,321916950,375511990,375927060,412572390,503775690,859999140,954979200,1339628920,1342637140,1520650230,995853650,871050910,787842240,881459640,766782280,731823290,754257000,727972280,198501600,247667550,253306900,223047440,254109240,250616840,372000000,490000000,512000000,639000000,727000000,782000000
15,EBITDA,165545996,282108438,422388125,309102243,306276075,119612311,170475300,424803540,479490480,525659340,659648870,1021817160,1099078740,1427082440,1697195560,1012642910,1667697500,1642848070,1391264480,1548464540,-838005140,1308639960,-4203007340,1800736800,806788700,1042364050,957273240,880602880,1086337560,1039053760,1236000000,1790000000,1851000000,2230000000,1566000000,2330000000
16,EBITDA ratio,0.0908,0.1103,0.1273,0.0945,0.1040,0.0395,0.0402,0.0867,0.0978,0.0995,0.1036,0.0997,0.0961,0.0997,0.1081,0.0574,0.1036,0.1194,0.1039,0.0980,-0.0558,0.0911,-0.2683,0.1192,0.1598,0.1631,0.1570,0.1481,0.1598,0.1620,0.1353,0.1618,0.1607,0.1856,0.1477,0.1693
17,Operating Income,157133156,258913026,303283750,261249947,237606600,89802622,253230300,345040850,358802400,364997880,437891150,654544800,740961540,833789810,1198897240,675469910,1299851080,1252185310,1059308480,1208207610,-1132746550,1008228900,-4524823660,1065784920,609039000,797011150,701697920,661900520,837984840,792095560,851000000,1260000000,1300000000,1548000000,813000000,1516000000
18,Operating Income ratio,0.0862,0.1013,0.0914,0.0799,0.0807,0.0297,0.0597,0.0704,0.0732,0.0691,0.0688,0.0638,0.0648,0.0582,0.0763,0.0383,0.0808,0.0910,0.0791,0.0765,-0.0755,0.0702,-0.2889,0.0705,0.1206,0.1247,0.1151,0.1113,0.1233,0.1235,0.0932,0.1139,0.1129,0.1288,0.0767,0.1102
19,Total Other Income Expenses (Gains),-77865508,-126192258,-74065625,-145073334,-103186650,-157864343,-263160900,-295749300,-255238980,-251910930,-282017970,-492726780,-596862000,-746336290,-844338820,-844056410,-628007230,-480388150,-455886240,-541202710,-472040870,-431412230,-432440680,-393649440,-48121600,-67896400,-68808740,-78935620,-103617360,-111588520,-132000000,-101000000,-95000000,-94000000,-118000000,-134000000
20,Income Before Tax,79267648,132720768,229218125,116176613,134419950,-68061721,-9930600,49291550,103563420,113086950,155873180,161818020,144099540,87453520,354558420,-168586500,671843850,771797160,603422240,667004900,-1604787420,576816670,-4957264340,672135480,560917400,729114750,632889180,582964900,734367480,680507040,719000000,1159000000,1205000000,1454000000,695000000,1382000000
21,Income Before Tax Ratio,0.0435,0.0519,0.0691,0.0355,0.0457,-0.0225,-0.0023,0.0101,0.0211,0.0214,0.0245,0.0158,0.0126,0.0061,0.0226,-0.0096,0.0417,0.0561,0.0450,0.0422,-0.1069,0.0402,-0.3165,0.0445,0.1111,0.1141,0.1038,0.0980,0.1081,0.1061,0.0787,0.1048,0.1046,0.1210,0.0655,0.1004
22,Income Tax expense (Gain),53281320,64824264,98554375,55771514,66261300,-6499857,2482650,62734700,47296680,49134330,64277600,6363630,23021820,28819910,103279780,-147232210,201076670,235032880,163764960,233029560,-738747750,89163100,-1800878380,161926720,91731800,151223800,120982400,99936840,189142800,135369680,170000000,471000000,296000000,364000000,197000000,394000000
23,Net Income,25986328,67896504,130663750,60405099,68158650,-61561864,-153924300,-13443150,56266740,63952620,91595580,155454390,121077720,58633610,251278640,-360775110,470767180,536764280,439657280,433975340,-866039670,487653570,-3156385960,510208760,469185600,577890950,511906780,483028060,545224680,545137360,549000000,688000000,909000000,1090000000,498000000,982000000
24,Net Income ratio,0.0142,0.0266,0.0394,0.0185,0.0232,-0.0203,-0.0363,-0.0027,0.0115,0.0121,0.0144,0.0152,0.0106,0.0041,0.0160,-0.0204,0.0292,0.0390,0.0328,0.0275,-0.0577,0.0340,-0.2015,0.0338,0.0929,0.0904,0.0840,0.0812,0.0802,0.0850,0.0601,0.0622,0.0789,0.0907,0.0470,0.0714
25,EPS,0.11,0.16,0.29,0.12,0.16,-0.20,-0.40,-0.04,0.42,0.48,0.68,0.40,0.31,0.13,0.60,-0.84,1.04,1.18,0.94,0.92,-1.83,1.02,-6.50,1.04,1.38,1.81,1.74,1.80,2.20,2.37,1.45,1.42,1.88,2.34,1.09,2.15
26,EPS Diluted,0.11,0.16,0.29,0.12,0.16,-0.20,-0.40,-0.04,0.42,0.48,0.68,0.39,0.30,0.13,0.57,-0.84,1.02,1.16,0.93,0.91,-1.83,1.00,-6.50,1.03,1.38,1.77,1.70,1.77,2.16,2.32,1.42,1.41,1.86,2.32,1.09,2.15
27,Weighted Average Shares Outstanding,231666667,420952381,419705882,382142857,350454545,339629630,387500000,375000000,130000000,129000000,125000000,384090909,391666667,430769231,416071429,432000000,450458716,455405405,465000000,471000000,475000000,481000000,485000000,488000000,339000000,319000000,294000000,268000000,247000000,231000000,378620690,484507042,483510638,465800000,456000000,456744186
28,Weighted Average Shares Outstanding Diluted,231666667,420952381,419705882,382142857,350454545,339629630,387500000,375000000,390000000,387000000,375000000,393023256,402857143,430769231,431481481,432000000,458878505,461643836,473000000,476000000,475000000,488000000,485000000,493000000,340000000,327000000,301000000,273000000,252000000,235000000,386619718,489000000,488000000,469000000,456000000,456744186
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1650107/000165010718000022/0001650107-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1650107/000165010719000025/0001650107-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1650107/000165010720000024/0001650107-20-000024-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7104176,8679078,171250,8171959,364875,47889751,4965300,9858310,17940120,6239280,37763090,40909050,57980880,140124390,313033560,319190440,64801960,63522400,114340400,90341170,139414960,116597900,518641480,723086560,241359900,527740200,545176940,248393740,183386280,155492200,386000000,360000000,309000000,316000000,1523000000,1407000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000000
33,Cash and Short-Term Investments,7104176,8679078,171250,8171959,364875,47889751,4965300,9858310,17940120,6239280,37763090,40909050,57980880,140124390,313033560,319190440,64801960,63522400,114340400,90341170,139414960,116597900,518641480,723086560,241359900,527740200,545176940,248393740,183386280,155492200,386000000,360000000,309000000,316000000,1523000000,1465000000
34,Net Receivables,215742608,201615750,251651875,250297837,216589800,280390383,333502650,396124820,380819820,402433560,536717960,915453630,1140006420,1356523350,1431010560,1730821400,1601942570,1407021160,1384625360,1521446620,1582814410,1619339070,1657928720,1851687880,1063938500,1119519050,- -,- -,- -,- -,- -,1832000000,- -,- -,- -,- -
35,Inventory,123481796,90400662,106945625,107751913,93772875,145761161,175440600,179242000,192448560,175479750,254699990,419999580,462994380,664845510,640973480,775497900,685185430,575671750,562849840,663627660,600090480,633743880,647224340,610017040,275947300,310934650,291870040,327329360,319075680,307325760,673000000,650000000,693000000,723000000,681000000,1157000000
36,Other Current Assets,48700996,46467630,59509375,49452989,50717625,53642498,66204000,83347530,69314100,181719030,230595890,271817910,287346420,403478740,416313340,406855420,358316720,335874690,345971920,591017000,474313940,436899190,468357680,423661720,95491300,114189400,1251411700,1283971140,1520543640,1408576400,2366000000,472000000,1989000000,2064000000,1872000000,3138000000
37,Total Current Assets,395029576,347163120,418278125,415674698,361445175,527683793,580112550,668572660,660522600,765871620,1059776930,1648180170,1948328100,2564971990,2801330940,3232365160,2710246680,2382090000,2407787520,2866432450,2796633790,2806580040,3292152220,3608453200,1676737000,2072383300,2088458680,1859694240,2023005600,1871394360,3425000000,3314000000,2991000000,3103000000,4076000000,5760000000
38,PP&E,794078620,797323086,1010118125,1083669161,1001727825,1274270816,1434144150,1693836900,1600747980,1683045780,2259357640,3510905580,4170360060,5559261260,6157391420,6974985460,6092337210,5394639820,5099581840,5538673600,5075007620,4637852940,4484596620,4380396960,1669218000,1720556500,1755757080,1703995540,1727778360,1756147200,3993000000,3837000000,3888000000,4205000000,3860000000,5248000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,456887070,415637220,433877360,421567840,98498900,95672200,99810480,89798320,83058360,80490080,2427000000,2520000000,2518000000,2520000000,2517000000,4623000000
40,Intangible Assets,2300070456,2066849460,2513350625,2425386883,2223475275,3132856363,4676485050,5418485660,4864218900,4620186840,5707047410,10738171080,11899722960,14464613450,14638045520,- -,13368263160,12629841180,11933449360,13004062620,9268821770,8632359820,2323111560,2436578360,2878273200,2909515050,2966337220,2899616720,2994212760,3094294780,8344000000,8384000000,8384000000,8506000000,8414000000,12639000000
41,Intangible Assets,2300070456,2066849460,2513350625,2425386883,2223475275,3132856363,4676485050,5418485660,4864218900,4620186840,5707047410,10738171080,11899722960,14464613450,14638045520,- -,13368263160,12629841180,11933449360,13004062620,9725708840,9047997040,2756988920,2858146200,2976772100,3005187250,3066147700,2989415040,3077271120,3174784860,10771000000,10904000000,10902000000,11026000000,10931000000,17262000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274000000,56000000,37000000,27000000,27000000,60000000
44,Other Non-Current Assets,73191708,52919334,56255625,61753051,77134575,53343654,- -,- -,- -,- -,- -,- -,- -,- -,- -,16450670670,1057796700,- -,- -,- -,- -,- -,664464500,610715000,140605300,218348650,280527940,344709680,197366400,159150840,105000000,83000000,398000000,324000000,343000000,760000000
45,Total Non-Current Assets,3167340784,2917091880,3579724375,3570809095,3302337675,4460470833,6110629200,7112322560,6464966880,6303232620,7966405050,14249076660,16070083020,20023874710,20795436940,23425656130,20518397070,18024481000,17033031200,18542736220,14800716460,13685849980,7906050040,7849258160,4786595400,4944092400,5102432720,5038120260,5002415880,5090082900,15143000000,14880000000,15225000000,15582000000,15161000000,23330000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3562370360,3264255000,3998002500,3986483793,3663782850,4988154626,6690741750,7780895220,7125489480,7069104240,9026181980,15897256830,18018411120,22588846700,23596767880,26658021290,23228643750,20406571000,19440818720,21409168670,17597350250,16492430020,11198202260,11457711360,6463332400,7016475700,7190891400,6897814500,7025421480,6961477260,18568000000,18194000000,18216000000,18685000000,19237000000,29090000000
48,Accounts Payable,- -,- -,- -,- -,348966450,523649399,475841250,626450790,182663040,138044070,247468760,528181290,659106180,871553830,974237100,994660350,831942810,734477750,615962800,628166640,664494130,635801490,2088214380,974352160,84212800,454442950,349336680,351951480,441607320,444524760,904000000,1057000000,1105000000,1138000000,1124000000,4237000000
49,Short-Term Debt,96280280,50768766,127153125,462853018,420773850,511396795,514736100,276032680,237298860,49134330,394503770,938180880,972032400,1217392750,823044020,2027533640,749987390,868668820,447771760,797028640,609182760,1373111740,1280081880,618392560,121807800,12344800,477880480,80383980,519731520,415255640,875000000,274000000,491000000,799000000,805000000,1350000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184400450,198108680,165837220,141445920,148174920,222000000,253000000,383000000,346000000,364000000,181000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,392225296,313291674,343870000,376331349,- -,- -,88547850,- -,468074040,482764290,715891770,1289998710,1265347440,1502610480,1497024440,2060127030,1710581150,1526125660,1467245520,1822020980,1619183530,1655690180,276560900,1609495760,1254169200,959036650,1122867900,1157239640,1183376040,1113141220,1973000000,1956000000,2196000000,2178000000,2211000000,506000000
53,Total Current Liabilities,488505576,364060440,471023125,839184367,769740300,1035046194,1079125200,902483470,888035940,669942690,1357864300,2756360880,2896486020,3591557060,3294305560,5082321020,3292511350,3129272230,2530980080,3247216260,2892860420,3664603410,3644857160,3202240480,1460189800,1425824400,1950085060,1589575100,2144714880,1972921620,3752000000,3287000000,3792000000,4115000000,4140000000,6093000000
54,Long-Term Debt,1663685848,1610545014,1788877500,1479040332,1430455950,2545030215,2903872950,3659225430,3177032160,3227267580,3867904580,7054538400,8189799300,10089949870,11017929520,11649327150,10707570920,8378604560,7762606640,7738101150,6984386420,5069265170,5205809980,5507602360,1597035600,2311563800,2142900760,2698294680,2730235200,3116246620,5562000000,5474000000,5127000000,5622000000,6382000000,11790000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,57113836,117513180,189659375,224181267,244466250,218305542,1296770850,1640960510,1536326640,1584777120,1993409070,3632723640,4020291900,4920254290,5083068760,4873273760,4325530830,3942358950,3863967840,4311046860,3073948330,2873795300,780117240,854303040,930852200,918916050,852925920,798770540,803445720,781119640,2248000000,2237000000,2157000000,2203000000,2134000000,3617000000
57,Other Non-Current Liabilities,- -,- -,214062500,239261480,32181975,111991789,373225050,449001210,432193800,467946000,561625530,833635530,833048820,1081243520,1183990880,1883673160,1713440060,1490394310,1316021120,1348363070,1216850140,982851710,1589686420,1277964760,112033100,123448000,208694640,160043780,170228520,215859760,545000000,511000000,576000000,589000000,556000000,380000000
58,Total Non-Current Liabilities,1720799684,1728058194,2192599375,1942483079,1707104175,2875327546,4573868850,5749187150,5145552600,5279990700,6422939180,11520897570,13043140020,16091447680,17284989160,18406274070,16746541810,13811357820,12942595600,13397511080,11275184890,8925912180,7575613640,7639870160,2639920900,3353927850,3204521320,3657109000,3703909440,4113226020,8355000000,8222000000,7860000000,8414000000,9072000000,15787000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000000,87000000,75000000,387000000,365000000,- -
61,Total Liabilities,2209305260,2092118634,2663622500,2781667446,2476844475,3910373740,5652994050,6651670620,6033588540,5949933390,7780803480,14277258450,15939626040,19683004740,20579294720,23488595090,20039053160,16940630050,15473575680,16644727340,14168045310,12590515590,11220470800,10842110640,4100110700,4779752250,5154606380,5246684100,5848624320,6086147640,12107000000,11509000000,11652000000,12529000000,13212000000,21880000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35259890,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,445217920,479133000,509131230,436460260,366841860,351873360,406957420,369752720,338819780,355578300,348282040,2255700,2314650,2268420,2172540,2467080,3658640,5000000,5000000,5000000,5000000,5000000,5000000
64,Retained Earnings,43092436,97927650,226392500,262176664,278910450,167800906,26481600,8065890,57082200,112307040,190422390,339999660,390518280,444224130,652685620,247260200,608947830,985391230,1299054480,1832152700,712228600,1047323490,-2175851860,-1709304040,42858300,492248900,851413640,1142031860,1637318760,2130243140,6474000000,6769000000,6672000000,6135000000,6078000000,6677000000
65,Other Comprehensive Income/Loss,-343524300,-352769958,-477958750,-561085020,-528266025,-596940890,-805206150,-100465141,-1102501920,-1237717170,-1511327070,-2086361550,-2520462960,-3572675050,-4321779660,-5311598660,-224900920,105605990,287695200,136778220,108349670,382029590,-478414440,-344094280,-259405500,-364943150,-430000000,-331000000,-714000000,-997000000,-1793000000,-216000000,-2315000000,-2685000000,- -,- -
66,Other Total Stockholders Equity,1653496964,1426978674,1585946250,1503724703,1436293950,1506920870,1816472250,1221623851,2137320660,2244580980,2566283180,3366360270,4208729760,5589074960,6207434200,7724633430,2333823530,2008101870,2028620000,2388552990,2238973950,2133741570,2276419460,2304663920,2577513200,2107103050,1612602960,837926000,251011320,-261572160,1775000000,127000000,2202000000,2701000000,-58000000,351000000
67,Total Stockholders Equity,1353065100,1172136366,1334380000,1204816347,1186938375,1077780886,1037747700,1129224600,1091900940,1119170850,1245378500,1619998380,2078785080,2905841960,3017473160,3169426200,3189590590,3465940950,3967243040,4764441330,3429304940,3901914430,-22268540,599547640,2363221700,2236723450,2036285020,1651130400,1176797160,875329620,6461000000,6685000000,6564000000,6156000000,6025000000,7033000000
68,Total Liabilities And Stockholders Equity,3562370360,3264255000,3998002500,3986483793,3663782850,4988154626,6690741750,7780895220,7125489480,7069104240,9026181980,15897256830,18018411120,22588846700,23596767880,26658021290,23228643750,20406571000,19440818720,21409168670,17597350250,16492430020,11198202260,11441658280,6463332400,7016475700,7190891400,6897814500,7025421480,6961477260,18568000000,18194000000,18216000000,18685000000,19237000000,28913000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16053080,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177000000
70,Total Liabilities & Equity,3562370360,3264255000,3998002500,3986483793,3663782850,4988154626,6690741750,7780895220,7125489480,7069104240,9026181980,15897256830,18018411120,22588846700,23596767880,26658021290,23228643750,20406571000,19440818720,21409168670,17597350250,16492430020,11198202260,11457711360,6463332400,7016475700,7190891400,6897814500,7025421480,6961477260,18568000000,18194000000,18216000000,18685000000,19237000000,29090000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1650107/000165010718000022/0001650107-18-000022-index.html,https://www.sec.gov/Archives/edgar/data/1650107/000165010719000025/0001650107-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1650107/000165010720000024/0001650107-20-000024-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,68158650,-61561864,-153924300,-13443150,56266740,63952620,91595580,155454390,121077720,58633610,251278640,-360775110,470767180,536764280,439657280,433975340,-866039670,487653570,-3156385960,510208760,469185600,577890950,511906780,483028060,545224680,545137360,549000000,688000000,909000000,1090000000,498000000,982000000
74,Depreciation and Amortization,- -,- -,- -,- -,171856125,187674032,321916950,375511990,375927060,412572390,503775690,859999140,954979200,1339628920,1342637140,1520650230,995853650,871050910,787842240,881459640,766782280,731823290,754257000,727972280,198501600,247667550,253306900,223047440,254109240,250616840,372000000,490000000,512000000,639000000,727000000,782000000
75,Deferred Income Tax,- -,- -,- -,- -,55679925,-11729627,-17378550,53772600,37511160,17158020,-1606940,-72727200,-28137780,-73540460,-3194220,-271986220,131509860,188185110,91472320,65856180,-813001370,12345660,-1866965660,48857200,-4511400,-93357550,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56534760,- -,- -,26464900,23897940,23026080,37501060,42000000,14000000,17000000,15000000,14000000,16000000
77,Change in Working Capital,- -,- -,- -,- -,-4451475,53119521,-95995800,19716620,47296680,-9358920,175156460,-125454420,-199522440,68571510,-26618500,24726020,-228712800,-20644780,-22130400,62478940,-84103590,-63785910,-40945380,124236880,15789900,-48607650,80906980,-57210220,-65788800,44818340,175000000,107000000,242000000,-30000000,216000000,114000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-147967520,-10526600,-65581750,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-13240800,- -,-28541100,13258470,19283280,-15454530,-42633000,-79503200,71337580,-47204220,-27636130,-4764180,-1475360,-40526880,34853740,-72016350,-17240160,35595960,-34587400,-33948200,22684200,-41278260,12335400,15549220,61000000,16000000,-45000000,-25000000,34000000,-1000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140124390,-54301740,-130373560,15247520,-76226880,-68604240,-72610660,8334590,-15089140,89792500,3489800,-11278500,3086200,- -,- -,- -,- -,- -,-159000000,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-48893250,27045382,176268150,6273470,-2446380,17937930,39370030,39090870,-41780340,- -,- -,339420820,- -,-142131370,-105488240,-66700490,2201089450,-32921760,5472314120,-225441080,-58648200,-18517200,-156520980,-69521280,50986320,-17378540,106000000,324000000,126000000,190000000,35000000,223000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,242349975,194547444,230886450,441831530,514555260,502262040,808290820,856362780,806616360,1393293580,1564103060,1252035740,1369417890,1433224150,1191353200,1377069610,1204727100,1135114850,1162274120,1242368800,620317500,665076100,716064580,603241940,807557520,860695060,1244000000,1623000000,1806000000,1904000000,1490000000,2117000000
84,CAPEX,- -,- -,- -,- -,-189151200,-178111024,-240817050,-316362130,-298458360,-390734910,-499758340,-879090030,-1322475660,-1470809200,-1257457940,-1092440520,-980606130,-872638970,-697845280,-771699340,-668282580,-643346060,-704691540,-695168160,-218802900,-290102800,-275991100,-223771620,-250819800,-281715280,-497000000,-520000000,-600000000,-602000000,-408000000,-446000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-16309200,-123225780,-543145720,-1806361830,-188437860,-110310690,-57495960,- -,-28589100,-10322390,- -,- -,-80315140,- -,- -,- -,-600768100,-771550,- -,-15207780,- -,- -,102000000,- -,- -,-8000000,-11000000,-5380000000
