,https://roic.ai/company/SFUN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Income Before Tax,42152000,50411000,81370000,144214000,207709000,368443000,334826000,-21038000,-144651000,43146000,-129355000,-32975000,-10934000
21,Income Before Tax Ratio,0.4048,0.3968,0.3625,0.4194,0.4828,0.5781,0.4764,-0.0238,-0.1578,0.0971,-0.4269,-0.1501,-0.0506
22,Income Tax expense (Gain),18805000,-2199000,18222000,42617000,55905000,69781000,81609000,-5905000,24984000,21442000,-14446000,-9544000,-4473000
23,Net Income,23381000,52652000,63108000,101625000,151810000,298609000,253217000,-15096000,-169635000,21707000,-114911000,-10249000,-6459000
24,Net Income ratio,0.2245,0.4144,0.2811,0.2956,0.3528,0.4685,0.3603,-0.0171,-0.1851,0.0489,-0.3792,-0.0466,-0.0299
25,EPS,3.20,7.10,8.50,13.30,19.60,38.20,30.80,-1.80,-18.10,1.80,-13.10,-0.90,-0.72
26,EPS Diluted,3.00,6.80,7.90,12.40,18.50,34.10,28.70,-1.80,-18.10,1.80,-13.10,-0.90,-0.72
27,Weighted Average Shares Outstanding,7402022,7398613,7468359,7649227,7736516,7810120,8216314,8517089,9365915,8847566,8938496,8951053,8951053
28,Weighted Average Shares Outstanding Diluted,7709220,7741896,8022063,8221583,8192456,8778775,9220862,8517089,9365915,9286399,8938496,9007372,8951053
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,63022000,92239000,171520000,150414000,118167000,581010000,354760000,817921000,336528000,228276000,195108000,105282000,130055000
32,Short-Term Investments,24873000,28558000,62412000,8592000,26841000,10138000,455184000,62559000,42929000,55801000,16043000,194720000,91587000
33,Cash and Short-Term Investments,87895000,120797000,233932000,159006000,145008000,591148000,809944000,880480000,379457000,284077000,211151000,300002000,221642000
34,Net Receivables,12136000,21614000,22353000,55435000,40877000,96883000,212884000,473573000,158328000,206463000,187892000,141116000,191752000
35,Inventory,- -,4390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2830000,2423000,23242000,47111000,8712000,275622000,157063000,160685000,255425000,257872000,269794000,245562000,316109000
37,Total Current Assets,102861000,149224000,279527000,261552000,194597000,963653000,1179891000,1514738000,793210000,748412000,668837000,686680000,729503000
38,PP&E,3841000,4220000,7549000,68064000,79564000,221442000,217105000,326504000,319897000,622145000,728312000,731726000,713599000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,774000,- -,35728000,33153000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,774000,- -,35728000,33153000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,121292000,244678000,231880000,470964000,373233000,341946000,372962000
43,Tax Assets,- -,507000,619000,1407000,1723000,1728000,1570000,5490000,4915000,7602000,2202000,6570000,3698000
44,Other Non-Current Assets,544000,543000,6072000,249348000,525277000,318266000,224381000,203142000,264911000,115404000,18699000,45980000,85168000
45,Total Non-Current Assets,4385000,5270000,14240000,318819000,606564000,541436000,564348000,780588000,821603000,1251843000,1155599000,1126222000,1175427000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,107246000,154494000,293767000,580371000,801161000,1505089000,1744239000,2295326000,1614813000,2000255000,1824436000,1812902000,1904930000
48,Accounts Payable,- -,- -,- -,2161000,- -,26714000,61463000,82769000,74669000,46529000,38304000,25364000,- -
49,Short-Term Debt,- -,- -,3600000,255570000,270670000,90000000,80750000,500000000,212734000,242685000,297811000,369764000,334086000
50,Tax Payable,428000,3134000,14329000,33858000,55212000,81063000,81099000,52432000,45846000,43043000,45169000,34734000,23048000
51,Deferred Revenue,15953000,28795000,56968000,73620000,65871000,115043000,119042000,145321000,129765000,168884000,163346000,134143000,140293000
52,Other Current Liabilities,63914000,95511000,100313000,118456000,131414000,213869000,238884000,347879000,278522000,123714000,101452000,110934000,165620000
53,Total Current Liabilities,79867000,124306000,160881000,449807000,467955000,445626000,500139000,1075969000,695690000,581812000,600913000,640205000,639999000
54,Long-Term Debt,- -,- -,- -,- -,80750000,530750000,500000000,287887000,360458000,405474000,377650000,353087000,394748000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,13991000,5687000,10219000,38581000,64947000,84767000,111026000,76631000,70424000,126641000,97578000,90723000,85724000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,479000,385000,312000,416000,146053000,153095000,138435000,118713000
58,Total Non-Current Liabilities,13991000,5687000,10219000,38581000,145697000,615996000,611411000,364830000,431298000,678168000,628323000,582245000,599185000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2361000,- -
61,Total Liabilities,93858000,129993000,171100000,488388000,613652000,1061622000,1111550000,1440799000,1126988000,1259980000,1229236000,1222450000,1239184000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,9501000,9489000,9764000,10032000,10316000,10500000,10619000,12234000,12281000,12328000,12410000,12368000,12368000
64,Retained Earnings,-37507000,- -,63108000,10185000,82952000,300515000,471352000,373505000,203870000,225574000,276746000,270358000,257862000
65,Other Comprehensive Income/Loss,5582000,5670000,10293000,21853000,23974000,43381000,49566000,-10364000,-81349000,137630000,-75837000,-98371000,-30147000
66,Other Total Stockholders Equity,35707000,9279000,39399000,49838000,69637000,89071000,101072000,478391000,352328000,364051000,381187000,405404000,424968000
67,Total Stockholders Equity,13283000,24438000,122564000,91908000,186879000,443467000,632609000,853766000,487130000,739583000,594506000,589759000,665051000
68,Total Liabilities And Stockholders Equity,107141000,154431000,293664000,580296000,800531000,1505089000,1744159000,2294565000,1614118000,1999563000,1823742000,1812209000,1904235000
69,Minority Interest,105000,63000,103000,75000,630000,- -,80000,761000,695000,692000,694000,693000,695000
70,Total Liabilities & Equity,107246000,154494000,293767000,580371000,801161000,1505089000,1744239000,2295326000,1614813000,2000255000,1824436000,1812902000,1904930000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,23381000,52652000,63108000,101625000,151810000,298609000,253217000,-15096000,-169635000,21707000,-114911000,-10249000,- -
74,Depreciation and Amortization,1051000,1213000,2378000,4100000,6376000,9701000,11624000,14668000,25004000,27961000,26735000,25247000,- -
75,Deferred Income Tax,5550000,-7860000,2601000,- -,24867000,15482000,27339000,-32361000,-2250000,-317000,-21271000,-10498000,- -
76,Stock Based Compensation,2717000,4140000,5075000,7170000,7149000,7028000,4682000,4497000,6552000,7218000,14082000,8820000,- -
77,Change in Working Capital,5859000,11392000,26050000,-5974000,13644000,60847000,-113216000,-160388000,240747000,30271000,-42973000,-17690000,- -
78,Accounts Receivable,-9345000,-7053000,-14608000,-19817000,-14600000,-25457000,-22697000,-118797000,16190000,-437000,-18395000,-18958000,- -
79,Inventory,- -,-4390000,4559000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-15000,-52000,-896000,- -,-7499000,46052000,-79591000,-156761000,29433000,51380000,11765000,4656000,- -
82,Other Non-Cash Items,6010000,4429000,7298000,48363000,15047000,16389000,30813000,23370000,30822000,40049000,193343000,73629000,- -
83,Cash Provided by Operating Activities,44568000,65966000,106510000,155284000,218893000,408056000,214459000,-165310000,131240000,126889000,55005000,69259000,- -
84,CAPEX,-1967000,-1642000,-5630000,-60115000,-18115000,-6730000,-7976000,-45205000,-24576000,-100148000,-96117000,-12097000,- -
85,Acquisitions Net,- -,- -,- -,- -,-111367000,-12781000,-9806000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-24047000,-35864000,-102045000,-204173000,-49260000,-9984000,-1388000000,-257147000,-78706000,-396064000,-806247000,-294355000,- -
87,Sales/Maturities of Investments,23339000,32204000,68892000,258366000,31781000,27307000,822804000,507007000,103026000,387294000,766358000,186497000,- -
88,Other Investing Activites,77000,-6732000,-7313000,-14309000,17667000,-37582000,-48153000,-146147000,-127690000,-209857000,29341000,62952000,- -
89,Cash Used for Investing Activites,-2598000,-12034000,-46096000,-20231000,-129294000,-39770000,-631131000,58562000,-127946000,-284512000,-106665000,-57003000,- -
90,Debt Repayment,- -,- -,- -,-3600000,-30900000,-186398000,-90000000,-153500000,-576662000,-43989000,-71444000,-126769000,- -
91,Common Stock Issued,- -,- -,10494000,- -,636000,- -,80000,347493000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-136615000,- -,- -,- -,- -
93,Dividends Paid,-16210000,-24241000,- -,-142214000,-131012000,-81046000,-82380000,-82751000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-548000,3910000,-15769000,38676000,354593000,364365000,476229000,247662000,77999000,106144000,52653000,- -
95,Cash Used/Provided by Financing Activities,-16210000,-24789000,14404000,-161583000,-122600000,87149000,192065000,587471000,-465615000,34010000,34700000,-74116000,- -
96,Effect of Forex Changes on Cash,3194000,74000,4463000,5424000,754000,7408000,-1643000,-17562000,-19072000,15361000,-26728000,-18882000,- -
97,Net Change In Cash,28954000,29217000,79281000,-21106000,-32247000,462843000,-226250000,463161000,-481393000,-108252000,-43688000,-80742000,- -
98,Cash at the End of Period,63022000,92239000,171520000,150414000,118167000,581010000,354760000,817921000,336528000,228276000,447572000,366830000,- -
99,Cash at the Beginning of Period,34068000,63022000,92239000,171520000,150414000,118167000,581010000,354760000,817921000,336528000,491260000,447572000,- -
100,Free Cash Flow,42601000,64324000,100880000,95169000,200778000,401326000,206483000,-210515000,106664000,26741000,-41112000,57162000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined
102,false,,,,,,,,,,,,,
