,https://roic.ai/company/GBIO,2018,2019,2020,2021
73,Net Income,-35803000,-61317000,-80523000,-119151000
74,Depreciation and Amortization,347000,1864000,3432000,4532000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,3488000,4207000,8412000,17857000
77,Change in Working Capital,4683000,-61373000,247517000,4175000
78,Accounts Receivable,- -,- -,448000,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,223000,761000,-1444000,1756000
81,Other Working Capital,70371000,8998000,256515000,- -
82,Other Non-Cash Items,-834000,76273000,-248980000,766000
83,Cash Provided by Operating Activities,-28119000,-40346000,-70142000,-91821000
84,CAPEX,-3021000,-19986000,-5518000,-5958000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,-109940000,-20789000,-243178000,- -
87,Sales/Maturities of Investments,43200000,88680000,43500000,198900000
88,Other Investing Activites,- -,80000,- -,105000
89,Cash Used for Investing Activites,-69761000,47985000,-205196000,193047000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,213900000,211876000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,100189000,78000,109195000,2795000
95,Cash Used/Provided by Financing Activities,100189000,78000,323095000,214671000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,2309000,7717000,47757000,315897000
98,Cash at the End of Period,9466000,17183000,64940000,380837000
99,Cash at the Beginning of Period,7157000,9466000,17183000,64940000
100,Free Cash Flow,-31140000,-60332000,-75660000,-97779000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1733294/000119312521085043/0001193125-21-085043-index.htm,https://www.sec.gov/Archives/edgar/data/1733294/000155837022001957/0001558370-22-001957-index.htm
102,false,,,,
